StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
60403,Dialog,DEATHCLERIC,"Greetings, <FirstName>. Aarin Gend has instructed me to provide whatever assistance I can to you in your mission to recover the Words of Power.","반갑습니다, <FirstName>. 아린 겐드께서 권능의 언령을 회수하는 임무에 관해 제가 도울 수 있는 건 뭐든 지원하라 명하셨습니다.",M3DEATHCLERIC,,,,,0,0
60404,Dialog,DEATHCLERIC,"However my magic is not of a healing nature. My skills are tied to the teleportation portal in this temple and the Stone of Recall in your backpack. Is there something I can do for you, <FirstName>?","다만 제 마법은 치유 계열이 아닙니다. 제 능력은 이 사원의 순간이동 차원문과 당신 배낭의 귀환석에 연계되어 있지요. 무엇을 도와드릴까요, <FirstName>?",M3DEATHCLERIC,,,,,0,0
60405,Dialog,DEATHCLERIC,"You should speak to Neurik in that case. My abilities are tied strictly to the Stone of Recall and the teleportation portal. Is there anything else I can do for you, <FirstName>?","그 경우에는 뉴릭와 상의하십시오. 제 능력은 엄격히 귀환석과 순간이동 차원문에만 연계되어 있습니다. 다른 도움이 필요하십니까, <FirstName>?",M3DEATHCLERIC,,,,,0,0
60406,Dialog,DEATHCLERIC,"I am Sergol, a priest of Tyr. It is my duty to aid and assist those in the service of Neverwinter, though I am no healer. ","저는 티르의 성직자 세르골입니다. 치유자는 아니지만, 네버윈터를 위해 봉사하는 이들을 돕는 것이 제 임무입니다.",M3DEATHCLERIC,,,,,0,0
60407,Dialog,DEATHCLERIC,"My magic is tied to the Stone of Recall in your backpack and the teleportation portal you see in this room. Now, is there something else you need of me? ","제 마법은 당신 배낭의 귀환석과 이 방의 순간이동 차원문에 연계되어 있습니다. 자, 또 필요하신 것이 있습니까?",M3DEATHCLERIC,,,,,0,0
60408,Dialog,DEATHCLERIC,"I thought you would be familiar with this by now. However, it is important so I will go over the use of the Stone of Recall again.","이제는 익숙해졌으리라 생각했습니다만, 중요한 일이니 귀환석 사용법을 다시 설명해 드리겠습니다.",M3DEATHCLERIC,,,,,0,0
60409,Dialog,DEATHCLERIC,In your backpack you carry a Stone of Recall. You can activate this stone at anytime and it will instantly teleport you and anyone in your service back to this temple.,"당신의 배낭에는 귀환석이 있습니다. 언제든 이 돌을 활성화하면, 당신과 당신의 일행 모두가 즉시 이 사원으로 전송됩니다.",M3DEATHCLERIC,,,,,0,0
60410,Dialog,DEATHCLERIC,"This will allow you to quickly return to town whenever you need to, saving precious travelling time.","이는 언제든 필요할 때 신속히 마을로 되돌아올 수 있게 해, 소중한 이동 시간을 아껴 줍니다.",M3DEATHCLERIC,,,,,0,0
60411,Dialog,DEATHCLERIC,"There is more, <FirstName>. Once you have used the stone, go through the teleportation portal and it will instantly send you back to the place your stone was last activated.","또 한 가지가 있습니다, <FirstName>. 돌을 사용한 뒤에는 순간이동 차원문을 통과하면, 돌을 마지막으로 활성화했던 지점으로 즉시 되돌아갑니다.",M3DEATHCLERIC,,,,,0,0
60412,Dialog,DEATHCLERIC,"Anyone in your service - henchmen, familiars and the like - will also be transported with you. Now, is there anything else I can do for you, <FirstName>?","당신의 동료, 사역마 등 일행도 함께 이동합니다. 자, 또 도와드릴 것이 있습니까, <FirstName>?",M3DEATHCLERIC,,,,,0,0
