StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
105146,Dialog,DELDERBRAIN,"You sense a strange alien presence in your head. The memories and knowledge of a thousand minds floods your thoughts, nearly overwhelming you.","머릿속에 낯설고도 이질적인 존재가 감지됩니다. 수천 개의 정신이 지닌 기억과 지식이 당신의 생각 속으로 밀려들어와, 거의 압도할 지경입니다.",Q2DELDERBRAIN,act_q2dbrain_1,,,,0,0
105147,Dialog,DELDERBRAIN,"The images shift and change as the alien presence explores your own mind, seeking a better way to communicate, a way to focus its multiple consciousness to deal with a single entity.",그 이질적 존재가 의사소통의 더 나은 방식을 찾으려는 듯 당신의 정신을 탐색하자 영상들이 형태를 바꾸고 흘러갑니다. 다중 의식을 한 대상에 집중하려 애쓰는 기운이 느껴집니다.,Q2DELDERBRAIN,,,,,0,0
105148,Dialog,DELDERBRAIN,"You feel a powerful presence in your thoughts, its words echoing as if spoken by many voices across an endless void: ""You have been given access to the inner sanctum - a rare privilege for a thrall.""",그대는 내부 성소에 출입할 권한을 부여받았다-노예에게는 드문 특권이다.,Q2DELDERBRAIN,,,,,0,0
105149,Dialog,DELDERBRAIN,"""We can see many of your thoughts, thrall. We see you are an enemy of the Valsharess, and you know the illithid are her allies. Is that why you have come to see the Overmind of Zorvak'Mur?""","""우리는 그대의 많은 생각을 볼 수 있다, 노예여. 그대가 발샤레스의 적이며, 일리시드가 그녀의 동맹임을 알고 있음을 안다. 그래서 조르박무르의 초월체를 찾아온 것인가?""",Q2DELDERBRAIN,,,,,0,0
105150,Dialog,DELDERBRAIN,"Images of futility and frustration assail you, and the voice speaks once again. ""Destroying me will not accomplish your goal. I am but a single Overmind within the Elder Concorde.""","허무와 좌절의 영상이 당신을 덮칩니다. 목소리가 다시 울립니다. ""우리를 파괴해도 그대의 목적은 이루어지지 않습니다. 나는 장로 합의체를 이루는 수많은 초월체 중 하나일 뿐이다.""",Q2DELDERBRAIN,,,,,0,0
105151,Dialog,DELDERBRAIN,"""Destroy me and this pod of illithid will wither and die, but the Valsharess has the support of the entire Elder Concorde. Destroying me will not stop the illithid from following her.""","""나를 파괴하면 이 일리시드 군락은 시들어 죽겠지만, 발샤레스는 여전히 장로 합의체 전체의 지지를 받는다. 나를 없앤다고 해서 일리시드가 그녀를 따르지 않는 것은 아니다.""",Q2DELDERBRAIN,,,,,0,0
105152,Dialog,DELDERBRAIN,"""Zorvak'Mur is only a small part of a larger whole. Throughout the Underdark, the Overminds of many illithid pods have pledged allegiance to the Valsharess."" ","""조르박무르는 더 큰 전체의 작은 일부에 지나지 않습니다. 언더다크 전역의 많은 일리시드 군락의 초월체들이 발샤레스에게 충성을 맹세했다.""",Q2DELDERBRAIN,,,,,0,0
105153,Dialog,DELDERBRAIN,"""We Overminds now act as one Elder Concorde. Only a consensus of all the Overminds linked through the Elder Concorde can end our alliance with the Valsharess.""","""이제 우리 초월체들은 하나의 장로 합의체로서 행동한다. 장로 합의체로 연결된 모든 초월체의 합의만이 우리와 발샤레스의 동맹을 끝낼 수 있다.""",Q2DELDERBRAIN,,,,,0,0
105154,Dialog,DELDERBRAIN,"""Destroy me and this pod of illithid will wither and die, but the Valsharess has the support of the entire Elder Concorde. Destroying me will not stop the illithid from following her.""","""우리를 파괴하면 이 군락은 시들어 죽겠지만, 발샤레스는 여전히 장로 합의체 전체의 지지를 받는다. 우리를 없앤다고 해서 일리시드가 그녀를 따르지 않는 것은 아니다.""",Q2DELDERBRAIN,,,,,0,0
105155,Dialog,DELDERBRAIN,"""A thrall could never convince the Elder Concorde of anything... but we of the Zorvak'Mur Overmind could sway the Concorde to abandon the Valsharess.""","""노예가 장로 합의체를 설득하는 일은 불가능하다... 그러나 조르박무르의 초월체인 우리라면 합의체가 발샤레스를 버리도록 기울일 수 있다.""",Q2DELDERBRAIN,,,,,0,0
105156,Dialog,DELDERBRAIN,"""The illithid detest the drow; they are fit only to serve as thralls. Yet we have been forced to follow the Valsharess and her army of dark elves despite our hatred of them."" ","""일리시드는 드로우를 혐오한다; 그들은 노예로 섬기기에나 어울린다. 그럼에도 우리는 그들에 대한 증오가 있음에도 불구하고 발샤레스와 그녀의 다크 엘프 군대를 따를 수밖에 없었다.""",Q2DELDERBRAIN,,,,,0,0
105157,Dialog,DELDERBRAIN,"""We illithid only follow the Valsharess because many of our pods are not strong enough to stand against her. If you gave us the power to oppose her, we could withdraw our support.""","""우리가 발샤레스를 따르는 이유는 많은 군락이 그녀에 맞설 만큼 강하지 않기 때문이다. 그대가 우리에게 그녀에 맞설 힘을 준다면, 우리는 지지를 거둘 수 있다.""",Q2DELDERBRAIN,,,,,0,0
105158,Dialog,DELDERBRAIN,"""That would accomplish nothing. Zorvak'Mur would wither and die without an Overmind, but the Elder Concorde would still exist. The illithid would still follow the Valsharess.""","""그것은 무의미하다. 조르박무르는 초월체가 없으면 시들겠지만, 장로 합의체는 여전히 존재한다. 일리시드는 여전히 발샤레스를 따를 것이다.""",Q2DELDERBRAIN,,,,,0,0
105159,Dialog,DELDERBRAIN,"""We once captured a thrall from a strange village here in the Underdark. The village is made up of winged elves from the surface... though they now live below the earth.""","""우리는 한때 언더다크의 기이한 마을에서 한 노예를 사로잡았다. 그 마을은 지상에서 내려온 날개 달린 엘프들로 이루어져 있다... 지금은 땅 밑에 살지만.""",Q2DELDERBRAIN,,,,,0,0
105160,Dialog,DELDERBRAIN,"""From the thrall's mind we learned of a powerful artifact - a magic mirror that the winged elves used to spy on their enemies. Such an artifact would give us the power to stand against the Valsharess.""","""그 노예의 정신에서 강력한 유물을 알게 되었다-날개 달린 엘프들이 적을 엿보는 데 사용한 마법 거울. 그 유물이라면 우리가 발샤레스에 맞설 힘을 얻을 수 있다.""",Q2DELDERBRAIN,,,,,0,0
105161,Dialog,DELDERBRAIN,"If you deliver the mirror, we of the Zorvak'Mur Overmind will convince the Elder Concorde to abandon the Valsharess.""","그대가 그 거울을 가져오면, 조르박무르의 초월체인 우리가 장로 합의체가 발샤레스를 버리도록 설득하겠다.",Q2DELDERBRAIN,q2_elderbrain2x,,,,0,0
105162,Dialog,DELDERBRAIN,"""When you return the guards will give you access to our inner sanctum once again. Once you have delivered the mirror, we will convince the Elder Concorde to abandon the Valsharess.""","""그대가 돌아오면 경비들이 다시 내부 성소로의 출입을 허용할 것이다. 거울을 넘기면, 우리가 장로 합의체가 발샤레스를 버리도록 설득하겠다.""",Q2DELDERBRAIN,,,,,0,0
105163,Dialog,DELDERBRAIN,"""We, the Overmind of Zorvak'Mur, await your return.""","""조르박무르의 초월체인 우리는 그대의 귀환을 기다린다.""",Q2DELDERBRAIN,,,,,0,0
105164,Dialog,DELDERBRAIN,"""When you return the guards will give you access to our inner sanctum once again. Once you have delivered the mirror, we will convince the Elder Concorde to abandon the Valsharess.""","""그대가 돌아오면 경비들이 다시 내부 성소로의 출입을 허용할 것이다. 거울을 넘기면, 우리가 장로 합의체가 발샤레스를 버리도록 설득하겠다.""",Q2DELDERBRAIN,,,,,0,0
105165,Dialog,DELDERBRAIN,"""Destroying us is futile. The other illithid pods will still follow the Valsharess. Only by delivering the mirror to us can you hope to sway the Elder Concorde's decision.""","""우리를 파괴하는 것은 헛일이다. 다른 일리시드 군락들은 여전히 발샤레스를 따를 것이다. 우리에게 거울을 가져오는 방법만이 장로 합의체의 결정을 움직일 수 있는 유일한 길이다.""",Q2DELDERBRAIN,,,,,0,0
105166,Dialog,DELDERBRAIN,"A flurry of images assaults you before the Overmind responds. ""We each have something the other needs, thrall. We need the mirror, you need us to sway the Elder Concorde.""","한바탕 영상이 몰아친 뒤 초월체가 응답합니다. ""우리는 서로에게 필요한 것을 쥐고 있다, 노예여. 우리는 거울이 필요하고, 그대는 장로 합의체를 움직일 우리를 필요로 한다.""",Q2DELDERBRAIN,,,,,0,0
105167,Dialog,DELDERBRAIN,"""This is the basis of our relationship, thrall. We of the Overmind are not willing to answer questions that do not pertain to this.""","""이것이 우리의 관계의 근거다, 노예여. 이와 무관한 질문에는 답하지 않겠다.""",Q2DELDERBRAIN,,,,,0,0
105168,Dialog,DELDERBRAIN,"""That is not possible. Thralls are necessary for the illithid to survive. The Elder Concorde will never agree to such a demand under any circumstances.""","""그것은 불가능하다. 노예는 일리시드가 생존하는 데 필수적이다. 장로 합의체는 그 어떤 경우에도 그런 요구에 동의하지 않을 것이다.""",Q2DELDERBRAIN,,,,,0,0
105169,Dialog,DELDERBRAIN,"""If you deliver the mirror, we of the Zorvak'Mur Overmind will convince the Elder Concorde to abandon the Valsharess. This is the agreement. We will not bargain with a thrall.""","""그대가 거울을 넘기면, 조르박무르의 초월체인 우리가 장로 합의체가 발샤레스를 버리도록 설득하겠다. 이게 합의다. 우리는 노예와 흥정하지 않습니다.""",Q2DELDERBRAIN,,,,,0,0
105170,Dialog,DELDERBRAIN,"The mirror floats for a brief second on the surface of the brain pool's bubbling goo, then begins to melt and dissolve as its power is absorbed by the Overmind. Soon there is nothing left.","거울이 잠시 두뇌 웅덩이의 끓어오르는 점액 표면에 떠오르더니, 곧 녹아들며 그 힘이 초월체에 흡수됩니다. 얼마 지나지 않아 아무것도 남지 않습니다.",Q2DELDERBRAIN,,,,,0,0
105171,Dialog,DELDERBRAIN,"""Return to your Seer, thrall. Inform her that the Valsharess no longer has the support of the Elder Concorde or the illithid.""","""선견자에게 돌아가라, 노예여. 발샤레스는 더 이상 장로 합의체도 일리시드도 지지하지 않는다고 알리라.""",Q2DELDERBRAIN,,,,,0,0
105172,Dialog,DELDERBRAIN,"You feel the Overmind probing into your thoughts, unearthing details of Argosus and his followers. ""We shall see the thralls are dealt with before they are able to launch their rebellion.""","초월체가 당신의 생각을 더듬어 아르고서스와 그 추종자들에 대한 세부를 끄집어냅니다. ""그들이 반란을 일으키기 전에, 노예들을 처리하도록 하겠다.""",Q2DELDERBRAIN,,,,,0,0
105173,Dialog,DELDERBRAIN,"""Had you not warned us of this, Zorvak'Mur would have been crippled. In our weakened state, we could never have convinced the Elder Concorde to betray the Valsharess.""","""그대가 이를 알리지 않았다면 조르박무르는 크게 손상되었을 것이다. 그 약해진 상태로는 우리가 결코 장로 합의체를 설득해 발샤레스를 배신하게 만들 수 없었다.""",Q2DELDERBRAIN,,,,,0,0
105174,Dialog,DELDERBRAIN,"""Now go, thrall. Return to your seer. We of the Zorvak'Mur Overmind have no further use for you.""","""이제 가라, 노예여. 선견자에게 돌아가라. 조르박무르의 초월체인 우리는 더 이상 그대를 필요로 하지 않습니다.""",Q2DELDERBRAIN,,,,,0,0
105178,Dialog,DELDERBRAIN,"""You must look at this logically. Your enemy is the Valsharess. By making us stronger, we can oppose her will. This will make her weaker.""","""논리적으로 보아라. 그대의 적은 발샤레스다. 우리를 더 강하게 만들면, 우리는 그녀의 의지에 맞설 수 있다. 그러면 그녀는 약해진다.""",Q2DELDERBRAIN,,,,,0,0
105179,Dialog,DELDERBRAIN,"""You have few options, thrall. If you wish to stop the illithid from joining the Valsharess, you will bring the mirror to we of the Zorvak'Mur Overmind.""","""그대에게 선택지는 많지 않다, 노예여. 일리시드가 발샤레스에 합류하는 것을 막고 싶다면, 조르박무르의 초월체인 우리에게 그 마법 거울을 가져오라.""",Q2DELDERBRAIN,,,,,0,0
105180,Dialog,DELDERBRAIN,"You feel the Overmind probing into your thoughts, unearthing details of Argosus and his followers. ""We shall see the thralls are dealt with before they are able to launch their rebellion.""","초월체가 당신의 생각을 더듬어 아르고서스와 그 추종자들에 대한 세부를 끄집어냅니다. ""그들이 반란을 일으키기 전에, 노예들을 처리하도록 하겠다.""",Q2DELDERBRAIN,,,,,0,0
105181,Dialog,DELDERBRAIN,"""Had you not warned us of this, Zorvak'Mur would have been crippled. In our weakened state, we could never have convinced the Elder Concorde to betray the Valsharess.""","""그대가 이를 알리지 않았다면 조르박무르는 크게 손상되었을 것이다. 그 약해진 상태로는 우리가 결코 장로 합의체를 설득해 발샤레스를 배신하게 만들 수 없었다.""",Q2DELDERBRAIN,,,,,0,0
