StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
25546,Dialog,DESTH,"Of course, now it is time for you to step aside. The ritual will not require you. You may watch as we create the plague cure, but do not interfere.","물론이지, 이제 물러날 때야. 의식에 너는 필요 없어. 우리가 역병 치료제를 만들어 내는 걸 지켜보는 건 좋지만, 끼어들지는 마.",M1Q6A01DESTH,,,,vs_ndesthem_122,0,0
25547,Dialog,DESTH,"Yes, let me concentrate on the ritual to come. Goodbye, <FullName>. I'm sure you are proud of all you have done.","그래, 다가올 의식에 집중해야지. 그럼, <FullName>. 그동안의 성과가 아주 자랑스럽겠어.",M1Q6A01DESTH,,,,vs_ndesthem_134,0,0
25548,Dialog,DESTH,My interest in these people is shrinking as we near the end of the plague. You would do better to speak with them yourself.,역병이 끝나 갈수록 저 사람들에 대한 내 관심은 줄어들고 있어. 직접 가서 이야기하는 게 더 나을 거야.,M1Q6A01DESTH,,,,vs_ndesthem_132,0,0
25549,Dialog,DESTH,"Well, hello <FullName>. I imagine you are well pleased with yourself? This is your doing, after all.","오, 안녕, <FullName>. 제법 뿌듯하겠군? 결국 이 모든 건 네 손으로 이뤄낸 일이니까.",M1Q6A01DESTH,m1q6a_inconv,,,vs_ndesthem_120,0,0
25550,Dialog,DESTH,"You should speak with each of the others before we begin the ritual. They will likely want to congratulate you. Very important, I'm sure.",의식을 시작하기 전에 다른 사람들과도 일일이 얘기해. 아마 너를 축하하고 싶어 할 거야. 아주 중요한 일들이겠지.,M1Q6A01DESTH,,,,vs_ndesthem_141,0,0
25551,Dialog,DESTH,You have yet to talk with Aribeth or Fenthick. I'm sure they would like to congratulate you. If they are speaking. We'll begin the ritual when you are done.,아리베스나 펜딕과는 아직 이야기하지 않았군. 분명 축하 인사를 하고 싶어할 거야. 말을 할 수 있다면 말이지. 네가 마치면 의식을 시작하지.,M1Q6A01DESTH,,,,vs_ndesthem_138,0,0
25552,Dialog,DESTH,You should speak with Aribeth and Lord Nasher. No doubt they'll agree on the importance of what you have done. We'll begin the ritual when you are through with them.,아리베스와 나셰르 영주님께도 들러. 네가 해낸 일의 중요성에 대해 두 분 다 동의하시겠지. 마치면 의식을 시작하지.,M1Q6A01DESTH,,,,vs_ndesthem_139,0,0
25553,Dialog,DESTH,You should speak with Fenthick and Lord Nasher. I am certain they would want to congratulate you. We'll begin the ritual when you are through with them.,펜딕과 나셰르 영주님과도 이야기해. 분명 축하하고 싶어하실 거야. 마치면 의식을 시작하지.,M1Q6A01DESTH,,,,vs_ndesthem_140,0,0
25554,Dialog,DESTH,"You have yet to speak with Fenthick. I'm sure he would appreciate it. Not getting much attention at home, I hear.",펜딕과는 아직 이야기하지 않았군. 아마 고마워할 거야. 집에서는 관심을 별로 못 받는다고 들었다만.,M1Q6A01DESTH,,,,vs_ndesthem_137,0,0
25555,Dialog,DESTH,You should speak with Aribeth. I'm sure she would consider it a slight if you spoke with me and not her. We'll begin the ritual when you are done.,아리베스에게도 가. 나와만 이야기하고 그녀를 지나치면 실례라고 여길 거야. 마치면 의식을 시작하지.,M1Q6A01DESTH,,,,vs_ndesthem_136,0,0
25556,Dialog,DESTH,"Oh, I believe you have yet to speak with Lord Nasher. You should do so before we commence the ritual. He is your Lord, after all.","아, 아직 나셰르 영주님께 인사하지 않았던가. 의식을 시작하기 전에 다녀와. 어쨌든 네 군주이잖나.",M1Q6A01DESTH,,,,vs_ndesthem_135,0,0
25557,Dialog,DESTH,Very well. I believe it is time for us to proceed. Let the ritual commence!,좋아. 이제 진행할 때군. 의식을 시작하지!,M1Q6A01DESTH,,,,vs_ndesthem_133,0,0
25558,Dialog,DESTH,"Then I suggest you study magic for a few more years. You are not a part of the spell, so I see no point in having you mimic the incantations.","그렇다면 몇 년만 더 마법을 공부하시길. 넌 주문의 일부가 아니니, 주문을 흉내 내게 할 이유가 없지.",M1Q6A01DESTH,,,,vs_ndesthem_129,0,0
25559,Dialog,DESTH,"With a cure in hand, my reason for being in Neverwinter will be gone. I will be returning to Helm's Hold for a time. Beyond that is my own affair.",치료제가 손에 들어오면 내가 네버윈터에 있을 이유도 사라져. 당분간은 헬름의 요새로 돌아갈 거야. 그다음은 내 사정이지.,M1Q6A01DESTH,,,,vs_ndesthem_131,0,0
25560,Dialog,DESTH,"I will speak if you wish, but you should really spend some time with each of the others before the ceremony. They will want to congratualte you, I'm sure.",원한다면 말해주지. 하지만 의식 전에 다른 사람들과도 시간을 좀 보내. 다들 너를 축하하고 싶어 할 테니까.,M1Q6A01DESTH,m1q6a_inconv,,,vs_ndesthem_144,0,0
25561,Dialog,DESTH,That is my affair. I explained my need to Fenthick and he saw the wisdom in it. Getting the proper result from the ritual requires a certain amount of risk.,"그건 내 일이야. 내 필요를 펜딕에게 설명했고, 그는 그 타당함을 이해했지. 의식에서 올바른 결과를 얻으려면 어느 정도 위험은 감수해야 하니까.",M1Q6A01DESTH,,,,vs_ndesthem_123,0,0
25562,Dialog,DESTH,"Perhaps, although it was definitely your thuggish actions that brought us to this point. You outstepped my Helmite brethren very effectively. Bravo.",어쩌면 그렇겠지. 하지만 여기까지 온 건 분명 네 거친 방식 덕분이야. 내 헬름 신도 동료들보다 훨씬 '효율적'이었지. 잘했어.,M1Q6A01DESTH,,,,vs_ndesthem_121,0,0
25563,Dialog,DESTH,I'm sure. You made my Helmite brethren look quite ineffective by comparison. The importance of what we were trying to do was called into question.,그렇겠지. 네 덕분에 내 헬름 신도 동료들은 한껏 무능해 보였으니까. 우리가 하려던 일의 중요성까지 의심받게 되었지.,M1Q6A01DESTH,,,,vs_ndesthem_142,0,0
