StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
23584,Dialog,DRAK,"Well, I must say that whatever you did in that bloody graveyard, it seems our immediate troubles are over. ","흠, 그 피비린내 나는 공동묘지에서 무엇을 하셨든, 당장의 골칫거리는 해결된 듯합니다.",M1Q5B02DRAK,,,,vs_nrangem1_054,0,0
23585,Dialog,DRAK,"There's still the plague, of course, but the undead threat seems to be on the wane in this district.","물론 역병은 여전하지만, 이 지구에서 언데드의 위협은 수그러드는 듯하군요.",M1Q5B02DRAK,,,,,0,0
23586,Dialog,DRAK,"You should report to Aribeth with whatever you found. Oh, Harben may give you something special as well as reward.","발견한 것을 아리베스에게 보고하십시오. 아, 하벤도 보상과 함께 특별한 무언가를 줄지 모릅니다.",M1Q5B02DRAK,,,,,0,0
23587,Dialog,DRAK,I knew we could count on you to repeat your success in this district. I had heard good things about you.,이 지구에서도 다시 한 번 성과를 내 줄 거라 믿고 있었습니다. 당신에 대한 평판을 들어 왔거든요.,M1Q5B02DRAK,,,,vs_nrangem1_055,0,0
23588,Dialog,DRAK,"Ahh, you must be with <CUSTOM41>. Will you need me to repeat what they asked me about?","아, 당신은 <CUSTOM41> 일행인 모양이군요. 그들이 제게 물었던 내용을 다시 들어야 합니까?",M1Q5B02DRAK,,,,vs_nrangem1_053,0,0
23589,Dialog,DRAK,"Ahh, you have returned to me. Do you need me to repeat my earlier information, or have you something else?","아, 다시 오셨군요. 이전에 드린 정보를 다시 들으시겠습니까, 아니면 다른 용건이 있습니까?",M1Q5B02DRAK,,,,vs_nrangem1_052,0,0
23590,Dialog,DRAK,"An organization of malevolent fanatics, following someone named Gulnan. They are entrenched in an estate in the northwest of the Beggar's Nest.",굴난이라는 자를 추종하는 사악한 광신도 집단입니다. 거지 소굴 북서쪽의 한 저택에 본거지를 틀고 있죠.,M1Q5B02DRAK,m1q5c02drakjrl01,,,,0,0
23591,Dialog,DRAK,"She will have needed access to the cult, so there may be passages that lead to her or her lair.","그녀가 그 사교에 드나들었을 테니, 그녀 혹은 은신처로 이어지는 통로가 있을지도 모릅니다.",M1Q5B02DRAK,,,,,0,0
23592,Dialog,DRAK,"You know the area now, so you spearhead the effort. She has taken advantage of a plague-ravaged city, and must be stopped.","이제 지형을 파악하셨으니, 앞장서 주십시오. 그녀는 역병으로 황폐해진 도시를 악용하고 있습니다. 반드시 막아야 합니다.",M1Q5B02DRAK,,,,,0,0
23593,Dialog,DRAK,Something was corrupting the young. A creature named Gulnan offered power in exchange for complicity.,무언가가 젊은이들을 타락시키고 있었습니다. 굴난이라는 존재가 가담의 대가로 힘을 약속했지요.,M1Q5B02DRAK,m1q5c02drakjrl01,,,,0,0
