StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85767,Dialog,DURNAN,"""<FirstName>? Where did *you* come from? We thought you were dead!""","""<FirstName>? 대체 어디서 온 거지? 우린 네가 죽은 줄 알았어!""",H9_DURNAN,,,,vs_nx2durnm_56,0,0
85768,Dialog,DURNAN,"""Mephistopheles is upon us!""","""메피스토펠레스가 들이닥쳤다!""",H9_DURNAN,h9a_durn_journ02,,,vs_nx2durnm_57,0,0
85769,Dialog,DURNAN,"""Fall back! Fall back!""","""후퇴! 후퇴하라!""",H9_DURNAN,,,,vs_nx2durnm_58,0,0
85770,Dialog,DURNAN,"Durnan looks at you expectantly. ""Aye? Is there something you need?""","더난이 기대하는 눈빛으로 당신을 봅니다. ""그래? 필요한 게 있나?""",PRE_DURNAN,,,,vs_nx2durnm_59,0,0
85771,Dialog,DURNAN,"""Blast those four fools! What were they thinking? Rushing headlong into the well like a bunch of impatient children! Don't they realize how dangerous Undermountain is?""","""빌어먹을 저 네 바보들! 무슨 생각이지? 성급한 애들처럼 우물로 무작정 뛰어들다니! 언더마운틴이 얼마나 위험한지 모르는 건가?""",PRE_DURNAN,,,,vs_nx2durnm_60,0,0
85772,Dialog,DURNAN,"""We must secure the portal! No more of those creatures can be allowed through it!""","""차원문을 확보해야 한다! 더는 저 괴물들이 지나오게 놔둘 수 없어!""",PRE_DURNAN,,,,vs_nx2durnm_61,0,0
85773,Dialog,DURNAN,"""They are using my portal, dammit! *My* portal! Help us stop them!""","""놈들이 내 차원문을 쓰고 있어, 젠장! 내 차원문이라고! 놈들을 막는 데 힘을 보태줘!""",PRE_DURNAN,,,,vs_nx2durnm_62,0,0
85774,Dialog,DURNAN,"""Damn the infernal drow! A thousand deaths is not good enough for any one of them! Bah! At least that seems to have been the last of them... for now, anyways.""","""저주받을 드로우! 놈들을 천 번을 죽여도 모자랄 거야! 쳇! 적어도 방금 그 무리가 마지막이었던 것 같군... 지금으로선 말이지.""",PRE_DURNAN,act_durnan_1,,,vs_nx2durnm_63,0,0
85775,Dialog,DURNAN,"""Greetings, <FirstName>. I am glad that you made it at last. I trust your accommodations were adequate?""","""반갑네, <FirstName>. 마침내 도착해 줘서 기쁘군. 숙소는 만족스러웠나?""",PRE_DURNAN,,,,vs_nx2durnm_64,0,0
85776,Dialog,DURNAN,"""The city is under siege. Raiding parties of drow and other creatures rarely seen on the surface are attacking the city. We've determined that these attacks are coming through Undermountain.""","""도시는 포위 공격을 받고 있네. 드로우와 지상에서는 좀처럼 보기 힘든 다른 괴물들의 습격대가 도시를 공격 중이야. 조사해 보니 이 공격들은 언더마운틴을 통해 올라오고 있더군.""",PRE_DURNAN,,,,vs_nx2durnm_65,0,0
85777,Dialog,DURNAN,"""That's what we need to find out. The labyrinth of Undermountain was created long ago by Halaster, a mage whose power may have rivaled even Elminster himself.""","""그게 바로 우리가 밝혀내야 할 일이지. 언더마운틴의 미궁은 오래전에 할라스터라는 마법사가 만들었네. 그의 힘은 엘민스터와도 맞먹었을지 모른다네.""",PRE_DURNAN,,,,vs_nx2durnm_66,0,0
85778,Dialog,DURNAN,"""The labyrinth of Undermountain was created long ago by Halaster, a mage whose power may have rivaled even Elminster himself.""","""언더마운틴의 미궁은 오래전에 할라스터라는 마법사가 만들었네. 그의 힘은 엘민스터와도 맞먹었을지 모른다네.""",PRE_DURNAN,,,,vs_nx2durnm_67,0,0
85779,Dialog,DURNAN,"""Halaster ruled Undermountain like a brutal tyrant. It was his magic that kept the creatures within from pouring out to overrun Waterdeep."" ","""할라스터는 잔혹한 폭군처럼 언더마운틴을 지배했지. 워터딥을 뒤덮을 만큼 괴물들이 쏟아져 나오지 못하게 막은 것도 그의 마법이었어.""",PRE_DURNAN,,,,vs_nx2durnm_68,0,0
85780,Dialog,DURNAN,"""Now Halaster has suddenly decided to unleash his creatures on this city, and we need to find out why. I want to know what that mad mage is up to!"" ","""그런데 지금 할라스터가 느닷없이 괴물들의 족쇄를 풀어 이 도시에 풀어놓았고, 우리는 그 이유를 알아내야 해. 그 미친 마법사가 무슨 꿍꿍이를 꾸미는지 알고 싶다!""",PRE_DURNAN,,,,vs_nx2durnm_69,0,0
85781,Dialog,DURNAN,"""It's pretty clear that the answers we seek can't be found here on the surface. The only hope we have of stopping Halaster is to send someone down into Undermountain after him.""","""찾는 답은 지상에선 못 얻는다는 게 분명해. 할라스터를 막으려면 누군가를 언더마운틴으로 내려보내 그를 뒤쫓는 수밖에 없어.""",PRE_DURNAN,,,,vs_nx2durnm_70,0,0
91838,Dialog,DURNAN,"Durnan studies you appraisingly for a moment before nodding. ""Greetings. I trust you are here to aid Waterdeep against its attackers, yes? You wish to journey into Undermountain?""","더난이 당신을 가늠하듯 잠시 살피더니 고개를 끄덕입니다. ""반갑네. 워터딥을 습격하는 자들에 맞서 돕기 위해 온 게 맞지? 언더마운틴으로 갈 생각인가?""",PRE_DURNAN,,,,,0,0
91839,Dialog,DURNAN,"""If so, then I'm glad. We can use all the help we can get. Is there something I can do for you?""","""그렇다면 다행이군. 우리는 받을 수 있는 모든 도움이 필요하네. 내가 도와줄 일이 있나?""",PRE_DURNAN,,,,,0,0
91840,Dialog,DURNAN,"Durnan turns towards you as you enter the common room. A stern and solid man who is rumored to have once been a great warrior, the relief now on his face is clearly visible.","당신이 방에 들어서자 더난이 당신을 향해 몸을 돌립니다. 한때 위대한 전사였다는 소문이 도는 엄격하고 든든한 사내로, 지금 그의 얼굴에는 안도의 기색이 역력해 보입니다.",PRE_DURNAN,pre_durnanspoke,,,,0,0
91841,Dialog,DURNAN,"Durnan nods, his features grim. ""Tamsil tells me you dealt with the drow thief swiftly enough. I must apologize to you, <FirstName>.""","더난이 굳은 표정으로 고개를 끄덕입니다. ""탐실 말로는 드로우 도둑을 재빨리 처리했다더군. 미안하네, <FirstName>.""",PRE_DURNAN,,,,,0,0
91842,Dialog,DURNAN,"Durnan's smile is a grim one, belying a deep anger held barely in check. ""You are kind to joke about it so, <FirstName>, but I must apologize nevertheless.""","더난의 미소는 겨우 억누른 깊은 분노를 감추지 못한 음울한 표정입니다. ""그렇게 농담해 주니 고맙네, <FirstName>. 그래도 사과는 해야겠어.""",PRE_DURNAN,,,,,0,0
