StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
75004,Creature,Deekin,Deekin,디킨,Q6DEEKIN|X0_HEN_DEE,,,,,0,0
78909,Creature,Deekin,"Deekin could writes new law... um... everyone listens to Deekin, or... um... gets poked in eye with pointy stick...","디킨이 새 법 만들 수도 있어요... 음... 모두 디킨 말 들어요, 아니면... 음... 뾰족한 막대로 눈 찔려요...",X0_HEN_DEE,,,,,0,0
78921,Creature,Deekin,"Oooo! Does Deekin gets free, too?",오오! 디킨도 자유 되는 거예요?,X0_HEN_DEE,,,,,0,0
78923,Creature,Deekin,That be good. Deekin need to stay with boss if he goings to finish epic story.,좋아요. 디킨이 위대한 이야기를 끝내려면 대장이랑 같이 있어야 해요.,X0_HEN_DEE,,,,,0,0
78925,Creature,Deekin,"See, boss? Deekin makes you famous!","봐요, 대장? 디킨이 대장을 유명하게 만들어요!",X0_HEN_DEE,,,,,0,0
78938,Creature,Deekin,"You sounds much like Old Master. He says he wants power over everything too, but Deekin is now free!","대장 말투, 옛 주인님이랑 아주 비슷해요. 그분도 모든 걸 지배하고 싶다 했거든요, 하지만 디킨은 이제 자유예요!",X0_HEN_DEE,,,,,0,0
78957,Creature,Deekin,<CUSTOM1001>'s wit never dulls and Deekin writes quickly to keeps up with all <his/her> deeds.,"<CUSTOM1001>의 재치는 절대 무뎌지지 않아요, 그래서 디킨이 <his/her> 모든 업적 놓치지 않게 빨리빨리 써요.",X0_HEN_DEE,,,,,0,0
78965,Creature,Deekin,"You mean everybody not hears like that? What you think boss hears with? Big, fleshy bits on side of head?",모두가 그렇게 듣지 않는다고요? 그럼 대장은 뭘로 들어요? 머리 옆의 크고 말랑한 살덩어리로요?,X0_HEN_DEE,,,,,0,0
78982,Creature,Deekin,"You gots plans for Deekin, too?",대장 디킨한테도 계획 있는 거예요?,X0_HEN_DEE,,,,,0,0
78984,Creature,Deekin,"Deeken serves boss, yup. Deekin also writer of great, epic tale!","디킨은 대장을 섬겨요, 맞아요. 그리고 위대한 서사시를 쓰는 작가이기도 해요!",X0_HEN_DEE,,,,,0,0
78998,Creature,Deekin,"You sounds much like Old Master. He says he wants power over everything too, but Deekin is now free!","대장 말투, 옛 주인님이랑 아주 비슷해요. 그분도 모든 걸 지배하고 싶다 했거든요, 하지만 디킨은 이제 자유예요!",X0_HEN_DEE,,,,,0,0
79019,Creature,Deekin,<CUSTOM1001>'s wit never dulls and Deekin writes quickly to keeps up with all <his/her> deeds.,"<CUSTOM1001>의 재치는 절대 무뎌지지 않아요, 그래서 디킨이 <his/her> 모든 업적 놓치지 않게 빨리빨리 써요.",X0_HEN_DEE,,,,,0,0
79154,Creature,Deekin,"And besides, this city be all way under ground. Shady peoples just salvages the place.",게다가 이 도시는 전부 지하 깊숙해요. 수상한 사람들이 그냥 여기저기서 뜯어가요.,X0_HEN_DEE,,,,,0,0
79176,Creature,Deekin,"But... why they spreads winds out all over city? If there be emergency you gots to get into tower quick, no?","그런데... 왜 바람들을 도시 전체에 흩뿌려 놓은 거예요? 비상사태면 탑에 빨리 들어가야 하잖아요, 아닌가요?",X0_HEN_DEE,,,,,0,0
79178,Creature,Deekin,People just blinks about all the time?,사람들이 맨날 깜빡-하고 여기저기 순간이동해요?,X0_HEN_DEE,,,,,0,0
79182,Creature,Deekin,You mean scary snake lady?,무서운 뱀 아가씨 말하는 거예요?,X0_HEN_DEE,,,,,0,0
79194,Creature,Deekin,Oooo. Did it breaks and you finds little crystal inside?,오오! 그거 부러져서 안에서 작은 수정 나왔어요?,X0_HEN_DEE,,,,,0,0
79205,Creature,Deekin,"Rat person talks about scary snake lady, maybe?","쥐 사람도 그 무서운 뱀 아가씨 얘기했죠, 아마?",X0_HEN_DEE,,,,,0,0
79207,Creature,Deekin,"Ummm... yup, Deekin writes it all down...","으음... 맞아요, 디킨이 전부 적고 있어요...",X0_HEN_DEE,,,,,0,0
79213,Creature,Deekin,That not sound good.,그거 별로 안 좋은 소리예요.,X0_HEN_DEE,,,,,0,0
79277,Creature,Deekin,Ooo... maybe you sees if Deekin's friend Raklig the bat be fine.,오오... 디킨 친구 라클릭 박쥐가 무사한지 봐줄래요?,X0_HEN_DEE,,,,,0,0
79294,Creature,Deekin,Ooo... maybe you sees if Deekin's friend Raklig the bat be fine.,오오... 디킨 친구 라클릭 박쥐가 무사한지 봐줄래요?,X0_HEN_DEE,,,,,0,0
79327,Creature,Deekin,Ummm... that not sound good when you lives in flying city.,으음... 하늘 나는 도시에 살면서 들을 말은 아닌데요.,X0_HEN_DEE,,,,,0,0
79357,Creature,Deekin,This sounds like good story. Too bad Deekin be so busy with tale of <CUSTOM1001>.,좋은 이야기 같아요. 아쉽게도 디킨은 <CUSTOM1001>의 이야기 쓰느라 너무 바쁘지만요.,X0_HEN_DEE,,,,,0,0
79397,Creature,Deekin,Ummm... and that be good thing?,으음... 그게 좋은 거 맞아요?,X0_HEN_DEE,,,,,0,0
79419,Creature,Deekin,You mean city falls out of sky? Deekin hopes nobody standings underneath...,도시가 하늘에서 떨어진다는 뜻이에요? 디킨은 아래에 아무도 안 서 있길 바라요...,X0_HEN_DEE,,,,,0,0
79434,Creature,Deekin,That sound like place where Old Master would wants to shop.,"그거, 옛 주인님이 쇼핑하러 가고 싶어 할 만한 곳 같아요.",X0_HEN_DEE,,,,,0,0
79454,Creature,Deekin,"Scary lady is in temple? We go there, then! See, boss? Adventuring be easy!","무서운 아가씨가 사원에 있어요? 그럼 거기로 가요! 봐요, 대장? 모험은 쉬워요!",X0_HEN_DEE,,,,,0,0
80356,Creature,Deekin,Ummm... maybe was extra worms Deekin puts in?,으음... 디킨이 벌레를 좀 많이 넣어서 그런가요?,X0_HEN_DEE,,,,,0,0
80390,Creature,Deekin,There be flying city buried under Deekin's feet?,디킨 발밑에 묻힌 하늘 나는 도시가 있는 거예요?,X0_HEN_DEE,,,,,0,0
80397,Creature,Deekin,"Deekin sees Old Master fly, once. That come pretty close... Old Master was pretty fat.",디킨이 한 번 옛 주인님 나는 거 본 적 있어요. 그게 꽤 가까웠죠... 옛 주인님 꽤 통통하셨거든요.,X0_HEN_DEE,,,,,0,0
80412,Creature,Deekin,"You means like little broken tower statue, maybe?",작은 깨진 탑 조각상 같은 거 말하는 거예요?,X0_HEN_DEE,,,,,0,0
80427,Creature,Deekin,Ooooo... that sounds neat! Can you reads Deekin's future?,오오오... 멋진데요! 디킨의 미래도 읽어줄 수 있어요?,X0_HEN_DEE,,,,,0,0
80429,Creature,Deekin,Oh. Deekin was hopings for future where he not gets eaten by big monster. That too much to ask?,아. 디킨은 큰 괴물한테 안 먹히는 미래를 바랐는데요. 그거 너무 큰 바람인가요?,X0_HEN_DEE,,,,,0,0
80740,Creature,Deekin,And Deekin! You not forgets about help you gets from Deekin!,"그리고 디킨! 디킨이 도와준 거, 잊지 말아요!",X0_HEN_DEE,,,,,0,0
80742,Creature,Deekin,Deekin is good cook!,디킨은 요리 잘해요!,X0_HEN_DEE,,,,,0,0
80744,Creature,Deekin,Yes. Deekin gets to be great hero!,네. 디킨도 위대한 영웅이 되는 거예요!,X0_HEN_DEE,,,,,0,0
80795,Creature,Deekin,Really? What kind of way is that? Deekin needs to know... he gots to write it down.,정말요? 그건 어떤 방식이에요? 디킨이 알아야 해요... 적어둬야 하거든요.,X0_HEN_DEE,,,,,0,0
80797,Creature,Deekin,"Okay. Deekin just makes something up, then. He just thinks back to what Old Master would do... and that is lots, let Deekin tells you.","좋아요. 그럼 디킨이 그냥 뭔가 지어낼게요. 옛 주인님이라면 뭘 했을지 떠올리면 되죠... 할 일이 아주 많아요, 디킨이 장담해요.",X0_HEN_DEE,,,,,0,0
80803,Creature,Deekin,Dibs! Dibs on gold! Deekin calls dibs!,찜! 금은 디킨이 찜했어요! 디킨이 먼저 찜!,X0_HEN_DEE,,,,,0,0
80805,Creature,Deekin,"Ummm... be easier to collect, though, maybe.",으음... 그래도 걷어들이기엔 더 쉬울지도요.,X0_HEN_DEE,,,,,0,0
80807,Creature,Deekin,What? You mean she comes and eats you? I needs to know... Deekin gots to write this all down.,뭐라고요? 그녀가 와서 당신을 먹는다는 뜻이에요? 디킨이 알아야 해요... 전부 적어야 하거든요.,X0_HEN_DEE,,,,,0,0
80835,Creature,Deekin,Deekin hear that.,디킨 그 말 들었어요.,X0_HEN_DEE,,,,,0,0
80836,Creature,Deekin,"Foul taste? But Deekin uses perfect amount of ox urine, just like mammy did!","맛이 고약해요? 하지만 디킨은 소 오줌을 딱 완벽한 비율로 썼는데요, 엄마가 하던 그대로요!",X0_HEN_DEE,,,,,0,0
80871,Creature,Deekin,"Ummm... Deekin gots notes here, somewhere, just holds on...",으음... 디킨이 메모를 어딘가에... 잠깐만요...,X0_HEN_DEE,,,,,0,0
80881,Creature,Deekin,"You never mets the Old Master, then.",그럼 옛 주인님을 만난 적이 없네요.,X0_HEN_DEE,,,,,0,0
80883,Creature,Deekin,"You never mets the Old Master, then.",그럼 옛 주인님을 만난 적이 없네요.,X0_HEN_DEE,,,,,0,0
80892,Creature,Deekin,"You talks like Deekin thinks, halfling lady. Great hero do anything, and kicks butt too.","하플링 아가씨, 말하는 게 디킨 생각이랑 똑같아요. 위대한 영웅은 뭐든 해내고, 혼쭐도 내죠.",X0_HEN_DEE,,,,,0,0
80894,Creature,Deekin,"You means that barrel Deekin accidentally... ummm,  never minds...","디킨이 실수로... 음... 아무튼 그 통 말하는 거예요...? 아니에요, 잊어요...",X0_HEN_DEE,,,,,0,0
80905,Creature,Deekin,"They poops in water, maybe?",그 사람들이... 물에 똥을 싸는 건가요?,X0_HEN_DEE,,,,,0,0
80948,Creature,Deekin,"You not knows much beyond what goes in your mouth, Deekin thinks.",입으로 들어가는 것 말고는 아는 게 별로 없다고 디킨은 생각해요.,X0_HEN_DEE,,,,,0,0
80960,Creature,Deekin,Ooo! Deekin gots to write that one down!,오오! 이건 꼭 적어둬야 해요!,X0_HEN_DEE,,,,,0,0
81013,Creature,Deekin,Oo! Deekin not of your blood!,오! 디킨은 당신 혈육 아니에요!,X0_HEN_DEE,,,,,0,0
81038,Creature,Deekin,Oo! Deekin not of your blood!,오! 디킨은 당신 혈육 아니에요!,X0_HEN_DEE,,,,,0,0
81071,Creature,Deekin,That not sounds like it ended good...,그거 잘 끝난 것 같지 않아요...,X0_HEN_DEE,,,,,0,0
81092,Creature,Deekin,That sound like bad news. Old Master once tell Deekin story about dragon that do that. Old Master say he look terrible without skin.,안 좋은 소식 같아요. 옛 주인님이 그런 짓 하는 용 얘기해줬거든요. 옛 주인님 말로는 피부 없으니까 끔찍했다네요.,X0_HEN_DEE,,,,,0,0
81100,Creature,Deekin,Ooo! You says creature? Wait! Deekin gets out notes... he gots to write this all down!,오오! 생명체라고요? 잠깐! 디킨 메모 꺼낼게요... 전부 적어야 해요!,X0_HEN_DEE,,,,,0,0
81122,Creature,Deekin,Why there be always more to do? This takes forever to writes down...,왜 할 일은 항상 더 있어요? 이거 적는 데만 평생 걸리겠어요...,X0_HEN_DEE,,,,,0,0
81134,Creature,Deekin,"Ummm... Deekin helps, too, you know.","으음... 디킨도 도와요, 알죠.",X0_HEN_DEE,,,,,0,0
81288,Creature,Deekin,"Wait, wait! Deekin not writes so fast! Speaks slower!","잠깐, 잠깐! 디킨 그렇게 빨리 못 써요! 천천히 말해요!",X0_HEN_DEE,,,,,0,0
81312,Creature,Deekin,Hey! Old Master used to say that all the time!,어이! 그거 옛 주인님이 맨날 하던 말이에요!,X0_HEN_DEE,,,,,0,0
81341,Creature,Deekin,"That sound like nice knife. You makes one for Deekin, maybe?",멋진 칼이네요. 디킨 것도 하나 만들어줄래요?,X0_HEN_DEE,,,,,0,0
81362,Creature,Deekin,Old Master was mentor to little Deekin. He threatens to eats Deekin lots.,옛 주인님은 꼬마 디킨의 스승이었어요. 디킨 자주 먹어버리겠다고 위협했죠.,X0_HEN_DEE,,,,,0,0
81373,Creature,Deekin,"Bleh. That just because boss not kills you rest of way, yet.",에잇. 그건 대장이 아직 끝까지 안 죽여서 그래요.,X0_HEN_DEE,,,,,0,0
