StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
20628,Creature,Disgruntled Woman,"I suppose that makes you a burglar of some sort? Come to rob me, have you?",그럼 좀도둑쯤 되시나? 나를 털러 온 건가?,M1Q3ANOBWOM,,,,,0,0
20680,Creature,Disgruntled Woman,"Back again, are you? Something you need?",또 왔군? 필요한 게 있나?,M1Q3ANOBWOM,,,,,0,0
20681,Creature,Disgruntled Woman,"Fare you well, <sir/madam>.","안녕히 가시오, 선생.",M1Q3ANOBWOM,,,,,0,0
20682,Creature,Disgruntled Woman,I'm sure you know the way out.,나가는 길은 알겠죠.,M1Q3ANOBWOM,,,,,0,0
20683,Creature,Disgruntled Woman,"Yes, leave me be.","그래, 이만 가 주시오.",M1Q3ANOBWOM,,,,,0,0
20684,Creature,Disgruntled Woman,Ah. This should be interesting.,아. 재미있겠군.,M1Q3ANOBWOM,,,,,0,0
20685,Creature,Disgruntled Woman,"Oh, I suppose there's no harm. I haven't seen a soul for days with all that's going on.","오, 그러지. 요즘 꼴이 이렇다 보니 며칠째 사람 구경도 못했거든.",M1Q3ANOBWOM,,,,,0,0
20686,Creature,Disgruntled Woman,"Well... it's not like you have the plague or anything. Go on, then.",음... 역병 환자는 아니잖아. 그럼 말해 보게.,M1Q3ANOBWOM,,,,,0,0
20687,Creature,Disgruntled Woman,"Oh, all right. (sigh) It's not like there's much else going on, with the plague and all.","아, 알겠다. (한숨) 역병 때문에 할 일도 별로 없으니까.",M1Q3ANOBWOM,,,,,0,0
20688,Creature,Disgruntled Woman,"Merciful heavens, no. Well... there are the creatures at the zoo, of course. They have all been there since before the plague, however.","세상에, 아니야. 음... 동물원에 있는 생명체들이 있긴 하지. 하지만 역병 전부터 있던 것들이야.",M1Q3ANOBWOM,,,,,0,0
20689,Creature,Disgruntled Woman,"Nothing that you wouldn't have heard elsewhere, <sir/madam>. To be honest, what little chat I've had with the neighbours has been about anything *but* the plague.","다른 데서도 들었을 법한 얘기뿐이야, 선생. 솔직히 이웃들과 떠든 것도 죄다 역병 말고 다른 얘기였지.",M1Q3ANOBWOM,,,,,0,0
20690,Creature,Disgruntled Woman,"We nobles have been keeping to ourselves, mostly, but I do try to keep up on the latest gossip, if that's what you mean.","요즘 귀족들은 대체로 문 걸어 잠그고 지내지만, 소문은 챙겨 듣는 편이지. 그 말씀이라면.",M1Q3ANOBWOM,,,,,0,0
20691,Creature,Disgruntled Woman,Well... there is the business with Meldanen. But talking about him is never a good idea.,"음... 멜다넨 얘기가 있긴 한데, 그 사람 이야기는 하는 게 좋아 보이지 않군.",M1Q3ANOBWOM,,,,,0,0
20692,Creature,Disgruntled Woman,"Well, that girl Formosa is looking for people who will listen to her. She's down in the southeast square trying to stir up folks against Meldanen.",그 포르모사라는 아가씨가 자기 말을 들어줄 사람을 찾고 있어. 남동쪽 광장에서 멜다넨을 못마땅해하며 사람들을 부추기고 있지.,M1Q3ANOBWOM,,,,,0,0
20693,Creature,Disgruntled Woman,"I don't know. That tavern, the Board Laid Bare? It has quite a scandalous reputation, I hear.","모르겠군. 그 선술집, 적나라한 게시판 말인가? 꽤 선정적이라는 소문이 돌지.",M1Q3ANOBWOM,,,,,0,0
20694,Creature,Disgruntled Woman,"I'm looking for a housekeeper. Mine died of the plague, I hear. No good?",난 집사를 구하는 중이야. 내 사람은 역병으로 죽었다더군. 관심 없나?,M1Q3ANOBWOM,,,,,0,0
20695,Creature,Disgruntled Woman,Is there something else you wanted to know?,다른 게 더 궁금한가?,M1Q3ANOBWOM,,,,,0,0
20696,Creature,Disgruntled Woman,"<StartCheck>[Success]</Start> I suppose there's no way for the wizard to know, is there? Well... word is that Meldanen recently accquired a young woman for his amusement.","<StartCheck>[성공]</Start> 그 마법사가 알아챌 방법은 없겠지, 아마? ...그래, 들리는 말로는 멜다넨이 최근 재미를 보려고 젊은 여자를 들였대.",M1Q3ANOBWOM,,,,,0,0
20697,Creature,Disgruntled Woman,"He won't let her out, and the rumors say that she's rather strange... perhaps not quite human. The gods only know what he wants with her. Rather sordid business, no?","밖엔 못 나가게 하고, 소문으로는 조금 특이한 아가씨라던데... 완전히 인간은 아닐지도. 도대체 뭘 하려는 건지, 신들만 아실 일이지. 꽤 추잡하지, 안 그런가?",M1Q3ANOBWOM,,,,,0,0
20698,Creature,Disgruntled Woman,"<StartCheck>[Failure]</Start> It would do more harm than you know. Meldanen's a fearsome man... I wouldn't mind if he turned up dead one day, myself.",<StartCheck>[실패]</Start> 자네가 생각하는 것보다 더 큰 화를 부를 거야. 멜다넨은 무서운 사람이지... 언젠가 시체로만 나타난다면야 나도 불만은 없겠지만.,M1Q3ANOBWOM,,,,,0,0
20699,Creature,Disgruntled Woman,"Not that I've heard. Mind you, we nobles have been keeping to ourselves, lately. The zoo's in the northeast if you want to see for yourself.","내가 듣기론 없어. 뭐, 요즘은 다들 문 닫고 지내니까. 직접 보고 싶으면 북동쪽 동물원으로 가 보게.",M1Q3ANOBWOM,,,,,0,0
