StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
69327,Creature,Dorna Trapspringer,"Sarcasm, Mischa? I'm surprised at you.","빈정거리는거야, 미샤? 너답지 않은데.",X0_HEN_DOR,,,,,0,0
69333,Creature,Dorna Trapspringer,"I agree. I suspect you wouldn't say those things if Master Drogan were conscious, now, would you?","동의해. 드로건 스승님이 의식이 있었다면 그런 말은 안 했겠지, 그렇지?",X0_HEN_DOR,,,,,0,0
69335,Creature,Dorna Trapspringer,"Don't worry so much, Mischa. <FirstName> may not be correct... there may be hope for Master Drogan, yet.","너무 걱정하지 마, 미샤. <FirstName>가 틀렸을 수도 있어... 아직 드로건 스승님께 희망이 있을지 몰라.",X0_HEN_DOR,,,,,0,0
69337,Creature,Dorna Trapspringer,"I... don't know. 'Plan for the worst and hope for the best.' Wise words of Drogan, himself.",나... 잘 모르겠어. '최악을 대비하고 최선을 바라라.' 드로건 스승님 본인이 하신 지혜로운 말씀이야.,X0_HEN_DOR,,,,,0,0
69343,Creature,Dorna Trapspringer,"Don't worry so much, Mischa. You're needed here... just as we're needed to find those artifacts and stop whoever's behind all this.","너무 걱정하지 마, 미샤. 넌 여기서 필요해... 우리가 유물을 찾아서 이 일을 꾸민 자를 막아야 하는 것처럼.",X0_HEN_DOR,,,,,0,0
69350,Creature,Dorna Trapspringer,Now why didn't I say that?,"아, 그러게 왜 내가 그 말을 먼저 못 했지?",X0_HEN_DOR,,,,,0,0
69356,Creature,Dorna Trapspringer,"I'm sure we'll do everything we can to help Drogan, Mischa.","우린 드로건을 돕기 위해 가능한 건 다 할 거야, 미샤.",X0_HEN_DOR,,,,,0,0
69940,Creature,Dorna Trapspringer,"It will be alright, <FirstName>. I'll wait here and watch for your lead.","괜찮을 거야, <FirstName>. 난 여기서 기다리면서 네 지시를 기다릴게.",X0_HEN_DOR,,,,,0,0
70008,Creature,Dorna Trapspringer,Have you tried negotiating with them at all?,그들과 협상은 해 보았어?,X0_HEN_DOR,,,,,0,0
70011,Creature,Dorna Trapspringer,"I don't see why you don't just go in there and kill them. You outnumber them, don't you?",그냥 들어가서 끝내 버리면 안 되는 이유를 모르겠네. 우리 쪽이 수적으로 우세하지 않아?,X0_HEN_DOR,,,,,0,0
