StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
64898,Dialog,ECONSTANCE,"Did Ma let you in here? This is a bedroom, not a bar table, I'll have you know.","엄마가 여길 들여보냈나요? 여긴 침실이에요, 술집 테이블이 아니거든요.",M2Q3ECONSTANCE,m2q3e_constanca1,,,,0,0
64899,Dialog,ECONSTANCE,Well... a handsome stranger in the bedroom of the farmer's daughter. I wonder where such an encounter could lead?,음... 농부의 딸 침실에 잘생긴 나그네라니. 이 만남이 어디로 이어질지 궁금한데요?,M2Q3ECONSTANCE,m2q3e_constanca1,,,,0,0
64900,Dialog,ECONSTANCE,At long last and good riddance.,"드디어 가는군, 속이 다 후련하네.",M2Q3ECONSTANCE,,,,,0,0
64901,Dialog,ECONSTANCE,"Yes, yes. On your way.","그래, 그래. 얼른 가요.",M2Q3ECONSTANCE,,,,,0,0
64902,Dialog,ECONSTANCE,"Fare you well, then. Perhaps we'll speak again.",그럼 안녕히 가요. 어쩌면 또 얘기하게 될지도 모르죠.,M2Q3ECONSTANCE,,,,,0,0
64903,Dialog,ECONSTANCE,"Oh... I'm sorry. I shouldn't act that way. It's just that being one of the only young people for miles around... well, it gets so dull.",아... 미안해요. 그렇게 굴면 안 되는데. 이 주변에 또래가 거의 없다 보니... 너무 지루해서요.,M2Q3ECONSTANCE,,,,,0,0
64904,Dialog,ECONSTANCE,"I see. A little on the slow side, are we?",그렇군요. 한 박자 느린 편이네요?,M2Q3ECONSTANCE,,,,,0,0
64905,Dialog,ECONSTANCE,I'll answer your questions if you don't take too long...,오래 걸리지만 않으면 질문에 답해 드릴게요...,M2Q3ECONSTANCE,,,,,0,0
64906,Dialog,ECONSTANCE,I suppose I can answer a question for you. What might it be?,질문 하나쯤은 받아줄 수 있겠죠. 뭔가요?,M2Q3ECONSTANCE,,,,,0,0
64907,Dialog,ECONSTANCE,I'd be happy to answer a question or two. What do you want to know?,질문 한두 개쯤은 기꺼이 답해 드릴게요. 뭘 알고 싶어요?,M2Q3ECONSTANCE,,,,,0,0
64908,Dialog,ECONSTANCE,"Yes, I suppose a village idiot might be lost without a village, wouldn't <he/she>?","그래요, 마을이 없으면 마을의 바보도 길을 잃겠죠, 그렇지 않나요?",M2Q3ECONSTANCE,,,,,0,0
64909,Dialog,ECONSTANCE,Er... um... me?,에... 음... 제가요?,M2Q3ECONSTANCE,,,,,0,0
64910,Dialog,ECONSTANCE,Where do you need to go?,어디로 가야 하죠?,M2Q3ECONSTANCE,,,,,0,0
64911,Dialog,ECONSTANCE,(sigh) Make it quick.,(한숨) 빨리 말해요.,M2Q3ECONSTANCE,,,,,0,0
64912,Dialog,ECONSTANCE,"Around here? Don't hold your breath. If we can't grow it or make it ourselves, we have to trek all the way into Port Llast to find it.","이 근처요? 기대하지 마요. 우리가 키우거나 직접 만들 수 없는 건, 라스트 항구까지 먼 길을 가야 구할 수 있어요.",M2Q3ECONSTANCE,,,,,0,0
64913,Dialog,ECONSTANCE,"Nowhere really. Just into Charwood and I haven't seen anyone head that way in years. It's funny how the road never seems to grow over, though.","딱히요. 그냥 그을린숲으로 이어지는데, 그쪽으로 가는 사람은 몇 년째 못 봤어요. 그런데 길이 잡초로 덮이진 않더라니, 신기하죠.",M2Q3ECONSTANCE,,,,,0,0
64914,Dialog,ECONSTANCE,Follow it long enough and you'll make it all the way to Port Llast. That's the route we take on market day.,그 길을 쭉 따라가면 라스트 항구까지 가요. 장날에 우리가 다니는 길이죠.,M2Q3ECONSTANCE,,,,,0,0
64915,Dialog,ECONSTANCE,Is there something else?,다른 건요?,M2Q3ECONSTANCE,,,,,0,0
64916,Dialog,ECONSTANCE,Well there's always some sort of adventure to be had when you're this far from the rest of the world.,"글쎄요, 세상과 이렇게 떨어져 살다 보면 늘 뭔가 모험거리는 있죠.",M2Q3ECONSTANCE,,,,,0,0
64917,Dialog,ECONSTANCE,Well I suppose that's about as direct as one can get.,"음, 그만큼 직설적일 순 없겠네요.",M2Q3ECONSTANCE,,,,,0,0
64918,Dialog,ECONSTANCE,I'm not sure what you would find interesting. There's our farm and then the one Erik works with his pa. Not much more than that.,"뭘 재미있다 느낄지 잘 모르겠네요. 우리 농장, 그리고 에릭이 아버지랑 일하는 농장-그 정도뿐이죠.",M2Q3ECONSTANCE,,,,,0,0
64919,Dialog,ECONSTANCE,"You should talk to me pa. He's out watching over the cattle I'm sure. A helping hand is always welcome, what with the wolves and all.","우리 아버지랑 얘기해 보는 게 좋겠어요. 아마 소 떼 지키러 나가 계실 거예요. 늑대들 때문에 일이 많거든요, 도움이라면 언제든 환영이에요.",M2Q3ECONSTANCE,,,,,0,0
64920,Dialog,ECONSTANCE,Is there something else you wanted to know?,다른 게 더 궁금해요?,M2Q3ECONSTANCE,,,,,0,0
64921,Dialog,ECONSTANCE,You could help my pa out. I don't know if you would consider that interesting or not.,우리 아버지를 도와줄 수도 있겠죠. 재미있게 느낄지는 모르겠지만요.,M2Q3ECONSTANCE,,,,,0,0
64922,Dialog,ECONSTANCE,"Nothing like that, he's just had some problems with wolves lately. ","그런 건 아니고, 요즘 늑대 때문에 골치가 좀 아플 뿐이에요.",M2Q3ECONSTANCE,,,,,0,0
64923,Dialog,ECONSTANCE,You should go talk to him about it. He's probably somewhere outside doing chores. ,그 일은 아버지께 직접 얘기해 보세요. 아마 바깥 어딘가에서 일하고 계실 거예요.,M2Q3ECONSTANCE,,,,,0,0
64924,Dialog,ECONSTANCE,I might. What events are you referring to?,그럴지도요. 어떤 일을 말하는 거죠?,M2Q3ECONSTANCE,,,,,0,0
