StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
31802,Dialog,ELTRA,"Welcome to the shop, as I like to say. I am Eltoora Sarptyl, and not a finer collection of wares are you apt to find.",상점에 오신 것을 환영하네. 내가 즐겨 하는 인사지. 나는 엘투라 사프틸. 이만한 아이템 모음은 좀처럼 보기 어려울 걸세.,M2Q1A09ELTRA,,,,vs_feltoorf_055,0,0
31803,Dialog,ELTRA,"Why, I sell only the finest assortment of magical goods. Truly, you will find no better collection than mine.","나는 최상급의 마법 아이템만을 판다네. 진정, 내 모음보다 나은 곳은 없을 걸세.",M2Q1A09ELTRA,,,,,0,0
31804,Dialog,ELTRA,"Yes, this will do quite well. Come, let us take a look at what we have to offer you then, shall we?","좋아, 이 정도면 충분하군. 자, 그럼 우리 가게에서 무엇을 내놓을 수 있는지 함께 살펴보세.",M2Q1A09ELTRA,,,,,0,0
31805,Dialog,ELTRA,"What I sell? Hmm... do you always speak like that? Pardon me, I shouldn't be rude but my curiosity got the better of me.",내가 뭘 파느냐고? 흠... 항상 그렇게 말하나? 무례했다면 용서하게. 호기심이 앞섰군.,M2Q1A09ELTRA,,,,,0,0
31806,Dialog,ELTRA,"You may as well spill the question, and I'll see if I can figure out an answer for you.",궁금한 점을 털어놓게. 대답을 찾아줄 수 있는지 알아보지.,M2Q1A09ELTRA,,,,,0,0
31807,Dialog,ELTRA,"Well, okay then... we'll toss aside everything else, shall we?","좋아, 그럼... 다른 이야기는 이제 그만할까?",M2Q1A09ELTRA,,,,,0,0
31808,Dialog,ELTRA,"I wish you a good <quarterday>, <sir/madam>. Please come back again.","좋은 <quarterday> 보내게, 선생. 또 들르게.",M2Q1A09ELTRA,,,,,0,0
31809,Dialog,ELTRA,"A good <quarterday>, <sir/madam>. Come again.","좋은 <quarterday>(이)군, 선생. 또 오셨군.",M2Q1A09ELTRA,,,,,0,0
31810,Dialog,ELTRA,"Yes, yes. Goodbye. Come again.","그래, 그래. 안녕히. 또 오게나.",M2Q1A09ELTRA,,,,,0,0
31811,Dialog,ELTRA,"Yes, I have heard something. A knight - was it Sir Karathis? He was looking for someone to help him slay a werewolf, I think.","그래, 하나 들었네. 기사, 카라디스 경이었나? 누군가를 데려가 늑대인간을 잡으려 한다더군.",M2Q1A09ELTRA,,,,,0,0
31812,Dialog,ELTRA,"To be honest, that may have happened a few days ago or more; I pay little attention to such things. Is there something else?",솔직히 며칠 전 일이었을 수도 있네. 그런 건 대수롭지 않게 넘기는 편이라. 다른 볼일이 있나?,M2Q1A09ELTRA,,,,,0,0
31813,Dialog,ELTRA,"Well, well, well. I do indeed have a task for you. How do you feel about recovering some old tomes for me?","좋아, 알겠네. 자네에게 맡길 일이 있네. 오래된 비전서를 몇 권 회수하는 일이라면 어떤가?",M2Q1A09ELTRA,,,,,0,0
31814,Dialog,ELTRA,"Scattered about the region are the Five Tomes of Ancient Imaskar. I want you to find these tomes, and return them here to me.",이 지역 곳곳에 '고대 이마스카르의 다섯 비전서'가 흩어져 있지. 그 책들을 찾아 여기로 가져오게.,M2Q1A09ELTRA,m2q1a09eltrasc1,,,,0,0
