StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
28193,Dialog,ERB,"Why, hello there my pretty little peach. You certainly don't strike me as the normal variety of crone I've become accustomed to servicing. Who am I to look a gift horse in the mouth, though, eh?","오, 안녕하오, 내 예쁜 복숭아. 내가 늘 시중들던 평범한 늙은 마녀 같진 않군. 뭐, 공짜 선물을 마다할 내가 아니지, 응?",2Q4C_ERB,nw_d1_j_fetch01,,,vs_ngnomem1_057,0,0
28194,Dialog,ERB,"Ah, yet another young woman to chance upon the skills of a gnome in his prime!","아, 전성기의 노움 솜씨를 맛보게 된 또 한 명의 아가씨로군!",2Q4C_ERB,nw_d1_j_fetch01,,,vs_ngnomem1_058,0,0
28195,Dialog,ERB,"Hmmm. I see the streets of Luskan are scraping the bottom of the barrel again when it comes to the availability of women in search of a good gnome. No matter! I've taken on more difficult jobs in my lifetime, let me tell you!","흐음. 러스칸 거리에 '좋은 노움'을 찾는 여인네 수급이 또 바닥났나 보군. 뭐, 상관없지! 내 평생 그보다 어려운 일도 해 봤다네!",2Q4C_ERB,nw_d1_j_fetch01,,,vs_ngnomem1_059,0,0
28196,Dialog,ERB,"How sweet. You've come back to bask in the glow of gnome in his prime, have you?","어휴, 감동이네. 내 최전성기의 빛을 쬐러 돌아온 건가?",2Q4C_ERB,,,,vs_ngnomem1_054,0,0
28197,Dialog,ERB,"Back again, are you? They all come back to me eventually... even the bounty hunters, though we won't get into that.",다시 왔구먼? 전부들 결국엔 내게 돌아온다지... 현상금 사냥꾼들까지도. 그 얘긴 접어두고.,2Q4C_ERB,,,,vs_ngnomem1_055,0,0
28198,Dialog,ERB,"How goes the search? Tell me you have the ring... my third toe has been itching like mad, and that means all this fighting could stop at any second.","수색은 어때? 반지는 찾았나... 내 셋째 발가락이 미치도록 가려운데, 그건 싸움이 언제든 끝날 수 있다는 징조라서 말이야.",2Q4C_ERB,,,,vs_ngnomem1_053,0,0
28199,Dialog,ERB,I really must be going... there's a bread box down in Mirabar with my name on it.,이만 가봐야겠군... 미라바르에 내 이름이 씌어진 빵 상자가 날 기다리고 있거든.,2Q4C_ERB,,,,vs_ngnomem1_052,0,0
28200,Dialog,ERB,"Farewell, good <sir/madam>. May fortune smile upon you always.","안녕히 가세요, 선생님. 언제나 행운이 함께하길.",2Q4C_ERB,,,,,0,0
28201,Dialog,ERB,"Farewell to you then, <sir/madam>.","그럼 안녕히, 선생님.",2Q4C_ERB,,,,,0,0
28202,Dialog,ERB,"Erb Jansen's the name, of the Culver Jansens originally... but, then, that branch of the family are really exiles from the Thunder Mountain Jansen clan, so perhaps I shouldn't be bragging about it.","이름은 어브 얀센. 원래는 컬버의 얀센 가문 출신이지... 다만 그 갈래도 사실 천둥산의 얀센 씨족에서 추방된 자들이라, 자랑할 일인지는 모르겠군.",2Q4C_ERB,,,,,0,0
28203,Dialog,ERB,"Still, it's quite a tale how my family made its terrible trek all the way to Culver. Nary a turnip to be found on that trip, let me tell you. Even more remarkable is how I ended up in this job, considering my former career as a chest connoisseur.","하여튼 우리 집안이 컬버까지 비참한 여정을 했던 사연은 길어. 그 길에 순무 한 알도 못 봤다니까. 더 놀라운 건, 내가 예전에 '명기 감식가'로 일했는데 이렇게 이 직업에 오게 됐다는 사실이지.",2Q4C_ERB,,,,,0,0
28204,Dialog,ERB,"Naturally. Everyone does, you know.",그럼그럼. 다들 그렇다네.,2Q4C_ERB,,,,,0,0
28205,Dialog,ERB,"I know that the military leaders of the city, those High Captains, are all trying to kill each other and take over. Beyond that I haven't a clue... I'm not the most political gnome this side of the Anauroch, you know.","도시의 군사 지도자들, 그 대선장들이 서로 죽이려 들며 장악하려는 건 나도 알아. 그 밖에는 전혀 몰라... 난 이쪽 아나우록에서는 그리 정치적인 노움이 아니거든.",2Q4C_ERB,,,,,0,0
28206,Dialog,ERB,"There's not much more for me to say. My apologies... I'm usually more talkative, it's just that I'm so upset right now.","더 할 말은 많지 않네. 미안하군... 평소엔 말이 많은 편인데, 지금은 너무 속이 상해서.",2Q4C_ERB,,,,,0,0
28207,Dialog,ERB,"Very well, I suppose I can try to help you out. Where exactly do you need directions to?","좋아, 도와보지. 정확히 어디로 길을 묻겠나?",2Q4C_ERB,,,,,0,0
