StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
83923,Dialog,EVILNYMPH,"""How dare you invade my sanctum!""","""감히 내 성소를 침범하다니!""",Q2EVILNYMPH,q2bgolem_attonen,,,vs_nx2fairf_50,0,0
83924,Dialog,EVILNYMPH,"""Enough, please! Allow me to surrender, I beg of you!""","""그만, 제발! 항복할게, 부탁이야!""",Q2EVILNYMPH,q2fairy10x,,,vs_nx2fairf_51,0,0
83925,Dialog,EVILNYMPH,"The fairy shies away from you as you approach, obviously fearful that you will finish what you have started. ""What a pitiful end to all this,"" she murmurs, her voice forlorn.","당신이 다가가자 요정이 움츠러듭니다. 시작한 일을 끝낼까 두려워하는 게 분명합니다. ""이 모든 것의 허망한 끝이라니,"" 그녀가 쓸쓸한 목소리로 중얼거립니다.",Q2EVILNYMPH,act_q2bogre_1,,,vs_nx2fairf_52,0,0
83926,Dialog,EVILNYMPH,"She looks at you with sudden anger. ""Tell me, what does it cost to retain the services of someone so powerful? What did that oafish ogre promise you?""","그녀가 갑자기 분노를 띠며 당신을 바라봅니다. ""말해봐, 그렇게 강한 사람을 고용하려면 뭘 줘야 하지? 그 멍청한 오우거가 뭘 약속했어?""",Q2EVILNYMPH,q2fairy10x,,,vs_nx2fairf_53,0,0
83927,Dialog,EVILNYMPH,"She looks at you with sudden anger. ""Tell me, what does it cost to retain the services of someone so powerful? What did that oafish ogre promise you?""","그녀가 갑자기 분노를 띠며 당신을 바라봅니다. ""말해봐, 그렇게 강한 사람을 고용하려면 뭘 줘야 하지? 그 멍청한 오우거가 뭘 약속했어?""",Q2EVILNYMPH,,,,vs_nx2fairf_53,0,0
94595,Dialog,EVILNYMPH,"""You mean you do not know?"" Her incredulous look quickly turns suspicious. ""Or are you playing with me now? I am already defeated, you need not toy with me.""","""모른다는 거야?"" 그녀의 믿기 어렵다는 표정이 금세 의심으로 바뀝니다. ""아니면 지금 나를 가지고 노는 거야? 이미 졌어, 나를 갖고 놀 필요 없어.""",Q2EVILNYMPH,,,,,0,0
94596,Dialog,EVILNYMPH,"The fairy sighs heavily. ""So you are here by chance, then. Yet another adventurer passing through Halaster's maze.""","요정이 깊은 한숨을 쉽니다. ""그럼 우연히 여기 온 거구나. 할라스터의 미궁을 지나가는 또 다른 모험가.""",Q2EVILNYMPH,,,,,0,0
94597,Dialog,EVILNYMPH,"""So I am undone, and the ogre wins the day. How unfortunate. Do what you will with me then, I care not. Death would be welcome.""","""결국 난 망했고, 오우거가 이긴 거네. 참 안됐어. 나한테 뭘 해도 상관없어. 차라리 죽는 게 나아.""",Q2EVILNYMPH,,,,,0,0
94598,Dialog,EVILNYMPH,"The fairy's eyes go wide in fear for a moment and she backs away from you several steps. She seems near tears. ""How humiliating that an agent of that ogre could do this to me,"" she mumbles.","요정의 눈이 잠시 공포로 커지고 당신에게서 몇 걸음 물러납니다. 눈물이 나올 것 같아 보입니다. ""그 오우거의 부하가 나한테 이런 짓을 하다니 굴욕적이야,"" 그녀가 중얼거립니다.",Q2EVILNYMPH,,,,,0,0
94599,Dialog,EVILNYMPH,"The fairy eyes you carefully for a long moment, and then smiles in a seductive manner. Her hand catches your attention as she runs in along her thigh slowly.","요정이 오랫동안 당신을 조심스럽게 살피다가 유혹적인 미소를 짓습니다. 그녀의 손이 천천히 허벅지를 따라 움직이며 당신의 시선을 끕니다.",Q2EVILNYMPH,q2bnymph02,,,,0,0
