StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
70114,Dialog,FBLACKSMITH,"Ah, one of Drogan's students! Always nice to see your young face in here. Now, which one are you again?","아, 드로건의 학생 중 한 명이군! 젊은 얼굴을 보니 늘 반가워. 그런데, 누구였더라?",Q1FBLACKSMITH,,,,,0,0
70115,Dialog,FBLACKSMITH,"I am kidding, <FirstName>! Do not get such a sour face; I have not forgotten you. I am not so old as all that. Now, are you here to buy something, or just for a visit?","농담이야, <FirstName>! 그렇게 시무룩하지 마. 너를 잊은 건 아니야. 아직 그렇게까지 늙지는 않았어. 그런데, 뭔가 사러 온 거야, 아니면 그냥 놀러온 거야?",Q1FBLACKSMITH,act_fiona_1,,,,0,0
70116,Dialog,FBLACKSMITH,"Do be careful out there. I have seen dark times before, and I think they are back again.",밖에 나가면 조심해. 전에도 어두운 시절을 본 적이 있는데 다시 돌아온 것 같아.,Q1FBLACKSMITH,,,,,0,0
70117,Dialog,FBLACKSMITH,I am always willing to visit with a friendly customer. What would you like to know?,친절한 손님과는 언제든 얘기할 수 있어. 뭐가 알고 싶어?,Q1FBLACKSMITH,,,,,0,0
70118,Dialog,FBLACKSMITH,<StartCheck>[Failure]</Start>A bloody tax already? Why that... wait a minute. There has been no time for any decisions about that. You just made that up!,<StartCheck>[실패]</Start>벌써 세금이라고? 저런... 잠깐. 그런 결정이 날 시간도 없었잖아. 방금 지어낸 거지!,Q1FBLACKSMITH,act_fiona_19,,,,0,0
70119,Dialog,FBLACKSMITH,"Ha, ha, ha! Oh my, that was a good one, <FirstName>. You really had me going there for a minute. What a funny <boy/girl> you are. Now was there anything else?","하하하! 이런, 잘 속였네, <FirstName>. 정말 잠깐 넘어갈 뻔했어. 참 재밌는 <boy/girl>(이)야. 그럼 다른 건 없어?",Q1FBLACKSMITH,,,,,0,0
70120,Dialog,FBLACKSMITH,"<StartCheck>[Success]</Start> A bloody tax already? Why I ought to go over to the hall and wring Shuttlescombe's neck! No good mayor, always trying to find new taxes!","<StartCheck>[성공]</Start>벌써 세금이라고? 당장 홀로 가서 셔틀스콤 목을 비틀어야겠어! 쓸모없는 촌장 양반이, 항상 새 세금만 만들어 내려고 하지!",Q1FBLACKSMITH,act_fiona_19,,,,0,0
70121,Dialog,FBLACKSMITH,"Well, he is not getting any from me. I paid my defense tax when I paid my regular tax, and you can tell Shuttlescombe that I said so! Ah, that makes me so mad!","글쎄, 나한테서는 한 푼도 못 받아. 정기 세금 낼 때 방어세도 냈고, 그렇게 말했다고 셔틀스콤한테 전해 줘! 아, 정말 화나네!",Q1FBLACKSMITH,,,,,0,0
70122,Dialog,FBLACKSMITH,"Well, it is not your fault, <FirstName>. I will not blame you, but next time I see the mayor, he'll be hearing my voice alright. What else can I do for you?","뭐, 네 잘못은 아니야, <FirstName>. 너를 탓하진 않을게. 하지만 다음에 촌장을 보면 내 목소리를 똑똑히 듣게 될 거야. 또 뭘 도와줄까?",Q1FBLACKSMITH,,,,,0,0
70123,Dialog,FBLACKSMITH,"Ha! One ran in here, and got its brains dashed out by my hammer and then I threw the corpse outside. That was the last I saw of any kobolds.",하! 한 놈이 여기로 뛰어들어왔는데 내 망치에 뇌가 박살났지. 그리고 시체를 밖으로 내던졌어. 그게 코볼트를 본 마지막이야.,Q1FBLACKSMITH,,,,,0,0
