StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
42778,Dialog,FDEATH,"Greetings, <FirstName>. Aribeth has instructed me to provide whatever assistance I can in your mission to recover the missing Waterdhavian creatures.","안녕하세요, <FirstName>. 아리베스 경이 실종된 워터딥의 생명체들을 되찾는 임무에 필요한 모든 지원을 하라고 지시하셨습니다.",M1Q1FDEATH,,,,,0,0
42779,Dialog,FDEATH,Ah. You have awakened. I need to speak with you. ,아. 깨어나셨군요. 드릴 말씀이 있습니다.,M1Q1FDEATH,,,,,0,0
42780,Dialog,FDEATH,You're lucky to be alive. We barely managed to bring you back; your soul had nearly departed to the afterlife. ,살아 계신 게 다행입니다. 간신히 되살렸어요. 영혼이 거의 저승으로 떠날 뻔했습니다.,M1Q1FDEATH,,,,,0,0
42781,Dialog,FDEATH,"Hmmm. I thought you would have been familiar with this process. No matter, I can explain it to you.","흠. 이 과정에 익숙하실 줄 알았는데. 상관없습니다, 설명해 드리지요.",M1Q1FDEATH,,,,,0,0
42782,Dialog,FDEATH,"You are one of Aribeth's most important agents. After what happened at the Academy, she wants me to keep watch over you personally. ","당신은 아리베스 경의 가장 중요한 요원 중 한 분입니다. 사관학교에서 일어난 일 이후로, 그녀가 저더러 직접 지켜보라고 하셨습니다.",M1Q1FDEATH,,,,,0,0
42783,Dialog,FDEATH,"Before your mission started I cast a Word of Recall spell upon you, so that whenever you become mortally wounded I can immediately teleport you here to safety. ","임무가 시작되기 전에 귀환의 언어 주문을 걸어두었습니다. 그래서 치명상을 입으시면 즉시 이곳으로 순간 이동시켜 드릴 수 있습니다.",M1Q1FDEATH,,,,,0,0
42784,Dialog,FDEATH,"Just now, some enemy must have struck you a near fatal blow, and so the spell's contingency magics activated and whisked you away to safety. ","방금 어떤 적이 거의 치명적인 일격을 가했고, 그래서 주문의 비상 마법이 발동되어 안전한 곳으로 데려온 겁니다.",M1Q1FDEATH,,,,,0,0
42785,Dialog,FDEATH,"As soon as your battered body appeared, the other clerics here called upon the healing power of Tyr to bring you back from the brink of death. ","만신창이가 된 몸이 나타나자마자, 이곳의 다른 성직자들이 티르의 치유력을 빌어 죽음의 문턱에서 당신을 되돌려 놓았습니다.",M1Q1FDEATH,,,,,0,0
42786,Dialog,FDEATH,You are now as ready as you'll ever be to continue with your mission. The Recall spell will activate again if you are dealt another fatal blow. ,이제 임무를 계속할 만큼 충분히 회복되셨습니다. 다시 치명타를 입으시면 귀환 주문이 또 발동됩니다.,M1Q1FDEATH,,,,,0,0
42787,Dialog,FDEATH,"I can't do that, <FirstName>. You are too important. Neverwinter has need of your skills if we're ever to find the missing creatures. We can't risk an untimely demise.","그건 안 됩니다, <FirstName>. 당신은 너무 중요한 분입니다. 실종된 생명체들을 찾으려면 네버윈터에 당신의 기술이 필요합니다. 때아닌 죽음의 위험을 감수할 수 없습니다.",M1Q1FDEATH,,,,,0,0
42788,Dialog,FDEATH,"I can help you return to the site of your last battle, but are you sure you want to go back so soon? ","마지막 전투 장소로 돌아가는 것을 도와드릴 수 있지만, 정말 이렇게 빨리 돌아가시겠습니까?",M1Q1FDEATH,,,,,0,0
42789,Dialog,FDEATH,"Farewell, <FirstName>. May the grace of Tyr be with you. ","안녕히 가세요, <FirstName>. 티르의 은총이 함께하기를.",M1Q1FDEATH,,,,,0,0
42790,Dialog,FDEATH,"Whatever you were fighting will still be there. It would be wiser to find a way to avoid this confrontation, or at least to arm yourself better with supplies from some of the shops in the City Core.","싸우던 것이 여전히 거기 있을 겁니다. 이 대치를 피할 방법을 찾거나, 최소한 시내 중심가의 상점에서 물품을 구해 더 잘 무장하는 게 현명할 겁니다.",M1Q1FDEATH,,,,,0,0
42791,Dialog,FDEATH,As you wish. I can use my magic to return you to the site you just came from. This will return you to your last battle. Are you ready? ,뜻대로 하시지요. 제 마법으로 방금 오신 장소로 돌려보내 드릴 수 있습니다. 마지막 전투 장소로 돌아가게 됩니다. 준비되셨습니까?,M1Q1FDEATH,,,,,0,0
42792,Dialog,FDEATH,"As you wish. Prepare yourself, <FirstName>.","뜻대로 하시지요. 준비하세요, <FirstName>.",M1Q1FDEATH,,,,,0,0
42793,Dialog,FDEATH,"I am Sergol, a priest of Tyr. It is my duty to aid and assist those in the service of Neverwinter.","저는 티르의 성직자 세르골입니다. 네버윈터를 위해 봉사하는 이들을 돕는 것이 제 임무입니다.",M1Q1FDEATH,,,,,0,0
42794,Dialog,FDEATH,"The spell doesn't require your presence. I simply needed to know your full name, which Aribeth provided.","주문에 당신의 참석은 필요 없습니다. 단지 본명만 알면 되는데, 아리베스 경이 알려주셨습니다.",M1Q1FDEATH,,,,,0,0
57018,Dialog,FDEATH,"However, my magic is not of a healing nature. My skills are tied to the teleportation portal in this temple and the Stone of Recall in your backpack. Is there something I can do for you, <FirstName>?","다만 제 마법은 치유 계통이 아닙니다. 제 기술은 이 신전의 순간 이동 차원문과 당신 배낭에 있는 귀환석에 연결되어 있습니다. 도와드릴 일이 있으신가요, <FirstName>?",M1Q1FDEATH,,,,,0,0
57019,Dialog,FDEATH,You should speak to one of the other clerics. My abilities are tied strictly to the Stone of Recall in your backpack and the teleportation portal.,다른 성직자에게 말씀하셔야 합니다. 제 능력은 배낭의 귀환석과 순간 이동 차원문에만 연결되어 있거든요.,M1Q1FDEATH,,,,,0,0
