StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37634,Dialog,FRMER,"Hello, <lad/lass>. You best be careful treadin' the road 'round these parts. A dangerous place, these days. Listen to old Gerrol.","안녕, <lad/lass>. 이 근처 길을 다닐 땐 조심해야 해. 요즘엔 위험한 곳이거든. 늙은 게롤의 말을 들어봐.",M2Q5A04FRMER,,,,vs_nfarmem1_053,0,0
37635,Dialog,FRMER,"The hills in this area are home to creatures of all sorts... bugbears, goblins and the like. Normally they don't trouble us much. Since Luskan stopped patrolling the area, mind you, they've become plenty brave.","이 지역 언덕은 온갖 종류의 생명체들이 살고 있지... 버그베어, 고블린 같은 것들 말이야. 보통은 우리를 별로 괴롭히지 않았어. 하지만 러스칸이 순찰을 중단한 이후로, 놈들이 꽤 대담해졌지.",M2Q5A04FRMER,,,,,0,0
37640,Dialog,FRMER,A pleasure meeting you. Good luck in your travels.,만나서 반가웠어. 여행에 행운이 함께하길.,M2Q5A04FRMER,,,,,0,0
37641,Dialog,FRMER,"It's not much farther to the north, <lad/lass>. Just keep on the road an' you'll find it, sure enough.","북쪽으로 조금만 더 가면 돼, <lad/lass>. 길을 따라가면 틀림없이 찾을 수 있어.",M2Q5A04FRMER,,,,,0,0
37642,Dialog,FRMER,"Well, the closest inn would the Alliance Arms Inn in Port Llast. That shouldn't take you too much time to get to.","음, 가장 가까운 여관은 라스트 항구의 연합군 여관일 거야. 거기까지는 그리 오래 걸리지 않을걸.",M2Q5A04FRMER,,,,,0,0
37643,Dialog,FRMER,"Most pleased to see you again, friend. Things are just about to right with Leah's return to the farm. To think, I thought her dead for sure.","다시 만나서 정말 반갑네, 친구. 리아가 농장으로 돌아와서 모든 게 거의 제자리를 찾았지. 죽은 줄 알았는데 말이야.",M2Q5A04FRMER,,,,vs_nfarmem1_051,0,0
37644,Dialog,FRMER,"I'll be forever grateful for what you've done for the area, too. It's safe once more. You and yours are always welcome at our humble farm.",이 지역을 위해 해준 일에도 영원히 감사할 거야. 이제 다시 안전해졌어. 자네와 자네 일행은 우리의 보잘것없는 농장에 언제든 환영이야.,M2Q5A04FRMER,,,,,0,0
37645,Dialog,FRMER,"Well, hello to you. Were you the one I told about them monsters bothering us around here - the ones who took my wife, Leah? Do you bring word?","오, 안녕. 이 근처에서 우릴 괴롭히는 괴물들 - 내 아내 리아를 데려간 놈들 - 에 대해 말했던 사람이 자네였나? 소식이라도 가져왔나?",M2Q5A04FRMER,,,,vs_nfarmem1_055,0,0
37646,Dialog,FRMER,"Hello, <lad/lass>. I'd warn you to be careful of danger near these roads. You look like you can handle yourself but better safe than sorry. Listen to old Gerrol, then and watch out.","안녕, <lad/lass>. 이 길 근처의 위험을 조심하라고 경고하고 싶네. 자네는 스스로를 돌볼 수 있어 보이지만, 조심해서 나쁠 건 없지. 늙은 게롤의 말을 들어보게나.",M2Q5A04FRMER,,,,vs_nfarmem1_052,0,0
37649,Dialog,FRMER,"Other than that, the only inn I can think of would be the Green Griffon Inn outside of Luskan, to the north past the hills.","그 외에는, 떠올릴 수 있는 유일한 여관은 러스칸 밖에 있는 푸른 그리핀 여관이야. 언덕을 지나 북쪽이지.",M2Q5A04FRMER,,,,,0,0
