StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
75685,Creature,Furten,Furten,퍼튼,Q1_FURTEN|Q2_FURTEN,,,,,0,0
80341,Creature,Furten,"You know we're still a week away from the encampment, brother. And that's with good weather.","야영지까지 아직 일주일 남았잖아, 형. 날씨 좋을 때 말이야.",Q1_FURTEN,,,,,0,0
80343,Creature,Furten,"Yes, well, I don't like it either. But those Ao fellows do throw a good party.","그래, 나도 싫어. 하지만 에이오 녀석들 파티는 끝내주거든.",Q1_FURTEN,,,,,0,0
80344,Creature,Furten,"Sand. It's everywhere, you know.","모래야. 진짜 어디든 있다니까.",Q1_FURTEN,,,,,0,0
80346,Creature,Furten,"Yes, there too. Sorry... my brother gets a bit fidgety in the desert.","응, 거기도. 미안... 형이 사막만 오면 좀 불안해해.",Q1_FURTEN,,,,,0,0
80347,Creature,Furten,Now that's not a very nice thing to say to <him/her>.,그건 <him/her>한테 할 말이 아니잖아.,Q1_FURTEN,,,,,0,0
80349,Creature,Furten,"Oh, well *excuse me* for mis-hearing you, Mister Mumbley-pants.","오, 잘못 들은 거 *실례했네요*, 우물우물 씨.",Q1_FURTEN,,,,,0,0
80350,Creature,Furten,The desert's not so bad. You always gripe when we're passing through.,사막이 그렇게 나쁘진 않아. 형은 지나갈 때마다 투덜대잖아.,Q1_FURTEN,,,,,0,0
80352,Creature,Furten,"Okay, them scorpion fellows aside. It could have been beholders... remember the beholders?","좋아, 그 전갈 놈들 빼고. 주시자였을 수도 있잖아... 주시자 기억나?",Q1_FURTEN,,,,,0,0
80353,Creature,Furten,"Don't mind him. He had a bit o' bad soup last night. Was belchin' something fierce, let me tell you.","신경 쓰지 마. 어젯밤 수프가 상했거든. 트림을 얼마나 하던지.",Q1_FURTEN,,,,,0,0
80355,Creature,Furten,Oh. Well I don't think <he/she> wants to hear *that*.,오. 글쎄 <he/she>가 *그 얘기*까지 듣고 싶을 것 같진 않은데.,Q1_FURTEN,,,,,0,0
80357,Creature,Furten,He says you have our thanks for finding the guide. Now we can leave.,형이 안내인을 찾아줘서 고맙대. 이제 출발할 수 있겠어.,Q1_FURTEN,,,,,0,0
80359,Creature,Furten,"Well, yes I told <him/her>. Didn't you hear me tell <him/her>?","그래, 내가 <him/her>한테 말했잖아. 내가 <him/her>한테 말하는 거 못 들었어?",Q1_FURTEN,,,,,0,0
80361,Creature,Furten,Oh. He says you're not so bad... even if you're not a halfling. High praise from him.,오. 형이 나쁘지 않은 사람이래... 하플링이 아니어도. 형한테선 대단한 칭찬이야.,Q1_FURTEN,,,,,0,0
80362,Creature,Furten,"Oh. He says that you're one of the bravest halflings he's ever met. Not bad, coming from Mr. Grumpy, here.","오. 형이 지금까지 만난 하플링 중 가장 용감한 편이래. 여기 투덜이 씨한테서 나온 말치곤 나쁘지 않지.",Q1_FURTEN,,,,,0,0
80461,Creature,Furten,"You don't suppose we'll see some Asabi again, do you?","아사비를 또 만나진 않겠지, 그치?",Q1_FURTEN,,,,,0,0
80463,Creature,Furten,"Okay, okay, forget I mentioned it. My brother has this *thing* against them Asabi. Just because they tried to eat him once. Pfft.","알았어, 알았어, 잊어. 형은 아사비한테 *앙심*이 있어. 한 번 잡아먹히려고 해서. 쯧.",Q1_FURTEN,,,,,0,0
80464,Creature,Furten,Blech. I got sand in my mouth. Again.,웩. 입에 모래가 들어갔어. 또.,Q1_FURTEN,,,,,0,0
80466,Creature,Furten,"Hmm. Come to think of it, you're right, brother. That *does* taste like last night's soup, doesn't it?","흠. 생각해보니 맞네, 형. 어젯밤 수프 맛이랑 *똑같아*, 그치?",Q1_FURTEN,,,,,0,0
80467,Creature,Furten,Crimeny! I wonder how long the trip through the desert's going to be this time!,세상에! 이번엔 사막 여행이 얼마나 걸릴지 모르겠네!,Q1_FURTEN,,,,,0,0
80469,Creature,Furten,"Shush, you. I don't need to hear that kind of talk when we still got more than a week to go.","쉿, 형. 아직 일주일 넘게 남았는데 그런 소리 하지 마.",Q1_FURTEN,,,,,0,0
80470,Creature,Furten,"I suppose you'll be trying to find that guide, then, hey?","그럼 그 안내인을 찾으러 갈 거지, 응?",Q1_FURTEN,,,,,0,0
80472,Creature,Furten,"He may still be alive, brother. You have to try and think positive.","아직 살아있을 수도 있어, 형. 긍정적으로 생각해봐.",Q1_FURTEN,,,,,0,0
80473,Creature,Furten,"What are the chances that guide's still alive, you think?","안내인이 아직 살아있을 확률이 얼마나 될까?",Q1_FURTEN,,,,,0,0
80475,Creature,Furten,"True. If it had been the Asabi, like my brother said, then the guide would be a goner for sure. Lizard folk having funny tastes and all.","맞아. 형 말대로 아사비였으면 안내인은 끝장이지. 도마뱀 족속들 입맛이 좀 그렇잖아.",Q1_FURTEN,,,,,0,0
80476,Creature,Furten,That poor guide. Torias says they'll be sucking all the juices out of him before morning comes.,불쌍한 안내인. 토리아스 말로는 아침 되기 전에 진액을 다 빨릴 거래.,Q1_FURTEN,,,,,0,0
80478,Creature,Furten,Really? I'm not so sure I'd want to see that.,정말? 난 그거 보고 싶은지 잘 모르겠는데.,Q1_FURTEN,,,,,0,0
80479,Creature,Furten,"Well, now, isn't that the guide there?","어, 저기 안내인 아니야?",Q1_FURTEN,,,,,0,0
80481,Creature,Furten,"Sure it is. And he doesn't have any of his inner juices sucked out at all. Are you sure you're the guide we started out with, you?","맞네. 그리고 진액도 안 빨렸잖아. 우리랑 같이 출발한 그 안내인 맞아?",Q1_FURTEN,,,,,0,0
80483,Creature,Furten,"Huh. Well, go figure.","허. 그래, 신기하네.",Q1_FURTEN,,,,,0,0
80484,Creature,Furten,"Aren't we leaving yet? The guide's back now, isn't he?","아직 안 떠나? 안내인 돌아왔잖아, 그치?",Q1_FURTEN,,,,,0,0
80486,Creature,Furten,"Quiet, you. The sooner we get underway, the sooner we'll get to the Ao encampment.","조용해, 형. 빨리 출발할수록 빨리 에이오 야영지에 도착하지.",Q1_FURTEN,,,,,0,0
