StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
15938,Dialog,GEN2,"Well hello there. You seem to be of noble blood, like me. We must stick together in these horrible times, don't you think, my fine-mannered friend?","어서 오세요. 저처럼 귀족 혈통으로 보이시네요. 이런 끔찍한 시국에 우리끼리 뭉쳐야 하지 않겠어요, 예의 바른 친구분?",M1Q1A00GEN2,,,,,0,0
15939,Dialog,GEN2,Yes? Is there something you require? Please do be brief as your unwashed appearance leaves me to worry what infections you might be carrying... ,네? 필요하신 게 있으신가요? 간단히 말씀해 주세요. 씻지 않은 외모를 보니 무슨 병균을 옮기실지 걱정되네요...,M1Q1A00GEN2,,,,,0,0
15940,Dialog,GEN2,"Can you not see that I am in the midst of mourning? Show some respect for your betters, both living and dead!","지금 제가 애도 중인 게 안 보이세요? 살아 있는 사람이든 죽은 사람이든, 상급자에게 예의를 보여주세요!",M1Q1A00GEN2,,,,,0,0
15941,Dialog,GEN2,"I will comply, though it appears I will have to eschew my natural preference for proper grammar.","따르긴 하겠지만, 제가 좋아하는 올바른 문법은 포기해야 할 것 같네요.",M1Q1A00GEN2,,,,,0,0
15942,Dialog,GEN2,I suppose one still needs to breathe amidst one's mourning - Perhaps in helping you I am also helping my friends' spirits find their rest.,애도 중에도 숨은 쉬어야겠죠. 당신을 돕는 것이 제 친구들의 영혼이 안식을 찾는 데 도움이 될지도 모르겠네요.,M1Q1A00GEN2,,,,,0,0
15943,Dialog,GEN2,"I have lost my two closest friends to it already. The Helmites say they must be cremated rather than buried - but they did the Blacklake proud, at least... ",이미 가장 친한 친구 두 명을 역병으로 잃었어요. 헬름 신도들은 매장이 아니라 화장해야 한다고 하더군요. 하지만 적어도 검은호수를 빛나게 했어요...,M1Q1A00GEN2,,,,,0,0
15944,Dialog,GEN2,"The great unwashed have been kept ignorant of bungled efforts by city officials to contain the disease, and for good reason.",도시 관리들이 질병을 억제하려고 실패한 노력들은 서민들에게 숨겨져 있어요. 그럴 만한 이유가 있죠.,M1Q1A00GEN2,,,,,0,0
15945,Dialog,GEN2,"I even heard the area has fallen under the control of gangs of thugs and pirates, though whether this is true or simply an exaggeration I couldn't say.","그 지역이 갱단과 해적들의 손에 넘어갔다는 소문도 들었는데, 사실인지 과장인지는 모르겠네요.",M1Q1A00GEN2,,,,,0,0
15946,Dialog,GEN2,"I may share the race of your birth, but we are worlds apart. Still, these troubled times make strange allies of us all. ","태생은 같은 종족이지만, 우리는 완전히 다른 세계에 살고 있죠. 그래도 이런 혼란스러운 시기엔 이상한 동맹도 생기는 법이에요.",M1Q1A00GEN2,,,,,0,0
15947,Dialog,GEN2,Components for a cure were lost to an attack. Can you imagine the panic if people knew that someone is actually fighting against the cure?,치료약 재료가 공격으로 인해 사라졌어요. 누군가 실제로 치료를 방해하고 있다는 걸 사람들이 알면 얼마나 공황 상태가 될지 상상이 가세요?,M1Q1A00GEN2,,,,,0,0
