StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50778,Dialog,GEND,I must speak to you.,자네와 얘기해야 하네.,M0Q01A15GEND,,,,vs_nnwgrdm2_say,0,0
50779,Dialog,GEND,Many fierce enemies await you beyond this door. You will need to draw upon all you have learned here at the Academy to survive.,이 문 너머엔 강력한 적들이 기다리고 있네. 살아남으려면 사관학교에서 배운 모든 걸 동원해야 할 걸세.,M0Q01A15GEND,m1q0dgendslg01,,,vs_nnwgrdm2_050,0,0
50780,Dialog,GEND,"You have gained much experience, <FirstName>, but to put that experience to use I must first teach you how to level up. Leveling up is how you gain access to greater hit points, skills, feats and spells.","많은 경험을 쌓았군, <FirstName>. 하지만 그 경험을 활용하려면 먼저 레벨업 방법을 가르쳐야겠네. 레벨업으로 더 많은 생명점, 기술, 재주, 주문을 얻을 수 있지.",M0Q01A15GEND,m0q01a15gendelc1,,,,0,0
50781,Dialog,GEND,Then we shall begin the lesson.,그럼 수업을 시작하지.,M0Q01A15GEND,,,,,0,0
50782,Dialog,GEND,To level up you must first access your character record sheet. Don't do this now or you'll end our conversation. You'll have to listen to the instructions then try it when we're done speaking.,레벨업하려면 먼저 캐릭터 기록지에 접근해야 하네. 지금 하면 대화가 끝나니 하지 말게. 설명을 듣고 대화가 끝난 후에 시도하게.,M0Q01A15GEND,,,,,0,0
50783,Dialog,GEND,"You can access your character sheet by pressing ""C"" on your keyboard, by left-clicking the CHAR box beneath your portrait or through the menu. Remember, you'll have to wait until after our conversation is over to do this. Are you ready to continue?","키보드에서 'C'를 누르거나, 초상화 아래 캐릭터 상자를 왼쪽 클릭하거나, 메뉴를 통해 캐릭터 시트에 접근할 수 있네. 대화가 끝난 후에 해야 한다는 걸 기억하게. 계속할 준비가 됐나?",M0Q01A15GEND,,,,,0,0
50784,Dialog,GEND,"Greetings once more, <FirstName>. I see you have not yet leveled up. You must do this before you can pass through the south door.","다시 만나게 됐군, <FirstName>. 아직 레벨업을 하지 않았네. 남쪽의 문을 통과하려면 레벨업을 해야 하네.",M0Q01A15GEND,m1q0dgendslg01,,,vs_nnwgrdm2_052,0,0
50785,Dialog,GEND,As you wish. You may pass through the south door only after you have leveled up.,알았네. 레벨업한 후에만 남쪽의 문을 통과할 수 있네.,M0Q01A15GEND,m0q0at_geld_001,,,,0,0
50786,Dialog,GEND,"Well, I was going to give you additional lessons on how to Level Up, but you have already managed just fine. I have nothing more I can teach you, <FirstName>.","음, 레벨업에 대한 추가 수업을 하려 했는데, 이미 잘 해냈군. 더 가르칠 게 없네, <FirstName>.",M0Q01A15GEND,m1q0dgendslg01,,,vs_nnwgrdm2_051,0,0
50787,Dialog,GEND,"I am too old to go with you, but the south door is now open for you. Beyond you will find chambers leading to the Waterdhavian creatures... if the attackers have not taken them already.","나는 너무 늙어서 함께 갈 수 없지만, 이제 남쪽의 문이 열렸네. 그 너머에서 워터딥의 생명체들로 가는 방을 찾을 걸세... 공격자들이 이미 가져가지 않았다면 말이지.",M0Q01A15GEND,,,,vs_nnwgrdm2_053,0,0
50788,Dialog,GEND,Whenever you have enough experience points to go up to another level you will see a flashing LEVEL UP box at the center of your character record sheet. Left-click this box to begin your level up.,다음 레벨로 오를 충분한 경험치가 있으면 캐릭터 기록지 중앙에 깜빡이는 레벨업 상자가 보일 걸세. 이 상자를 왼쪽 클릭해서 레벨업을 시작하게.,M0Q01A15GEND,,,,,0,0
50789,Dialog,GEND,"You can cancel the level up process at any time by left-clicking on the CANCEL box on the level up screen. To level up, first select the class you wish to gain a level in. ",레벨업 화면의 취소 상자를 왼쪽 클릭해서 언제든 레벨업 과정을 취소할 수 있네. 레벨업하려면 먼저 레벨을 올릴 직업을 선택하게.,M0Q01A15GEND,,,,,0,0
50790,Dialog,GEND,"You can have levels in up to three different classes. Some classes may not be available to you because of alignment restrictions. After selecting the class you wish to gain a level in, click the OK box.",최대 세 개의 다른 직업의 레벨을 가질 수 있네. 일부 직업은 성향 제약으로 사용할 수 없을 수 있지. 레벨을 올릴 직업을 선택한 후 확인 상자를 클릭하게.,M0Q01A15GEND,,,,,0,0
50791,Dialog,GEND,"After selecting the class to level up in, the SKILLS page appears. Click on a skill to assign a skill point and gain a rank in that specific skill. Or, if you wish, you can click the RECOMMENDED box in the bottom left.",레벨업할 직업을 선택하면 기술 페이지가 나타나네. 기술을 클릭해서 기술 포인트를 할당하고 해당 기술의 등급을 얻게. 원하면 왼쪽 하단의 추천 상자를 클릭할 수도 있네.,M0Q01A15GEND,,,,,0,0
50792,Dialog,GEND,This will automatically assign your skill points in a pre-selected default package based on your class and level. When you are done with the SKILLS page click OK.,직업과 레벨에 따라 미리 선택된 기본 패키지로 기술 포인트를 자동 할당하네. 기술 페이지를 마쳤으면 확인을 클릭하게.,M0Q01A15GEND,,,,,0,0
50793,Dialog,GEND,"This will bring up the FEATS page, if you have any new feats available. Available feats are listed in a menu on the left. Click the arrow beside a feat and it will move to the ""Known Feats"" menu on the right. Again you can click the RECOMMENDED box for a default package.","새 재주가 있으면 재주 페이지가 나타나네. 사용 가능한 재주가 왼쪽 메뉴에 나열되지. 재주 옆의 화살표를 클릭하면 오른쪽의 ""습득한 재주"" 메뉴로 이동하네. 역시 추천 상자를 클릭해서 기본 패키지를 선택할 수 있지.",M0Q01A15GEND,,,,,0,0
50794,Dialog,GEND,"Then I shall go over it once more. After all, this is important.",그럼 다시 한번 설명하지. 결국 중요한 일이니까.,M0Q01A15GEND,,,,,0,0
50795,Dialog,GEND,"Depending on your class and level other pages will also appear during the level up process. Using the mouse you may have to select new spells, assign ability point increases, or choose a new familiar or animal companion.","직업과 레벨에 따라 레벨업 과정에서 다른 페이지들도 나타날 걸세. 마우스로 새 주문을 선택하거나, 능력치 증가를 할당하거나, 새 사역마나 동물 동료를 선택해야 할 수도 있지.",M0Q01A15GEND,,,,,0,0
50796,Dialog,GEND,Simply follow along each page and click OK when you are finished. At any time you can click the CANCEL box to quit the process and start over. ,각 페이지를 따라가며 끝나면 확인을 클릭하게. 언제든 취소 상자를 클릭해서 과정을 중단하고 다시 시작할 수 있네.,M0Q01A15GEND,,,,,0,0
50797,Dialog,GEND,"This is the end of our lesson, <FirstName>. Only once you have leveled up will you be able to pass through the south door.","수업이 끝났네, <FirstName>. 레벨업한 후에만 남쪽의 문을 통과할 수 있을 걸세.",M0Q01A15GEND,,,,,0,0
65985,Dialog,GEND,"On the subject of henchmen, you'll need to remember a few things. For instance, when you gain a level, your henchman will also gain a level, matching your progress.","추종자에 대해서는 몇 가지를 기억해야 하네. 예를 들어 자네가 레벨을 올리면 추종자도 레벨을 올려 자네의 진행에 맞추지.",M0Q01A15GEND,,,,,0,0
65986,Dialog,GEND,"However, this only happens if they are in your party when you gain the level. When you first meet a henchman, or if they were not present for a time, you may be more experienced than they are.","하지만 이건 레벨을 올릴 때 파티에 있을 때만 일어나네. 추종자를 처음 만나거나 한동안 함께하지 않았다면, 자네가 그들보다 더 경험이 많을 수 있지.",M0Q01A15GEND,,,,,0,0
65987,Dialog,GEND,"Don't worry, you can train them and make up the difference. When you speak with a henchman that is a lower level than you, you will have the option to tell them to level up. Easy as that.","걱정은 말게. 훈련시켜서 차이를 메울 수 있으니까. 자네보다 낮은 레벨의 추종자와 얘기하면 레벨업하라고 말할 수 있어. 간단하지.",M0Q01A15GEND,,,,,0,0
