StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85596,Dialog,GHOST_ARIBETH,"""What is that you're writing, Deekin?""","""디킨, 무슨 글을 쓰고 있어요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_50,0,0
85597,Dialog,GHOST_ARIBETH,"""You must be freezing in all this cold, Deekin. Kobolds are cold-blooded, aren't they?""","""디킨, 이 추위에 얼어붙겠어요. 코볼트는 냉혈동물이잖아요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_51,0,0
85598,Dialog,GHOST_ARIBETH,"""Does your fiendish heritage haunt you in this place, Valen?""","""발렌, 이곳에서 당신의 사악한 혈통이 괴롭나요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_52,0,0
85599,Dialog,GHOST_ARIBETH,"""Valen? You're white as a... as a ghost... Are you all right?""","""발렌? 얼굴이... 유령처럼 창백해요... 괜찮아요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_53,0,0
85600,Dialog,GHOST_ARIBETH,"""Must you always skulk about in the shadows, Nathyrra?""","""나시라, 항상 그렇게 그림자 속에 숨어 있어야 하나요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_54,0,0
85601,Dialog,GHOST_ARIBETH,"""I'm sorry, I wish I could help you but I've already promised my sword to another.""","""죄송하지만, 이미 다른 분께 칼을 맹세했습니다.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_55,0,0
85602,Dialog,GHOST_ARIBETH,"""Excuse me but, before we go any further...""","""실례지만, 더 나아가기 전에...""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_56,0,0
85603,Dialog,GHOST_ARIBETH,"""The Land of the Living lies through that portal... All my past failings, all my mistakes, everything I did and didn't do in life...""","""저 차원문 너머에 생자의 땅이 있군요... 내 모든 과거의 실패들, 모든 실수들, 살아서 했던 것과 하지 못한 모든 것들...""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_57,0,0
85604,Dialog,GHOST_ARIBETH,"""Do you feel it? The Sleeping Man, he exudes goodness... It's like being young again, like being back in the temple in Neverwinter, like being alive! You can feel it, can't you?""","""느껴져요? 잠자는 자, 그분은 선함을 발산하고 있어요... 마치 다시 젊어진 것 같고, 네버윈터 신전으로 돌아간 것 같고, 마치 살아있는 것 같아요! 당신도 느껴지죠?""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_58,0,0
85605,Dialog,GHOST_ARIBETH,"""I'm sorry, but I couldn't help but see the look of shock on your face when that creature took off with your clothes.""","""죄송하지만, 그 생명체가 당신의 옷을 가지고 달아날 때 얼굴에 나타난 충격적인 표정을 보지 않을 수 없었어요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_59,0,0
85606,Dialog,GHOST_ARIBETH,"""That tree, I recognized it!""","""저 나무, 알아봤어요!""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_60,0,0
85607,Dialog,GHOST_ARIBETH,"""So this is it, the place where the Knower of Names was banished to... Be careful. True Names hold great power and with that comes great responsibility...""","""여기가 바로 그곳이군요, 이름의 현자가 추방된 곳... 조심하세요. 진명은 엄청난 힘을 지니고 있고, 그만큼 큰 책임이 따릅니다...""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_61,0,0
85608,Dialog,GHOST_ARIBETH,"""Old thoughts of Neverwinter have been preying upon me as of late.""","""최근 들어 네버윈터에 대한 옛 생각들이 자꾸 떠올라요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_62,0,0
85609,Dialog,GHOST_ARIBETH,"""I have been thinking more upon the nature of the Hells.""","""지옥의 본질에 대해 더 생각해보게 됐어요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arigf_63,0,0
85610,Dialog,GHOST_ARIBETH,"""Welcome back. Is there any way I can help?""","""돌아오셨군요. 제가 도와드릴 일이 있을까요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_64,0,0
85611,Dialog,GHOST_ARIBETH,"""Yes? What is it?""","""네? 무슨 일이죠?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_65,0,0
85612,Dialog,GHOST_ARIBETH,"""The air is cold. Let us not linger out here for long.""","""공기가 차갑네요. 밖에 너무 오래 머물지 맙시다.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_66,0,0
85613,Dialog,GHOST_ARIBETH,"""Can you feel the warmth? They light the fires with berries of the Velox nettle. It is the only way to withstand the cold.""","""따뜻함이 느껴지시나요? 벨록스 쐐기풀 열매로 불을 피웁니다. 추위를 견딜 수 있는 유일한 방법이에요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_67,0,0
85614,Dialog,GHOST_ARIBETH,"""Come, it will be a bit warmer in here out of the winds.""","""이리 오세요, 바람이 불지 않는 이곳이 좀 더 따뜻할 거예요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_68,0,0
85615,Dialog,GHOST_ARIBETH,"""I recommend steering clear of Arden, the jester there. He's a liar and a sneak if ever there was one.""","""저기 있는 어릿광대 아든은 피하는 게 좋을 거예요. 거짓말쟁이에 비열한 자거든요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_69,0,0
85616,Dialog,GHOST_ARIBETH,"""Stay your attack. It doesn't look to pose any threat and, besides, its shell seems hard as rock. I suspect it's from those worthless gems it seems to feed on.""","""공격을 멈추세요. 위협이 될 것 같지 않고, 게다가 껍질이 바위처럼 단단해 보여요. 아마 저 쓸모없는 보석들을 먹고 살아서 그런 것 같아요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_70,0,0
85617,Dialog,GHOST_ARIBETH,"""See that tributary across our path? It stems from the River Styx that charts its fiery course through the Nine Hells. We'll have to find some means across, though I can't fathom how.""","""우리 앞길을 가로막는 저 지류가 보이시나요? 구층 지옥을 가로지르는 스틱스 강에서 흘러나온 거예요. 어떻게든 건너야 하는데, 방법을 알 수가 없네요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_71,0,0
85618,Dialog,GHOST_ARIBETH,"""It appears to be a puzzle. See those levers? I think they can be pulled more than once, if that's any help. And I suspect it's that door we're aiming for. There must be some way to stop the lightning.""","""퍼즐인 것 같아요. 저기 레버들이 보이시죠? 한 번 이상 당길 수 있을 것 같아요. 그리고 아마 저 문이 목표인 것 같아요. 번개를 멈출 방법이 있을 거예요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arigf_72,0,0
85619,Dialog,GHOST_ARIBETH,"""I wonder if the flowers are in bloom in Neverwinter right now?""","""지금쯤 네버윈터에 꽃이 피었을까요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_73,0,0
85620,Dialog,GHOST_ARIBETH,"""I wonder how large Cania is?""","""카니아가 얼마나 넓을까요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_74,0,0
85621,Dialog,GHOST_ARIBETH,"""Brr. I feel like I could eat an entire bush of Velox berries right now.""","""으. 지금 당장 벨록스 열매를 한 덤불이라도 먹을 수 있을 것 같아요.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_75,0,0
85622,Dialog,GHOST_ARIBETH,"""Do you really think that we will get you back to Waterdeep before it's too late?""","""정말로 너무 늦기 전에 당신을 워터딥으로 돌려보낼 수 있을까요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_76,0,0
85623,Dialog,GHOST_ARIBETH,"""Grant us safe journeys, Tyr.""","""티르여, 우리에게 안전한 여정을 허락하소서.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_77,0,0
85624,Dialog,GHOST_ARIBETH,"""Do you think Lord Nasher still lives? He was an insufferable fool sometimes but I miss his company, all the same.""","""나셰르 영주님이 아직 살아계실까요? 때로는 참을 수 없는 바보였지만, 그래도 그분의 동행이 그립네요.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_78,0,0
85625,Dialog,GHOST_ARIBETH,"""We must stay warm. Frostbite can be deadly if it goes untreated.""","""따뜻하게 지내야 해요. 치료하지 않으면 동상이 치명적일 수 있어요.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_79,0,0
85626,Dialog,GHOST_ARIBETH,"""How long has it been since you freed me from the ice? I'm beginning to lose track of time.""","""당신이 저를 얼음에서 구해준 지 얼마나 됐죠? 시간 감각을 잃어가고 있어요.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_80,0,0
85627,Dialog,GHOST_ARIBETH,"""We have to keep moving.""","""계속 움직여야 해요.""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_81,0,0
85628,Dialog,GHOST_ARIBETH,"""Where are we? Have you been keeping a map?""","""우리가 어디 있죠? 지도를 그리고 계시나요?""",H2_GHOST_ARIBETH,,,,vs_nx2arigf_82,0,0
85630,Dialog,GHOST_ARIBETH,"""Go away... I can't help you... I can't have you around... Just leave me be...""","""가세요... 도와드릴 수 없어요... 당신이 곁에 있으면 안 돼요... 그냥 저를 내버려두세요...""",H2_GHOST_ARIBETH,h2a_ari_journ01,,,vs_nx2_arief_50,0,0
85631,Dialog,GHOST_ARIBETH,"""Who are you!? Why have you come here?""","""누구세요!? 왜 여기 왔어요?""",H2_GHOST_ARIBETH,h2a_ari_combat2,,,vs_nx2arief_51,0,0
85632,Dialog,GHOST_ARIBETH,"""Why can't you people just leave me alone!?""","""왜 사람들은 저를 그냥 내버려두지 않는 거죠!?""",H2_GHOST_ARIBETH,h2a_ari_combat3,,,vs_nx2arief_52,0,0
85633,Dialog,GHOST_ARIBETH,"""All I wanted was to let go...""","""제가 원했던 건 그저 놓아주는 것뿐이었어요...""",H2_GHOST_ARIBETH,,,,vs_nx2arief_53,0,0
85634,Dialog,GHOST_ARIBETH,"""Please, I surrender! What's done is done...""","""제발, 항복할게요! 이미 지나간 일이에요...""",H2_GHOST_ARIBETH,,,,vs_nx2arief_54,0,0
85635,Dialog,GHOST_ARIBETH,"""I am Lady Aribeth de Tylmarande, betrayer of the city of Neverwinter. What is it that you want of me?""","""저는 아리베스 드 틸마란데 경, 네버윈터를 배신한 자입니다. 무슨 용건이신가요?""",H2_GHOST_ARIBETH,h2a_ari_givename,,,vs_nx2arief_55,0,0
85636,Dialog,GHOST_ARIBETH,"""Must you continue to torment me like this? Just leave me be.""","""계속 이렇게 저를 괴롭히실 건가요? 그냥 저를 내버려두세요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_56,0,0
85637,Dialog,GHOST_ARIBETH,"""Bah! Must you always be underfoot, lizard?""","""젠장! 항상 발치에 있어야겠어, 도마뱀?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_57,0,0
85638,Dialog,GHOST_ARIBETH,"""It's a wonder you aren't dead yet, you cold-blooded little runt.""","""네가 아직 죽지 않은 게 신기할 정도야, 냉혈 꼬마 녀석.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_58,0,0
85639,Dialog,GHOST_ARIBETH,"""How does it feel to be a trespasser in your father's house, Valen?""","""아버지의 집에 침입자가 된 기분이 어때, 발렌?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_59,0,0
85640,Dialog,GHOST_ARIBETH,"""I've been watching you in battle, Valen. The demon in you grows stronger with every fiend you kill...""","""전투에서 당신을 지켜봤어요, 발렌. 악마를 죽일 때마다 당신 안의 악마가 더 강해지네요...""",H2_GHOST_ARIBETH,,,,vs_nx2arief_60,0,0
85641,Dialog,GHOST_ARIBETH,"""I have noticed that there are things you prefer not to speak of, Nathyrra.""","""나시라, 당신이 말하고 싶어하지 않는 일들이 있다는 걸 알아챘어요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_61,0,0
85642,Dialog,GHOST_ARIBETH,"""The cold has made you weak and slow. I am already in another's employ.""","""추위가 당신을 약하고 느리게 만들었군요. 이미 다른 분을 섬기고 있습니다.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_62,0,0
85643,Dialog,GHOST_ARIBETH,"""The Land of the Living lies through that portal... All my past failings, all my mistakes, everything I did and didn't do in life...""","""저 차원문 너머에 생자의 땅이 있군요... 내 모든 과거의 실패들, 모든 실수들, 살아서 했던 것과 하지 못한 모든 것들...""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2_arief_63,0,0
85644,Dialog,GHOST_ARIBETH,"""He's watching us, dreaming about us. I can feel his mind crawling over our flesh... I don't like it here.""","""그가 우리를 지켜보고 있어요, 우리에 대해 꿈꾸면서요. 그의 마음이 우리 살갗 위를 기어다니는 게 느껴져요... 여기 있고 싶지 않아요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2_arief_64,0,0
85645,Dialog,GHOST_ARIBETH,"""To the contrary, I think I'll savor the irony awhile...""","""오히려, 당분간은 이 아이러니를 음미하고 싶네요...""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2_arief_65,0,0
85646,Dialog,GHOST_ARIBETH,"""That tree, I recognized it!""","""저 나무, 알아봤어요!""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2_arief_66,0,0
85647,Dialog,GHOST_ARIBETH,"""So this is it... This is where Mephistopheles banished his betrayers. Eleven generals of the Blood War and a pale-faced girl. It might be worth recruiting some of them to our cause...""","""드디어 이곳이군요... 메피스토펠레스가 배신자들을 추방한 곳. 피의 전쟁의 장군 11명과 창백한 소녀. 우리 대의를 위해 그들 중 몇몇을 모집할 만한 가치가 있을지도...""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2_arief_67,0,0
85648,Dialog,GHOST_ARIBETH,"""Nothing. Just old memories of Neverwinter.""","""아무것도 아니에요. 그저 네버윈터의 옛 기억일 뿐이에요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arief_68,0,0
85649,Dialog,GHOST_ARIBETH,"""I am simply pondering the nature of the Hells, that is all.""","""그저 지옥의 본질에 대해 생각하고 있을 뿐이에요.""",H2_GHOST_ARIBETH,x0_d1_hen_inter0,,,vs_nx2arief_69,0,0
85650,Dialog,GHOST_ARIBETH,"""Oh, what's this? Have you finally come to your senses and realized you have need of me?"" ","오, 이게 무슨 일이에요? 드디어 정신을 차리고 제가 필요하다는 걸 깨달은 건가요?",H2_GHOST_ARIBETH,,,,vs_nx2arief_70,0,0
85651,Dialog,GHOST_ARIBETH,"""Now there's a diabolical grin if I ever saw one. What are you plotting now?""","""지금까지 본 것 중 가장 악마 같은 미소네요. 또 무슨 계략을 꾸미는 거예요?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_71,0,0
85652,Dialog,GHOST_ARIBETH,"""Beware the cold. It kills the weak.""","""추위를 조심하세요. 약한 자를 죽입니다.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_72,0,0
85653,Dialog,GHOST_ARIBETH,"""Velox berries. I'm afraid their scent will be burned into my nostrils for some time to come, thanks to you.""","""벨록스 열매. 당신 덕분에 한동안 제 콧구멍에 그 냄새가 배어버릴 것 같네요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_73,0,0
85654,Dialog,GHOST_ARIBETH,"""At last, some warmth. Damn the devils and their infernal cold.""","""드디어 따뜻함이네요. 마귀들과 그들의 지옥 같은 추위에 저주를.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_74,0,0
85655,Dialog,GHOST_ARIBETH,"""See Arden, the jester over there? He's a pompous weasel, full of lies, but he can have his uses. Shall we go speak with him?""","""저기 어릿광대 아든이 보이죠? 거만한 족제비에 거짓말쟁이지만, 쓸모가 있을 수도 있어요. 가서 얘기해볼까요?""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_75,0,0
85656,Dialog,GHOST_ARIBETH,"""Blast, do you see that? The beast has a shell as hard as rock. It must be a result of all those worthless jewels it's eating. Regardless, it doesn't seem hostile.""","""젠장, 보이세요? 저 짐승은 바위처럼 단단한 껍질을 가졌어요. 저 쓸모없는 보석들을 먹은 결과물인 게 분명해요. 어쨌든 적대적이진 않아 보이네요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_76,0,0
85657,Dialog,GHOST_ARIBETH,"""Blast, the river blocks us! We'll have to find some way across.""","""젠장, 강이 우리를 가로막고 있어요! 어떻게든 건너야 해요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_77,0,0
85658,Dialog,GHOST_ARIBETH,"""Damned puzzles! Let's see... Well it appears those levers can be pulled more than once, at least. And we must somehow break through the lightning that seals that door. I'll leave the rest to you.""","""망할 퍼즐! 어디 보자... 음, 적어도 저 레버들은 한 번 이상 당길 수 있는 것 같네요. 그리고 어떻게든 저 문을 봉인하는 번개를 뚫어야 해요. 나머지는 당신에게 맡기겠어요.""",H2_GHOST_ARIBETH,x0_d1_hen_noline,,,vs_nx2arief_78,0,0
85659,Dialog,GHOST_ARIBETH,"""If we grow hungry in the wastelands, I'm eating you first.""","""황무지에서 배가 고파지면, 당신부터 먹을 거예요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_79,0,0
85660,Dialog,GHOST_ARIBETH,"""If there's one thing I hate, it's this ceaseless daylight.""","""제가 싫어하는 게 하나 있다면, 바로 이 끝없는 대낮이에요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_80,0,0
85661,Dialog,GHOST_ARIBETH,"""My blade hungers. Surely there must be another battle close by.""","""제 칼날이 굶주려하고 있어요. 분명 근처에 또 다른 전투가 있을 거예요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_81,0,0
85662,Dialog,GHOST_ARIBETH,"""I've decided that I like the color of bloodied ice. It sets off my eyes, don't you think?""","""피로 물든 얼음의 색깔이 마음에 드는 것 같아요. 제 눈을 돋보이게 하지 않나요?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_82,0,0
85663,Dialog,GHOST_ARIBETH,"""Do you think we'll ever get out of here?""","""우리가 여기서 빠져나갈 수 있을까요?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_83,0,0
85664,Dialog,GHOST_ARIBETH,"""What is this place? Do you know?""","""이곳이 어디죠? 알고 계세요?""",H2_GHOST_ARIBETH,,,,vs_nx2arief_84,0,0
85665,Dialog,GHOST_ARIBETH,"""If your toes are turning black, it's from frostbite. I can cut them off with my knife if you need me to.""","""발가락이 검게 변하고 있다면, 동상이에요. 필요하면 제 칼로 잘라낼 수 있어요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_85,0,0
85666,Dialog,GHOST_ARIBETH,"""How long has it been since you freed me from the ice? I'm beginning to lose track of time.""","""당신이 저를 얼음에서 구해준 지 얼마나 됐죠? 시간 감각을 잃어가고 있어요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_86,0,0
85667,Dialog,GHOST_ARIBETH,"""You're lost, aren't you...""","""길을 잃었죠, 그렇죠...""",H2_GHOST_ARIBETH,,,,vs_nx2arief_87,0,0
95878,Dialog,GHOST_ARIBETH,"""Out of my way.""","""비켜요.""",H2_GHOST_ARIBETH,,,,vs_nx2arief_move,0,0
95879,Dialog,GHOST_ARIBETH,---------- Random Pop-Ups Start Here ------------,---------- Random Pop-Ups Start Here ------------,H2_GHOST_ARIBETH,,,,,0,0
95880,Dialog,GHOST_ARIBETH,"""But our journey isn't yet done. Are you sure?""","""하지만 우리 여정이 아직 끝나지 않았어요. 확실한가요?""",H2_GHOST_ARIBETH,,,,,0,0
95881,Dialog,GHOST_ARIBETH,"""Thank you, <FirstName>. May Tyr guide our steps into the future, then.""","""감사해요, <FirstName>. 그럼 티르께서 앞으로의 발걸음을 인도하시기를.""",H2_GHOST_ARIBETH,,,,,0,0
95882,Dialog,GHOST_ARIBETH,"""Here? Very well, but hurry back as soon as you are able, as I will miss your warmth and company.""","""여기요? 좋아요, 하지만 가능한 한 빨리 돌아오세요. 당신의 따뜻함과 동행이 그리울 테니까요.""",H2_GHOST_ARIBETH,,,,,0,0
95883,Dialog,GHOST_ARIBETH,"""I... I'm sorry, <FirstName>, it was not my intention to offend... I suppose I will return to the Gatehouse and pray for your quick and safe return.""","""저... 죄송해요, <FirstName>, 불쾌하게 할 의도는 아니었어요... 문지기의 처소로 돌아가서 당신의 빠르고 안전한 귀환을 기도하겠어요.""",H2_GHOST_ARIBETH,,,,,0,0
95884,Dialog,GHOST_ARIBETH,"""Yes, what do you feel would be more suitable?""","""네, 무엇이 더 적합하다고 생각하세요?""",H2_GHOST_ARIBETH,,,,,0,0
95885,Dialog,GHOST_ARIBETH,"""Very well. I will try to take the changes we have made to heart.""","""알겠어요. 우리가 만든 변화들을 마음에 새기도록 노력하겠어요.""",H2_GHOST_ARIBETH,,,,,0,0
95886,Dialog,GHOST_ARIBETH,"""Very well. I will refrain from my castings and trust to my blade instead.""","""알겠어요. 주문을 자제하고 대신 칼을 믿겠어요.""",H2_GHOST_ARIBETH,,,,,0,0
95887,Dialog,GHOST_ARIBETH,"""Thank you. I will cast as I see fit, then.""","""감사해요. 제가 적절하다고 판단하는 대로 주문을 사용하겠어요.""",H2_GHOST_ARIBETH,,,,,0,0
95888,Dialog,GHOST_ARIBETH,"""I will refrain where I can, though I admit it goes against my calling as a paladin.""","""가능한 한 자제하겠지만, 성기사로서의 소명에 어긋난다는 점은 인정해야겠네요.""",H2_GHOST_ARIBETH,,,,,0,0
95889,Dialog,GHOST_ARIBETH,"""Of course. It is my duty as a paladin to keep us all in good health.""","""물론이에요. 우리 모두를 건강하게 유지하는 것이 성기사로서의 의무니까요.""",H2_GHOST_ARIBETH,,,,,0,0
95890,Dialog,GHOST_ARIBETH,"""That is for the best. I know little of them.""","""그게 최선이에요. 저는 그런 것들에 대해 아는 게 거의 없거든요.""",H2_GHOST_ARIBETH,,,,,0,0
95891,Dialog,GHOST_ARIBETH,"""I will do what I can, though the infernal things are often beyond my ken.""","""최선을 다하겠지만, 그런 지옥 같은 것들은 종종 제 이해를 벗어나요.""",H2_GHOST_ARIBETH,,,,,0,0
95892,Dialog,GHOST_ARIBETH,"""Good. I'm afraid this armor doesn't leave me soft of foot.""","""좋아요. 이 갑옷은 제가 발소리를 죽이기에 적합하지 않거든요.""",H2_GHOST_ARIBETH,,,,,0,0
