StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
72153,Dialog,GISHNAK,"*growl!* Gishnak say hold! You come no further! We speak now, not fight!","*으르렁!* 기쉬낙, 멈추라고! 더 오지 마! 지금은 싸울 때가 아니야, 대화할 때야!",Q3_GISHNAK,,,,,0,0
72154,Dialog,GISHNAK,"Why you come here, Furless One? *growl* You kill many gnolls of tribe... why? What you seek?","왜 여기 온 거야, 털 없는 놈? *으르렁* 너 부족의 놀들 많이 죽였어... 왜? 뭘 찾는 거야?",Q3_GISHNAK,,,,,0,0
72155,Dialog,GISHNAK,"*growl!* Then you only finds your own death, <race> fool! *snarl!* Attack it! Attack it, all of you!!","*으르렁!* 그럼 네 죽음만 찾을 거야, <race> 바보 같으니! *으윽!* 공격해! 모두 공격하라고!!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72156,Dialog,GISHNAK,"*growl* Gishnak is chieftain of gnolls. I learn much so I can lead tribe. *growl* Human tongue hard to speak for us, but I learn it well.","*으르렁* 기쉬낙은 놀의 족장이야. 부족을 이끌려면 많이 배워야 해. *으르렁* 인간 말은 우리가 하기 힘들지만, 잘 배웠지.",Q3_GISHNAK,,,,,0,0
72157,Dialog,GISHNAK,"The fact I speak human tongue is not important, however. *growl!* What is important is that you tell Grishnak why you are here!","하지만 내가 인간 말을 한다는 건 중요하지 않아. *으르렁!* 중요한 건 너 왜 여기 있는지 기쉬낙에게 말하는 거야!",Q3_GISHNAK,,,,,0,0
72158,Dialog,GISHNAK,"You invades our cave, you do! *snarl!* You no doubt kills many of our tribe! *growl!* Of course it is business of gnoll chieftain!","너 우리 동굴 침입했어! *으윽!* 우리 부족 많이 죽였지! *으르렁!* 당연히 놀 족장의 일이지!",Q3_GISHNAK,,,,,0,0
72159,Dialog,GISHNAK,"*growl* You might be strong, <race> invader, but you not walk into presence of Grishnak with impudence. Tell me why you are here!","*으르렁* 강할지도 모르지, <race> 침입자. 하지만 기쉬낙 앞에서 건방지게 굴 순 없어. 왜 여기 있는지 말해!",Q3_GISHNAK,,,,,0,0
72160,Dialog,GISHNAK,"*growl!* You will not! Kill the Furless One now! Kill it, all of you!!","*으르렁!* 안 돼! 지금 털 없는 놈 죽여! 모두 죽여!!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72161,Dialog,GISHNAK,"*snarl* Ahhh, you seek the items of power taken by the little creatures you call kobolds, yes?","*으윽* 아아, 네가 코볼트라 부르는 작은 놈들이 가져간 힘의 물건을 찾는 거야, 그렇지?",Q3_GISHNAK,,,,,0,0
72162,Dialog,GISHNAK,The mistress J'Nah seeks them as well. *growl* This is why she commanded Gishnak to send his gnolls to attack the kobolds and take them.,"여주인 즈나도 그걸 찾고 있어. *으르렁* 그래서 기쉬낙에게 놀들을 보내 코볼트를 공격하고 빼앗아 오라고 명령했지.",Q3_GISHNAK,q3_knowjnah02,,,,0,0
72163,Dialog,GISHNAK,"No, I do not. *snarl!* We found only one item with the kobolds, the tooth of a dragon. *growl!* That is not enough for the mistress. She wants them all!","아니, 몰라. *으윽!* 코볼트들한테서 물건 하나만 찾았어, 용의 이빨. *으르렁!* 여주인한텐 충분하지 않아. 전부 원하거든!",Q3_GISHNAK,q3_at_gishnak9,,,,0,0
72164,Dialog,GISHNAK,"*growl!* I do not know, Furless One. Nor do I care! *snarl!* All I wish is for J'Nah to find these items and leave gnolls alone forever!","*으르렁!* 몰라, 털 없는 놈. 알고 싶지도 않고! *으윽!* 내가 바라는 건 즈나가 그 물건들 찾고 놀들을 영원히 내버려 두는 거야!",Q3_GISHNAK,,,,,0,0
72165,Dialog,GISHNAK,Hah hah haa! *growl!* That is why you come here? For few puny humans we not kills in village raid? You make Gishnak laugh!,"하하핫! *으르렁!* 그래서 온 거야? 마을 습격에서 죽이지 않은 몇 안 되는 보잘것없는 인간들 때문에? 우스워!",Q3_GISHNAK,,,,,0,0
72166,Dialog,GISHNAK,We not release slaves! *growl!* You give Gishnak another reason why you come to caves! *snarl!*,"노예는 풀어주지 않아! *으르렁!* 동굴에 왜 왔는지 다른 이유를 대! *으윽!*",Q3_GISHNAK,,,,,0,0
72167,Dialog,GISHNAK,Hah hah haaa! *growl!* This be amusing. Kill the Furless One now!,"하하하! *으르렁!* 재밌군. 이제 털 없는 놈 죽여!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72168,Dialog,GISHNAK,"*growl! snarl!* You seek J'Nah, do you? *snarl!* For what reason? Our hated mistress sees no-one!","*으르렁! 으윽!* 즈나를 찾는 거야? *으윽!* 무슨 이유로? 우리의 증오하는 여주인은 아무도 안 만나!",Q3_GISHNAK,,,,,0,0
72169,Dialog,GISHNAK,*growl!* J'Nah brings those she wishes to see to her directly... not through gnoll caves! *snarl!* Why she want to see you?,"*으르렁!* 즈나는 만나고 싶은 놈을 직접 데려가... 놀 동굴을 통해서가 아니라! *으윽!* 왜 너를 만나고 싶겠어?",Q3_GISHNAK,,,,,0,0
72170,Dialog,GISHNAK,"Hah! *growl!* I thought as much! Why do you seek our hated mistress, then?! *snarl!*","하! *으르렁!* 그럴 줄 알았어! 그럼 왜 우리의 증오하는 여주인을 찾는 거야?! *으윽!*",Q3_GISHNAK,,,,,0,0
72171,Dialog,GISHNAK,"<StartCheck>[Failure]</Start> You lie! *snarl!* You are no friend of the mistress! Kill it! Kill it now, before the mistress punishes us all!!","<StartCheck>[실패]</Start> 거짓말! *으윽!* 너 여주인 친구 아니야! 죽여! 지금 죽여, 여주인이 우리 모두를 벌하기 전에!!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72172,Dialog,GISHNAK,<StartCheck>[Success]</Start> *growl!* Is that so? I let the mistress decide if that is true... if you can reach her!,"<StartCheck>[성공]</Start> *으르렁!* 그래? 그게 사실인지 여주인이 결정하게 하지... 네가 도달할 수 있다면!",Q3_GISHNAK,,,,,0,0
72173,Dialog,GISHNAK,<StartCheck>[Success]</Start> *growl!* Is that so? I let the mistress decide if that is true... if you can reach her!,"<StartCheck>[성공]</Start> *으르렁!* 그래? 그게 사실인지 여주인이 결정하게 하지... 네가 도달할 수 있다면!",Q3_GISHNAK,,,,,0,0
72174,Dialog,GISHNAK,<StartCheck>[Success]</Start> *growl!* Is that so? I let the mistress decide if that is true... if you can reach her!,"<StartCheck>[성공]</Start> *으르렁!* 그래? 그게 사실인지 여주인이 결정하게 하지... 네가 도달할 수 있다면!",Q3_GISHNAK,,,,,0,0
72175,Dialog,GISHNAK,"<StartCheck>[Failure]</Start> I do not believe you! You lie! Kill it... kill it, all of you! Before the mistress punishes us!!","<StartCheck>[실패]</Start> 안 믿어! 거짓말쟁이! 죽여... 모두 죽여! 여주인이 우리를 벌하기 전에!!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72176,Dialog,GISHNAK,<StartCheck>[Success]</Start> *growl!* Maybe... maybe the mistress does wish to see you. *snarl!* I let her decide... if you can reach her!,"<StartCheck>[성공]</Start> *으르렁!* 아마... 아마 여주인이 너를 만나고 싶어 할지도. *으윽!* 여주인이 결정하게 하지... 네가 도달할 수 있다면!",Q3_GISHNAK,,,,,0,0
72177,Dialog,GISHNAK,"But why should Gishnak let you through caves to see her? *snarl!* You invade caves, kill gnolls, challenge rule of chieftain! *growl!* Why should I help you?","하지만 기쉬낙이 왜 동굴을 통과시켜서 여주인을 만나게 해야 하지? *으윽!* 동굴을 침입하고, 놀들을 죽이고, 족장의 지배에 도전했는데! *으르렁!* 왜 도와줘야 하는데?",Q3_GISHNAK,,,,,0,0
72178,Dialog,GISHNAK,"Then I decide no! *growl!* I care not if J'Nah wishes to see you! You will pay for coming into our caves, Furless One!","그럼 안 돼! *으르렁!* 즈나가 너를 만나고 싶든 말든 상관없어! 우리 동굴에 들어온 대가를 치를 거야, 털 없는 놈!",Q3_GISHNAK,q3_at_chief_att,,,,0,0
72179,Dialog,GISHNAK,"<StartCheck>[Success]</Start> *growl...* Gishnak is not convinced that your word is good, but I will not offend J'Nah. You may pass through our caves.","<StartCheck>[성공]</Start> *으르렁...* 기쉬낙은 네 말을 믿지 않지만, 즈나를 불쾌하게 하진 않을 거야. 동굴을 통과해도 좋아.",Q3_GISHNAK,,,,,0,0
72180,Dialog,GISHNAK,<StartCheck>[Failure]</Start> I do not care what J'Nah thinks of Gishnak! And I decide that you will *not* pass through caves! *growl!* Kill it now!,"<StartCheck>[실패]</Start> 즈나가 기쉬낙을 어떻게 생각하든 상관없어! 그리고 동굴을 통과하지 *못해*! *으르렁!* 지금 죽여!",Q3_GISHNAK,,,,,0,0
72181,Dialog,GISHNAK,"<StartCheck>[Success]</Start> *growl...* Gishnak is not convinced that your word is good, but I will not offend J'Nah. You may pass through our caves.","<StartCheck>[성공]</Start> *으르렁...* 기쉬낙은 네 말을 믿지 않지만, 즈나를 불쾌하게 하진 않을 거야. 동굴을 통과해도 좋아.",Q3_GISHNAK,,,,,0,0
72182,Dialog,GISHNAK,"<StartCheck>[Failure]</Start> *snarl!* You dare! Kill the <race> intruder now, all of you! Kill it!!","<StartCheck>[실패]</Start> *으윽!* 감히! 지금 당장 <race> 침입자를 죽여, 모두! 죽여!!",Q3_GISHNAK,,,,,0,0
72183,Dialog,GISHNAK,"<StartCheck>[Success]</Start> *growl...* Very well. You may pass through our caves to find J'Nah, <race> intruder.","<StartCheck>[성공]</Start> *으르렁...* 좋아. 즈나를 찾으러 동굴을 통과해도 좋아, <race> 침입자.",Q3_GISHNAK,,,,,0,0
72184,Dialog,GISHNAK,I will give you the key you will need to open great doors in the back of this chamber. *snarl!* They lead down to ancient ruins where J'Nah lies.,"이 방 뒤쪽의 큰 문을 열 때 필요한 열쇠를 주지. *으윽!* 그 문은 즈나가 있는 고대 유적으로 이어져.",Q3_GISHNAK,q3_knowruins,,,,0,0
