StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
92100,Dialog,GRAYBAN,"This huge, one handed half orc stares at you with a grimace. ""Boss want speak. Him want no one leave. You stay. You listen.""","거대한 한 팔 하프오크가 얼굴을 찡그리며 당신을 바라봅니다. ""주인 말하고 싶어해. 아무도 나가면 안 돼. 너 여기 있어. 너 들어.""",PRE_GRAYBAN,,,,,0,0
92101,Dialog,GRAYBAN,"This huge, one handed half orc stares at you with a grimace, trying to decide if he recognizes you or not. ""You no allowed out. There be ban on streets.""","거대한 한 팔 하프오크가 얼굴을 찡그리며 당신을 바라보고, 당신을 알아보는지 아닌지 판단하려 합니다. ""너 밖에 나가면 안 돼. 거리에 금지령 있어.""",PRE_GRAYBAN,,,,,0,0
92102,Dialog,GRAYBAN,He nods and looks away at the other customers.,그가 고개를 끄덕이고 다른 손님들을 바라봅니다.,PRE_GRAYBAN,,,,,0,0
92103,Dialog,GRAYBAN,"He frowns at you. ""Me no like to say. It bad story.""","그가 당신을 보고 찌푸립니다. ""나 말하기 싫어. 나쁜 이야기야.""",PRE_GRAYBAN,,,,,0,0
92104,Dialog,GRAYBAN,"<StartCheck>[Failed]</Start> ""You think you threaten me? Me no be scared of you! Now go away.""","<StartCheck>[실패]</Start> ""너 나 협박할 생각? 나 너 안 무서워! 이제 가.""",PRE_GRAYBAN,,,,,0,0
92105,Dialog,GRAYBAN,"<StartCheck>[Successful]</Start> ""You be funny <man/woman>! Me likes you, tough <man/woman>.""","<StartCheck>[성공]</Start> ""너 재밌는 <man/woman>! 나 너 좋아해, 강한 <man/woman>.""",PRE_GRAYBAN,,,,,0,0
92106,Dialog,GRAYBAN,"<StartCheck>[Successful]</Start> ""That be big lie! Me never be coward. Me just about die!""","<StartCheck>[성공]</Start> ""그거 큰 거짓말! 나 절대 겁쟁이 아니야. 나 거의 죽을 뻔했어!""",PRE_GRAYBAN,,,,,0,0
92107,Dialog,GRAYBAN,"<StartCheck>[Failed]</Start> ""You just want make fun of me, like others do. Go away. Me no want to talk to you.""","<StartCheck>[실패]</Start> ""너 그냥 나 놀리고 싶은 거지, 다른 사람들처럼. 가. 나 너랑 말하기 싫어.""",PRE_GRAYBAN,,,,,0,0
92108,Dialog,GRAYBAN,"<StartCheck>[Successful]</Start> ""Me have few friends. Guess me would like to have new friend.""","<StartCheck>[성공]</Start> ""나 친구 별로 없어. 새 친구 생기면 좋을 것 같아.""",PRE_GRAYBAN,,,,,0,0
92109,Dialog,GRAYBAN,"""Me lost all me friends when me lose me arm. We was most liked group for go into Undermountain.""","""나 팔 잃었을 때 친구들 다 잃었어. 우리 언더마운틴 갈 때 제일 인기 있는 팀이었는데.""",PRE_GRAYBAN,,,,,0,0
92110,Dialog,GRAYBAN,"""We go real deep and make lots of gold, which me spend real fast. Then one day we meet girl.""","""우리 진짜 깊이 들어가서 금화 많이 벌었어. 나 진짜 빨리 썼지. 그러다 어느 날 여자 만났어.""",PRE_GRAYBAN,,,,,0,0
92111,Dialog,GRAYBAN,"""Me trying. You be patient. It no long story.""","""나 노력하는 중이야. 너 기다려. 긴 이야기 아니야.""",PRE_GRAYBAN,,,,,0,0
92112,Dialog,GRAYBAN,"""She pretty lady, tell us she help us find treasure if we fetch her cape. We think that good deal.""","""그녀 예쁜 아가씨였어. 우리한테 망토 가져다주면 보물 찾는 거 도와준다고 했어. 우리 그거 좋은 거래라고 생각했어.""",PRE_GRAYBAN,,,,,0,0
92113,Dialog,GRAYBAN,"""So we go where she tell us, but it be trap. She is vampire and she work with slaads in dungeon. Them jump us and kill mage quick.""","""그래서 우리 그녀가 말한 곳 갔는데 함정이었어. 그녀 흡혈귀였고 던전의 슬라드들이랑 함께 일했어. 그들 우리 덮쳐서 마법사 빨리 죽였어.""",PRE_GRAYBAN,,,,,0,0
