StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
38635,Dialog,GRKAN,"Aye? I s'pose yer here for the bloody dungeon, too, eh?","응? 너도 그 빌어먹을 던전 때문에 온 거겠지, 그치?",M2Q5L01GRKAN,m2q5talkedgorkan,,,,0,0
38636,Dialog,GRKAN,"Yeah, yeah, yeah. Just don't get too drunk or I'll be pullin' off yer boots for you later. Ha!","그래, 그래, 그래. 너무 취하지나 마. 나중에 내가 네 장화 벗겨줘야 할 테니까. 하!",M2Q5L01GRKAN,,,,,0,0
38637,Dialog,GRKAN,"Hmph. 'Interesting challenge,' my arse. You knows how many nobles Mutamin charges a fortune to watch us die, eh?","흥. '흥미진진한 도전'이라니 개소리. 무타민이 귀족들한테 우리 죽는 걸 보여주려고 얼마나 돈을 뜯어내는지 알아?",M2Q5L01GRKAN,,,,,0,0
38638,Dialog,GRKAN,"Well... we'll jus' see who makes it through an' gets Mutamin's reward an' who gets gutted fer the pleasure o' a few jaded aristocrats, mm?","뭐... 누가 통과해서 무타민의 보상을 받고 누가 지겨워하는 귀족들 재미로 배를 가르는지 두고 보자고, 응?",M2Q5L01GRKAN,,,,,0,0
38639,Dialog,GRKAN,"Izzat so? Pardon me if I don't believe you. A rogue can't be too careful when he's about to come into a big reward, ye know.","그래? 안 믿어도 이해해. 큰 보상을 앞둔 도적은 아무리 조심해도 모자라거든.",M2Q5L01GRKAN,,,,,0,0
38640,Dialog,GRKAN,"What do you know? You don't know nothin'. Hmph. Pay me a hundred gold an' I'll tell you what's what, if yer interested.","네가 뭘 알아? 넌 아무것도 모르지. 흥. 금화 백 개 주면 뭐가 뭔지 알려주지, 관심 있으면.",M2Q5L01GRKAN,,,,,0,0
38641,Dialog,GRKAN,<StartCheck>[Success]</Start> One 'as to wonder where Mutamin's been advertisin' his contest. Nobles here from all over the place come to watch us crawl through a dungeon.,<StartCheck>[성공]</Start> 무타민이 대회를 어디에 광고했는지 궁금하더라. 사방에서 귀족들이 와서 우리가 던전 기어다니는 거 구경하잖아.,M2Q5L01GRKAN,m2q5pccontest10,,,,0,0
38642,Dialog,GRKAN,And you an' I both know it's gonna take a good thief to see all th' traps in there. An' that's *me*. So ye might as well just be goin' home.,"거기 함정을 다 찾아내려면 실력 좋은 도적이 필요하단 거 너도 나도 알잖아. 그게 바로 *나야*. 그러니 그냥 집에 가는 게 낫겠어.",M2Q5L01GRKAN,,,,,0,0
38643,Dialog,GRKAN,"Har har! Now *that's* the kind o' spirit I like to hear in a competitor! Har har! Ye'll never get the reward with that attitude, <boy/girl>.","하하! 이제 *그게* 경쟁자한테서 듣고 싶던 기백이지! 하하! 그런 태도로는 절대 보상 못 받아, <boy/girl>.",M2Q5L01GRKAN,,,,,0,0
38644,Dialog,GRKAN,"Have it yer way, <boy/girl>. Best be runnin' home to yer mother, I can hears her teats leakin'.","네 맘대로 해, <boy/girl>. 어서 엄마한테 달려가는 게 좋겠어. 엄마 젖꼭지에서 젖 새는 소리 들려.",M2Q5L01GRKAN,,,,,0,0
38645,Dialog,GRKAN,"Well, y'see the owner there? That's Mutamin. He's a former adventurer, an' a successful one, too. Has a lot of gold, so the tale goes.","저기 주인 보이지? 무타민이야. 전직 모험가고, 꽤 성공했지. 소문에 의하면 돈이 엄청나다더라.",M2Q5L01GRKAN,m2q5pccontest10,,,,0,0
38646,Dialog,GRKAN,"He's put on a contest. There's a dungeon below this place, filled with monsters and traps. If someone gets through it, they gets the reward.","대회를 열었어. 이 아래에 던전이 있는데, 괴물과 함정으로 가득하지. 누가 통과하면 보상을 받아.",M2Q5L01GRKAN,,,,,0,0
38647,Dialog,GRKAN,"It's all illegal as hades, but the nobles love comin' fer a good watch. Everyone knows a thief will take it, an' that's *me.* So you should run home, <boy/girl>.","지옥처럼 불법이지만, 귀족들은 구경하러 오길 좋아해. 다들 도적이 이긴다는 거 알고, 그게 *나야.* 그러니 집에 가는 게 좋겠어, <boy/girl>.",M2Q5L01GRKAN,,,,,0,0
38648,Dialog,GRKAN,Git along. I've got me own troubles.,가. 나도 내 걱정거리가 있어.,M2Q5L01GRKAN,m2q5talkedgorkan,,,,0,0
38649,Dialog,GRKAN,"Bah! Yer not good enough by half, <boy/girl>! Ye best not get in me way in yon dungeon, or I'll treat ye like any other beastie I encounter! Got that?","어이! 넌 절반도 못 미쳐, <boy/girl>! 저 던전에서 내 길 막지 마. 아니면 마주치는 다른 짐승들처럼 대할 테니까! 알았어?",M2Q5L01GRKAN,m2q5talkedgorkan,,,,0,0
