StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
24557,Creature,Gate Guard,Gate Guard,"성문 경비병",GATEGUARD|M4Q01B02GUAR,,,,,0,0
48399,Creature,Gate Guard,If you're planning on going through the gates you better make sure you're well armed. The fighting is thick and bloody in the war zone. ,"성문을 통과하려면 무장을 확실히 하는 게 좋을 거야. 전쟁 지역은 치열하고 피비린내 나는 전투가 벌어지고 있거든.",M4Q01B02GUAR,,,,,0,0
48400,Creature,Gate Guard,Perhaps we'll meet again if the Luskan army doesn't kill us all first.,"러스칸 군대가 우릴 다 죽이지 않는다면 다시 만날지도.",M4Q01B02GUAR,,,,,0,0
48401,Creature,Gate Guard,"You're a little slow on the uptake, ain't you? I'll try not to use any big words as I go over this.","이해력이 좀 느리구만, 그렇지? 설명할 때 어려운 말은 안 쓸게.",M4Q01B02GUAR,,,,,0,0
48402,Creature,Gate Guard,"It's pretty much a no man's land beyond the gates. The catapults have smashed the city to bits and the streets are swarming with Luskan soldiers. Worse things, too, like them damn war golems.","성문 너머는 거의 무인 지대야. 투석기가 도시를 박살냈고 거리는 러스칸 병사들로 득실거려. 그 빌어먹을 전쟁 골렘 같은 더 나쁜 것들도 있고.",M4Q01B02GUAR,,,,,0,0
48403,Creature,Gate Guard,"There's no way to fight those bloody things! They hacked us up like lumberjacks chopping wood, and nothing we tried could even slow them down.","저 빌어먹을 것들과 싸울 방법이 없어! 나무꾼이 나무 패듯 우릴 썰어댔고, 뭘 해봐도 속도조차 늦출 수 없었어.",M4Q01B02GUAR,,,,,0,0
48404,Creature,Gate Guard,I've heard some things... but it's not a good idea to be spreading rumors in times like these.,"몇 가지 들은 건 있어... 하지만 이런 시국에 소문을 퍼뜨리는 건 좋은 생각이 아니야.",M4Q01B02GUAR,,,,,0,0
48405,Creature,Gate Guard,<StartCheck>[Success]</Start> I guess the situation's already as bad as it can get. Telling you sure won't make things worse!,"<StartCheck>[성공]</Start> 상황이 이미 최악인 것 같으니까. 말해도 더 나빠지진 않겠지!",M4Q01B02GUAR,,,,,0,0
48406,Creature,Gate Guard,People are saying the only way to stop them golems is to kill their master. But I heard these golems actually have two masters: a pair of mages from the Arcane Brotherhood.,"골렘들을 멈추는 유일한 방법은 주인을 죽이는 거라고 하더라. 하지만 이 골렘들은 실제로 주인이 둘이래: 비전 결사단 마법사 한 쌍.",M4Q01B02GUAR,,,,,0,0
48407,Creature,Gate Guard,"<StartCheck>[Failure]</Start> Sorry, but I saw the harm rumors can do during the plague. The last thing we need right now is panic in the streets. If you want to know more you should go speak to Captain Trancar.","<StartCheck>[실패]</Start> 미안하지만 역병 때 소문이 얼마나 해로운지 봤거든. 지금 거리에 공포가 번지는 건 최악이야. 더 알고 싶으면 트란카르 대위에게 가봐.",M4Q01B02GUAR,,,,,0,0
48408,Creature,Gate Guard,"During the initial assault on Neverwinter that traitor Aribeth led the Luskan troops while Maugrim stayed at the back and unleashed his magic on us. Haven't heard of any sightings lately, though.","네버윈터 초기 공격 때 배신자 아리베스가 러스칸 군대를 이끌고 모그림은 뒤에서 마법을 퍼부었지. 최근 목격담은 못 들었지만.",M4Q01B02GUAR,,,,,0,0
48409,Creature,Gate Guard,"They're probably holed up somewhere plotting how to get inside the City Core and bring down Castle Never before reinforcements arrive to help us. The Gods know where they might be: an abandoned home, an old shop... they could be anywhere!","아마 어딘가에 숨어서 증원군이 오기 전에 도시 중심부에 침투해 네버 성을 무너뜨릴 계획을 짜고 있을 거야. 어디 있을지는 신만 알아: 버려진 집, 오래된 가게... 어디든 있을 수 있어!",M4Q01B02GUAR,,,,,0,0
