StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
49709,Creature,Gilbert,"Hey, there. Say, aren't you <FirstName>? Sure... I've seen you in some of our combat training classes. My name's Gilbert. ","안녕. 혹시 <FirstName> 아니야? 그래... 전투 훈련 수업에서 본 것 같아. 내 이름은 길버트야.",M0Q01A05GILB,,,,,0,0
49710,Creature,Gilbert,"Hi there. Are you new here at the Academy? I don't recognize you from any of my combat training exercises. Oh, wait a minute... you're a <class>. ","안녕. 여기 사관학교에 새로 왔어? 전투 훈련에서 본 적이 없는데. 아, 잠깐... 넌 <class>이구나.",M0Q01A05GILB,,,,,0,0
49711,Creature,Gilbert,"No wonder I haven't seen you around, I doubt the Academy has us studying the same things. My name is Gilbert, by the way.","그래서 못 봤구나, 아마 사관학교에서 같은 걸 배우진 않을 테니까. 그나저나 내 이름은 길버트야.",M0Q01A05GILB,,,,,0,0
49712,Creature,Gilbert,"Good to see you again, <FirstName>. Is there something I can do for you?","다시 만나서 반가워, <FirstName>. 내가 도울 일이 있어?",M0Q01A05GILB,,,,,0,0
49713,Creature,Gilbert,"<FullName>? Right! I've got a friend who just got accepted here at the Academy. He's a <class>, too. He mentioned your name once.","<FullName>? 맞아! 방금 여기 사관학교에 합격한 친구가 있는데. 그 친구도 <class>야. 한번 네 이름을 언급한 적 있어.",M0Q01A05GILB,,,,,0,0
49714,Creature,Gilbert,"From what I hear, <FirstName>, your training at the Academy is almost done. All you have to do is prove yourself in the final <class> challenge and you're ready for graduation. ","듣기로는, <FirstName>, 네 사관학교 훈련이 거의 끝났다며. 마지막 <class> 도전에서 실력을 증명하기만 하면 졸업 준비 완료야.",M0Q01A05GILB,,,,,0,0
49715,Creature,Gilbert,"So from what I hear it sounds like you've almost finished your training here at the Academy, <FirstName>. You must be looking forward to graduating.","듣기론 여기 사관학교 훈련이 거의 끝났다며, <FirstName>. 졸업이 기대되겠다.",M0Q01A05GILB,,,,,0,0
49716,Creature,Gilbert,"I envy you. I hear Lady Aribeth herself is here to hand out personal blessings to all the graduates in the south assembly hall. I'd love to meet her myself, but I've still got a ways to go on my training.","부럽다. 아리베스 경이 직접 남쪽 집회장에서 졸업생들에게 축복을 내려준다던데. 나도 만나보고 싶지만, 아직 훈련이 많이 남았어.",M0Q01A05GILB,nw_d1_talklevel,,,,0,0
49717,Creature,Gilbert,"Well, I guess I'll just get back to my training then. I don't want Herban to chew me out for slacking on my drills.","뭐, 그럼 다시 훈련하러 가야겠다. 허반한테 훈련 게을리했다고 혼나고 싶지 않거든.",M0Q01A05GILB,,,,,0,0
49718,Creature,Gilbert,"I'm sorry, my mistake - must be someone else who looks like you here at the Academy.","미안, 내 실수야 - 사관학교에 너랑 닮은 다른 사람이 있나 보다.",M0Q01A05GILB,,,,,0,0
49719,Creature,Gilbert,"Uh, yeah... I already knew that, remember?","어, 그래... 이미 알고 있었잖아, 기억나?",M0Q01A05GILB,,,,,0,0
49720,Creature,Gilbert,"Sure - I could use a break from these drills, anyway. Herban's a slave driver! It'll be nice to talk with someone who isn't screaming at me all the time.","물론이지 - 어차피 이 훈련에서 좀 쉬고 싶었어. 허반은 혹사시키는 사람이거든! 맨날 소리 안 지르는 사람이랑 얘기하면 좋겠다.",M0Q01A05GILB,,,,,0,0
49721,Creature,Gilbert,"Are you kidding me? This is Lady Aribeth de Tylmarande! Defender of Tyr's faith, Champion of Neverwinter! She's a living legend.","장난해? 버로 그 아리베스 드 틸마란데 경이잖아! 티르 신앙의 수호자, 네버윈터의 용사! 살아있는 전설이라고.",M0Q01A05GILB,,,,,0,0
49722,Creature,Gilbert,"Lord Nasher himself appointed her to oversee all city business dealing with the plague, and she didn't get that job because of her beauty. She earned it with her skill and determination.","나셰르 영주님이 직접 역병 관련 도시 업무를 총괄하도록 임명하셨어. 미모 때문에 그 자리를 얻은 게 아니야. 실력과 결단력으로 쟁취한 거지.",M0Q01A05GILB,,,,,0,0
49723,Creature,Gilbert,"They run us through the grinder pretty good at the Academy. Up early in the morning with the rest of the soldiers, marching, martial drills, the obstacle course, more drills... it isn't easy.","사관학교에서 우릴 꽤 혹독하게 갈아부숴. 다른 병사들이랑 아침 일찍 일어나서 행군, 무술 훈련, 장애물 코스, 또 훈련... 쉽지 않아.",M0Q01A05GILB,,,,,0,0
49724,Creature,Gilbert,"And, for some reason, Herban's taken a personal interest in my progress. Talk about bad luck. Every mistake I make, he's there to let me hear about it. Damn, he can get loud!","그리고 왜인지 허반이 내 진전에 특별한 관심을 가지더라. 운도 없지. 내가 실수할 때마다 바로 옆에서 잔소리야. 젠장, 진짜 목소리가 크다니까!",M0Q01A05GILB,,,,,0,0
49725,Creature,Gilbert,"But it's a lot easier in here than out on the streets, what with the plague and all. And it'll all be worth it in the end as long as Aribeth comes back to grant blessings when I graduate. ","그래도 역병이 도는 거리보다는 여기가 훨씬 나아. 그리고 내가 졸업할 때 아리베스 경이 와서 축복을 내려주기만 하면 다 보람 있을 거야.",M0Q01A05GILB,,,,,0,0
49726,Creature,Gilbert,"Ah, I complain but I think I'm going to make it. But thanks for asking.","아, 투덜대긴 하지만 해낼 것 같아. 물어봐 줘서 고마워.",M0Q01A05GILB,,,,,0,0
49727,Creature,Gilbert,"Aw, it's nothing serious. Just a little hero worship. She's way out of my league.","아, 별거 아니야. 그냥 약간 영웅 숭배랄까. 그녀는 내 분수에 훨씬 넘치는 사람이야.",M0Q01A05GILB,,,,,0,0
49728,Creature,Gilbert,"She's beautiful, famous, smart, talented. What man wouldn't be attracted to her, right? But she's involved with someone, I hear. A cleric of Tyr named Fenthick. Lucky bastard.","아름답고, 유명하고, 똑똑하고, 재능 있고. 어떤 남자가 끌리지 않겠어? 그런데 누군가와 사귀고 있다더라. 펜딕이라는 티르의 성직자랑. 운 좋은 놈.",M0Q01A05GILB,,,,,0,0
49729,Creature,Gilbert,"Besides, Aribeth isn't the only beautiful woman here at the Academy - if you don't mind me saying so. ","게다가, 아리베스 경만 사관학교에서 아름다운 여성인 건 아니거든 - 이런 말해도 된다면.",M0Q01A05GILB,,,,,0,0
49730,Creature,Gilbert,"Terrible thing, isn't it? They've got the entire city under quarantine, but every day there are more bodies in the street. Terrible.","끔찍하지 않아? 도시 전체를 격리시켰는데도 매일 거리에 시체가 늘어나고 있어. 끔찍해.",M0Q01A05GILB,,,,,0,0
49731,Creature,Gilbert,But I doubt even the people of Luskan would be cruel enough to unleash the Wailing Death on us. I think all these conspiracy theories are just scared people looking for someone to blame.,하지만 러스칸 사람들도 울부짖는 죽음 역병을 풀어놓을 만큼 잔인하진 않을 거야. 이런 음모론은 겁먹은 사람들이 누군가를 탓하려는 것 같아.,M0Q01A05GILB,,,,,0,0
49732,Creature,Gilbert,"I heard something about creatures being brought to the Academy from Waterdeep to make a cure. I just hope it's true. That's probably why Lady Aribeth is here today. I hope she takes the time to tour the barracks, I'd love to meet her.","워터딥에서 치료제를 만들기 위해 생명체들을 사관학교로 데려왔다는 얘기를 들었어. 사실이길 바라지. 아마 아리베스 경이 오늘 온 이유도 그거겠지. 막사를 둘러봐 주셨으면 좋겠어, 만나보고 싶거든.",M0Q01A05GILB,,,,,0,0
49733,Creature,Gilbert,"Hey - welcome back, <FirstName>. I hope you haven't changed your mind about tonight.","어 - 다시 왔구나, <FirstName>. 오늘 밤 일에 대해 마음 안 바꿨길 바라지.",M0Q01A05GILB,,,,,0,0
49734,Creature,Gilbert,"And if the plague wasn't bad enough, there's all those rumors going around. You know, people saying the enemies of Neverwinter are behind the whole thing. A lot of people are blaming the town of Luskan.","역병만으로도 모자라서 온갖 소문이 돌고 있어. 알다시피, 네버윈터의 적들이 모든 일의 배후라는 얘기. 많은 사람들이 러스칸을 탓하고 있어.",M0Q01A05GILB,,,,,0,0
49735,Creature,Gilbert,"Anyway, I hear Aribeth is involved with somebody. A priest named Fenthick. And how about you, if you don't mind me asking. Is there a special man in your life?","어쨌든, 아리베스 경은 누군가와 사귀고 있다더라. 펜딕이라는 사제랑. 그나저나 너는, 물어봐도 된다면. 특별한 남자 있어?",M0Q01A05GILB,,,,,0,0
