StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
84618,Creature,Gru'ul the Quarry Boss,"""Have you got that 30,000 gold you owe me, fuzz-knuckle? My grinder ain't going to repair itself...""","""네가 빚진 금화 3만 개 가져왔냐, 이 털보 주먹아? 내 분쇄기가 저절로 고쳐지는 줄 아냐...""",H2_DEVIL_GRUUL,,,,vs_nx2grulm_50,0,0
84619,Creature,Gru'ul the Quarry Boss,"""Have you got that 50,000 gold you owe me, fuzz-knuckle? My grinder ain't going to repair itself...""","""네가 빚진 금화 5만 개 가져왔냐, 이 털보 주먹아? 내 분쇄기가 저절로 고쳐지는 줄 아냐...""",H2_DEVIL_GRUUL,,,,vs_nx2grulm_51,0,0
84620,Creature,Gru'ul the Quarry Boss,"""Pike off! Can't you see I'm busy here? Quarry Grinder 5 just went down. Bloody incompetent filth-puppets! This store is closed until I figure out what in the Nine Hells is going on!""","""꺼져! 내가 바쁜 거 안 보이냐? 채석 분쇄기 5호가 방금 멈췄어. 빌어먹을 무능한 쓰레기 인형들 같으니! 구층 지옥에 무슨 일이 벌어진 건지 알아낼 때까지 가게 문 닫아!""",H2_DEVIL_GRUUL,h2a_gruul_give_q,,,vs_nx2grulm_52,0,0
84621,Creature,Gru'ul the Quarry Boss,"""What part of 'pike off' don't you understand!? Gibbering buzzards! How many times do I have to tell you that this store is closed until Quarry Grinder 5 is back in operation!""","""'꺼져'의 어느 부분을 못 알아듣는 거냐!? 지껄이는 독수리 대가리들! 채석 분쇄기 5호가 다시 가동될 때까지 가게 문 닫았다고 몇 번을 말해야 알아듣냐!""",H2_DEVIL_GRUUL,,,,vs_nx2grulm_53,0,0
84622,Creature,Gru'ul the Quarry Boss,"""I suppose you're expecting a thank you card, aren't you? Coal-black pimple on a glabrezu... Now pike off!""","""감사 카드라도 기대하는 모양이지? 글라브레주 위의 시커먼 여드름 같은 놈... 이제 꺼져!""",H2_DEVIL_GRUUL,,,,vs_nx2grulm_54,0,0
84623,Creature,Gru'ul the Quarry Boss,"""You useless sack of lemure-flesh, why do you insist on coming back? Haven't I suffered enough?""","""이 쓸모없는 레무르 고깃덩어리야, 왜 자꾸 돌아오는 거냐? 내가 충분히 고통받지 않았냐?""",H2_DEVIL_GRUUL,,,,vs_nx2grulm_55,0,0
95680,Creature,Gru'ul the Quarry Boss,"Doing his best to avoid eye contact, the quarry boss tries to straighten a stack of papers on his desk. His claws get in the way, however, scattering them all over again.","눈을 마주치지 않으려고 애쓰며, 채석장 우두머리가 책상 위의 서류 뭉치를 정리하려 합니다. 하지만 발톱이 방해가 되어 서류가 다시 흩어집니다.",H2_DEVIL_GRUUL,,,,,0,0
95681,Creature,Gru'ul the Quarry Boss,"""Why are you always so damn polite? Honestly, that bile you're spewing gets right under my skin and just eats away. Graugh! See that? Just the thought of it is making me twitch!""","""왜 항상 그렇게 빌어먹게 예의 바른 거냐? 솔직히, 네가 뱉는 그 담즙 같은 소리가 내 피부 아래로 파고들어 갉아먹는단 말이야. 그라아! 봤지? 생각만 해도 경련이 일어나잖아!""",H2_DEVIL_GRUUL,,,,,0,0
95682,Creature,Gru'ul the Quarry Boss,"""Hey now, True Names are dangerous things. Wars have been fought over less than that, empires have fallen. I don't have what you're looking for and, even if I did, I wouldn't give it to you, so pike off...""","""이봐, 진명은 위험한 것이야. 그보다 적은 것 때문에 전쟁이 벌어지고, 제국이 무너졌어. 네가 찾는 건 내게 없고, 있어도 안 줄 거니까 꺼져...""",H2_DEVIL_GRUUL,,,,,0,0
95683,Creature,Gru'ul the Quarry Boss,"""Clueless berks... Welcome to the Outer Planes, you basket-weaving nitwit! The Nine Hells of Baator, to be exact!""","""아무것도 모르는 멍청이들... 외계에 온 걸 환영한다, 이 바구니나 짜는 멍청아! 정확히 말하면 베이아터의 구층 지옥이지!""",H2_DEVIL_GRUUL,,,,,0,0
95684,Creature,Gru'ul the Quarry Boss,"""This here is the City of Lost Souls, a remote outpost in the wastes of Cania, the Eighth Hell of Baator. Look up and you'll see Maladomini, the Seventh. Dig down and you'll find the Ninth, Nessus.""","""여긴 잃어버린 영혼들의 도시야, 베이아터의 여덟 번째 지옥인 카니아의 황무지에 있는 외딴 전초기지지. 위를 올려다보면 일곱 번째인 말라도미니가 보이고, 아래로 파면 아홉 번째인 네서스가 나와.""",H2_DEVIL_GRUUL,,,,,0,0
95685,Creature,Gru'ul the Quarry Boss,"""How many questions do you intend to ask, you annoying pea-brained gnat!? Some of the Hells are hot, some aren't, all right? Phlegethos, the Fourth Hell, has rivers of liquid fire! What does it matter?""","""질문을 몇 개나 할 셈이냐, 이 짜증나는 콩알 뇌 각다귀야!? 어떤 지옥은 덥고, 어떤 건 안 더워, 알겠냐? 네 번째 지옥인 플레게토스엔 액체 불의 강이 흐른다고! 그게 뭔 상관이냐?""",H2_DEVIL_GRUUL,,,,,0,0
95686,Creature,Gru'ul the Quarry Boss,"""The Big M? Tall, dark, and evil? You're lucky if you'll ever be half as bad as he is, you snot-nosed spawn of a rakshasan litter! He's the one who named me Quarry Boss, I'll have you know...""","""메피 형님? 키 크고, 어둡고, 사악한 그분? 그분의 반만큼이라도 나빠질 수 있으면 운 좋은 줄 알아라, 이 콧물 흘리는 락샤사 새끼야! 나를 채석장 우두머리로 임명한 분이 바로 그분이시다, 알아둬...""",H2_DEVIL_GRUUL,,,,,0,0
95687,Creature,Gru'ul the Quarry Boss,"""Get on with it, then, you smelly tongue-wagger. All this talking is making my scales itch!""","""그럼 어서 해, 이 냄새나는 수다쟁이야. 이 떠드는 것 때문에 비늘이 간지럽다고!""",H2_DEVIL_GRUUL,,,,,0,0
95688,Creature,Gru'ul the Quarry Boss,"""Hrmph! What does any devil want? To slay a demon in the Blood War, to sow the seeds of evil and grow in power, to defeat Asmodeus and become Lord of the Ninth! All things come down to this!""","""흥! 마귀가 뭘 원하겠냐? 피의 전쟁에서 악마를 죽이고, 악의 씨앗을 뿌려 힘을 키우고, 아스모데우스를 물리치고 아홉 번째의 군주가 되는 것! 모든 건 결국 이걸로 귀결돼!""",H2_DEVIL_GRUUL,,,,,0,0
95689,Creature,Gru'ul the Quarry Boss,"""Ha! Do we go for tea and play a little chess while warming our feet by his fires? Gnat-brained flat-head! The Big M has no time for the likes of me! Not that I don't have my ambitions, mind you..."" ","""하! 우리가 그분의 불 옆에서 발 녹이면서 차 마시고 체스나 두냐? 각다귀 뇌 납작 대가리야! 메피 형님은 나 같은 놈한테 신경 쓸 시간이 없어! 그렇다고 내게 야망이 없는 건 아니지만..."" """,H2_DEVIL_GRUUL,,,,,0,0
95690,Creature,Gru'ul the Quarry Boss,"""But yes, now that you mention it, there were some nasty rumors about some drow she-wench in some distant world who discovered the Big M's True Name. It seemed too far-fetched to be true but who knows...""","""하지만 그래, 말이 나온 김에, 어떤 먼 세계의 드로우 계집애가 메피 형님의 진명을 발견했다는 지저분한 소문이 있었어. 너무 터무니없어서 사실이 아닌 것 같았지만 누가 알겠냐...""",H2_DEVIL_GRUUL,,,,,0,0
95691,Creature,Gru'ul the Quarry Boss,"""Mephistopheles, Lord of Cania, the Eighth Hell, beholden to none but Asmodeus, Lord of Nessus, the Ninth Hell, who is king of them all. Like me, he is of the Baatezu, the devilkind.""","""메피스토펠레스, 여덟 번째 지옥인 카니아의 군주, 아홉 번째 지옥인 네서스의 군주이자 모두의 왕인 아스모데우스 외엔 아무에게도 신세 지지 않는 분이지. 나처럼 그분도 바테주, 즉 마귀족이야.""",H2_DEVIL_GRUUL,,,,,0,0
