StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
43252,Dialog,HAED,Why have you seized this Word of Power? **hiss** Who do you serve?,왜 이 권능의 언령을 손에 넣었느냐? **쉿쉿** 누구를 섬기느냐?,M3Q01A01HAED,,,,vs_nhaedraf_089,0,0
43253,Dialog,HAED,"My magic has sealed the door, the Word of Power shall not leave until you have answered my questions. **hiss** Who do you serve!","내 마법이 문을 봉인했다, 내 질문에 답하기 전까지 권능의 언령은 떠날 수 없다. **쉿쉿** 누구를 섬기느냐!",M3Q01A01HAED,,,,vs_nhaedraf_099,0,0
43254,Dialog,HAED,First you must answer me!,먼저 내게 답해야 한다!,M3Q01A01HAED,,,,vs_nhaedraf_097,0,0
43255,Dialog,HAED," **hiss** You cannot slay a projection, <race> fool!!","**쉿쉿** 투영체를 죽일 수는 없다, 어리석은 <race>여!!",M3Q01A01HAED,,,,vs_nhaedraf_098,0,0
43256,Dialog,HAED,"These names mean nothing to me. **hiss** Your cities are young, your history but a single page in the accounts of the world.","그런 이름은 내게 아무 의미가 없다. **쉿쉿** 네 도시는 어리고, 네 역사는 세상의 기록 중 한 장에 불과하다.",M3Q01A01HAED,,,,vs_nhaedraf_090,0,0
43257,Dialog,HAED,There is only one name that mattersss to me among your kind - Maugrim. **hiss** Tell me <race> one - do you serve Maugrim?,네 종족 중 내게 중요한 이름은 하나뿐 - 모그림. **쉿쉿** 말해보거라 <race> - 너는 모그림을 섬기느냐?,M3Q01A01HAED,,,,vs_nhaedraf_091,0,0
43258,Dialog,HAED,"Your lies are known to me, <race> one! **hiss** I sense that you seek Maugrim's defeat! This is good.","네 거짓말은 내게 들킨다, <race>여! **쉿쉿** 네가 모그림의 패배를 원한다는 것을 느낀다! 좋은 일이로다.",M3Q01A01HAED,,,,vs_nhaedraf_093,0,0
43259,Dialog,HAED,"I see you speak the truth, <race> one. This is good.","네가 진실을 말함을 알겠다, <race>여. 좋은 일이로다.",M3Q01A01HAED,,,,vs_nhaedraf_092,0,0
43260,Dialog,HAED,Your enemies are mine as well. Maugrim must be stopped. He must not get the Words of Power!,네 적은 나의 적이기도 하다. 모그림을 막아야 한다. 그가 권능의 언령을 손에 넣어서는 안 된다!,M3Q01A01HAED,,,,vs_nhaedraf_094,0,0
43261,Dialog,HAED,"My name is Haedraline, leader of the Word Slaves. **hiss** This is but a projection of my true form - I am yet too far to aid you in this task.","내 이름은 하에드랄린, 언령의 노예들의 지도자다. **쉿쉿** 이것은 내 진정한 모습의 투영에 불과하다 - 이 임무를 돕기엔 아직 너무 멀리 있다.",M3Q01A01HAED,,,,vs_nhaedraf_095,0,0
