StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
69116,Dialog,HANIAH,"<FirstName>, it is good to see you! I was about to send someone down to check on everyone at Master Drogan's. I am afraid events are far out of hand around here.","<FirstName>, 만나서 반가워요! 드로건 스승님 댁에 가서 모두 잘 있는지 확인할 사람을 보낼 참이었어요. 여기 상황이 정말 걷잡을 수 없이 돌아가고 있어서요.",Q1_HANIAH,act_haniah2,,,,0,0
69118,Dialog,HANIAH,"Uh... thank you, sir. You are a very good boss too... <StartAction>[mutter]</Start> usually...","어... 감사합니다, 시장님. 당신도 정말 좋은 상사세요... <StartAction>[웅얼거림]</Start> 보통은...",Q1_HANIAH,,,,,0,0
69119,Dialog,HANIAH,"Not exactly a party. I found the mayor this way in his home, after the kobold attack. He was hiding in his cellar with two empty wine bottles beside him.",딱히 파티라고 할 건 아니에요. 코볼트 공격 후 집에서 시장님을 이렇게 발견했어요. 빈 포도주 병 두 개를 옆에 둔 채 지하실에 숨어 계셨죠.,Q1_HANIAH,,,,,0,0
69120,Dialog,HANIAH,"Oh no! The mayor has been drunk on occasions, but never during a workday. I found him this way, after the kobold attack. He was hiding in his cellar with two empty wine bottles beside him.","아뇨! 시장님이 가끔 술에 취하긴 하지만, 근무일에는 절대 아니었어요. 코볼트 공격 후 이렇게 발견했어요. 빈 포도주 병 두 개를 옆에 둔 채 지하실에 숨어 계셨죠.",Q1_HANIAH,,,,,0,0
69121,Dialog,HANIAH,"I found the mayor this way in his home, after the kobold attack. He was hiding in his cellar with two empty wine bottles beside him.",코볼트 공격 후 집에서 시장님을 이렇게 발견했어요. 빈 포도주 병 두 개를 옆에 둔 채 지하실에 숨어 계셨죠.,Q1_HANIAH,,,,,0,0
69122,Dialog,HANIAH,I think the stress of the attack was simply too much for him and he lost control. I just hope that he will be better when he sobers up. I know it frightened me.,공격의 스트레스가 너무 심해서 자제력을 잃으신 것 같아요. 술에서 깨시면 나아지길 바랄 뿐이에요. 저도 정말 무서웠거든요.,Q1_HANIAH,,,,,0,0
69123,Dialog,HANIAH,"Luckily I was here and there were enough local farmers and townsmen to hold the kobolds off. They mostly just ran past, when they saw how many were in here. ","다행히 제가 여기 있었고, 충분히 많은 지역 농부와 마을 사람들이 코볼트들을 막아냈어요. 대부분 여기 사람이 얼마나 많은지 보고는 그냥 달아났죠.",Q1_HANIAH,,,,,0,0
69124,Dialog,HANIAH,So is everyone alright at the school?,학교는 모두 괜찮나요?,Q1_HANIAH,,,,,0,0
69125,Dialog,HANIAH,"Not Master Drogan! Oh, I can hardly afford to lose him. I was desperately hoping that he could help me deal with all of the problems that have cropped up after the attack.","드로건 스승님이라니! 오, 스승님을 잃을 형편이 못 돼요. 공격 후 생긴 모든 문제를 처리하는 데 도움을 주실 수 있다고 간절히 바라고 있었는데요.",Q1_HANIAH,,,,,0,0
69126,Dialog,HANIAH,"Ah, I suppose that sounds awfully selfish of me, but I have only been here a short time, and now the mayor is completely useless!","아, 제가 너무 이기적으로 들리는 것 같네요. 하지만 저는 여기 온 지 얼마 안 됐고, 지금 시장님은 완전히 쓸모없는 상태거든요!",Q1_HANIAH,,,,,0,0
69128,Dialog,HANIAH,"Oh, <FirstName>, what do I do?","오, <FirstName>, 어떻게 하죠?",Q1_HANIAH,,,,,0,0
69129,Dialog,HANIAH,I will do whatever is in my power to help you and Master Drogan. I just am unsure how much help I can give right now.,제 힘이 닿는 한 당신과 드로건 스승님을 도울게요. 지금 당장 얼마나 도움을 드릴 수 있을지 확신은 안 서지만요.,Q1_HANIAH,,,,,0,0
69130,Dialog,HANIAH,"I am sure you do, <FirstName>. And if there is anything I can do to help, you can ask. I doubt there is a lot of help I can give though.","그러실 거라 믿어요, <FirstName>. 도울 일이 있다면 말씀하세요. 제가 크게 도울 수 있을 것 같진 않지만요.",Q1_HANIAH,,,,,0,0
69132,Dialog,HANIAH,"My name is Haniah, not Toots, and I am no tavern wench. I think you have had enough to drink, sir.","제 이름은 하니아이지, '아가씨'가 아니에요. 그리고 저는 술집 접대부가 아니고요. 술은 충분히 드신 것 같네요, 시장님.",Q1_HANIAH,,,,,0,0
69134,Dialog,HANIAH,"I am sorry, <FirstName>, but I have little time. Is there something you need?","죄송해요, <FirstName>, 시간이 별로 없어요. 필요하신 게 있나요?",Q1_HANIAH,,,,,0,0
69135,Dialog,HANIAH,"Farewell, <FirstName>. ","안녕히 가세요, <FirstName>.",Q1_HANIAH,,,,,0,0
69136,Dialog,HANIAH,I find that in the last few minutes you have disillusioned me and encouraging you is the last thing on my mind.,"방금 몇 분 동안 당신이 저를 환멸에 빠뜨렸고, 격려하는 건 제 마음에 전혀 없어요.",Q1_HANIAH,,,,,0,0
69137,Dialog,HANIAH,"I must admit, that in the last few years, I have had thoughts of you that go a step or two beyond friendship. ","솔직히 말하면, 지난 몇 년 동안 우정을 넘어서는 생각을 당신에 대해 해왔어요.",Q1_HANIAH,,,,,0,0
69138,Dialog,HANIAH,The only encouragement I can offer is the thought that someday we can get to know each other better. Perhaps as something more than just friends.,제가 드릴 수 있는 유일한 격려는 언젠가 우리가 서로를 더 잘 알게 될 수 있다는 생각이에요. 아마도 친구 이상으로요.,Q1_HANIAH,,,,,0,0
69139,Dialog,HANIAH,"At the risk of sounding a little brazen, <FirstName>, if we get through these days and things can return to normal, I promise you a night of encouragement you will never forget.","좀 뻔뻔하게 들릴 위험을 무릅쓰고 말하자면, <FirstName>, 우리가 이 시기를 헤쳐나가고 상황이 정상으로 돌아갈 수 있다면, 절대 잊지 못할 격려의 밤을 약속할게요.",Q1_HANIAH,,,,,0,0
