StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
74795,Dialog,HEN_DOR_UP,"Hmph. I somehow doubt Master Drogan would ask you to rescue anything that he didn't expect you to rob, first.","흥. 드로건 스승님이 네가 먼저 훔치리라 예상하지 않은 걸 구해 오라고 했을까 의심스러운걸.",X0_HEN_DOR_UP,,,,vs_nx0dornf_050,0,0
74799,Dialog,HEN_DOR_UP,"And what would you know of the adventurer's life, Xanos? Do tell the rest of us.","자노스, 넌 모험가의 삶에 대해 뭘 안다고 그래? 우리한테 좀 말해 봐.",X0_HEN_DOR_UP,,,,,0,0
74804,Dialog,HEN_DOR_UP,"Master Drogan tests us all, <FirstName>, so that we reach the potential we came to his school to achieve.","드로건 스승님은 우리 모두를 시험하지, <FirstName>. 그래야 우리가 이 학교에 온 이유인 잠재력에 도달할 수 있으니까.",X0_HEN_DOR_UP,,,,,0,0
74805,Dialog,HEN_DOR_UP,"Your tests are different than the rest of ours, naturally, but the goal is the same. Master Drogan is a very wise man.","네 시험은 당연히 우리와 다르지만, 목표는 같아. 드로건 스승님은 정말 지혜로우신 분이야.",X0_HEN_DOR_UP,,,,,0,0
74808,Dialog,HEN_DOR_UP,"Your tests are more related to stealth and combat, as mine are, but the goal is the same. Master Drogan is a very wise man.","네 시험은 내 것처럼 은신과 전투에 더 관련되어 있지만, 목표는 같아. 드로건 스승님은 정말 지혜로우신 분이야.",X0_HEN_DOR_UP,,,,,0,0
74809,Dialog,HEN_DOR_UP,"Your tests are more related to magic, of course, just as Xanos's are, but the goal is the same. Master Drogan is a very wise man.","네 시험은 물론 자노스 것처럼 마법에 더 관련되어 있지만, 목표는 같아. 드로건 스승님은 정말 지혜로우신 분이야.",X0_HEN_DOR_UP,,,,,0,0
74810,Dialog,HEN_DOR_UP,"You are a paladin... surely you were tested in some of the same ways as Mischa has been, no? Master Drogan is a very wise man.","넌 성기사잖아... 분명 미샤가 받은 것과 비슷한 방식으로 시험받았겠지? 드로건 스승님은 정말 지혜로우신 분이야.",X0_HEN_DOR_UP,,,,,0,0
74821,Dialog,HEN_DOR_UP,"Perhaps there is a lesson to learn in Master Drogan's test that you have not thought of yet, Mischa.","아마 드로건 스승님 시험에 네가 아직 생각하지 못한 배울 점이 있을 거야, 미샤.",X0_HEN_DOR_UP,,,,,0,0
74822,Dialog,HEN_DOR_UP,Why? I suppose you have something better to do? All of us are finished our training for the day.,왜? 더 나은 할 일이 있어? 우리 모두 오늘 훈련은 끝났는걸.,X0_HEN_DOR_UP,,,,,0,0
74833,Dialog,HEN_DOR_UP,<FirstName>... I heard Master Drogan saying that your final test would be coming very soon. Do you think you are ready for it?,"<FirstName>... 드로건 스승님이 네 최종 시험이 곧 있을 거라고 말씀하시는 걸 들었어. 준비됐다고 생각해?",X0_HEN_DOR_UP,,,,,0,0
