StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36544,Dialog,HOUSE,"Who are you? I can see you are reasonable, so please, leave us to our misery.","당신은 누구요? 이성적인 사람으로 보이니 부탁인데 우릴 그냥 내버려두시오.",M2Q3G02HOUSE,,,,,0,0
36545,Dialog,HOUSE,What reason have you for entering my home?,무슨 이유로 내 집에 들어왔소?,M2Q3G02HOUSE,,,,,0,0
36546,Dialog,HOUSE,"Who are you to enter this home? Some thug from away, most likely. Like we haven't suffered enough.","누가 이 집에 들어오는 거요? 아마 외지에서 온 깡패겠지. 우리가 충분히 고생 안 했다고 생각하나.",M2Q3G02HOUSE,,,,,0,0
36547,Dialog,HOUSE,"I have no desire to school you. Turn yourself around and get out. We have trouble enough, endless trouble.","당신을 가르칠 생각 없소. 돌아서서 나가시오. 우린 충분히 문제가 많소. 끝없는 문제가.",M2Q3G02HOUSE,,,,,0,0
36548,Dialog,HOUSE,You come to my home and bother me with your petty questions? Like I don't have trouble enough.,내 집에 와서 시시한 질문으로 귀찮게 하는 거요? 문제가 충분치 않다는 듯이.,M2Q3G02HOUSE,,,,,0,0
36549,Dialog,HOUSE,"Never-what? There is nowhere by Charwood. We've all forgotten. You won't find what you need in this town. We never did either, it seems... ","네버-뭐라고? 그을린숲 외에는 아무 곳도 없소. 우린 다 잊었소. 이 마을에서 필요한 걸 찾지 못할 거요. 우리도 못 찾았으니...",M2Q3G02HOUSE,,,,,0,0
36550,Dialog,HOUSE,As you will. There's little I can do to stop you... ,마음대로 하시오. 막을 방법이 거의 없으니...,M2Q3G02HOUSE,,,,,0,0
36551,Dialog,HOUSE,"It's a damned place. Anyone who strings you a story sayin' it isn't is one o' the people who damned it, Karlat Jhareg included.","저주받은 곳이오. 아니라고 말하는 자는 누구든 이곳을 저주한 자들 중 하나요. 칼랏 자렉도 포함해서.",M2Q3G02HOUSE,,,,,0,0
36552,Dialog,HOUSE,"This ain't the fate we bargained for, but it's our fault. We settled at the feet of demons, we did... just to be safe... safe forever... ","이건 우리가 바랐던 운명이 아니지만 우리 잘못이오. 악마의 발치에 정착했소... 단지 안전하려고... 영원히 안전하려고...",M2Q3G02HOUSE,,,,,0,0
36553,Dialog,HOUSE,"Talk to the Mayor, he won't tell you. Talk to us, we won't tell you. None of us can say... none of us can finish it... it just goes on... ","촌장에게 말하면 말 안 하고. 우리에게 말하면 말 안 하고. 누구도 말할 수 없소... 누구도 끝낼 수 없소... 그냥 계속될 뿐...",M2Q3G02HOUSE,,,,,0,0
36554,Dialog,HOUSE,"My child has been taken from me, and while no one else in town seems to care, it bothers me a great deal!","내 아이를 빼앗겼는데 마을의 다른 누구도 신경 안 쓰는 것 같지만 나한테는 큰 문제요!",M2Q3G02HOUSE,,,,,0,0
36555,Dialog,HOUSE,"No doubt I've seen you a million times by now, not that I'd ever remember it. We've got enough trouble without you.","지금까지 당신을 백만 번은 봤을 거요. 기억은 안 나지만. 당신 없이도 문제는 충분하오.",M2Q3G02HOUSE,,,,,0,0
36556,Dialog,HOUSE,"Nobody here is important. Not the mayor, not me. Maybe Quint, but he's mad. Maybe you, but you don't understand. Maybe Karlat, who's to know?","여기서 중요한 사람은 없소. 촌장도, 나도. 퀸트는 그럴지도 모르지만 미쳤소. 당신도 그럴지 모르지만 이해 못 하고. 칼랏도 그럴지 모르지만 누가 알겠소?",M2Q3G02HOUSE,,,,,0,0
36557,Dialog,HOUSE,"There's nothing I can do. That Quint Jhareg has taken my son, and what can I say about it? Nothing! Not even the Mayor can say anything... ","할 수 있는 게 없소. 퀸트 자렉이 내 아들을 데려갔는데 뭐라 하겠소? 아무것도! 촌장도 아무 말 못 해...",M2Q3G02HOUSE,,,,,0,0
36558,Dialog,HOUSE,"Nobody said it was a concern for you. You asked, and I told, but I didn't ask you to come here.","당신 일이라고 한 적 없소. 당신이 물어서 말한 것뿐이고 여기 오라고 한 적 없소.",M2Q3G02HOUSE,,,,,0,0
36559,Dialog,HOUSE,"The Lords Jhareg do what they please, and damned if the rest of us aren't as much to blame for what happened in that castle! We're all to blame!","자렉 영주들은 마음대로 하고 저 성에서 일어난 일은 나머지 우리도 똑같이 잘못이오! 우린 모두 잘못했소!",M2Q3G02HOUSE,,,,,0,0
36560,Dialog,HOUSE,"No, I won't say... I won't say... I won't let it be known... This can repeat to eternity... and I won't let it be known... ","아니오, 말 안 할 거요... 말 안 할 거요... 알려지게 하지 않겠소... 이건 영원히 반복될 수 있소... 그래도 알려지게 하지 않겠소...",M2Q3G02HOUSE,,,,,0,0
36561,Dialog,HOUSE,"I won't let it be known... I won't let it... It can repeat forever, but I won't let it be known... ","알려지게 하지 않겠소... 하지 않겠소... 영원히 반복될 수 있지만 알려지게 하지 않겠소...",M2Q3G02HOUSE,,,,,0,0
36562,Dialog,HOUSE,"No one cares. That's the price we paid, I guess. No one cares, and it never ends... and I'll never let it be known... ","아무도 신경 안 쓰오. 우리가 치른 대가겠지. 아무도 신경 안 쓰고 끝나지도 않고... 그래도 절대 알려지게 하지 않겠소...",M2Q3G02HOUSE,,,,,0,0
36563,Dialog,HOUSE,"Karlat Jhereg might know what you want, but he's beyond caring about you, me... anything. ","칼랏 자렉이 당신이 원하는 걸 알지도 모르지만 그는 당신도, 나도... 뭐든 신경 안 쓰오.",M2Q3G02HOUSE,,,,,0,0
