StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
75986,Henchman,Henchman_DOR,I don't believe we have anything to say to one another. Do your job and I'll be happy.,서로 할 말이 없다고 생각해. 네 일이나 해. 그럼 난 행복할 거야.,DOR,,,,vs_nx0dornf_054,0,0
75987,Henchman,Henchman_DOR,"Well that could have gone far better, couldn't it? I am sorry I let you down.","훨씬 더 잘될 수도 있었는데, 그렇지? 실망시켜서 미안해.",DOR,,,,vs_nx0dornf_055,0,0
75988,Henchman,Henchman_DOR,I would speak with you a moment.,잠깐 이야기 좀 하자.,DOR,,,,vs_nx0dornf_056,0,0
75990,Henchman,Henchman_DOR,"I must admit I'm rather looking forward to exploring some of the ruins we're sure to find here. Ancient Netheril has always held a certain fascination for me, you see.",솔직히 말하면 여기서 찾을 유적들을 탐험하는 게 꽤 기대돼. 고대 네더릴은 나한테 늘 특별한 매력이 있었거든.,DOR,x0_d1_meet,,,vs_nx0dornf_058,0,0
75992,Henchman,Henchman_DOR,"You're back, I see. Do you need me to travel with you again?",돌아왔구나. 다시 나랑 함께 여행할 필요 있어?,DOR,,,,vs_nx0dornf_060,0,0
75993,Henchman,Henchman_DOR,Yes? What do you need?,응? 뭐 필요한 거 있어?,DOR,,,,vs_nx0dornf_061,0,0
75994,Henchman,Henchman_DOR,"I'm not needed to guard the house, no matter what Ayala says. Take me with you.",아얄라가 뭐라든 집 지킬 필요 없어. 나 데려가.,DOR,,,,vs_nx0dornf_062,0,0
75995,Henchman,Henchman_DOR,Standing around this camp is not my idea of fun. I'd much rather be out exploring ruins with you.,야영지에서 빈둥거리는 건 내 취향이 아냐. 차라리 너랑 유적 탐험하는 게 훨씬 낫지.,DOR,,,,vs_nx0dornf_063,0,0
75996,Henchman,Henchman_DOR,"I hope you need my help. This city may be dead, but I'll bet it's still dangerous.","네 도움이 필요하길 바래. 이 도시는 죽었지만, 여전히 위험할 거라고 확신해.",DOR,,,,vs_nx0dornf_064,0,0
77153,Henchman,Henchman_DOR,"This is the statue with the crystal that was so important, right? We should get it back to Ayala as soon as possible.",그렇게 중요하다던 크리스탈이 박힌 조각상이지? 최대한 빨리 아얄라에게 돌려줘야 해.,DOR,x0_d1_hen_noline,,,,0,0
77154,Henchman,Henchman_DOR,"Glad as I am, this is the closest I ever want to get to a dragon's tooth.","기쁘긴 하지만, 용의 이빨에 이렇게 가까이 온 건 처음이자 마지막이길 바래.",DOR,x0_d1_hen_noline,,,,0,0
77155,Henchman,Henchman_DOR,"We've got Mask's mask... er, the mask of Mask. Um... whatever it is, we've got it!","마스크의 가면을 손에 넣었어... 아니, 마스크가 쓴 가면을. 음... 뭐든 간에, 우리가 가졌어!",DOR,x0_d1_hen_noline,,,,0,0
77156,Henchman,Henchman_DOR,"We've got the hand! Ugly little thing, but we've got it!","손을 손에 넣었어! 못생긴 작은 물건이지만, 우리가 가졌어!",DOR,x0_d1_hen_noline,,,,0,0
77157,Henchman,Henchman_DOR,"Oh, this is not good. Dragons... we aren't suppose to fight dragons, are we?","아, 이건 좋지 않아. 용이라니... 우린 용과 싸워야 하는 건 아니지, 그렇지?",DOR,x0_d1_hen_noline,,,,0,0
77158,Henchman,Henchman_DOR,Be careful in here. It seems unnaturally cold. I don't like this one bit.,여기서 조심해. 부자연스럽게 추워. 이거 전혀 마음에 안 들어.,DOR,x0_d1_hen_noline,,,,0,0
77159,Henchman,Henchman_DOR,These kobolds aren't fighters. Most seem deathly afraid of us.,이 코볼트들은 전사가 아냐. 대부분 우릴 무척 두려워하는 것 같아.,DOR,x0_d1_hen_noline,,,,0,0
77160,Henchman,Henchman_DOR,Take careful steps in here. Kobolds are at their sneaky worst in tight quarters.,여기선 조심스럽게 걸어. 코볼트들은 좁은 곳에서 가장 교활해지거든.,DOR,x0_d1_hen_noline,,,,0,0
77161,Henchman,Henchman_DOR,Looks like there's some human slaves here. I wonder where they came from.,인간 노예들이 여기 있는 것 같네. 어디서 온 건지 궁금하다.,DOR,x0_d1_hen_noline,,,,0,0
77162,Henchman,Henchman_DOR,The gnolls have kobolds caged up in here. Minion against minion. Their masters must really hate each other.,놀들이 여기 코볼트들을 우리에 가뒀어. 하수인끼리 맞서게 하다니. 주인들이 정말 서로 증오하나 봐.,DOR,x0_d1_hen_noline,,,,0,0
77163,Henchman,Henchman_DOR,Why's this building still standing? Must be something important inside if it was spared.,왜 이 건물은 아직 서 있는 거지? 살아남았다면 안에 뭔가 중요한 게 있을 거야.,DOR,x0_d1_hen_noline,,,,0,0
77164,Henchman,Henchman_DOR,This place looks worse than Hilltop. Keep lookout for gnolls still around.,이곳은 힐탑보다 더 안 좋아 보여. 아직 주변에 있을 놀들을 조심해.,DOR,x0_d1_hen_noline,,,,0,0
77165,Henchman,Henchman_DOR,Forest as far as you can see... or would want to. There's nothing for a thief to do among the trees.,"보이는 데까지, 아니 보고 싶은 데까지 숲이네... 나무들 사이엔 도둑이 할 일이 없어.",DOR,x0_d1_hen_noline,,,,0,0
77166,Henchman,Henchman_DOR,"Ah, good solid stone all around. You can't go wrong with stone.","아, 주변이 다 튼튼한 돌이네. 돌은 믿을 수 있지.",DOR,x0_d1_hen_noline,,,,0,0
77167,Henchman,Henchman_DOR,No offence to their living kin but elven ghosts are not my idea of good company.,살아있는 친척들한테는 미안하지만 엘프 유령들은 내 취향의 동반자가 아냐.,DOR,x0_d1_hen_noline,,,,0,0
77168,Henchman,Henchman_DOR,"Our kobold attackers ambushed by gnolls? Can't say I'm sad, but I'd like to know why it happened.","우릴 공격한 코볼트들이 놀들한테 기습당했어? 슬프진 않지만, 왜 그런 일이 일어났는지 알고 싶네.",DOR,x0_d1_hen_noline,,,,0,0
77169,Henchman,Henchman_DOR,This area shouldn't be so bare. Where has everyone gone?,이 지역이 이렇게 텅 비어 있을 리 없는데. 다들 어디 간 거야?,DOR,x0_d1_hen_noline,,,,0,0
77170,Henchman,Henchman_DOR,A caravan? What is it doing here this soon after an attack?,캐러밴? 공격 직후에 여기서 뭐 하는 거지?,DOR,x0_d1_hen_noline,,,,0,0
77171,Henchman,Henchman_DOR,"Just what the place needs, a doomsayer to keep people fired up and scared. Feh!","딱 이곳에 필요한 거네, 사람들을 불타오르게 하고 겁먹게 할 종말론자. 쳇!",DOR,x0_d1_hen_noline,,,,0,0
77172,Henchman,Henchman_DOR,Well isn't that grand. Soused-up on ale while the town falls around him.,참 좋구만. 마을이 무너지는데 에일에 취해있네.,DOR,x0_d1_hen_noline,,,,0,0
77173,Henchman,Henchman_DOR,"Looks like the locals are about to try and take back the building. Good luck to them, I says.","주민들이 건물을 되찾으려는 것 같아. 행운을 빌어, 내가 보기엔.",DOR,x0_d1_hen_noline,,,,0,0
77174,Henchman,Henchman_DOR,"Drogan's lab is downstairs. If he kept the artifacts anywhere, it would have been there. It's well-guarded, however... I've never been able to sneak into it, so I wonder how they could have.","드로건의 실험실은 아래층이야. 유물들을 어딘가에 보관했다면 거기였을 거야. 하지만 경비가 삼엄해... 난 한 번도 몰래 들어가지 못했는데, 어떻게 들어간 건지 궁금하네.",DOR,x0_d1_hen_noline,,,,0,0
77175,Henchman,Henchman_DOR,Another one? The ground is supposed to be solid beneath your feet. That's the one thing you should be able to count on in life. ,또야? 땅은 발밑에서 단단해야 해. 그게 인생에서 믿을 수 있는 한 가지인데.,DOR,x0_d1_hen_noline,,,,0,0
77176,Henchman,Henchman_DOR,That was a big tremor. Feels like everything shifted. A move like that back home would have been devastating.,큰 진동이었어. 모든 게 흔들린 것 같아. 고향에서 저런 움직임이 있었다면 참담했을 거야.,DOR,x0_d1_hen_noline,,,,0,0
77177,Henchman,Henchman_DOR,"That was the last one, right? Whew. Glad that's over with.",마지막이었지? 휴. 끝나서 다행이네.,DOR,x0_d1_hen_noline,,,,0,0
77178,Henchman,Henchman_DOR,"Five more to go. It is only five more, right? I'd hate to find out otherwise.",5번 더 남았어. 딱 5번만 맞지? 그 이상이라는 걸 알게 되면 싫은데.,DOR,x0_d1_hen_noline,,,,0,0
77179,Henchman,Henchman_DOR,"Well... nine more to go, I guess. Shouldn't take too long... right?",음... 9번 더 남았나 봐. 그리 오래 걸리진 않겠지... 그렇지?,DOR,x0_d1_hen_noline,,,,0,0
77180,Henchman,Henchman_DOR,What else is coming? We've got to finish this soon and get out of here. Let's get to it!,또 뭐가 오는 거야? 빨리 끝내고 여기서 나가야 해. 시작하자!,DOR,x0_d1_hen_noline,,,,0,0
77181,Henchman,Henchman_DOR,This isn't good! No way this is good! You see that thing? What is that?!,이건 좋지 않아! 절대 좋을 리 없어! 저거 봤어? 저게 뭐야?!,DOR,x0_d1_hen_noline,,,,0,0
77182,Henchman,Henchman_DOR,I don't trust any of this. Stone that floats? It's just unnatural. Where are the pillars? The crossbeams?,이거 전혀 믿을 수 없어. 떠다니는 돌? 부자연스러워. 기둥은? 들보는?,DOR,x0_d1_hen_noline,,,,0,0
77183,Henchman,Henchman_DOR,"This... is really strange. Lead on, but be careful, all right?","이건... 정말 이상해. 앞장서, 근데 조심해, 알았지?",DOR,x0_d1_hen_noline,,,,0,0
77184,Henchman,Henchman_DOR,Doors upon doors. Feh! What twisted mind fills their house with doors like this? How do you get anywhere?,문이 또 문이네. 쳇! 어떤 비틀린 정신이 집을 이런 문들로 가득 채우는 거야? 어떻게 어디든 가?,DOR,x0_d1_hen_noline,,,,0,0
77185,Henchman,Henchman_DOR,I see signs of traps all over this place. Don't know if they are supposed to hurt us or just wake the dead.,이곳 곳곳에 함정의 흔적이 보여. 우릴 다치게 하려는 건지 아니면 그냥 죽은 자들을 깨우려는 건지 모르겠네.,DOR,x0_d1_hen_noline,,,,0,0
77186,Henchman,Henchman_DOR,I'm am not going to end up dead in this place. Not here. We have to beat that undead thing. We have to.,난 이곳에서 죽지 않을 거야. 여기선 안 돼. 저 언데드를 물리쳐야 해. 반드시.,DOR,x0_d1_hen_noline,,,,0,0
77187,Henchman,Henchman_DOR,Nothing feels right in here. Even the air feels... dead.,여기선 아무것도 제대로 느껴지지 않아. 심지어 공기조차... 죽은 것 같아.,DOR,x0_d1_hen_noline,,,,0,0
77188,Henchman,Henchman_DOR,"I've gotten lost in a good book before but... I'm sorry, I just can't finish the joke. This is simply too weird.","좋은 책에 빠져본 적은 있지만... 미안, 농담을 끝낼 수가 없네. 이건 너무 이상해.",DOR,x0_d1_hen_noline,,,,0,0
77189,Henchman,Henchman_DOR,Look! These books... can you imagine what they hold? That's where we'll find riches... in these pages!,봐! 이 책들... 뭐가 담겨 있을지 상상돼? 여기서 부를 찾을 거야... 이 페이지들에서!,DOR,x0_d1_hen_noline,,,,0,0
77190,Henchman,Henchman_DOR,I don't think anyone from our time is meant to be down here. This place was never meant for my kind.,우리 시대 사람은 여기 내려올 운명이 아닌 것 같아. 이곳은 나 같은 사람을 위한 게 아니었어.,DOR,x0_d1_hen_noline,,,,0,0
77191,Henchman,Henchman_DOR,Nothing feels right down here. It's like walking back in time.,여기 아래선 아무것도 제대로 느껴지지 않아. 시간을 거슬러 걷는 것 같아.,DOR,x0_d1_hen_noline,,,,0,0
77192,Henchman,Henchman_DOR,This stone... even the earth under my feet... it feels ancient. Whoever built this place is thousands of years gone... I'd hope.,이 돌... 심지어 발 밑의 땅까지... 고대의 느낌이야. 이곳을 지은 자는 수천 년 전에 사라졌어... 그러길 바래.,DOR,x0_d1_hen_noline,,,,0,0
77193,Henchman,Henchman_DOR,Well... looks to me like the dig isn't going that well. The ruins are in... ah... ruins.,음... 내가 보기엔 발굴이 그리 잘 안 되고 있네. 유적이... 아... 폐허 상태야.,DOR,x0_d1_hen_noline,,,,0,0
77194,Henchman,Henchman_DOR,"The followers of Ao... not that he wants followers, from what I hear. He's above that... or something. Nobody's got an answer out of him yet.",에이오의 추종자들... 들은 바로는 그가 추종자를 원하진 않는다더라. 그는 그 위에 있어... 뭐 그런 거. 아직 아무도 그한테 답을 얻지 못했어.,DOR,x0_d1_hen_noline,,,,0,0
77195,Henchman,Henchman_DOR,"This looks more like a proper oasis now. No more dust storms here, that's for sure.","이제 제대로 된 오아시스처럼 보이네. 더 이상 여기엔 모래폭풍이 없을 거야, 확실해.",DOR,x0_d1_hen_noline,,,,0,0
