StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
86895,Henchman,Henchman_NAT,"""I'm sorry, but I'm working with someone else now.""","""미안하지만, 지금은 다른 분과 함께하고 있어요.""",NAT,,,,vs_nx2nathf_52,0,0
86896,Henchman,Henchman_NAT,"""Thank you for raising me. I am no stranger to death, but it is always alarming when one is forced to confront one's own mortality.""","""살려주셔서 감사합니다. 죽음이 낯설지는 않지만, 자신의 필멸성과 직면해야 할 때는 언제나 놀랍습니다.""",NAT,,,,vs_nx2nathf_53,0,0
86897,Henchman,Henchman_NAT,"""Do you have a moment? There is something I wish to tell you.""","""잠깐 시간 있으세요? 당신에게 하고 싶은 이야기가 있어요.""",NAT,,,,vs_nx2nathf_54,0,0
86898,Henchman,Henchman_NAT,"""The Underdark is a dangerous place, particularly for surfacers such as yourself. My experience here could prove useful. Would you like me to join you once again?""","""언더다크는 위험한 곳이에요, 특히 당신 같은 지상인들에게는요. 이곳에서의 제 경험이 유용할 겁니다. 다시 함께하시겠어요?""",NAT,,,,vs_nx2nathf_55,0,0
86899,Henchman,Henchman_NAT,"""You need someone with cunning to watch your back in this treacherous realm. Maybe it would be best if I joined up with you again.""","""이 배신의 영역에서 당신의 뒤를 봐줄 교활한 누군가가 필요할 거예요. 다시 함께하는 게 최선일 것 같네요.""",NAT,,,,vs_nx2nathf_56,0,0
86900,Henchman,Henchman_NAT,"""Would you like me to join up with you again?""","""다시 함께하시겠어요?""",NAT,,,,vs_nx2nathf_57,0,0
86901,Henchman,Henchman_NAT,"""Yes? Is there something you need?""","""네? 필요한 게 있으세요?""",NAT,,,,vs_nx2nathf_58,0,0
100782,Henchman,Henchman_NAT,"""Be careful what you say here. There is a tension in Lith My'athar between the followers of the Seer and the drow of House Maeviir.""","""여기서는 말을 조심하세요. 리스 마이아사에는 선견자의 추종자들과 메비어 가문의 드로우들 사이에 긴장이 있어요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_59,0,0
100783,Henchman,Henchman_NAT,"""Be on your guard. We are venturing into the true depths of the Underdark now.""","""경계하세요. 이제 언더다크의 진정한 심연으로 들어가고 있어요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_60,0,0
100784,Henchman,Henchman_NAT,"""The darkness here is often filled with unseen dangers. Watch the shadows carefully.""","""이곳의 어둠은 종종 보이지 않는 위험으로 가득 차 있어요. 그림자를 주의 깊게 살피세요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_61,0,0
100785,Henchman,Henchman_NAT,"""The Valsharess has many allies, but at the first sign of weakness they will turn on her. This is the way of the Underdark.""","""발샤레스에게는 많은 동맹이 있지만, 약점의 첫 징후만 보이면 그녀를 배신할 겁니다. 이것이 언더다크의 방식이에요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_62,0,0
100786,Henchman,Henchman_NAT,"""Those who live on Toril's surface fear the drow, but far worse things than my people exist down here.""","""토릴의 지상에 사는 자들은 드로우를 두려워하지만, 제 종족보다 훨씬 더 나쁜 것들이 이 아래에 존재해요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_63,0,0
100787,Henchman,Henchman_NAT,"""The Underdark has no seasons; no cycle of night and day. I find the constant darkness... comforting.""","""언더다크에는 계절도 없고, 밤과 낮의 순환도 없어요. 저는 이 끝없는 어둠이... 편안하게 느껴져요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_64,0,0
100788,Henchman,Henchman_NAT,"""In the Underdark, you are either hunter or prey. Often you become the latter when you least expect it.""","""언더다크에서는 사냥꾼이거나 먹잇감이에요. 가장 예상치 못할 때 후자가 되기 쉽죠.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_65,0,0
100789,Henchman,Henchman_NAT,"""An imposing fortress, to say the least. I doubt whoever's inside will be happy to see us.""","""아무리 보아도 위압적인 요새네요. 안에 있는 자들이 우리를 보고 기뻐하지는 않을 것 같아요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_66,0,0
100790,Henchman,Henchman_NAT,"""There is something foul in this place; it smells of ancient evil.""","""이곳에는 무언가 사악한 것이 있어요. 고대 악의 냄새가 나요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_67,0,0
100791,Henchman,Henchman_NAT,"""I see the drow are not the only ones who like to throw their slaves into the pits to do battle.""","""노예들을 투기장에 던져 싸우게 하는 것을 좋아하는 건 드로우만이 아닌 모양이네요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_68,0,0
100792,Henchman,Henchman_NAT,"""Can you feel it? A presence, thrumming against the walls of the skull. Guard your thoughts carefully.""","""느껴지세요? 어떤 존재가 두개골의 벽을 치고 있어요. 생각을 조심스럽게 지키세요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_69,0,0
100793,Henchman,Henchman_NAT,"""The Eye Tyrant must be close... and I doubt she will be unguarded.""","""눈알 폭군이 가까이 있을 거예요... 그리고 그녀가 무방비 상태일 리 없죠.""",NAT,x0_d1_hen_noline,,,,0,0
100794,Henchman,Henchman_NAT,"""The stench of smoke and ash in this place is enough to make one gag!""","""이곳의 연기와 재의 악취는 토할 정도예요!""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_71,0,0
100795,Henchman,Henchman_NAT,"""Be careful of this woman. I suspect she is more than she appears.""","""이 여자를 조심하세요. 겉보기보다 더 많은 것을 지닌 듯 보여요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_72,0,0
100796,Henchman,Henchman_NAT,"""No doubt many traps and monsters lay ahead... typical for any wizard's tower.""","""분명 많은 함정과 괴물들이 앞에 있을 거예요... 어느 마법사의 탑이든 전형적이죠.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_73,0,0
100797,Henchman,Henchman_NAT,"""A jester without an audience... does nothing in this town make sense?""","""청중 없는 광대라... 이 마을에서 말이 되는 게 하나라도 있나요?""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_74,0,0
100798,Henchman,Henchman_NAT,"""The town is gone! Imagine the power necessary to make a whole town disappear!""","""마을이 사라졌어요! 마을 전체를 사라지게 만드는 데 필요한 힘을 상상해보세요!""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_75,0,0
100799,Henchman,Henchman_NAT,"""There are duergar nearby. The thick stink of their sweat fills the air.""","""근처에 듀에가르들이 있어요. 그들의 땀 냄새가 공기를 가득 채우고 있어요.""",NAT,x0_d1_hen_noline,,,vs_nx2nathf_76,0,0
