StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85831,Henchman,Henchman_X2_DJINN,"""Once again you have summoned me, mortal. What is it you need? Do you wish to see what items I have in stock? As you know, I carry only the finest of magical merchandise.""","""또다시 나를 불러냈군, 필멸자여. 무엇이 필요한가? 내 재고를 보고 싶은 건가? 알다시피, 나는 최고급 마법 상품만 취급하네.""",X2_DJINN,,,,vs_nx2genim_50,0,0
85832,Henchman,Henchman_X2_DJINN,"""Damnable drow! Why must you keep... oh. I see you aren't one of those dark elves, after all. Well, this could change a few things.""","""저주받을 드로우! 왜 자꾸... 오. 자네는 그 어둠의 엘프들이 아니로군. 음, 그렇다면 상황이 좀 달라지겠어.""",X2_DJINN,,,,vs_nx2genim_51,0,0
85833,Henchman,Henchman_X2_DJINN,"""I never liked the drow. Too demanding. Very difficult to do business with. Mortal, I am in your debt for freeing me from the clutches of those vile underground elves!""","""드로우는 늘 싫었네. 요구가 너무 많아. 거래하기 참 어려운 족속이지. 필멸자여, 그 비열한 지하 엘프들의 손아귀에서 구해준 은혜를 잊지 않겠네!""",X2_DJINN,,,,vs_nx2genim_52,0,0
85834,Henchman,Henchman_X2_DJINN,"""You again? What do you want, mortal?""","""또 왔는가? 무슨 용건인가, 필멸자여?""",X2_DJINN,,,,vs_nx2genim_53,0,0
85835,Henchman,Henchman_X2_DJINN,"""I suppose I can accept your apology. After all, you did free me from those wretched drow.""","""사과를 받아들이지. 어쨌든 그 비참한 드로우들로부터 나를 풀어준 건 자네니까.""",X2_DJINN,,,,vs_nx2genim_54,0,0
85836,Henchman,Henchman_X2_DJINN,"""You really are a slow learner, aren't you? Goodbye, mortal.""","""자네 정말 배우는 게 느리구먼, 그렇지 않나? 안녕히, 필멸자여.""",X2_DJINN,,,,vs_nx2genim_55,0,0
85837,Henchman,Henchman_X2_DJINN,"""Of course. Just remember the rules: you can look, but you can't touch the merchandise until it's paid for. And my prices are non-negotiable.""","""물론이지. 규칙만 기억하게: 볼 수는 있지만, 값을 치르기 전엔 상품에 손대지 마시게. 그리고 내 가격은 협상 불가네.""",X2_DJINN,,,,vs_nx2genim_56,0,0
85838,Henchman,Henchman_X2_DJINN,"""You mortals and your curiosity. Halaster was always asking me the strangest questions, though he was quite mad, of course. I suppose your own inquiries will be much less... insane.""","""필멸자들과 그 호기심이라니. 할라스터도 늘 이상한 질문을 하곤 했지, 물론 완전히 미쳤지만 말이야. 자네의 질문은 그보다는... 덜 광기에 찬 것이길 바라네.""",X2_DJINN,,,,vs_nx2genim_57,0,0
87001,Henchman,Henchman_X2_DJINN,"The bottle begins to shake and tremble in your grasp. A cloud of smoke billows forth, the mists coalescing into the figure of a powerfully built man.","병이 손 안에서 흔들리며 떨리기 시작합니다. 연기 구름이 솟아오르며, 안개가 뭉쳐 건장한 남자의 형상이 됩니다.",X2_DJINN,,,,,0,0
87002,Henchman,Henchman_X2_DJINN,"The bottle begins to shake and tremble in your grasp. A cloud of smoke billows forth, the mists coalescing into the figure of a powerfully built man.","병이 손 안에서 흔들리며 떨리기 시작합니다. 연기 구름이 솟아오르며, 안개가 뭉쳐 건장한 남자의 형상이 됩니다.",X2_DJINN,,,,,0,0
87003,Henchman,Henchman_X2_DJINN,"""I am no slave! I am a descended from the Royal House Arsetis. The drow couldn't force me to serve them, and neither can you, mortal!""","""나는 노예가 아니다! 나는 아르세티스 왕가의 후손이다. 드로우도 나를 섬기게 만들 수 없었고, 자네도 마찬가지야, 필멸자여!""",X2_DJINN,act_q2cdjinthrt,,,,0,0
87004,Henchman,Henchman_X2_DJINN,"""Allow me to introduce myself: I am Volkarion Arsetis, a powerful djinni of royal blood.""","""자기소개를 하겠네: 나는 볼카리온 아르세티스, 왕족 혈통의 강력한 지니라네.""",X2_DJINN,,,,,0,0
87005,Henchman,Henchman_X2_DJINN,"""You mortals have some strange preconceptions about us. Every time I cross paths with one of your kind, you seem to think I'm obligated to give you a wish.""","""필멸자들은 우리에 대해 이상한 선입견을 품고 있어. 자네 같은 종족을 만날 때마다, 내가 소원을 들어줘야 한다고 생각하더군.""",X2_DJINN,,,,,0,0
87006,Henchman,Henchman_X2_DJINN,"""Unfortunately for you, it doesn't work that way. But I am grateful for my release.""","""자네에겐 유감이지만, 그런 식으로 작동하지 않네. 하지만 풀어준 것에 대해서는 감사하고 있어.""",X2_DJINN,,,,,0,0
87007,Henchman,Henchman_X2_DJINN,"""A reward? Well, I suppose something is in order. But first, allow me to introduce myself: I am Volkarion Arsetis, a powerful djinni of royal blood.""","""보상? 음, 무언가는 해야겠지. 하지만 먼저 자기소개를 하겠네: 나는 볼카리온 아르세티스, 왕족 혈통의 강력한 지니라네.""",X2_DJINN,,,,,0,0
87008,Henchman,Henchman_X2_DJINN,"""You mortals have some strange preconceptions about us. Everytime I cross paths with one of your kind, you seem to think I'm obligated to give you a wish.""","""필멸자들은 우리에 대해 이상한 선입견을 품고 있어. 자네 같은 종족을 만날 때마다, 내가 소원을 들어줘야 한다고 생각하더군.""",X2_DJINN,,,,,0,0
