StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
76051,Henchman,Henchman_XAN,"Xanos has no business with you. If you are looking for idle 'chit-chat', look elsewhere.",자노스는 네게 할 말이 없다. 쓸데없는 '잡담'을 원한다면 다른 데 가봐라.,XAN,,,,vs_nx0xanom_055,0,0
76052,Henchman,Henchman_XAN,"Hmph. If you were better at this, Xanos would not have to undergo such unpleasantness.",흥. 네가 제대로 했다면 자노스가 이런 불쾌함을 겪지 않아도 됐을 텐데.,XAN,,,,vs_nx0xanom_056,0,0
76053,Henchman,Henchman_XAN,Hold! Xanos wishes to speak!,잠깐! 자노스가 할 말이 있다!,XAN,,,,vs_nx0xanom_057,0,0
76054,Henchman,Henchman_XAN,"Hah! It seems the dwarf has finally gotten himself into a bind, and now he needs us to come to his rescue.","하! 드워프 놈이 드디어 곤경에 빠졌고, 이제 우리가 구해주길 바라는군.",XAN,x0_d1_meet,,,vs_nx0xanom_058,0,0
76055,Henchman,Henchman_XAN,"This desert is a vile land full of nothing but sand and death, and the quarters are half too small for anyone! What are we doing here?!","이 사막은 모래와 죽음뿐인 역겨운 땅이고, 숙소는 말도 안 되게 좁아! 도대체 여기서 뭘 하는 거야?!",XAN,x0_d1_meet,,,vs_nx0xanom_059,0,0
76056,Henchman,Henchman_XAN,"So we are within one of the fabled Netherese flying cities, eh? There is much power to be found here, if we are watchful.",그러니까 우리가 전설의 네더릴 공중도시 안에 있다는 거군. 주의 깊게 살핀다면 여기서 엄청난 힘을 찾을 수 있을 거다.,XAN,,,,vs_nx0xanom_060,0,0
76057,Henchman,Henchman_XAN,"You have come to ask Xanos to rejoin you, yes?",자노스에게 다시 합류하자고 요청하러 온 거지?,XAN,,,,vs_nx0xanom_061,0,0
76058,Henchman,Henchman_XAN,What do you want?,무슨 일이냐?,XAN,,,,vs_nx0xanom_062,0,0
76060,Henchman,Henchman_XAN,I hope you have come to take Xanos away from this caravan. These halflings grow more irritating by the minute.,자노스를 이 캐러밴에서 데려가러 왔길 바란다. 이 하플링 놈들은 시간이 갈수록 더 짜증나게 굴어.,XAN,,,,vs_nx0xanom_064,0,0
76061,Henchman,Henchman_XAN,Xanos would prefer to join you. It is preferable to standing here doing nothing.,자노스는 네게 합류하는 게 낫겠어. 여기 서서 빈둥거리는 것보단 낫지.,XAN,,,,vs_nx0xanom_065,0,0
77841,Henchman,Henchman_XAN,This crystal... it is like none I have seen before. Perhaps it was worth the destruction of the artifact to discover it.,이 수정은... 이전에 본 것과 다르군. 유물을 파괴한 보람이 있었나 보다.,XAN,x0_d1_hen_noline,,,,0,0
77842,Henchman,Henchman_XAN,"I wonder how Drogan... anyone, was able to obtain a tooth like this...","드로건이... 아니 누가 됐든, 대체 어떻게 이런 이빨을 구했을까...",XAN,x0_d1_hen_noline,,,,0,0
77843,Henchman,Henchman_XAN,A mask imbued with the power of a god. This could get us much if we chose to use it...,신의 힘이 깃든 가면. 쓰기만 한다면 엄청난 걸 얻을 수 있겠는데...,XAN,x0_d1_hen_noline,,,,0,0
77844,Henchman,Henchman_XAN,The pieces of the ancient dead have long been known to harbor power after their... dismemberment.,고대 언데드의 조각들은 절단된 후에도 오랫동안 힘을 간직한다고 알려져 있지.,XAN,x0_d1_hen_noline,,,,0,0
77845,Henchman,Henchman_XAN,"That... that creature is huge! How can we hope to face it directly, should it attack? May... maybe retreat would be a good decision...",저... 저 괴물은 엄청나게 크다! 공격해오면 정면으로 어떻게 맞서겠나? 어쩌면... 후퇴가 현명한 선택일지도...,XAN,x0_d1_hen_noline,,,,0,0
77846,Henchman,Henchman_XAN,This place does not look good. We should be wary while here...,여기는 좋아 보이지 않아. 경계를 늦추지 말아야겠군...,XAN,x0_d1_hen_noline,,,,0,0
77847,Henchman,Henchman_XAN,The kobolds flee before us! Flee before Xanos!,코볼트들이 도망친다! 자노스 앞에서 도망쳐!,XAN,x0_d1_hen_noline,,,,0,0
77848,Henchman,Henchman_XAN,"Kobolds may not be bright, but they can be tricky... We should be wary of traps.",코볼트들은 멍청해도 교활할 수 있어... 함정을 조심해야 해.,XAN,x0_d1_hen_noline,,,,0,0
77849,Henchman,Henchman_XAN,The gnolls captured all these people? Maybe from Blumberg... or maybe they have ranged farther still...,놀들이 이 사람들을 전부 잡아갔다고? 블럼버그에서... 아니면 더 먼 곳에서 왔을 수도 있고...,XAN,x0_d1_hen_noline,,,,0,0
77850,Henchman,Henchman_XAN,There are kobolds in these cages as well... The gnolls seem to have captured them.,우리 안에 코볼트들도 있군... 놀들이 걔네도 잡은 모양이야.,XAN,x0_d1_hen_noline,,,,0,0
77851,Henchman,Henchman_XAN,Why would this building be still standing? It is strange...,왜 이 건물만 멀쩡히 서 있는 거지? 이상하군...,XAN,x0_d1_hen_noline,,,,0,0
77852,Henchman,Henchman_XAN,"This town, too, has been razed... Look! Gnolls!",이 마을도 쑥대밭이 됐구나... 봐라! 놀들이다!,XAN,x0_d1_hen_noline,,,,0,0
77853,Henchman,Henchman_XAN,Bah! All this green makes me queasy... The hills were better...,젠장! 온통 녹색 천지라 속이 메스껍군... 언덕이 훨씬 나았어...,XAN,x0_d1_hen_noline,,,,0,0
77854,Henchman,Henchman_XAN,These mountains are not known to be kind to travelers...,이 산맥은 여행자들에게 친절하지 않기로 유명하지...,XAN,x0_d1_hen_noline,,,,0,0
77855,Henchman,Henchman_XAN,This is a place of great magic. A powerful force resides here...,여긴 강력한 마법이 깃든 곳이야. 막강한 힘이 머물고 있어...,XAN,x0_d1_hen_noline,,,,0,0
77856,Henchman,Henchman_XAN,"Many of the creatures died in this battle... but I cannot tell the way it ended, nor what became of the survivors.","많은 생명체가 이 전투에서 죽었어... 하지만 어떻게 끝났는지, 생존자들이 어떻게 됐는지는 모르겠군.",XAN,x0_d1_hen_noline,,,,0,0
77857,Henchman,Henchman_XAN,"The people here, too, seem to have fled the kobolds... or been killed.",여기 사람들도 코볼트를 피해 도망쳤거나... 살해당한 것 같아.,XAN,x0_d1_hen_noline,,,,0,0
77858,Henchman,Henchman_XAN,A caravan has arrived? One has to wonder about their timing...,캐러밴이 도착했다고? 타이밍이 묘하군...,XAN,x0_d1_hen_noline,,,,0,0
77859,Henchman,Henchman_XAN,"Xanos has no need of prophecies of doom and destruction. As long as Xanos has Xanos, there is nothing to fear!","자노스는 파멸과 파괴 따위의 예언은 필요 없다. 자노스에게 자노스가 있는 한, 두려울 건 없어!",XAN,x0_d1_hen_noline,,,,0,0
77860,Henchman,Henchman_XAN,Bah! I could lead this town better than that drunkard...,젠장! 저 주정뱅이보다 내가 이 마을을 훨씬 잘 다스릴 텐데...,XAN,x0_d1_hen_noline,,,,0,0
77861,Henchman,Henchman_XAN,"Hmph. The locals try to fight the kobolds themselves, but they do not have the power of Xanos!","흥. 마을 사람들이 직접 코볼트와 싸우려 하지만, 자노스의 힘은 없지!",XAN,x0_d1_hen_noline,,,,0,0
77862,Henchman,Henchman_XAN,The dwarf's laboratory is downstairs. I wonder how the kobolds were able to breach its defenses?,드워프의 연구실은 아래층에 있어. 코볼트들이 어떻게 방어를 뚫었을까?,XAN,x0_d1_hen_noline,,,,0,0
77863,Henchman,Henchman_XAN,The tremors do not stop... Xanos fears that bad things will soon happen...,진동이 멈추질 않아... 자노스는 곧 나쁜 일이 벌어질 것 같은 불길한 예감이 든다...,XAN,x0_d1_hen_noline,,,,0,0
77864,Henchman,Henchman_XAN,The world shakes with wrath... This does not bode well for us...,세상이 분노로 흔들린다... 좋은 징조가 아니야...,XAN,x0_d1_hen_noline,,,,0,0
77865,Henchman,Henchman_XAN,All have fallen to Xanos! Rejoice!,모두 자노스 앞에 쓰러졌다! 환호하라!,XAN,x0_d1_hen_noline,,,,0,0
77866,Henchman,Henchman_XAN,Half of these golems have been destroyed under the iron fist of Xanos!,골렘의 절반이 자노스의 철권 아래 박살났다!,XAN,x0_d1_hen_noline,,,,0,0
77867,Henchman,Henchman_XAN,Another has felt the true might of Xanos!,또 한 놈이 자노스의 진정한 힘을 맛봤군!,XAN,x0_d1_hen_noline,,,,0,0
77868,Henchman,Henchman_XAN,Xanos is not afraid! Xanos will conquer all! Let us face what comes ahead and vanquish it!,자노스는 두렵지 않다! 자노스는 모든 것을 정복할 것이다! 앞에 나타나는 것들을 모조리 쓸어버리자!,XAN,x0_d1_hen_noline,,,,0,0
77869,Henchman,Henchman_XAN,The... the creature is huge! Xanos does not think he can handle this alone...,저... 저 생명체는 엄청나게 크다! 자노스 혼자서는 감당이 안 될 것 같은데...,XAN,x0_d1_hen_noline,,,,0,0
77870,Henchman,Henchman_XAN,This is a room of great magic... Maybe more magic than Xanos himself can wield... Be wary.,여긴 강력한 마법의 방이야... 자노스조차 다룰 수 없을 만큼의 마법일지도... 조심해라.,XAN,x0_d1_hen_noline,,,,0,0
77871,Henchman,Henchman_XAN,The winds of death flow here... Xanos does like this...,죽음의 바람이 흐르는군... 자노스는 이게 마음에 든다...,XAN,x0_d1_hen_noline,,,,0,0
77872,Henchman,Henchman_XAN,I know where this is going... and it makes Xanos' brain hurt. I hate mazes...,어디로 가는지 뻔하군... 자노스의 머리가 아파진다. 미로는 정말 질색이야...,XAN,x0_d1_hen_noline,,,,0,0
77873,Henchman,Henchman_XAN,"This area is dangerous... The floor looks disturbed, and who knows what manner of creature may lurk in the dark.","여기는 위험해... 바닥이 뒤틀려 있고, 어둠 속에 무슨 괴물이 숨어 있을지 모르지.",XAN,x0_d1_hen_noline,,,,0,0
77874,Henchman,Henchman_XAN,The stench of death and magic is upon this place...,죽음과 마법의 악취가 진동하는군...,XAN,x0_d1_hen_noline,,,,0,0
77875,Henchman,Henchman_XAN,This place is strange to Xanos. I trust nothing I cannot understand...,여긴 자노스에게 낯설어. 이해할 수 없는 건 믿지 않는다...,XAN,x0_d1_hen_noline,,,,0,0
77876,Henchman,Henchman_XAN,"The power of these tomes is beyond my ken... If I, too, could possess such power...",이 고서들의 힘은 내 이해를 초월해... 나도 저런 힘을 가질 수 있다면...,XAN,x0_d1_hen_noline,,,,0,0
77877,Henchman,Henchman_XAN,Ah hah! The treasures of the Netherese! These ancient tomes are just the sort of treasures I seek!,아하! 네더릴의 보물이다! 이 고대 고서들이야말로 내가 찾던 보물이지!,XAN,x0_d1_hen_noline,,,,0,0
77878,Henchman,Henchman_XAN,Insects will be squashed beneath Xanos' great heel!,벌레 따위는 자노스의 발꿈치에 짓밟힐 뿐이다!,XAN,x0_d1_hen_noline,,,,0,0
77879,Henchman,Henchman_XAN,"With all the power the Netheril had, something could turn all their works to dust... Hope that it does not find us as well.","네더릴이 가진 모든 힘을 가지고도, 뭔가가 그들의 업적을 먼지로 만들어버렸어... 그게 우리도 찾지 않길 바라자.",XAN,x0_d1_hen_noline,,,,0,0
77880,Henchman,Henchman_XAN,"These halls they've dug up... they're ancient. The knowledge of the Netherese could lie within, demons or not.","이 복도들은... 고대의 것이야. 악마가 있든 말든, 네더릴의 지식이 여기 있을 거다.",XAN,x0_d1_hen_noline,,,,0,0
77881,Henchman,Henchman_XAN,Xanos thinks that these archeologists may have dug up something more than what they expected...,자노스가 보기엔 이 고고학자 놈들이 예상보다 훨씬 더 많은 걸 파낸 것 같군...,XAN,x0_d1_hen_noline,,,,0,0
77882,Henchman,Henchman_XAN,Why worship a god if he never listens? These followers of Ao are only deluding themselves...,듣지도 않는 신을 왜 숭배하는 거지? 이 에이오 신자들은 자기기만에 빠져 있을 뿐이야...,XAN,x0_d1_hen_noline,,,,0,0
77883,Henchman,Henchman_XAN,The water in the oasis flows once more! Now I can finally get a damn drink...,오아시스에 물이 다시 흐른다! 드디어 마실 수 있겠군...,XAN,x0_d1_hen_noline,,,,0,0
77884,Henchman,Henchman_XAN,The ancient dead are powerful indeed... but none so powerful as Xanos!,고대 언데드들은 확실히 강력하지... 하지만 자노스만큼은 아니지!,XAN,x0_d1_hen_noline,,,,0,0
77885,Henchman,Henchman_XAN,That statue... I recognize its like. It is of Jergal... There is evil at work here.,저 조각상은... 알겠어. 제르갈의 것이군... 여기서 사악한 일이 벌어지고 있어.,XAN,x0_d1_hen_noline,,,,0,0
77886,Henchman,Henchman_XAN,Dry oasis... old bridge... older tombs... This place is ancient and dead.,마른 오아시스... 낡은 다리... 더 오래된 무덤들... 여긴 고대이자 죽음 그 자체야.,XAN,x0_d1_hen_noline,,,,0,0
77887,Henchman,Henchman_XAN,"This temple is no longer a sacred place, and the dead lie restless. But much power could reside in a place like this...","이 신전은 더 이상 성스럽지 않고, 죽은 자들이 불안하게 누워 있어. 하지만 이런 곳엔 막강한 힘이 깃들어 있을 수 있지...",XAN,x0_d1_hen_noline,,,,0,0
77888,Henchman,Henchman_XAN,This oasis is useless! There is no water here!,이 오아시스는 쓸모없어! 물이 한 방울도 없잖아!,XAN,x0_d1_hen_noline,,,,0,0
77889,Henchman,Henchman_XAN,A foul sacrifice in progress... a helpless person in need... Xanos thinks that heroes are made in times like these!,사악한 희생 의식이 진행 중이고... 무력한 희생자가 있군... 자노스가 보기엔 영웅은 이럴 때 탄생하는 법이지!,XAN,x0_d1_hen_noline,,,,0,0
77890,Henchman,Henchman_XAN,"These caves seem endless... Who knows how far down they go? But the farther they go, the more we might find within.","이 동굴들은 끝이 없어 보여... 얼마나 깊은지 누가 알겠나? 하지만 깊을수록, 더 많은 걸 찾을 수 있겠지.",XAN,x0_d1_hen_noline,,,,0,0
77891,Henchman,Henchman_XAN,These holes must lead into their lair. Who knows what may lurk within... but it is the guide we need.,이 구멍들은 놈들의 소굴로 이어질 거야. 안에 뭐가 숨어 있을지 모르지만... 이게 우리가 찾던 단서야.,XAN,x0_d1_hen_noline,,,,0,0
