StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
69483,Creature,Hilltop Guard,"Sorry, but I can't chat right now. There's only a few of us left after that attack and the mayor wants us on double-duty... just in case.","미안하지만 지금은 얘기할 수 없어. 그 습격 후로 남은 경비가 몇 명 없어서 촌장이 만일에 대비해 이중 근무를 시키고 있거든.",Q1BGUARD,,,,,0,0
69484,Creature,Hilltop Guard,It might be safer if you went back to the school. There's only a few of us guards left right now to watch for any more attacks.,"학교로 돌아가는 게 더 안전할 거야. 지금은 추가 습격에 대비할 경비가 몇 명 안 남았거든.",Q1BGUARD,,,,,0,0
69485,Creature,Hilltop Guard,"You be careful, <FirstName>. There's no way to be sure all the kobolds are gone, and more could arrive.","조심해, <FirstName>. 코볼트가 전부 사라졌는지 확신할 수 없고, 더 올 수도 있어.",Q1BGUARD,,,,,0,0
69486,Creature,Hilltop Guard,<FirstName>? Is everything alright at the school? How is Drogan doing?,"<FirstName>? 학교는 괜찮아? 드로건은 어때?",Q1BGUARD,,,,,0,0
69487,Creature,Hilltop Guard,"What are you doing here? I'm watching you, <FirstName>, just so you know.","여기서 뭐 하는 거야? 지켜보고 있으니까 알아둬, <FirstName>.",Q1BGUARD,,,,,0,0
69488,Creature,Hilltop Guard,"Shouldn't you be back at your school? Drogan's there, isn't he? How is he doing?","학교로 돌아가야 하는 거 아냐? 드로건이 거기 있잖아? 어떻게 지내?",Q1BGUARD,,,,,0,0
69489,Creature,Hilltop Guard,"I don't want any trouble out of you, <FirstName>. We've got enough problems in Hilltop right now.","너 때문에 문제 생기는 건 싫어, <FirstName>. 힐탑에 지금 문제가 충분히 많거든.",Q1BGUARD,,,,,0,0
69490,Creature,Hilltop Guard,"Eh? Err... no, not this second. I have to watch for the reinforcements to arrive from Silverymoon. How about you? Everything okay with Drogan?","응? 어... 아니, 지금은 안 돼. 실버리문에서 오는 지원군을 기다려야 해. 너는 어때? 드로건은 괜찮아?",Q1BGUARD,,,,,0,0
69491,Creature,Hilltop Guard,"And more than any of us need right now. There were plenty of people hurt by the kobolds, not that you'd care.","지금 우리한테 필요한 건 훨씬 더 많아. 코볼트 때문에 다친 사람이 많은데, 네가 신경이나 쓰겠냐만.",Q1BGUARD,,,,,0,0
69492,Creature,Hilltop Guard,"Hmph. I don't know what Drogan sees in you. Well, do what you like. I have other things to worry about.","흥. 드로건이 너한테서 뭘 보는지 모르겠네. 뭐, 하고 싶은 대로 해. 난 걱정할 게 더 있거든.",Q1BGUARD,,,,,0,0
69493,Creature,Hilltop Guard,Oh? Everything okay at the school? Drogan is alright?,"오? 학교는 괜찮아? 드로건은 무사해?",Q1BGUARD,,,,,0,0
69494,Creature,Hilltop Guard,"I've heard enough about your exploits, <FirstName>. Just watch it, that's all.","네 행적에 대해 많이 들었어, <FirstName>. 그냥 조심해, 그게 다야.",Q1BGUARD,,,,,0,0
