StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
71133,Dialog,IKATRIANA,"Is there something you need? I don't have time to chat... my mates here need tending to, as I'm sure you can plainly see.","필요한 게 있어? 잡담할 시간은 없어... 여기 내 동료들을 돌봐야 하는데, 보면 알겠지만 말이야.",Q1IKATRIANA,,,,vs_nx0katrf_051,0,0
71134,Dialog,IKATRIANA,"Right, then. Fare you well.","그래, 그럼. 잘 가.",Q1IKATRIANA,,,,,0,0
71135,Dialog,IKATRIANA,The name's Katriana. I lead the caravan. Why? Who are you?,"이름은 카트리아나야. 캐러밴을 이끌고 있지. 왜? 넌 누구야?",Q1IKATRIANA,,,,,0,0
71136,Dialog,IKATRIANA,"Oh, but mine is? Funny, but I remember saying I didn't have time to chat. Was there actually something you needed?","오, 그럼 내건 괜찮다고? 웃기는군, 잡담할 시간 없다고 말한 게 기억나는데. 정말 필요한 게 있어?",Q1IKATRIANA,,,,,0,0
71137,Dialog,IKATRIANA,"Ha! For a halfling, you're pretty secretive. Have it your way, I guess. Was there something you actually wanted?","하! 하플링치곤 꽤 비밀스럽군. 그래, 네 맘대로 해. 정말 원하는 게 있어?",Q1IKATRIANA,,,,,0,0
71138,Dialog,IKATRIANA,Alright. <FirstName> it is. Nice to meet you. Was there something you wanted from me?,"알았어. <FirstName>이군. 반가워. 나한테 뭘 원하는 거야?",Q1IKATRIANA,,,,,0,0
71139,Dialog,IKATRIANA,"<FirstName>, eh? Well, what was it you needed from me exactly, <FirstName>. As you can see, my hands are full.","<FirstName>, 응? 그래, 정확히 뭘 원하는 거지, <FirstName>. 보다시피 내 손은 가득 차 있어.",Q1IKATRIANA,,,,,0,0
71140,Dialog,IKATRIANA,"That so? Dwarven wizard, right? I think I remember him. He's come to give me messages to take on to other towns, sometimes. Pays handsomely.","그래? 드워프 마법사 말이지? 기억나는 것 같아. 가끔 다른 마을로 가져갈 전갈을 맡기러 왔었지. 보수도 후했고.",Q1IKATRIANA,,,,,0,0
71141,Dialog,IKATRIANA,"Very well, then, <FullName>, apprentice to Master Drogan. What is it, exactly, that you needed from me?","좋아, 그럼, <FullName>, 스승 드로건의 견습생. 정확히 나한테 뭐가 필요한 거지?",Q1IKATRIANA,,,,,0,0
71142,Dialog,IKATRIANA,If you make it quick.,"빨리만 한다면.",Q1IKATRIANA,,,,,0,0
71143,Dialog,IKATRIANA,"I did, as did my grandfather before me and his mother before him. Why? Something odd about that?","그랬지. 내 할아버지도, 그의 어머니도 그랬어. 왜? 뭐 이상해?",Q1IKATRIANA,,,,,0,0
71144,Dialog,IKATRIANA,"Well, we trade, mostly, moving from town to town around the Silver Marches. Occasionally we'll range farther west... but not since the plague in Neverwinter.","글쎄, 주로 무역을 해. 은빛 경계의 마을들을 돌아다니지. 가끔은 더 서쪽으로도 가고... 하지만 네버윈터 역병 이후론 안 갔어.",Q1IKATRIANA,,,,,0,0
71145,Dialog,IKATRIANA,"We're wanderers, for the most part, but I daresay we do well enough as merchants that we're welcome most anywhere.","대부분은 떠돌이야. 하지만 상인으로선 꽤 잘해서 어디든 환영받는 편이지.",Q1IKATRIANA,,,,,0,0
71146,Dialog,IKATRIANA,"Not lately. Such are the fortunes of plying your trade in the north, however.","최근엔 아니야. 하지만 북부에서 장사하다 보면 그럴 수밖에 없지.",Q1IKATRIANA,,,,,0,0
