StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
86853,Dialog,IW_START,"""You there! Yes, you! Take me out of this brute's hand and away from here! I swear, if I must suffer one more decade staring at this room I shall go mad!""","""거기 너! 그래, 너 말이야! 이 멍청이 손에서 꺼내서 여기서 데려가! 이 방을 바라보며 10년을 더 참아야 하면 진짜 미쳐버릴 거야!""",X2_IW_START,,,,vs_nx2intlm_116,0,0
86854,Dialog,IW_START,"The sword sighs heavily. ""Far be it from me to make a simple request and hope that an adventurer might do as they are asked, for once. No? Fine. Let's start this out correctly, shall we?""","검이 무겁게 한숨을 쉽니다. ""간단한 부탁을 하고 모험가가 한 번쯤 시키는 대로 해주길 바라는 건 너무 무리인가 보지. 아냐? 좋아. 제대로 시작해볼까?""",X2_IW_START,,,,vs_nx2intlm_117,0,0
86855,Dialog,IW_START,"""My name is Enserric the Grey. Or, at least, that was my name before my spirit was drawn into this blasted weapon. Yes, yes, chuckle away at my predicament, go ahead.""","""내 이름은 회색의 엔서릭이야. 아니, 최소한 내 영혼이 이 빌어먹을 무기에 빨려들어가기 전에는 그랬지. 그래, 그래, 내 처지가 웃기면 실컷 웃어.""",X2_IW_START,,,,vs_nx2intlm_118,0,0
86856,Dialog,IW_START,"""You see, I was once an adventurer just as you are, seeking my path through infamous Undermountain. When I was killed by this sword, my soul was sucked inside and here I have been ever since.""","""보다시피, 나도 한때 너처럼 모험가였어, 악명 높은 언더마운틴을 헤쳐나가던. 이 검에 죽었을 때 내 영혼이 안으로 빨려들어갔고, 그 이후로 여기 있었지.""",X2_IW_START,,,,vs_nx2intlm_119,0,0
94762,Dialog,IW_START,"The sword in the skeleton's hand glitters suddenly, almost leaping out of the corpse's grip as a voice speaks from within it.","해골 손에 있는 검이 갑자기 반짝이며, 안에서 목소리가 들리면서 시체 손에서 거의 튀어나올 듯합니다.",X2_IW_START,,,,,0,0
94763,Dialog,IW_START,"""There is no escape from the sword, now."" The sword pauses for a moment, thinking. ""Well, none that I know of. My soul should have disappated long ago, but I was not about to let that happen.""","""이제 검에서 탈출할 방법은 없어."" 검이 잠시 멈추고 생각합니다. ""뭐, 내가 아는 한 없어. 내 영혼은 오래전에 흩어졌어야 하는데, 그렇게 되도록 내버려둘 생각은 없었거든.""",X2_IW_START,,,,,0,0
94764,Dialog,IW_START,"""Instead of properly dying I stubbornly tried to escape this sword and return to my body. Instead of being successful, I became... stuck...""","""제대로 죽는 대신 고집스럽게 이 검에서 탈출해서 내 몸으로 돌아가려 했어. 성공하는 대신... 갇혀버렸지...""",X2_IW_START,,,,,0,0
94765,Dialog,IW_START,"""Isn't that perfectly *obvious? I have been joined with this sword permanently now, doomed to remain attached to the weapon of some dead King who hardly needs it... or anything else, for that matter.""","""완전히 *명백하지 않아? 이제 이 검과 영구적으로 결합됐어, 거의 필요도 없는... 아니, 뭐든 필요 없는 죽은 왕의 무기에 붙어 있을 운명이지.""",X2_IW_START,,,,,0,0
94766,Dialog,IW_START,"""Please, I beg you! Have a heart, my <lord/lady>! Take me away from this hall and use me to chop all your enemies to ribbons... at least that would be a better fate than counting the dust mites upon the floor!""","""제발, 부탁해! 자비를 베풀어줘, <lord/lady>! 이 홀에서 데려가서 적들을 다 갈기갈기 썰어! 바닥의 먼지 진드기나 세는 것보단 나은 운명이야!""",X2_IW_START,,,,,0,0
94767,Dialog,IW_START,"""Hmmm, yes, there is *that*, isn't there? The catch, my dear friend, is that these so-called ""sleeping Kings"" that occupy this room do not take kindly to having their belongings removed.""","""흠, 그래, *그게* 있지, 그렇지? 함정은 말이야, 친구, 이 방을 차지한 소위 ""잠자는 왕들""이 자기 소유물이 옮겨지는 걸 좋아하지 않는다는 거야.""",X2_IW_START,,,,,0,0
