StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36124,Creature,Ingo,"A good <quarterday> for field work, wouldn't you say, m'<lord/lady>?",밭일하기 좋은 <quarterday>지요. 그렇게 생각 안 하십니까?,M2Q3E_INGO,,,,,0,0
36125,Creature,Ingo,"Safe journeys, then. I'll be here in the fields if you ever feel like stopping by to chat.",그럼 좋은 여행되시길. 혹시라도 수다나 떨고 싶으시다면 난 항상 밭에 있을 겁니다.,M2Q3E_INGO,,,,,0,0
36126,Creature,Ingo,"Yes, and mind the cornstalks on the way out.",그래요. 나갈 때 옥수수대 밟지 않게 조심하시구려.,M2Q3E_INGO,,,,,0,0
36127,Creature,Ingo,"Aye, get out and stay out as far as I'm concerned.",그래. 이왕이면 다시는 안 왔으면 좋겠군.,M2Q3E_INGO,,,,,0,0
36128,Creature,Ingo,"I see. A little on the slow side, are we?",그래요. 좀 둔한 편이로군.,M2Q3E_INGO,,,,,0,0
36129,Creature,Ingo,"I suppose you could. What is it you want to know, m'<lord/lady>?",할 수야 있지요. 뭘 알고 싶으신 겁니까?,M2Q3E_INGO,,,,,0,0
36130,Creature,Ingo,I suppose I can answer a few questions for you... ,질문 몇 개는 대답해 드릴 수 있을 것 같소...,M2Q3E_INGO,,,,,0,0
36131,Creature,Ingo,Hmph. I'll answer a question or two... provided you don't take too long.,흠. 한두 가지 질문이라면 대답해 주지... 너무 오래 끌지 않는다면.,M2Q3E_INGO,,,,,0,0
36132,Creature,Ingo,"Hrmm... A week ago or so, my son said he met a seedy looking fellow heading into the Charwood. My son said hello and the man said some rude things. He's as good as gone, then, I suppose...","흠... 일주일 전쯤, 아들 녀석이 그을린숲으로 들어가는 수상한 사람을 만났다고 했소. 아들이 인사했는데 그 자가 무례한 말을 했다더군요. 그렇다면 이미 끝난 셈이지...",M2Q3E_INGO,,,,,0,0
36133,Creature,Ingo,"Other than Pete O'Deel's trouble with the wolves, it's been pretty quiet around these parts. Grass grows, wind blows, nothing much of consequence...","피트 오딜네 늑대 문제 말고는 이 근처는 꽤 조용하지요. 풀이 자라고, 바람이 불고, 대단한 일은 별로 없소...",M2Q3E_INGO,,,,,0,0
36134,Creature,Ingo,"Since I was a young man, I suppose. The farm came with the wife, bless her soul. Her parents homesteaded the place, but that's a story in itself... ","젊을 때부터였을 겁니다. 농장은 아내와 함께 온 거지요. 명복을 비오. 아내 부모님이 이곳을 개척하셨는데, 그거야말로 그 자체로 한 이야기지요...",M2Q3E_INGO,,,,,0,0
36135,Creature,Ingo,"Oh, my father-in-law told me a few old tales from when he first cleared the land to settle here.","아, 장인어른이 처음 이곳에 정착하려고 땅을 개간할 때의 옛이야기를 몇 가지 해주셨지요.",M2Q3E_INGO,,,,,0,0
