StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
22165,Dialog,JALEK,Damnedest thing I ever saw. You are okay with me and Christov. You bet.,"내 평생 처음 보는 광경이었다고. 너는 나랑 크리스토프한테 인정받았어. 확실해.",M1Q4D03JALEK,,,,vs_fjalekm_054,0,0
22166,Dialog,JALEK,"Well, more nosey little people in my business. You want to try your luck? Drink for drink? Earn my respect?!","또 참견쟁이가 왔군. 운을 시험해 볼래? 잔 대 잔으로? 내 존경을 얻어보겠어?!",M1Q4D03JALEK,,,,vs_fjalekm_051,0,0
22167,Dialog,JALEK,"Who are you, fool? Don't you know not to go bothering a Bloodsailor while he's drinking?","넌 누구야, 바보야? 핏빛 항해자가 술 마실 때 건드리면 안 된다는 걸 모르냐?",M1Q4D03JALEK,nw_d1_talktime,,,vs_fjalekm_053,0,0
22168,Dialog,JALEK,You are in the wrong neighborhood. City officials ain't popular with us. Unless you prove your worth drink for drink! Up for it?,"잘못 찾아왔군. 시 관리들은 우리 편이 아니야. 잔 대 잔으로 네 가치를 증명하지 않는 한! 해볼 거야?",M1Q4D03JALEK,,,,,0,0
22169,Dialog,JALEK,I thought so. All bluff and no stuff. Come back when you've got a spine.,"그럴 줄 알았어. 허세만 있고 실속은 없군. 배짱이 생기면 다시 와.",M1Q4D03JALEK,,,,,0,0
22170,Dialog,JALEK,All right then! Let's start off with a little Neverwintan Sailor Spirit. A bathtub special here at the Seedy Tavern. Go!,"좋아 그럼! 네버윈터 선원의 영혼으로 시작하자. 초라한 선술집의 욕조 스페셜이지. 간다!",M1Q4D03JALEK,,,,,0,0
22171,Dialog,JALEK,"Ah, that's pretty good. You're not so flimsy after all. How about some Dockside Dunn's, a rank bit of swill if I ever had some!","아, 꽤 잘하네. 생각보다 연약하진 않군. 부두가 던의 술은 어때, 내가 마셔본 것 중 최악의 싸구려 술이지!",M1Q4D03JALEK,,,,,0,0
22172,Dialog,JALEK,"Whoa! All right! That's not too bad. Round three then! Orc Blood Brew, and no plugging your nose!","와! 좋아! 나쁘지 않군. 그럼 3라운드다! 오크 피 양조주, 코 막으면 안 돼!",M1Q4D03JALEK,,,,,0,0
22173,Dialog,JALEK,"Eh, should'a sat down when you had the chance. You just aren't up to snuff, as far as I'm concerned.","에, 기회가 있을 때 앉았어야지. 내가 보기엔 넌 그냥 수준 미달이야.",M1Q4D03JALEK,m1q4d03jalkfail,,,,0,0
22174,Dialog,JALEK,"You're with that <CUSTOM401>, aren't you? I tell you, that was one tough nut. Damndest thing I ever saw. Right, Christov?","너 그 <CUSTOM401>이랑 같이 온 거지? 말해두는데, 그 녀석 진짜 만만치 않더라. 내 평생 처음 보는 광경이었어. 그렇지, 크리스토프?",M1Q4D03JALEK,,,,vs_fjalekm_055,0,0
22175,Dialog,JALEK,Party is pretty much over in here. Not much point in sticking around.,"여기 파티는 거의 끝났어. 더 있어봤자 별 의미 없지.",M1Q4D03JALEK,,,,vs_fjalekm_050,0,0
