StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
23361,Dialog,JEMA,"Well, at least the zombies have stopped. Do you know anything about that? I'm worried for my brother. He was mixed up in some cult.","적어도 좀비들은 멈췄네요. 뭔가 아시는 거 있어요? 오빠가 걱정돼요. 무슨 사이비 집단에 얽혀 있거든요.",M1Q5A14JEMA,m1q5_jem_journal,,,,0,0
23362,Dialog,JEMA,I'd just like to know where he is. Torin has never been gone this long. If you happen by the estate in the northwest... well... this is my problem.,"오빠가 어디 있는지만 알고 싶어요. 토린 오빠가 이렇게 오래 간 적이 없거든요. 북서쪽 저택에 갈 일이 있으시면... 아, 이건 제 문제네요.",M1Q5A14JEMA,,,,,0,0
23363,Dialog,JEMA,I'm going crazy here. They are up to something at that estate. It's something to do with the undead... I just know it.,"미치겠어요. 저 저택에서 뭔가 꾸미고 있어요. 언데드와 관련된 거예요... 확실해요.",M1Q5A14JEMA,m1q5a14jemaelg,,,,0,0
23364,Dialog,JEMA,"What do you want? There's squat I can do to stop you looting, if that's what you're here for.","뭘 원하세요? 약탈하러 오신 거라면 막을 방법이 없긴 하지만요.",M1Q5A14JEMA,m1q5a14jemajrl01,,,,0,0
23365,Dialog,JEMA,I suppose you could be worse. I'm going after worse right now. I think I know something about these undead... ,"더 나쁜 사람일 수도 있었겠죠. 지금 더 나쁜 걸 쫓고 있으니까요. 이 언데드들에 대해 뭔가 아는 것 같아요...",M1Q5A14JEMA,,,,,0,0
23366,Dialog,JEMA,My brother has been acting... funny. He goes to a strange house just north of here. The undead leave it alone!,"오빠가... 이상하게 행동해요. 여기서 바로 북쪽에 있는 이상한 집에 다니거든요. 언데드들이 그 집은 건드리지 않아요!",M1Q5A14JEMA,m1q5a14jemaelg,,,,0,0
23367,Dialog,JEMA,He's not himself... I think they took his mind. There's a group in there... a cult... and my brother mentioned some kind of... creature.,"오빠가 제정신이 아니에요... 정신을 빼앗긴 것 같아요. 거기 집단이 있어요... 사이비 집단이요... 오빠가 무슨... 생명체 얘기를 했어요.",M1Q5A14JEMA,,,,,0,0
23368,Dialog,JEMA,"I... I don't know. I'd like to help find him, but I don't know if I could make it.","저... 모르겠어요. 오빠를 찾는 걸 돕고 싶지만, 제가 해낼 수 있을지...",M1Q5A14JEMA,,,,,0,0
23370,Dialog,JEMA,"It's the strangest thing: They walk right around it, and don't attack the people going in. My brother said the creature keeps them safe?","정말 이상한 거예요. 좀비들이 그 집 주변을 그냥 지나가고, 들어가는 사람들을 공격하지 않아요. 오빠 말로는 그 생명체가 지켜준다나요?",M1Q5A14JEMA,,,,,0,0
23371,Dialog,JEMA,"No clue, but I know they don't get attacked by the zombies, and I know my brother is acting weirder and weirder.","모르겠어요, 하지만 좀비한테 공격받지 않는 건 확실하고, 오빠가 점점 더 이상하게 행동하는 것도 확실해요.",M1Q5A14JEMA,,,,,0,0
23372,Dialog,JEMA,Yeah? I could use your help if you are looking to kill things. I think I know something about these undead... ,"그래요? 뭔가 처치하실 생각이라면 도움이 필요해요. 이 언데드들에 대해 뭔가 아는 것 같거든요...",M1Q5A14JEMA,,,,,0,0
23373,Dialog,JEMA,I could use some. I'm probably going to be dead in an hour. I... might know something about these undead... ,"도움이 필요해요. 한 시간 안에 죽을 것 같거든요. 저... 이 언데드들에 대해 뭔가 알 수도 있어요...",M1Q5A14JEMA,,,,,0,0
23374,Dialog,JEMA,"I hope you're not looters. Not much I can do if you are, but I hope you're not.","약탈자가 아니길 바라요. 그래도 막을 수는 없지만, 아니길 바라요.",M1Q5A14JEMA,m1q5a14jemajrl01,,,,0,0
23375,Dialog,JEMA,"I hope you're here as a friend. You look like decent folk, and I'd hate for you to have sunk to looting.","친구로 오신 거길 바라요. 괜찮은 분들처럼 보이는데, 약탈이나 하러 다니시면 안타깝잖아요.",M1Q5A14JEMA,m1q5a14jemajrl01,,,,0,0
23376,Dialog,JEMA,I need SMART help. I'm probably going to be dead within the hour. I... might know something about these undead.,"똑똑한 도움이 필요해요. 한 시간 안에 죽을 것 같거든요. 저... 이 언데드들에 대해 뭔가 알 수도 있어요.",M1Q5A14JEMA,,,,,0,0
23377,Dialog,JEMA,He's dead... I don't know what to do... ,"오빠가 죽었어요... 어떻게 해야 할지 모르겠어요...",M1Q5A14JEMA,m1q5_jem_jou2,,,,0,0
23378,Dialog,JEMA,That's... that was my brother's. He always had it with him... he's dead. I know it.,"그건... 오빠 거예요. 항상 갖고 다녔거든요... 오빠가 죽은 거예요. 알아요.",M1Q5A14JEMA,,,,,0,0
23379,Dialog,JEMA,Keep safe out there.,"밖에서 조심하세요.",M1Q5A14JEMA,,,,,0,0
23380,Dialog,JEMA,Thank you. At least now I know... Here... you have been more than helpful. Take this...,"고마워요. 적어도 이제 알았으니까... 여기요... 정말 큰 도움이 되셨어요. 이거 받으세요...",M1Q5A14JEMA,m1q5a14jemaclg10,,,,0,0
23381,Dialog,JEMA,"I don't have much to give you... Just keep the ring. It reminds me of how he died, not his life.","드릴 게 별로 없어요... 반지는 그냥 가지세요. 오빠의 삶이 아니라 죽음만 떠오르게 하거든요.",M1Q5A14JEMA,m1q5a14jemaclg11,,,,0,0
23382,Dialog,JEMA,"I thank you... I don't know why you did this, you seem so harsh... but thank you.","고마워요... 왜 이러신 건지 모르겠어요, 그렇게 냉정해 보이시는데... 하지만 고마워요.",M1Q5A14JEMA,m1q5a14jemaclg12,,,,0,0
