StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
76046,Dialog,KATRIANA,"Well, we finally got here. I want to thank you for all your help. I know that I was a bit hard on you at times... we probably wouldn't have made it this time without you.","드디어 도착했네. 도와줘서 고마워. 가끔 좀 심하게 대한 건 알아... 이번엔 당신 없이는 못 왔을 거야.",Q5_KATRIANA,,,,vs_nx0katrf_067,0,0
76047,Dialog,KATRIANA,"You will probably be wanting to hire a guide to take you to the dig site where your Garrick fellow went. It's a little ways into the desert, I understand, and only the locals really know the way.","그 개릭인가 하는 사람이 간 발굴 현장까지 안내해줄 사람을 고용하고 싶겠지. 사막 안쪽으로 좀 들어가야 하는데, 현지인들만 길을 제대로 알아.",Q5_KATRIANA,,,,vs_nx0katrf_068,0,0
76048,Dialog,KATRIANA,"I am sure one of the Ao worshippers will be willing to take you. They're a fairly agreeable bunch, if a bit daft. Is there anything else you want before you leave?","에이오 숭배자들 중 한 명이 기꺼이 데려다줄 거야. 좀 멍청하긴 해도 꽤 붙임성 좋은 사람들이거든. 떠나기 전에 다른 필요한 거 있어?",Q5_KATRIANA,act_q5kat_1,,,vs_nx0katrf_069,0,0
82081,Dialog,KATRIANA,"Well, take care of yourself out there, <FirstName>. Don't go doing anything crazy, like joining the Ao folk or anything. Good bye.","그럼, 밖에서 조심해, <FirstName>. 에이오 사람들한테 합류한다거나 미친 짓 하지 마. 잘 가.",Q5_KATRIANA,,,,,0,0
82082,Dialog,KATRIANA,"Yes, well... you were a big help to us back in Hilltop with Daschnaya. Not to mention getting us here in one piece.","그래, 뭐... 힐탑에서 다슈냐 일 때 많이 도와줬지. 여기까지 무사히 데려다준 것도 말할 것 없고.",Q5_KATRIANA,,,,,0,0
82083,Dialog,KATRIANA,"There's few enough folk around who give us the time of day. So I truly thank you, <FirstName>. Maybe we'll travel together again.","우리한테 관심 가져주는 사람이 별로 없거든. 그래서 정말 고마워, <FirstName>. 언젠가 또 같이 여행하게 될지도.",Q5_KATRIANA,,,,,0,0
82084,Dialog,KATRIANA,"I know that we were just doing the dwarf a favor, and I wasn't planning on paying you anything... but there's few enough folk who treat us as decently as you have.","드워프한테 호의로 한 거고, 보수를 줄 생각은 없었는데... 당신처럼 우릴 제대로 대해주는 사람이 별로 없거든.",Q5_KATRIANA,,,,,0,0
82085,Dialog,KATRIANA,"So here... a little token from us to you. Use it in good health. Perhaps we'll travel together again, some day.","그래서 여기... 우리가 주는 작은 선물이야. 건강하게 써. 언젠가 또 같이 여행하게 될지도.",Q5_KATRIANA,q5_katriana02,,,,0,0
82086,Dialog,KATRIANA,What would you like to know?,"뭘 알고 싶어?",Q5_KATRIANA,,,,,0,0
82087,Dialog,KATRIANA,"Tall, ugly, human scholar. Actually, in his crowd that could be quite a feat. That mostly describes every one of the archaeologist folk I remember. ","키 크고, 못생긴, 인간 학자. 사실 저 무리에선 그게 별 특징도 안 돼. 내가 기억하는 고고학자들 대부분이 그러니까.",Q5_KATRIANA,,,,,0,0
