StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81247,Dialog,KELGARAS,"Stranger! You have destroyed much of what I created. Tell me, do you feel an urgent need to fight me and die, or do you have time to... parley?","이방인! 내가 만든 것들을 많이 파괴했군. 말해보게, 지금 당장 나와 싸워 죽고 싶은가, 아니면... 대화할 시간이 있나?",Q2E_KELGARAS,,,,,0,0
81248,Dialog,KELGARAS,"I hoped you might have had more of a mind than that, but you have proven me wrong. Very well, we will fight, though I tell you now, even if you defeat me again, you will never be rid of me.","자네가 좀 더 분별력이 있을 거라 기대했는데, 내 착각이었군. 좋아, 싸우지. 하지만 미리 말해두지만, 날 다시 쓰러뜨려도 절대 날 없앨 순 없네.",Q2E_KELGARAS,,,,,0,0
81249,Dialog,KELGARAS,Kel Garas oct hothik Ral!,켈가라스 옥트 호띠크 랄!,Q2E_KELGARAS,,,,,0,0
81250,Dialog,KELGARAS,"When a living person enters my dominion, I always assume they are here to destroy me or to rob me. Either way, I must protect myself and my... people.","산 자가 내 영역에 들어오면, 날 파괴하거나 약탈하려 온 거라 여기지. 어느 쪽이든, 나와 내... 백성들을 지켜야 하니까.",Q2E_KELGARAS,,,,,0,0
81251,Dialog,KELGARAS,"But do not worry, you are alive and my people can be brought back too, so no harm is done. Will you speak?","하지만 걱정 마라. 자네도 살아있고 내 백성들도 되살릴 수 있으니 피해는 없네. 대화하겠나?",Q2E_KELGARAS,,,,,0,0
81252,Dialog,KELGARAS,"There is always something to learn from speaking to another, particularly if the other has a mind of any value. Believe me, I could teach you all sorts of things. ","누군가와 대화하면 언제나 배울 게 있지. 특히 상대가 가치 있는 지성을 가졌다면 말이네. 믿게나, 내가 자네에게 온갖 걸 가르쳐줄 수 있어.",Q2E_KELGARAS,,,,,0,0
81253,Dialog,KELGARAS,But you have to be willing to listen and learn and share your thoughts as well. Is this something that interests you?,"하지만 자네도 듣고, 배우고, 생각을 나눌 의지가 있어야 해. 흥미 있나?",Q2E_KELGARAS,,,,,0,0
81254,Dialog,KELGARAS,"It has been long years since I had anyone to converse with. Let me get a sense of you, first.","대화할 상대가 있었던 게 몇 년 만인지 모르겠군. 먼저 자네가 어떤 인물인지 파악부터 하지.",Q2E_KELGARAS,,,,,0,0
81255,Dialog,KELGARAS,A worshiper of the natural order? I should have known! Your kind deserve only the most painful kind of death!,자연의 질서를 숭배하는 자라니? 그럴 줄 알았어! 네놈 같은 부류는 가장 고통스러운 죽음을 맞아야 마땅하지!,Q2E_KELGARAS,,,,,0,0
81256,Dialog,KELGARAS,A holy priest? I should have known! Your kind deserve only the most painful kind of death!,성스러운 사제라니? 그럴 줄 알았어! 네놈 같은 부류는 가장 고통스러운 죽음을 맞아야 마땅하지!,Q2E_KELGARAS,,,,,0,0
81257,Dialog,KELGARAS,An unholy priest came to my lair? I am sorry I attacked you then. This has all the markings of a most profitable relationship.,사악한 사제가 내 소굴에 왔다니? 공격한 건 미안하군. 아주 이로운 관계가 될 것 같은데.,Q2E_KELGARAS,,,,,0,0
81258,Dialog,KELGARAS,"Ah, I sense the mystic forces you hold under your control. Many of my enemies and allies were mages of great power.","아, 자네가 다루는 신비한 힘이 느껴지는군. 내 적과 아군 중 많은 이가 강력한 마법사였지.",Q2E_KELGARAS,,,,,0,0
81259,Dialog,KELGARAS,A thief are you? Well do I understand the greed for something I did not possess. We might have much in common.,"도둑이라니? 가지지 못한 것에 대한 탐욕은 내가 잘 아는 감정이지. 우리 공통점이 꽤 많을지도 모르겠군.",Q2E_KELGARAS,,,,,0,0
81260,Dialog,KELGARAS,"An entertainer? I never had much use for your sort in life, but now that I face eternity with only the mindless dead to keep me company, I find you intriguing.","광대라니? 살아 있을 때는 네놈 같은 부류에 관심 없었는데, 이제 영원토록 정신 없는 망자들만 상대해야 하니 자네가 흥미롭게 느껴지는군.",Q2E_KELGARAS,,,,,0,0
81261,Dialog,KELGARAS,"Ah, I see you are a warrior of some power. I have known some generals with strong, tactical minds. We shall see how yours compares.","아, 꽤 힘 있는 전사로군. 나도 강력하고 전술적인 두뇌를 가진 장군들을 알았지. 자네 것이 어떤지 비교해 봐야겠군.",Q2E_KELGARAS,,,,,0,0
81262,Dialog,KELGARAS,"So what is your name, <class>?","그래서, 이름이 뭔가, <class>?",Q2E_KELGARAS,,,,,0,0
81263,Dialog,KELGARAS,"Come now, if we are to speak in earnest we must have free exchange of information. I, as you already know, am Kel Garas of the Netheril, and a priest of Jergal.","자, 진지하게 대화하려면 정보를 자유롭게 나눠야 하네. 나는 이미 알겠지만 네더릴의 켈가라스, 제르갈의 사제일세.",Q2E_KELGARAS,,,,,0,0
81264,Dialog,KELGARAS,Then our exchange ends here. Now death awaits you with eagerness.,그럼 대화는 여기까지야. 이제 죽음이 자네를 열망하며 기다린다.,Q2E_KELGARAS,,,,,0,0
81265,Dialog,KELGARAS,"<StartAction>[Failed]</Start> So that is how it is going to be, is it? Very well, I shall call you Katriana, though I doubt it is your name.","<StartAction>[실패]</Start> 그렇게 나오시겠다? 좋아, 카트리아나라 부르지. 본명은 아니겠지만.",Q2E_KELGARAS,,,,,0,0
81266,Dialog,KELGARAS,"<StartAction>[Successful]</Start> Greetings, Katriana. Welcome to the dead lands of Kel Garas, though, as I am sure you have noticed, I am not quite dead.","<StartAction>[성공]</Start> 환영하네, 카트리아나. 켈가라스의 죽은 땅에. 이미 눈치챘겠지만, 나는 완전히 죽진 않았어.",Q2E_KELGARAS,,,,,0,0
81267,Dialog,KELGARAS,"<StartAction>[Failed]</Start> So that is how it is going to be, is it? Very well, I shall call you Torias, though I doubt it is your name.","<StartAction>[실패]</Start> 그렇게 나오시겠다? 좋아, 토리아스라 부르지. 본명은 아니겠지만.",Q2E_KELGARAS,,,,,0,0
81268,Dialog,KELGARAS,"<StartAction>[Successful]</Start> Greetings, Torias. Welcome to the dead lands of Kel Garas, though, as I am sure you have noticed, I am not quite dead.","<StartAction>[성공]</Start> 환영하네, 토리아스. 켈가라스의 죽은 땅에. 이미 눈치챘겠지만, 나는 완전히 죽진 않았어.",Q2E_KELGARAS,,,,,0,0
81269,Dialog,KELGARAS,"Greetings, <CUSTOM502>. Welcome to the dead lands of Kel Garas, though, as I am sure you have noticed, I am not quite dead.","환영하네, <CUSTOM502>. 켈가라스의 죽은 땅에. 이미 눈치챘겠지만, 나는 완전히 죽진 않았어.",Q2E_KELGARAS,,,,,0,0
81270,Dialog,KELGARAS,I was once a powerful priest of the Netherese. But I am sure you have heard the tale from the twisted minds of the Bedine warriors. Perhaps you have questions of me?,"한때 강력한 네더릴의 사제였지. 하지만 비틀린 베다인 전사들 입에서 이야기를 들었을 터. 혹시 내게 물어볼 게 있나?",Q2E_KELGARAS,,,,,0,0
81271,Dialog,KELGARAS,"Let me see that. It looks very familiar. Hmm, I cannot seem to recall where I have seen it before. Perhaps if I could hold it, I could divine what it is with my powers.","그거 좀 보자고. 아주 익숙해 보이는데. 흠, 어디서 봤는지 기억이 안 나는군. 내가 직접 잡아보면 내 힘으로 정체를 알아낼 수 있을 거야.",Q2E_KELGARAS,,,,,0,0
81272,Dialog,KELGARAS,"You can trust me, <CUSTOM502>. Just let me hold the crystal and I can tell you exactly what it is.","날 믿어도 되네, <CUSTOM502>. 수정을 잡게만 해주면 정확히 뭔지 알려주지.",Q2E_KELGARAS,,,,,0,0
81273,Dialog,KELGARAS,You have the source! With it I can truly reign supreme! Nothing will ever be able to destroy me! I shall take it from your corpse and then raise you so that you may serve me!,"근원을 가지고 있었군! 이걸로 진정한 지배자가 되는 거야! 이제 아무것도 날 파괴할 수 없어! 자네 시체에서 빼앗아 되살려 내 종으로 삼아주지!",Q2E_KELGARAS,,,,,0,0
81275,Dialog,KELGARAS,"Hmm, you are an unusual duo. What do you want to know?","흠, 특이한 한 쌍이군. 뭘 알고 싶나?",Q2E_KELGARAS,,,,,0,0
81276,Dialog,KELGARAS,How would you feel about a tribe of people whose sole purpose was to destroy you? But you have me wrong; I do not hate them. I have only contempt for them.,"자네를 파괴하는 게 유일한 목적인 부족에 대해 어떻게 생각하나? 하지만 오해하고 있네. 난 그들을 증오하지 않아. 그저 경멸할 뿐이지.",Q2E_KELGARAS,,,,,0,0
81277,Dialog,KELGARAS,"They are mere dregs, an entire people whom civilized society holds in contempt. They have no homes, no palaces, no great libraries, nothing other than their lives. ","그들은 그저 찌꺼기야. 문명 사회가 경멸하는 족속이지. 집도, 궁전도, 위대한 도서관도 없어. 오직 목숨만 있을 뿐.",Q2E_KELGARAS,,,,,0,0
81278,Dialog,KELGARAS,"When they are swept away, no one shall remember them, nor care that they are gone. I respect those who make something worth remembering. How about you? ","그들이 쓸려나가면, 아무도 기억하지 않을 거고 사라진 걸 신경 쓰지도 않을 거야. 난 기억할 가치 있는 걸 만드는 자들을 존중하지. 자넨 어떤가?",Q2E_KELGARAS,,,,,0,0
81279,Dialog,KELGARAS,Will you have anything worth remembering when your time has ended?,"자네 시간이 끝났을 때, 기억될 만한 게 있을까?",Q2E_KELGARAS,,,,,0,0
81280,Dialog,KELGARAS,"Then you are a fool, and I have no time to suffer fools. Your time is over now, and none shall remember nor mourn your passing.","그럼 바보로군. 바보를 참을 시간은 없어. 자네 시간은 끝났고, 아무도 기억하지도 애도하지도 않을 거야.",Q2E_KELGARAS,,,,,0,0
81281,Dialog,KELGARAS,"And when you die, who will remember? Your kin? Your spawn? No, they shall take your kingdom and it shall be divided and fall and all you accomplished will have been for naught.","자네가 죽으면 누가 기억하겠나? 친족? 자식? 아니야, 그들은 왕국을 차지하고 분열시켜 무너뜨릴 거고 자네가 이룬 건 모두 헛수고가 될 거야.",Q2E_KELGARAS,,,,,0,0
81282,Dialog,KELGARAS,"The ravages of time wear even stone to the ground, and your enemies shall pull down your monuments and use the stone to build their castles.","시간의 파괴는 돌마저 갈아 없애고, 적들은 자네 기념비를 허물어 그 돌로 성을 쌓을 거야.",Q2E_KELGARAS,,,,,0,0
81283,Dialog,KELGARAS,"And the moment you die, others will take your wealth and you will be forgotten. Such things are transitory.","자네가 죽는 순간, 다른 이들이 부를 가져가고 자넨 잊혀질 거야. 그런 건 다 덧없는 것이지.",Q2E_KELGARAS,,,,,0,0
81284,Dialog,KELGARAS,"Who are the great heroes of the Netheril? We had some, but they are forgotten. Such things are transitory.","네더릴의 위대한 영웅이 누구였나? 우리에게도 있었지만, 모두 잊혔어. 그런 건 다 덧없는 것이야.",Q2E_KELGARAS,,,,,0,0
81285,Dialog,KELGARAS,"That is why I became what I am today, that I might live and be my own monument. Someday all shall know and fear me. Have you other questions?","그래서 내가 지금 이렇게 된 거야. 살아서 스스로 기념비가 되기 위해서. 언젠가 모두가 날 알고 두려워할 거야. 다른 질문 있나?",Q2E_KELGARAS,,,,,0,0
81289,Dialog,KELGARAS,"Contrary to what many people believe, my people were not evil by nature. We were arrogant and powerful, and that led many of us to commit evil deeds.","많은 이들이 믿는 것과 달리, 내 백성은 본래 사악하지 않았어. 오만하고 강력했고, 그것이 많은 이를 악행으로 이끌었지.",Q2E_KELGARAS,,,,,0,0
81290,Dialog,KELGARAS,"There was a purity to the power that we wielded, so far superior to the magic of today. There are too many limits for true power.","우리가 휘둘렀던 힘엔 순수함이 있었어. 오늘날 마법과는 비교도 안 되게 우월했지. 지금은 진정한 힘을 위한 제약이 너무 많아.",Q2E_KELGARAS,,,,,0,0
81291,Dialog,KELGARAS,"We broke mountains, and then built cities that flew through the air. We fought our enemies with spells that could wreak havoc as far as the eyes could see.","우리는 산을 부수고, 하늘을 나는 도시를 지었어. 눈이 닿는 곳까지 대혼란을 일으키는 주문으로 적과 싸웠지.",Q2E_KELGARAS,,,,,0,0
81292,Dialog,KELGARAS,Such power is not available in this world. Not since the disappearance of my people.,그런 힘은 이 세상에 더 이상 없어. 내 백성이 사라진 이후로는.,Q2E_KELGARAS,,,,,0,0
81293,Dialog,KELGARAS,"We did fail, but I still live. Perhaps more of my people survive somewhere else. I have felt... something different, recently. ","우리가 실패한 건 사실이지만, 난 여전히 살아있어. 어쩌면 내 백성이 어딘가에서 더 살아남았을지도. 최근 느꼈거든... 뭔가 다른 걸.",Q2E_KELGARAS,,,,,0,0
81294,Dialog,KELGARAS,"Ah, but it matters not. It is my turn to ask you a question. I know so little about the world beyond this temple. Is there a power you serve? A great king?","아, 하지만 중요하진 않아. 이번엔 내가 물어볼 차례군. 이 신전 밖 세상에 대해 아는 게 거의 없어서. 자네가 섬기는 권력이 있나? 위대한 왕이라든지?",Q2E_KELGARAS,,,,,0,0
81295,Dialog,KELGARAS,"The path to power comes to he who serves those more powerful, until he is more powerful than anyone else. You will learn this, <CUSTOM502>, or be destroyed by those with the power.","권력에 이르는 길은 더 강한 자를 섬기다가 결국 누구보다 강해지는 거야. 자네도 배우게 될 거야, <CUSTOM502>. 아니면 힘 있는 자들에게 파괴당하거나.",Q2E_KELGARAS,act_kelgaras_1,,,,0,0
81296,Dialog,KELGARAS,What else would you like to know?,또 뭘 알고 싶나?,Q2E_KELGARAS,,,,,0,0
81298,Dialog,KELGARAS,"You are an annoying little dwarf. <CUSTOM502>, you need to learn to keep your servants under better control. That is why I prefer mine dead.","성가신 드워프로군. <CUSTOM502>, 부하를 좀 더 잘 통제하는 법을 배워야 해. 그래서 난 죽은 놈들을 선호하지.",Q2E_KELGARAS,,,,,0,0
81300,Dialog,KELGARAS,"But you should be, little dwarf. <He/She> is obviously your superior.","하지만 그래야 할 거야, 작은 드워프. <He/She>가 분명히 자네보다 위야.",Q2E_KELGARAS,,,,,0,0
81302,Dialog,KELGARAS,"I was a powerful priest in the church of Jergal... a powerful god in my time. Despite my position in the church, I wanted more. I wanted to usurp the power of the mages and rule Netheril.","나는 제르갈 교회의 강력한 사제였어... 당시엔 강력한 신이었지. 교회 내 지위에도 불구하고 더 원했어. 마법사들의 힘을 빼앗아 네더릴을 지배하고 싶었지.",Q2E_KELGARAS,,,,,0,0
81303,Dialog,KELGARAS,"I did the research and found that I could increase my powers in the church and eventually in my society, but only if I were immortal. The ceremony was performed and I bound my soul to a magical rod.","연구 끝에 알아냈지. 교회에서, 결국엔 사회에서 내 힘을 키울 수 있다는 걸. 하지만 오직 불멸이어야 했어. 의식을 치르고 내 영혼을 마법 단장에 묶었지.",Q2E_KELGARAS,,,,,0,0
81304,Dialog,KELGARAS,"Indeed. The rod was stolen by my enemies, just as it was by you presently, and I was cast out of Netheril society, buried in a cave, unable to rise and use my powers. ","그렇지. 단장은 적들에게 도난당했어. 지금 자네가 한 것처럼 말이야. 그리고 난 네더릴 사회에서 추방당해 동굴에 묻혔고, 일어나서 힘을 쓸 수도 없었지.",Q2E_KELGARAS,,,,,0,0
81305,Dialog,KELGARAS,"If my soul remained with my body, then the destruction of my corpse would end my life. By joining it with the magical rod, blessed and protected by Jergal, I survive death all the better.","영혼이 육신에 머물렀다면, 시신이 파괴되면 목숨도 끝났을 거야. 제르갈의 축복과 보호를 받는 마법 단장에 묶어서, 죽음을 훨씬 더 잘 견디지.",Q2E_KELGARAS,,,,,0,0
81306,Dialog,KELGARAS,"The rod was stolen by my enemies, just as it was by you presently, and I was cast out of Netheril society, buried in a cave, unable to rise and use my powers. ","단장은 적들에게 도난당했어. 지금 자네가 한 것처럼 말이야. 그리고 난 네더릴 사회에서 추방당해 동굴에 묻혔고, 일어나서 힘을 쓸 수도 없었지.",Q2E_KELGARAS,,,,,0,0
81307,Dialog,KELGARAS,"Then, after an age of imprisonment, I found myself free... but entirely alone.","그러다 오랜 감금 끝에 자유를 얻었지... 하지만 완전히 혼자였어.",Q2E_KELGARAS,,,,,0,0
81308,Dialog,KELGARAS,"Then they have better knowledge then I would have thought, but I am sure the next part they would not know about. ","그럼 생각보다 더 잘 알고 있군. 하지만 다음 부분은 모를 거야.",Q2E_KELGARAS,,,,,0,0
81309,Dialog,KELGARAS,"Indeed, you have the bartering stick, if I may use that turn of phrase. I suppose the fools told you to destroy me by destroying the rod. Always there is someone who would destroy those who would be great.","그렇지, 협상카드를 쥐고 있군. 바보들이 단장을 파괴해서 날 없애라고 했겠지. 위대해질 자들을 파괴하려는 놈들은 언제나 있어.",Q2E_KELGARAS,,,,,0,0
81313,Dialog,KELGARAS,"The Netherese disappeared with all of their cities and magic. I have no idea what became of them, other than the one who possessed my soul. I found his corpse near here, in fact, my body being drawn to my soul.","네더릴인들은 도시와 마법과 함께 사라졌어. 내 영혼을 가진 자 말곤 어떻게 됐는지 모르겠어. 사실 그의 시체를 이 근처에서 찾았지. 내 육신이 영혼에 이끌린 거야.",Q2E_KELGARAS,,,,,0,0
81314,Dialog,KELGARAS,"I was torn by the loss of my people, and I was determined to discover what had happened to them. Then I found a true horror.","백성을 잃어 괴로웠고, 무슨 일이 일어났는지 밝혀내겠다고 결심했지. 그리고 진정한 공포를 발견했어.",Q2E_KELGARAS,,,,,0,0
81315,Dialog,KELGARAS,"Not so quickly. I have told you some of my story, but now it is my turn. Information is valuable and not to be easily given away.","그리 급하게 굴지 마. 내 이야기를 좀 해줬으니, 이번엔 내 차례야. 정보는 가치 있는 거라 쉽게 내줄 순 없지.",Q2E_KELGARAS,,,,,0,0
81316,Dialog,KELGARAS,I want to know something about you. Tell me; was your father a <class> too?,"자네에 대해 좀 알고 싶군. 말해보게, 자네 아버지도 <class>였나?",Q2E_KELGARAS,,,,,0,0
81317,Dialog,KELGARAS,"And driven by your mother's accomplishments, you decided that you just had to make more of your life, to prove you were as good; no, better than she was.","그리고 어머니의 업적에 자극받아서, 인생에서 더 큰 걸 이뤄야겠다고 결심했겠지. 어머니만큼, 아니 그보다 더 나은 걸 증명하려고.",Q2E_KELGARAS,,,,,0,0
81318,Dialog,KELGARAS,"My, what a heart wrenching tale, <CUSTOM502>. I can see it now, driven by the loneliness of not having a father, you vowed to do more with your life.","이런, 가슴 아픈 이야기로군, <CUSTOM502>. 이제 보이는군. 아버지 없는 외로움에 떠밀려 인생에서 더 많은 걸 하겠다고 맹세했겠지.",Q2E_KELGARAS,,,,,0,0
81319,Dialog,KELGARAS,"Ah yes, I can almost smell the stench of the nobility flowing through your veins. Driven by the right to rule, you set out to show everyone you were worthy of your birthright.","아, 그래. 자네 핏줄에 흐르는 귀족의 악취가 거의 맡아지는군. 통치할 권리에 내몰려, 모두에게 자네가 타고난 권리에 합당함을 보여주려 했겠지.",Q2E_KELGARAS,,,,,0,0
81320,Dialog,KELGARAS,"And driven by your father's accomplishments, you decided that you just had to make more of your life, to prove you were as good; no, better than he was.","그리고 아버지의 업적에 자극받아서, 인생에서 더 큰 걸 이뤄야겠다고 결심했겠지. 아버지만큼, 아니 그보다 더 나은 걸 증명하려고.",Q2E_KELGARAS,,,,,0,0
81321,Dialog,KELGARAS,"Ah yes, I can almost smell the stench of the common blood, flowing through your veins. Ashamed of the life your parents led, you vowed to make more of your life.","아, 그래. 자네 핏줄에 흐르는 천민의 악취가 거의 맡아지는군. 부모가 살던 삶을 부끄러워해서, 인생에서 더 많은 걸 하겠다고 맹세했겠지.",Q2E_KELGARAS,,,,,0,0
81322,Dialog,KELGARAS,"My, what a heart wrenching tale, <CUSTOM502>. I can see it now, driven by the loneliness of the orphanage; you vowed to make something better of your life.","이런, 가슴 아픈 이야기로군, <CUSTOM502>. 이제 보이는군. 고아원의 외로움에 떠밀려 더 나은 인생을 만들겠다고 맹세했겠지.",Q2E_KELGARAS,,,,,0,0
81323,Dialog,KELGARAS,"Yes, you are as easy to read as a simple text. Go ahead, tell me I am wrong.","그래, 자넨 단순한 글만큼 읽기 쉽군. 계속해봐, 내가 틀렸다고 말해봐.",Q2E_KELGARAS,,,,,0,0
81324,Dialog,KELGARAS,"That's right. Lie to yourself and try to make up excuses for your choices in life, but in the end you will see that I was right.","맞아. 스스로에게 거짓말하고 인생의 선택에 대한 변명을 만들어봐. 하지만 결국엔 내가 옳았다는 걸 보게 될 거야.",Q2E_KELGARAS,,,,,0,0
81325,Dialog,KELGARAS,"Of course I am. The sorrows of life drive all her creatures down similar paths. We can lie to ourselves and believe that our choices are somehow more noble than others, but it is nothing more than a lie.","당연하지. 인생의 슬픔은 모든 피조물을 비슷한 길로 몰아가. 스스로에게 거짓말하고 우리 선택이 어떻게든 남들보다 고결하다고 믿을 수 있지만, 그건 그저 거짓말일 뿐이야.",Q2E_KELGARAS,,,,,0,0
81326,Dialog,KELGARAS,So where were we?,그래서 어디까지 했더라?,Q2E_KELGARAS,act_kelgaras_1,,,,0,0
81327,Dialog,KELGARAS,"I was hoping I could trust you, but I do not think I know you well enough. I guess it is time to find out how well you die.","자네를 믿을 수 있을까 했는데, 아직 충분히 알 것 같지 않군. 얼마나 잘 죽는지 알아볼 시간인가 봐.",Q2E_KELGARAS,,,,,0,0
81328,Dialog,KELGARAS,"Well, I know a little bit about you, but I guess the most important knowledge must come now.","음, 자네에 대해 조금은 알겠는데, 가장 중요한 걸 지금 알아봐야겠어.",Q2E_KELGARAS,,,,,0,0
81329,Dialog,KELGARAS,"Are you willing to make a deal with me, knowing that it means you must betray your friends, the Bedine?","나와 거래할 의향이 있나? 그게 자네 친구들, 베다인을 배신한다는 뜻이란 걸 알면서도?",Q2E_KELGARAS,,,,,0,0
81330,Dialog,KELGARAS,"No, you must choose your path and choose it now. Once you decide, there shall be no going back. Now choose, yes or no?","안 돼, 지금 길을 선택해야 해. 일단 결정하면 돌이킬 수 없어. 이제 선택해, 예스냐 노냐?",Q2E_KELGARAS,,,,,0,0
81331,Dialog,KELGARAS,"Then it is time to find out how well you die. Farewell, fool.","그럼 얼마나 잘 죽는지 알아볼 시간이군. 안녕히, 바보야.",Q2E_KELGARAS,,,,,0,0
81332,Dialog,KELGARAS,"Well then, we are entered into a contract. So here is the deal. I have created a dagger with special properties similar to the rod that holds my soul.","좋아, 계약 성립이군. 그럼 거래 내용이야. 내 영혼을 담은 단장과 비슷한 특성을 가진 단도를 만들었어.",Q2E_KELGARAS,,,,,0,0
81333,Dialog,KELGARAS,"You take this dagger, and plunge it into the body of the Bedine leader. The dagger will consume his soul, killing him instantly.","이 단도를 가지고 베다인 지도자의 몸에 찔러 넣어. 단도가 그의 영혼을 삼켜 즉사시킬 거야.",Q2E_KELGARAS,,,,,0,0
81334,Dialog,KELGARAS,"I shall leave here until the fool is dealt with. When the deed is done, take the dagger and place it on the altar. Doing this will curse the altar.","그 바보를 처리할 때까지 여길 떠나겠어. 일을 끝내면, 단도를 가져와 제단에 올려놔. 그러면 제단이 저주받을 거야.",Q2E_KELGARAS,,,,,0,0
81335,Dialog,KELGARAS,"Jergal will use the energy of the Bedine's soul to forge you a powerful item. Use it or sell it, I care not. I will be going now. ","제르갈이 베다인의 영혼 에너지로 강력한 아이템을 만들어줄 거야. 쓰든 팔든 상관없어. 이제 가겠어.",Q2E_KELGARAS,,,,,0,0
81336,Dialog,KELGARAS," You shall never see me again, until the time of my triumphant return. I shall remember what an excellent servant you have made. Perhaps I will give you a kingdom or two to run.","내가 승리하며 돌아올 때까지 다시 보지 못할 거야. 자네가 얼마나 훌륭한 하인이었는지 기억할게. 어쩌면 왕국 하나 둘쯤은 맡길지도 모르지.",Q2E_KELGARAS,,,,,0,0
81337,Dialog,KELGARAS,"Oh, and one last thing, I will take the rod and return the water to the oasis. You have my permission to partake of as much as you wish.","아, 그리고 마지막으로, 단장을 가져가서 오아시스에 물을 되돌려놓을게. 원하는 만큼 마실 수 있도록 허락하지.",Q2E_KELGARAS,,,,,0,0
