StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
46070,Dialog,KLAU,"Come closer, I will not harm you. These last days of the eons of my life pass slowly now and I would speak with you to break the monotony.",가까이 오라. 해치지 않겠다. 영겁의 세월 끝자락에서 하루하루가 느리게 흘러가니 무료함을 달래고자 너와 대화하고 싶구나.,M3Q04H07KLAU,m3q04h07klauelc1,,,vs_ndredm_055,0,0
46071,Dialog,KLAU,"Your comings and goings make no matter to me. You are insignificant, a nothing beside my own existence. Go, stay, it doesn't matter to me. For I, Klauth, am eternal.",네가 오든 가든 내게는 아무 상관이 없다. 나의 존재에 비하면 너는 보잘것없는 무에 불과하니. 가거라. 머물거라. 내겐 아무래도 좋다. 나 클라우스는 영원하니까.,M3Q04H07KLAU,,,,,0,0
46072,Dialog,KLAU,"Then your life will end, <FullName>. I have seen what awaits beyond this world: a void of still darkness. Are you ready to face the bleak nothingness beyond this life? ",그렇다면 네 목숨은 여기서 끝이다. <FullName>. 이 세상 너머에 무엇이 기다리는지 나는 보았다. 고요한 어둠의 공허뿐. 삶 너머의 황량한 허무를 마주할 준비가 되었느냐?,M3Q04H07KLAU,,,,,0,0
46073,Dialog,KLAU,"Speak with me if you dare, or flee like insignificant fleck of dust before the storming glory of my existence. But do not attack me, <FullName>, unless you are ready for death.",용기가 있다면 말을 걸어라. 아니면 나의 폭풍 같은 영광 앞에서 하찮은 먼지처럼 도망쳐라. 하지만 공격은 하지 마라. <FullName>. 죽을 준비가 되지 않았다면.,M3Q04H07KLAU,,,,,0,0
46074,Dialog,KLAU,"The wisdom of eternity speaks, but you refuse to listen. So be it. I shall bring you the death you so eagerly seek.",영원의 지혜가 말하건만 너는 듣기를 거부하는구나. 좋다. 네가 그토록 갈망하는 죽음을 선사해 주마.,M3Q04H07KLAU,,,,,0,0
46075,Dialog,KLAU,"I am old as time itself, the infinite wisdom of eternity is mine to command. Your name and your deeds are known to me, <FullName>, and I shall remember them long after history has forgotten you. ",나는 시간 자체만큼이나 오래되었고 영원의 무한한 지혜가 내 것이다. 네 이름과 행적은 이미 알고 있다. <FullName>. 역사가 너를 잊은 뒤에도 나는 오래도록 기억할 것이다.,M3Q04H07KLAU,,,,,0,0
46076,Dialog,KLAU,"I am Klauth, Wyrm of the North, oldest of the Dragons, greatest of the mortal creatures who walk the Realms. My power and my knowledge know no bounds!",나는 클라우스. 북녘의 고룡이자 용들 중 가장 오래된 존재이며 세계를 거니는 필멸의 피조물 중 가장 위대한 자다. 내 힘과 지식에는 한계가 없다!,M3Q04H07KLAU,,,,,0,0
46077,Dialog,KLAU,"Ask your question, <FullName>, and I shall answer if it pleases me. ",질문하거라. <FullName>. 내 마음에 들면 답해 주마.,M3Q04H07KLAU,,,,,0,0
46078,Dialog,KLAU,"Dragon? That term hardly applies. That creature is simply a vessel for the essence of my existence, an ignorant beast created by the power of my sorcerer servants' magic from the eggs of another dragon. ",용이라고? 그 말은 어울리지 않는다. 저 생명체는 그저 내 존재의 정수를 담는 그릇일 뿐. 다른 용의 알에서 내 마법사 하인들의 마법으로 만들어낸 무지한 짐승이다.,M3Q04H07KLAU,,,,,0,0
46079,Dialog,KLAU,"In mere months their bodies go from eggs and hatchlings to full grown adults, though their minds remain empty. Then, when they are mature and their essence waxes full, I absorb them utterly to sustain my own waning life.",불과 몇 달 만에 알에서 부화해 성체로 자라지만 정신은 텅 빈 채로 남는다. 그리고 성숙해져 정수가 가득 차면 나는 그것을 완전히 흡수하여 쇠퇴해 가는 내 생명을 유지한다.,M3Q04H07KLAU,,,,,0,0
