StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37162,Creature,Karlat Jhareg,"Greetings, Lady Guardian. Greetings, Judge.","환영하오, 수호자여. 환영하오, 심판관이여.",M2Q3I_KARLAT,,,,,0,0
37165,Creature,Karlat Jhareg,"Our souls long for rest, Lady Guardian, and our hearts for justice.","우리의 영혼은 안식을 갈망하고, 수호자여, 우리의 마음은 정의를 갈망하오.",M2Q3I_KARLAT,,,,,0,0
37167,Creature,Karlat Jhareg,At last! What was stolen from me has been returned and I may finally shed this half-dead form!,"마침내! 내게서 빼앗긴 것이 돌아왔고, 이 반쯤 죽은 형체를 벗어날 수 있게 되었구나!",M2Q3I_KARLAT,,,,,0,0
37181,Creature,Karlat Jhareg,"I made it quick, just a moment of pain. I was told that they would be returned to life as soon as I finished my ceremony but... I never finished... ","빨리 끝냈소, 잠깐의 고통뿐이었소. 의식을 마치면 그들을 되살릴 수 있다고 들었는데... 끝내지 못했소...",M2Q3I_KARLAT,,,,,0,0
37183,Creature,Karlat Jhareg,No!!! The phylactery is everything!,"안 돼!!! 성구함이 전부란 말이오!",M2Q3I_KARLAT,,,,,0,0
37257,Creature,Karlat Jhareg,"Judge? Judge, is that you? I don't remember -- it's so hard to string my thoughts together one to the next... ","심판관? 심판관, 당신이오? 기억이... 생각들을 하나하나 이어가기가 너무 힘들구려...",M2Q3I_KARLAT,m2q3_karlat001,,,vs_nkarlatm_050,0,0
37258,Creature,Karlat Jhareg,"Yes. Yes, that's my name... It's been so long since I've heard someone speak it! The last one to do so was my... my brother... ","그렇소. 그렇소, 그게 내 이름이오... 누군가 그 이름을 부르는 걸 들은 게 얼마나 오래전인지! 마지막으로 부른 자는... 내 동생이었소...",M2Q3I_KARLAT,,,,,0,0
37259,Creature,Karlat Jhareg,I just don't know whether or not we've spoken before. I live in a constant daze. Everything's come undone since my brother... since that night... ,"우리가 전에 대화했는지조차 모르겠소. 끊임없는 혼미 속에 살고 있거든. 동생이... 그 밤 이후로 모든 게 무너졌소...",M2Q3I_KARLAT,,,,,0,0
37260,Creature,Karlat Jhareg,"Yes. Yes, I seek an end to this torment of unknowing! I do not even know if we have spoken before... Everything's come undone since my brother... ","그렇소. 그렇소, 이 알 수 없음의 고통을 끝내고 싶소! 전에 대화했는지조차 모르겠구려... 동생이... 그 일을 저지른 뒤로 모든 게 무너졌소...",M2Q3I_KARLAT,,,,,0,0
37261,Creature,Karlat Jhareg,"Fire? I - I was doing research once, trying to find something... And I found it - I did but... then my brother took it from me... ","불? 나... 한때 연구를 하고 있었소, 무언가를 찾으려고... 그리고 찾았소... 찾았는데... 동생이 빼앗아갔소...",M2Q3I_KARLAT,,,,,0,0
37262,Creature,Karlat Jhareg,"No, I have forgotten many things but not my power. The last time I used it was that night... the night my... my brother... ","아니오, 많은 것을 잊었지만 힘은 잊지 않았소. 마지막으로 사용한 건 그 밤이었소... 내 동생이... 그 밤에...",M2Q3I_KARLAT,,,,,0,0
37263,Creature,Karlat Jhareg,"Quint! Yes, it was him! He was responsible! He invited all the children of the village to his tower and he began to read to them... ","퀸트! 그렇소, 그놈이었소! 그놈이 저지른 것이오! 마을의 모든 아이들을 탑으로 초대해서 책을 읽어주기 시작했소...",M2Q3I_KARLAT,,,,,0,0
37264,Creature,Karlat Jhareg,"It was horrible... The blood, it was everywhere. Every one of them died, every child... He's gone mad, you know. My younger brother has gone mad... ","끔찍했소... 피가, 사방에 흥건했소. 모두 죽었소, 모든 아이가... 미쳤소, 알겠소? 내 동생이 미쳤소...",M2Q3I_KARLAT,,,,,0,0
37265,Creature,Karlat Jhareg,"I arrived there too late. I rebuked him and he groveled there before me. He said he did it for me, all for me, all for the love of an older brother!","너무 늦게 도착했소. 꾸짖었더니 내 앞에 엎드렸소. 나를 위해서 그랬다고, 모두 나를 위해서, 형을 향한 사랑 때문이라고!",M2Q3I_KARLAT,,,,,0,0
37266,Creature,Karlat Jhareg,"I unleashed the fire against him but he fled and stole my most powerful artifact, my phylactery, and made use of it.","불을 쏟아부었지만 도망쳤소. 가장 강력한 유물인 성구함을 훔쳐서 사용했소.",M2Q3I_KARLAT,,,,,0,0
37267,Creature,Karlat Jhareg,"Now we are all stuck here because of him, pressed like flowers between the pages of the Book of Time.","이제 우리 모두 그놈 때문에 여기 갇혀 있소, 시간의 책 사이에 눌린 꽃처럼.",M2Q3I_KARLAT,,,,,0,0
37268,Creature,Karlat Jhareg,"I have the time, Judge, if not always the memory. Ask what you will.","시간은 있소, 심판관이여, 기억은 항상 있지 않지만. 원하는 것을 물으시오.",M2Q3I_KARLAT,,,,,0,0
37269,Creature,Karlat Jhareg,"I once had half-elven blood in my veins. Among the elves, some called Baelnorns seek lichdom that they might stand watch over their families.","난 한때 하프엘프 혈통이었지. 엘프들 중 벨노언이라 불리는 이들은 가문을 지키기 위해 리치가 되기를 추구하오.",M2Q3I_KARLAT,,,,,0,0
37270,Creature,Karlat Jhareg,"I would have preserved our family had not my brother first destroyed it. When he interfered, I became but a half-lich, somehow.","동생이 먼저 파괴하지 않았다면 우리 가문을 보존했을 것이오. 그놈이 방해했을 때, 어째서인지 하프리치가 되고 말았소.",M2Q3I_KARLAT,,,,,0,0
37271,Creature,Karlat Jhareg,"If only I can recover the phylactery he stole, I can finish the ceremony and become what I was meant to be... It would free us all from this wretched place.","그놈이 훔쳐간 성구함만 되찾으면, 의식을 마치고 내가 되어야 할 존재가 될 수 있소... 우리 모두 이 저주받은 곳에서 벗어날 수 있을 것이오.",M2Q3I_KARLAT,,,,,0,0
37272,Creature,Karlat Jhareg,"He was young and foolish, with no understanding of the arcane arts, no understanding of the world in which we wizards operate... ","젊고 어리석었소, 비전 마법에 대한 이해도 없고, 우리 마법사들이 사는 세계에 대한 이해도 없었소...",M2Q3I_KARLAT,,,,,0,0
37273,Creature,Karlat Jhareg,We consort with demons and keep imps as our familiars but does that make us evil?,"우리는 악마와 교류하고 임프를 사역마로 두지만, 그것이 우리를 악하게 만드는 것이오?",M2Q3I_KARLAT,,,,,0,0
37274,Creature,Karlat Jhareg,"Perhaps he performed the unspeakable act in an effort to earn my respect, my affection. Perhaps he wanted to prove himself before his brother.","아마 내 존경과 애정을 얻으려고 그 끔찍한 짓을 저질렀을 것이오. 아마 형 앞에서 자신을 증명하고 싶었겠지.",M2Q3I_KARLAT,,,,,0,0
37275,Creature,Karlat Jhareg,Lathander gave it to the Guardian for safekeeping and she has kept it ever since.,"라샌더가 수호자에게 보관을 맡겼고, 그 이후로 계속 지키고 있소.",M2Q3I_KARLAT,,,,,0,0
37276,Creature,Karlat Jhareg,"If only I can recover it, I can finish the ceremony and become what I was meant to be... It would free us all from this accursed place.","그것만 되찾으면, 의식을 마치고 내가 되어야 할 존재가 될 수 있소... 우리 모두 이 저주받은 곳에서 벗어날 수 있을 것이오.",M2Q3I_KARLAT,,,,,0,0
37277,Creature,Karlat Jhareg,What good is a god of the dawn if he traps us in this eternal night? My brother prayed to him before the madness came on... ,"영원한 밤에 우리를 가두면 새벽의 신이 무슨 소용이오? 동생은 미치기 전에 그에게 기도했소...",M2Q3I_KARLAT,,,,,0,0
37278,Creature,Karlat Jhareg,"The Guardian may claim Lathander did not stand in Judgment, yet Quint wanders the village freely while I rot in here forever, in this wretched half-form!","수호자는 라샌더가 심판에 관여하지 않았다고 주장할 수 있소, 하지만 퀸트는 마을을 자유롭게 돌아다니고 나는 여기서 영원히, 이 비참한 반쯤 된 형체로 썩어가고 있소!",M2Q3I_KARLAT,,,,,0,0
37279,Creature,Karlat Jhareg,"Yes, my Judge... ","예, 심판관이여...",M2Q3I_KARLAT,,,,,0,0
37280,Creature,Karlat Jhareg,"I have suffered here too long, tormented by forgetfulness amidst this endless pall of smoke. I would only be too glad... ","너무 오래 여기서 고통받았소, 끝없는 연기의 장막 속에서 건망증에 시달리며. 기꺼이...",M2Q3I_KARLAT,,,,,0,0
37281,Creature,Karlat Jhareg,"Here, take it: my written oath of every word that I have uttered here. Present it to the Guardian and let us have our Judgment.","여기, 받으시오. 내가 여기서 한 모든 말에 대한 서면 서약이오. 수호자에게 보여주고 심판을 받게 해주시오.",M2Q3I_KARLAT,m2q3i_karlata1,,,,0,0
