StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
17375,Dialog,LUCE,"Welcome to the Moonstone Mask. My name is Luce. Is there aught I can do for you, gentle sir?","월장석 가면에 오신 것을 환영해요. 제 이름은 루체예요. 무엇을 도와드릴까요, 신사분?",M1Q1A06LUCE,,,,vs_nprostf1_053,0,0
17376,Dialog,LUCE,"Good day, sir. My name is Luce. I trust you wish your visit to the Moonstone Mask to be a pleasant one.","안녕하세요, 나리. 저는 루체예요. 월장석 가면에서의 방문이 즐거우시길 바라요.",M1Q1A06LUCE,,,,vs_nprostf1_054,0,0
17377,Dialog,LUCE,Good day to you... fine sir. My name is Luce. Take heart. We of the Moonstone Mask are skilled at looking for worth beneath any distasteful surface.,"좋은 하루예요... 훌륭한 나리. 저는 루체예요. 걱정 마세요. 월장석 가면의 저희는 어떤 불쾌한 겉모습 아래에서도 가치를 찾는 데 능숙하답니다.",M1Q1A06LUCE,,,,vs_nprostf1_055,0,0
17378,Dialog,LUCE,"Well, aren't you sweet, but remember that a Pass Coin only entitles you to my time. Anything beyond that is my discretion. I'm sure we'll get along fine, though.","정말 다정하시네요. 하지만 통행 주화은 제 시간에 대한 권리일 뿐이에요. 그 이상은 제 재량이죠. 하지만 잘 지낼 수 있을 거예요.",M1Q1A06LUCE,,,,,0,0
17379,Dialog,LUCE,"Me? Tonight I am whatever you wish. I am a confidant and a friend, if that is what you need me to be. ","저요? 오늘 밤 저는 당신이 원하는 무엇이든 될 수 있어요. 비밀을 나눌 친구가 필요하시다면, 그렇게 될게요.",M1Q1A06LUCE,,,,,0,0
17380,Dialog,LUCE,"Well, a long time ago I was born to a loving family. And now I am here with you. Nothing is more important than that right now.","글쎄요, 오래전에 사랑 가득한 가정에서 태어났어요. 그리고 지금은 당신과 함께 여기 있죠. 지금은 그것보다 중요한 건 없어요.",M1Q1A06LUCE,m1s2c01luceslg04,,,,0,0
17381,Dialog,LUCE,"Well, then it is fortunate that I am not you. I give comfort where it is needed. What do you do, besides malign the choices of others?","다행히 전 당신이 아니네요. 저는 필요한 곳에 위안을 드려요. 당신은 남의 선택을 헐뜯는 것 말고 뭘 하시나요?",M1Q1A06LUCE,,,,,0,0
17382,Dialog,LUCE,Goodbye. Perhaps we'll talk another time. Just remember to provide a Pass Coin. They are available from the bartender.,"안녕히 가세요. 다음에 또 얘기해요. 통행 주화을 준비하시는 거 잊지 마세요. 바텐더에게서 살 수 있어요.",M1Q1A06LUCE,,,,,0,0
17383,Dialog,LUCE,"Important people are not often able to confide with people that care. I am a surrogate and a friend, if need be. Tell me, what bothers you?","중요한 사람들은 자신을 신경 쓰는 이들에게 속마음을 털어놓기 어려운 법이죠. 필요하시다면 제가 대신 친구가 되어 드릴게요. 무엇이 마음에 걸리세요?",M1Q1A06LUCE,,,,,0,0
17384,Dialog,LUCE,"Of course you feel that way. Many people in power have a sense of yearning that just can't seem to be filled, despite their great responsibilities.","당연히 그렇게 느끼시죠. 권력을 가진 많은 분들이 큰 책임에도 불구하고 채워지지 않는 갈망을 느끼세요.",M1Q1A06LUCE,,,,,0,0
17385,Dialog,LUCE,"You can let it all go with me. I am not here to judge, or to laud your position. I am here with you, stripped of your trappings.","저와 함께라면 모든 걸 내려놓을 수 있어요. 전 판단하거나 지위를 치켜세우려고 여기 있는 게 아니에요. 겉치레를 벗은 당신과 함께 있을 뿐이죠.",M1Q1A06LUCE,,,,,0,0
17386,Dialog,LUCE," How serious is ""serious?"" I try not to worry my companions unnecessarily, but I will endeavor to talk about whatever you like.","""진지하다""는 게 얼마나 진지한 건가요? 손님들을 불필요하게 걱정시키고 싶진 않지만, 원하시는 이야기는 뭐든 해볼게요.",M1Q1A06LUCE,,,,,0,0
17387,Dialog,LUCE,"I am sure you are quite capable, but is your emotional armor so perfect? There is no shame in needing a kind word now and then.","분명 뛰어나신 분이시겠지만, 감정의 갑옷도 그렇게 완벽한가요? 가끔 다정한 말이 필요한 건 부끄러운 일이 아니에요.",M1Q1A06LUCE,,,,,0,0
17388,Dialog,LUCE,"For instance, you seem a roguish type. Irreverent. Perhaps someone that enjoys playing with people. Sometimes that can keep companions at a distance.","예를 들어, 장난기 많은 분 같아 보여요. 자유분방하고. 사람들을 가지고 노는 걸 즐기시는 분. 가끔 그런 면이 동료들을 멀리하게 하기도 하죠.",M1Q1A06LUCE,,,,,0,0
17389,Dialog,LUCE,"For instance, you look very in tune with nature. A good calling, but perhaps it keeps your companions at a distance?","예를 들어, 자연과 하나가 되신 것 같아요. 좋은 소명이죠. 하지만 동료들을 멀리하게 만들진 않나요?",M1Q1A06LUCE,,,,,0,0
17390,Dialog,LUCE,"For instance, you look very devout, and sure of your spiritual side. That can sometimes keep friends at a distance if they don't understand.","예를 들어, 매우 독실하고 영적인 면에 확신이 있어 보여요. 이해하지 못하는 친구들을 멀어지게 할 수도 있죠.",M1Q1A06LUCE,,,,,0,0
17391,Dialog,LUCE,"For instance, you seem very learned of arcane matters. Perhaps it sometimes keeps companions at a distance? Some people react with suspicion to such things.","예를 들어, 비전 지식에 매우 정통해 보여요. 동료들을 멀리하게 만들진 않나요? 어떤 사람들은 그런 것에 의심의 눈초리를 보내니까요.",M1Q1A06LUCE,,,,,0,0
17392,Dialog,LUCE,"For instance, you look like someone familiar in the use of weapons. That affinity for battle can keep companions at a distance sometimes. ","예를 들어, 무기 다루는 데 능숙해 보여요. 전투에 대한 친화력이 동료들을 멀어지게 할 때가 있죠.",M1Q1A06LUCE,,,,,0,0
17393,Dialog,LUCE,"I can close that distance, if you like. That's why I'm here, and likely that's why you are here too.","원하시면 그 거리를 좁혀 드릴 수 있어요. 제가 여기 있는 이유이고, 아마 당신이 여기 있는 이유이기도 하겠죠.",M1Q1A06LUCE,m1s2c01luceslg04,,,,0,0
17394,Dialog,LUCE,"I am sorry, m'lady, but my company is open to males alone. You might wish to see if Tanith is free. ","죄송해요, 아가씨. 저는 남성 손님만 받아요. 타니스가 시간이 되는지 알아보시는 게 좋겠어요.",M1Q1A06LUCE,,,,vs_nprostf1_050,0,0
17395,Dialog,LUCE,"I think you should reconsider your tone. A Pass Coin purchases my time, not my will. If I am not pleased with your behavior, this encounter will end.","말투를 재고해 보시는 게 좋겠어요. 통행 주화은 제 시간을 사는 것이지, 제 의지를 사는 게 아니에요. 행동이 마음에 안 들면 이 만남은 끝이에요.",M1Q1A06LUCE,,,,,0,0
17396,Dialog,LUCE,"I will try to abide your gruff demeanor, but remember that a Pass Coin buys my time, not my will. If your words displease me, this encounter will end.","무뚝뚝한 태도는 참아볼게요. 하지만 통행 주화은 제 시간을 사는 것이지, 제 의지를 사는 게 아니에요. 말이 마음에 안 들면 이 만남은 끝이에요.",M1Q1A06LUCE,,,,,0,0
17397,Dialog,LUCE,"Very well, <FirstName>. Now, tell me a little something about yourself. What's on your mind? We are very good listeners here at the Mask.","좋아요, <FirstName>. 자, 자신에 대해 조금 말해 주세요. 무슨 생각을 하고 계세요? 저희 가면 여관은 들어주는 데 아주 능숙하답니다.",M1Q1A06LUCE,m1s2c01luceslg06,,,,0,0
17398,Dialog,LUCE,"Well, I regret to inform you that I cannnot speak with you unless you have one. I'm sorry. See the bartender if you wish to purchase one.","유감이지만 통행 주화이 없으시면 대화를 나눌 수 없어요. 죄송해요. 사고 싶으시면 바텐더를 찾아가세요.",M1Q1A06LUCE,,,,,0,0
17399,Dialog,LUCE,"That is your option, but I must tell you that you will have to purchase another Pass Coin to speak with me again. Do you still wish to leave?","그것도 선택이지만, 다시 저와 대화하시려면 통행 주화을 또 사셔야 해요. 그래도 떠나시겠어요?",M1Q1A06LUCE,,,,,0,0
17400,Dialog,LUCE,"Another time, then. See the bartender for additional Pass Coins.","그럼 다음에 뵈어요. 통행 주화이 더 필요하시면 바텐더에게 가세요.",M1Q1A06LUCE,,,,,0,0
17401,Dialog,LUCE,"I thought you might. Shall we talk some more, perhaps?","그러실 줄 알았어요. 조금 더 얘기할까요?",M1Q1A06LUCE,,,,,0,0
17402,Dialog,LUCE,"I hardly think so. No, I have every right to refuse such a... distasteful advance. There is an art to this. You can't just charge like a bull.","그건 아닌 것 같네요. 아뇨, 그런... 불쾌한 접근은 거절할 권리가 있어요. 이건 예술이에요. 황소처럼 돌진하시면 안 돼요.",M1Q1A06LUCE,,,,,0,0
17403,Dialog,LUCE,"Your simple charms suit you well. I like you, <FirstName>. You please me. Perhaps your suggestion is one we should... pursue?","소박한 매력이 잘 어울리세요. 마음에 들어요, <FirstName>. 기분이 좋네요. 그 제안을... 받아들여 볼까요?",M1Q1A06LUCE,,,,,0,0
17404,Dialog,LUCE,"Such a gentleman. You know, <FirstName>, I think I quite like you. I think your suggestion is worth pursuing. ","정말 신사시네요. 있잖아요, <FirstName>, 꽤 마음에 들어요. 그 제안을 받아들일 만하네요.",M1Q1A06LUCE,,,,,0,0
17405,Dialog,LUCE,Not just yet. Patience is a virtue. Perhaps we should spend a little more time getting to know each other.,아직은 아니에요. 인내는 미덕이죠. 서로를 알아가는 데 시간을 좀 더 쓰는 게 좋겠어요.,M1Q1A06LUCE,,,,,0,0
17406,Dialog,LUCE,"Follow me, my dear. Let's leave these bright lights off for awhile.","따라오세요, 자기. 이 밝은 불빛을 잠시 떠나 봐요.",M1Q1A06LUCE,m1s2c01luceslg02,,,,0,0
17407,Dialog,LUCE,"Nothing, and I couldn't say if I did. Call it superstitious, but Ophala was very explicit in requesting that we don't talk of it.","아무것도요. 알아도 말할 수 없어요. 미신이라고 하시겠지만, 오팔라가 그 얘기는 하지 말라고 아주 분명히 말했거든요.",M1Q1A06LUCE,,,,,0,0
17408,Dialog,LUCE,"This really isn't the time or place for such things. Let's get back to you, and what you need.","지금은 그런 얘기를 할 때나 장소가 아니에요. 당신 얘기로 돌아가죠. 뭐가 필요하세요?",M1Q1A06LUCE,,,,,0,0
17409,Dialog,LUCE,"Of course. Our time can be spent any way that you wish. Within reason, of course. Mood is so important.","물론이죠. 시간은 원하시는 대로 보낼 수 있어요. 물론 합리적인 범위 내에서요. 분위기가 중요하니까요.",M1Q1A06LUCE,,,,,0,0
17410,Dialog,LUCE,"You're true to yourself, and you follow the path that you've chosen because it is right for you. That's the mark of a strong man.","자신에게 진실하시고, 자신에게 옳기에 선택한 길을 따르시는군요. 강한 사람의 표시예요.",M1Q1A06LUCE,m1s2c01luceslg04,,,,0,0
17411,Dialog,LUCE,"Ehh... perhaps we should spend a little more time getting to know each other. A lot more. I don't judge, but you are working against your... rough exterior.","음... 서로를 알아가는 데 시간을 좀 더 써야 할 것 같아요. 훨씬 더요. 판단하는 건 아니지만, 그... 거친 외모가 불리하게 작용하네요.",M1Q1A06LUCE,,,,,0,0
17412,Dialog,LUCE,"Look, if you want someone to kick you in the head there are special rooms for that in some of the dirtier dockside taverns.","이봐요, 머리를 차 줄 사람이 필요하시면 부두가 지저분한 술집에 그런 특별실이 있어요.",M1Q1A06LUCE,,,,,0,0
17413,Dialog,LUCE,"My job is to listen and further a positive dialogue. If you don't want that, the door is behind you. Now... (ahem)... You were saying?","제 일은 듣고 긍정적인 대화를 이끄는 거예요. 원하지 않으시면 문은 뒤에 있어요. 자... (에헴)... 뭐라고 하셨죠?",M1Q1A06LUCE,m1s2c01luceslg03,,,,0,0
17414,Dialog,LUCE,This talk is over. Get out before I call the guards.,대화는 끝났어요. 경비대 부르기 전에 나가세요.,M1Q1A06LUCE,m1s2c01luceslg05,,,,0,0
