StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
27629,Dialog,LUSKMERCH,"It is good to see a friendly face here, my <lord/lady>. Since the fighting began, supplies have been scarce and customers even rarer.","여기서 친근한 얼굴을 보니 반갑습니다, <lord/lady>님. 싸움이 시작된 이후로 물자도 부족하고 손님은 더욱 드물어졌거든요.",2Q4A_LUSKMERCH,,,,,0,0
27630,Dialog,LUSKMERCH,"You must have taken quite a risk to walk the streets of Luskan. With all the fighting, I have received little in the way of supplies and less in the way of customers... but I shall serve you as best I can.","러스칸 거리를 걸으시다니 상당한 위험을 감수하셨군요. 싸움 때문에 물자도 거의 못 받았고 손님은 더 적었지만... 최선을 다해 모시겠습니다.",2Q4A_LUSKMERCH,,,,,0,0
27631,Dialog,LUSKMERCH,I hope you're not another of the High Captains' brigands come to rob us! We've had enough troubles since all the fighting began... true customers seem to be rarer than gold!,"대선장의 도적떼가 또 털러 온 건 아니겠죠! 싸움이 시작된 이후로 문제가 충분했는데... 진짜 손님은 금보다 드문 것 같아요!",2Q4A_LUSKMERCH,,,,,0,0
27632,Dialog,LUSKMERCH,"To tell the truth, I haven't much... it's been weeks since the last caravan. I do have some odds and ends that the local thugs haven't seen the need to appropriate just yet, however.","솔직히 말하면 많지 않아요... 마지막 대상이 온 지 몇 주가 됐거든요. 그래도 동네 불량배들이 아직 가져갈 필요를 못 느낀 이것저것이 좀 있어요.",2Q4A_LUSKMERCH,,,,,0,0
27633,Dialog,LUSKMERCH,"I would be delighted to show you what I have. Come, follow me for but a moment... ","가진 걸 보여드리게 되어 기쁩니다. 자, 잠깐 따라오세요...",2Q4A_LUSKMERCH,nw_d1_shopchap2,,,,0,0
27634,Dialog,LUSKMERCH,"Aye, let me show you what I have. Stand away from the merchandise, however... I'll not lose more to thievery!","네, 가진 걸 보여드리죠. 하지만 상품에서 떨어져 계세요... 도둑질에 더 잃긴 싫으니까요!",2Q4A_LUSKMERCH,nw_d1_shopchap2,,,,0,0
27635,Dialog,LUSKMERCH,"Eh? Brain-addled, are you? Well, that would explain why one of the High Captains hasn't drafted you.","예? 머리가 좀 안 좋으신가요? 뭐, 그래서 대선장 중 하나가 징집 안 한 거겠네요.",2Q4A_LUSKMERCH,,,,,0,0
27636,Dialog,LUSKMERCH,"There's little else for me to do, so ask what you will of me.","할 일도 별로 없으니, 뭐든 물어보세요.",2Q4A_LUSKMERCH,,,,,0,0
27637,Dialog,LUSKMERCH,Ah. This should be interesting.,"아. 재미있겠네요.",2Q4A_LUSKMERCH,,,,,0,0
27638,Dialog,LUSKMERCH,"Do be careful if you leave the district, my <lord/lady>.","구역을 떠나시면 조심하세요, <lord/lady>님.",2Q4A_LUSKMERCH,,,,,0,0
27639,Dialog,LUSKMERCH,"Aye, fare you well.","네, 안녕히 가세요.",2Q4A_LUSKMERCH,,,,,0,0
27640,Dialog,LUSKMERCH,"Off you go, then.","그럼 가세요.",2Q4A_LUSKMERCH,,,,,0,0
27641,Dialog,LUSKMERCH,"No. Perhaps you could ask the priests at the temple of Tempus about that, however.","아뇨. 하지만 템푸스 신전의 사제들에게 물어보시는 게 좋을 거예요.",2Q4A_LUSKMERCH,,,,,0,0
27642,Dialog,LUSKMERCH,"Now, then... I have an errand to run. So, unless there is something else... ","자, 그럼... 심부름이 있어서요. 다른 건 없으시면...",2Q4A_LUSKMERCH,,,,,0,0
27643,Dialog,LUSKMERCH,Is there something else you wanted to know?,"다른 알고 싶은 게 있으신가요?",2Q4A_LUSKMERCH,,,,,0,0
27644,Dialog,LUSKMERCH,"Going on? Well the fighting between all the High Captains should be obvious enough. No doubt you know all about that, however.","무슨 일이냐고요? 대선장들 사이의 싸움은 충분히 뻔하잖아요. 그건 다 아실 테지만요.",2Q4A_LUSKMERCH,,,,,0,0
27645,Dialog,LUSKMERCH,"I see. Well, now... there were five High Captains once. Not long ago, they all began to war with each other right out in the streets. Odd business, especially with the Arcane Brotherhood not lifting a finger to stop it.","그렇군요. 음, 자... 예전에 대선장이 다섯 명 있었어요. 얼마 전에 거리에서 서로 전쟁을 시작했죠. 이상한 일이에요, 특히 비전 결사단이 손가락 하나 까딱 안 하고 막지 않는다는 게.",2Q4A_LUSKMERCH,,,,,0,0
27646,Dialog,LUSKMERCH,Why am I not surprised?,"왜 놀랍지 않지?",2Q4A_LUSKMERCH,,,,,0,0
27647,Dialog,LUSKMERCH,"Aye, where do you need to go?","네, 어디로 가셔야 하나요?",2Q4A_LUSKMERCH,,,,,0,0
27648,Dialog,LUSKMERCH,The Cutlass Inn is just south of the gates. I am told that is still open.,"커틀러스 여관은 성문 바로 남쪽에 있어요. 아직 영업 중이라고 들었어요.",2Q4A_LUSKMERCH,,,,,0,0
27649,Dialog,LUSKMERCH,"Hmm. There be a temple to Tyr close by. Not sure if the priests yet live, however.","흠. 근처에 티르 신전이 있어요. 사제들이 아직 살아 있는지는 모르겠지만요.",2Q4A_LUSKMERCH,,,,,0,0
27650,Dialog,LUSKMERCH,"Ah, the docks. Mirabar has been sealed off by the pirates, I think. West Harbor, too. Until the High Captains re-open the city, there is to be no sea traffic to speak of.","아, 부두요. 미라바는 해적들이 봉쇄한 것 같아요. 웨스트 하버도요. 대선장들이 도시를 다시 열기 전까지는 해상 교통이 없다고 봐야 해요.",2Q4A_LUSKMERCH,,,,,0,0
