StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
27678,Dialog,LUSKPRIEST,"You are welcome in this house of Tyr, <brother/sister>... or what remains of it. I am afraid many of my brethren have either been killed or have abandoned us.","티르의 이 신전에 오신 것을 환영합니다, <brother/sister>... 아니, 남은 것에라도. 안타깝게도 제 형제들 대부분이 살해당하거나 우릴 떠났습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27679,Dialog,LUSKPRIEST,"Welcome, <brother/sister>. You are welcome in the house of the Maimed God. Few of us remain here due to recent hardships... I only ask that you do not add to them.","환영합니다, <brother/sister>. 불구의 신의 신전에 오신 것을 환영합니다. 최근의 고난으로 우리 중 거의 남지 않았습니다... 부디 고난을 더하지 않기만을 바랍니다.",2Q4A_LUSKPRIEST,,,,,0,0
27680,Dialog,LUSKPRIEST,"The Maimed God bids welcome to a proud defender of good, my <lord/lady>. Would that our temple were in a condition to give you proper hospitality... few of my brethren remain here, now.","불구의 신께서 선의 자랑스러운 수호자를 환영하십니다, <lord/lady>님. 제대로 된 대접을 할 수 있는 상태였다면 좋았을 텐데... 이제 남은 형제가 거의 없습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27681,Dialog,LUSKPRIEST,"Are you a supplicant to the Just God, my <lord/lady>? I bid you welcome in Tyr's name. Few of my brethren remain here, however... I am unsure I can be of use to you.","정의의 신에게 귀의하신 분입니까, <lord/lady>님? 티르의 이름으로 환영합니다. 하지만 남은 형제가 거의 없어... 제가 도움이 될 수 있을지 모르겠습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27682,Dialog,LUSKPRIEST,"Greetings. This is the house of Tyr, the Blind Overlord... or perhaps I should say it was. We have been robbed of much and most of my own brethren no longer remain here.","인사드립니다. 여긴 눈먼 지배자 티르의 신전입니다... 아니, 이었다고 해야겠군요. 많은 것을 약탈당했고 형제들 대부분이 더 이상 여기 없습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27683,Dialog,LUSKPRIEST,"This is a house of worship to the Just God, and one that has seen much in the way of hardship. Pray do not add to it and come in peace.","여긴 정의의 신을 섬기는 신전이며, 많은 고난을 겪었습니다. 부디 고난을 더하지 마시고 평화롭게 오십시오.",2Q4A_LUSKPRIEST,,,,,0,0
27684,Dialog,LUSKPRIEST,"You have survived some battle in our streets, have you? Then you have earned Tyr's blessing. It is the least that I can do to aid you.","거리에서 싸움을 겪고 살아남으셨군요? 그럼 티르의 축복을 받을 자격이 있습니다. 돕는 건 당연한 일입니다.",2Q4A_LUSKPRIEST,,,,,0,0
27685,Dialog,LUSKPRIEST,"Fare you well, <brother/sister>. Tyr's blessing upon you.","안녕히 가십시오, <brother/sister>. 티르의 축복이 함께하길.",2Q4A_LUSKPRIEST,,,,,0,0
27686,Dialog,LUSKPRIEST,Tyr grant you justice.,"티르께서 정의를 내려주시길.",2Q4A_LUSKPRIEST,,,,,0,0
27687,Dialog,LUSKPRIEST,"Aye, go in peace, <brother/sister>. Know that the Just God watches you, his judgment swift and final.","예, 평화롭게 가십시오, <brother/sister>. 정의의 신께서 지켜보고 계시며, 그분의 심판은 신속하고 최종적입니다.",2Q4A_LUSKPRIEST,,,,,0,0
27688,Dialog,LUSKPRIEST,"When the temple was attacked, much of our supplies were taken. The acolytes who remain have helped me gather some tinctures and potions and such... come, I will show you.","신전이 공격당했을 때 물자 대부분을 빼앗겼습니다. 남은 수습 사제들이 팅크제와 물약 같은 것들을 모으는 걸 도와줬어요... 자, 보여드리죠.",2Q4A_LUSKPRIEST,nw_d1_shoptmpl2,,,,0,0
27689,Dialog,LUSKPRIEST,I will answer you what I can. What do you wish to know?,"할 수 있는 한 답해드리겠습니다. 무엇을 알고 싶으십니까?",2Q4A_LUSKPRIEST,,,,,0,0
27690,Dialog,LUSKPRIEST,"Do we have... ? Oh yes, I believe I understand now.","우리가 가진 게... ? 아, 네, 이제 무슨 말인지 알겠습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27691,Dialog,LUSKPRIEST,I can only wonder what manner of questions one such as you might concoct... but no matter.,"당신 같은 분이 어떤 질문을 만들어낼지 궁금하군요... 하지만 상관없습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27692,Dialog,LUSKPRIEST,I can only pick up what pieces remain with the few acolytes I have left and push on. Fortunately your Lord Nasher has been very kind in his donations... housing Aarin Gend and you others is the least we can do.,"남은 수습 사제들과 함께 남은 조각들을 수습하며 나아갈 수밖에 없습니다. 다행히 나셰르 영주께서 기부에 너그러우셨고... 아린 겐드와 당신 같은 분들에게 숙소를 제공하는 건 당연한 일입니다.",2Q4A_LUSKPRIEST,,,,,0,0
27693,Dialog,LUSKPRIEST,"I suppose it is not surprising, considering your intellect, but allow me to repeat myself.","지능을 생각하면 놀랍지 않군요, 하지만 다시 말씀드리겠습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27694,Dialog,LUSKPRIEST,"That is a very large question, friend. What is it about the city that puzzles you?","아주 큰 질문이군요, 친구. 도시에 대해 뭐가 궁금하십니까?",2Q4A_LUSKPRIEST,,,,,0,0
27697,Dialog,LUSKPRIEST,Might there be something else you need?,"다른 필요한 게 있으십니까?",2Q4A_LUSKPRIEST,,,,,0,0
27698,Dialog,LUSKPRIEST,"Nobody is sure. There were five High Captains who ruled the city... at the bidding of the wizards of the Arcane Brotherhood, perhaps, but all five of the pirate lords held power.","아무도 확실히 모릅니다. 도시를 다스리던 대선장이 다섯 명 있었죠... 아마 비전 결사단 마법사들의 명령에 따랐겠지만, 다섯 해적 군주 모두 권력을 쥐고 있었습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27699,Dialog,LUSKPRIEST,"Nobody except for an invasion by the Lords' Alliance... or the Arcane Brotherhood's intervention, perhaps. For whatever reason, they remain unmoved by all the violence.","영주 연합의 침공이나... 비전 결사단의 개입 외에는 아무도 모릅니다. 어떤 이유에서인지 그들은 이 모든 폭력에도 꿈쩍 않고 있습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27700,Dialog,LUSKPRIEST,"Hmmm... cults, do you say? I was told of any one of a number of small sects that were active in Luskan. None of any true importance.","흠... 사이비 종파요? 러스칸에서 활동하던 소규모 종파들에 대해 들은 적은 있습니다. 진짜 중요한 건 하나도 없었지만.",2Q4A_LUSKPRIEST,,,,,0,0
27701,Dialog,LUSKPRIEST,"There is not much of a temple left, though once this was once a fine temple to the Just God in the north. Nowhere was a champion of justice needed more.","신전이 많이 남지 않았습니다만, 한때 이곳은 북부의 훌륭한 정의의 신 신전이었습니다. 정의의 용사가 이보다 더 필요한 곳은 없었죠.",2Q4A_LUSKPRIEST,,,,,0,0
27702,Dialog,LUSKPRIEST,"When the High Captains began their war against one another, each expected the warrior priests of our temple to aid them. We sought to help all and not ally ourselves only to one... and therefore met only suspicion.","대선장들이 서로 전쟁을 시작했을 때, 각자 우리 신전의 전사 사제들이 도와줄 거라 기대했습니다. 우린 모두를 돕고 한쪽에만 동맹하지 않으려 했고... 그래서 의심만 받았습니다.",2Q4A_LUSKPRIEST,,,,,0,0
27703,Dialog,LUSKPRIEST,"We were attacked several times, but only recently did the temple fall. I was away from the temple, but upon my return I was told that sorcerers and soldiers had suddenly appeared and slain most of my brethren and looted the temple.","여러 번 공격받았지만, 신전이 함락된 건 최근입니다. 저는 신전을 비웠었는데, 돌아와 보니 마법사들과 병사들이 갑자기 나타나 형제들 대부분을 죽이고 신전을 약탈했다더군요.",2Q4A_LUSKPRIEST,,,,,0,0
27704,Dialog,LUSKPRIEST,What few survived the battle had been taken prisoner. I know naught what has been done with them. Perhaps they have been pressed into service as the High Captains wished.,"전투에서 살아남은 소수는 포로로 잡혀갔습니다. 그들에게 무슨 일이 있었는지는 모릅니다. 아마 대선장들이 원한 대로 강제 징집당했을 겁니다.",2Q4A_LUSKPRIEST,,,,,0,0
27705,Dialog,LUSKPRIEST,"Several weeks ago, without warning, the High Captains began a war to eradicate each other. Our temple is not the only casualty in the strife that ensued.","몇 주 전, 예고 없이 대선장들이 서로를 말살하려는 전쟁을 시작했습니다. 뒤따른 분쟁의 피해자는 우리 신전만이 아닙니다.",2Q4A_LUSKPRIEST,,,,,0,0
27706,Dialog,LUSKPRIEST,"My master did express concern, once, that several of the High Captains were associating overmuch with a cult dedicated to the evil goddess Auril... but I know little more of it.","저희 스승님이 한때 걱정을 표하셨습니다, 대선장 몇 명이 사악한 여신 아우릴에게 헌신하는 사이비 종파와 지나치게 어울린다고... 하지만 그 이상은 잘 모릅니다.",2Q4A_LUSKPRIEST,,,,,0,0
27707,Dialog,LUSKPRIEST,Who can say? The Brotherhood have always kept to themelves in the Host Tower. No-one but the High Captains themselves ever sees them.,"누가 알겠습니까? 결사단은 항상 중심탑에서 은둔했습니다. 대선장들 본인 외에는 아무도 그들을 보지 못합니다.",2Q4A_LUSKPRIEST,,,,,0,0
