StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12611,Creature,Linu La'neral,Linu,리누,HX_FEND_LINU|X2_HEN_LINU,,,,,0,0
12612,Creature,Linu La'neral,La'neral,라네랄,HX_FEND_LINU|NW_HEN_LIN|X2_HEN_LINU,,,,,0,0
87588,Creature,Linu La'neral,"""Oh, I'm sorry, dear. I don't mean to do it, but I tend to stumble on this uneven ground. You know how clumsy I can be... it's a wonder I haven't broken my leg on this trip.""","""아, 미안해요. 일부러 그런 게 아닌데, 이렇게 울퉁불퉁한 바닥에선 자꾸 발이 꼬여서요. 제가 얼마나 서투른지 알잖아요... 이번 여행에서 다리가 안 부러진 게 신기할 정도예요.""",X2_HEN_LINU,,,,,0,0
87590,Creature,Linu La'neral,"Linu shrugs. ""Yes, I do have a bit of luck when it comes to that sort of thing. Still, I wish I wasn't so clumsy. Sometimes I wish I could be graceful, like so many other women.""","리누가 어깨를 으쓱합니다. ""네, 그런 면에선 운이 좋긴 하죠. 그래도 이렇게 서투르지 않았으면 좋겠어요. 가끔은 다른 여자들처럼 우아했으면 하고 바라게 되거든요.""",X2_HEN_LINU,,,,,0,0
87592,Creature,Linu La'neral,"""Hmmm... I never thought of it that way before. Thank you, Daelen. It's time I realize these clumsy feet of mine are really a blessing!""","""흠... 그렇게는 생각해 본 적이 없네요. 고마워요, 데란. 이 서투른 발이 사실은 축복이라는 걸 깨달아야 할 때가 됐나 봐요!""",X2_HEN_LINU,,,,,0,0
87594,Creature,Linu La'neral,"Linu smiles. ""Of course, dear. I'll just walk a little farther behind you from now on.""","리누가 미소 짓습니다. ""물론이죠. 앞으로는 좀 더 뒤에서 걸을게요.""",X2_HEN_LINU,,,,,0,0
88275,Creature,Linu La'neral,"""Oh? Ha ha ha! You can call me Linu, Deekin. It's quite alright.""","""어머? 하하하! 그냥 리누라고 불러도 돼요, 디킨. 괜찮아요.""",X2_HEN_LINU,,,,,0,0
88277,Creature,Linu La'neral,"""Suit yourself, dear. Do I get the honor of hearing your poem?""","""마음대로 해요. 그래서 당신 시를 들을 영광을 얻을 수 있는 건가요?""",X2_HEN_LINU,,,,,0,0
88280,Creature,Linu La'neral,"""Err... and this is complimentary?""","""어... 그게 칭찬인 건가요?""",X2_HEN_LINU,,,,,0,0
88282,Creature,Linu La'neral,"""I see. Err... thank you. Perhaps I'll... walk closer to <FirstName>. Excuse me.""","""그렇군요. 어... 고마워요. 저는... <FirstName> 가까이에서 걸을게요. 실례할게요.""",X2_HEN_LINU,,,,,0,0
88284,Creature,Linu La'neral,"""My, aren't you the sweetest thing? You can ask me whatever you like, dear.""","""어머, 정말 귀엽군요! 뭐든 물어봐도 돼요.""",X2_HEN_LINU,,,,,0,0
88286,Creature,Linu La'neral,"""Well, I... I wouldn't say I was *clumsy*, exactly...""","""글쎄요, 저는... 딱히 *서투르다*고 하긴 그런데...""",X2_HEN_LINU,,,,,0,0
88288,Creature,Linu La'neral,"""Yes, well... I did apologize for that...""","""네, 뭐... 그건 사과했잖아요...""",X2_HEN_LINU,,,,,0,0
88289,Creature,Linu La'neral,"Linu sighs, not entirely pleased. ""I... let's just say that everyone has their area of speciality, alright?""","리누가 썩 기분 좋지 않은 듯 한숨을 쉽니다. ""저는... 그냥 누구에게나 잘하는 분야가 있다고 해 둬요, 네?""",X2_HEN_LINU,,,,,0,0
88291,Creature,Linu La'neral,"""How about you go back to singing that lovely doom song again, my little friend? That was so much more entertaining.""","""그 멋진 파멸의 노래나 다시 불러 보는 게 어때요, 꼬마 친구? 그게 훨씬 재미있었거든요.""",X2_HEN_LINU,,,,,0,0
88294,Creature,Linu La'neral,"Linu glares at you with a mixture of mortification and exasperation. ""I *said* I was sorry! The pan was so wedged in there...""","리누가 창피함과 짜증이 뒤섞인 표정으로 당신을 노려봅니다. ""사과한다고 *했잖아요*! 그 냄비가 너무 꽉 끼어 있어서...""",X2_HEN_LINU,,,,,0,0
89418,Creature,Linu La'neral,"""Oh."" Linu looks away, a bit sad. ""The island where the elven nations have moved to.""","""아."" 리누가 조금 슬픈 표정으로 고개를 돌립니다. ""엘프 국가들이 이주한 섬이에요.""",X2_HEN_LINU,,,,,0,0
89420,Creature,Linu La'neral,"""No, of course not."" Linu looks directly at Sharwyn and shakes her head. ""And no, I have never been there, much as I might have liked to.""","""아뇨, 당연히 아니에요."" 리누가 샤윈을 똑바로 바라보며 고개를 젓습니다. ""그리고 아뇨, 가고 싶었지만 한 번도 가본 적 없어요.""",X2_HEN_LINU,,,,,0,0
89422,Creature,Linu La'neral,"For a long moment, Linu struggles to find the words to speak. Finally she sighs and shrugs. ""I sank the boat.""","한동안 리누가 뭐라고 말해야 할지 고민합니다. 결국 한숨을 쉬며 어깨를 으쓱합니다. ""배를 침몰시켰거든요.""",X2_HEN_LINU,,,,,0,0
