StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
17457,Dialog,MALP,"Is there something you want? If not, please stand further away. Your looks may take interest away from me.","뭔가 원하는 거 있어? 아니면 좀 떨어져 줘. 네 외모 때문에 나한테 올 관심이 줄어들잖아.",M1Q1A06MALP,,,,,0,0
17458,Dialog,MALP,Yes? Is there something you want? I usually only have time to speak with the ladies when I visit here.,"응? 뭔가 원하는 거 있어? 여기 오면 보통 아가씨들하고만 얘기하거든.",M1Q1A06MALP,,,,,0,0
17459,Dialog,MALP,"Greetings to you. Here, stand a bit closer. I look positively dashing next to you.","안녕. 자, 좀 더 가까이 서봐. 네 옆에 서니 내가 더 멋져 보이는군.",M1Q1A06MALP,,,,,0,0
17460,Dialog,MALP,Very well. Let me know if I go too fast for you.,"좋아. 너무 빠르면 말해.",M1Q1A06MALP,,,,,0,0
17461,Dialog,MALP,Very well. I have a few moments. What is it?,"좋아. 잠깐 시간 있어. 뭔데?",M1Q1A06MALP,,,,,0,0
17462,Dialog,MALP,Don't speak of that! People come here to get away from such talk. They might shut this place down if people get too worried.,"그런 얘긴 하지 마! 사람들이 그런 얘기 피하려고 여기 오는 거야. 너무 걱정하면 여길 닫아버릴지도 몰라.",M1Q1A06MALP,,,,,0,0
17463,Dialog,MALP,Goodbye. Perhaps we'll talk another time.,"잘 가. 다음에 또 얘기하자.",M1Q1A06MALP,,,,,0,0
17464,Dialog,MALP,"Companionship, in whatever form that means to you. The employees here are adept in discourse, games, and are especially good at listening.","함께할 사람이지, 네가 원하는 형태로. 여기 직원들은 대화도 게임도 잘하고, 특히 얘기를 잘 들어줘.",M1Q1A06MALP,,,,,0,0
17465,Dialog,MALP,"Suffice to say that she runs a clean, much needed establishment. You won't find anyone to badmouth her.","깨끗하고 꼭 필요한 곳을 운영한다는 것만 말해두지. 그녀를 험담하는 사람은 못 찾을 거야.",M1Q1A06MALP,,,,,0,0
17466,Dialog,MALP,"Ophala is a saint of a woman. Anyone saying otherwise had best keep a close eye on... well, this isn't for me to talk about.","오팔라는 성녀 같은 여자야. 다르게 말하는 사람은 조심해야... 뭐, 이건 내가 할 얘기가 아니군.",M1Q1A06MALP,,,,,0,0
17467,Dialog,MALP,"Well, greetings to you, my fair, fair lady. Would you care to share my company awhile?","오, 안녕, 정말 예쁜 아가씨군. 잠시 나와 함께할래?",M1Q1A06MALP,,,,,0,0
17468,Dialog,MALP,"Hello there. Let's have a look at you. Nothing spectacular, but fair enough. Would you care to share my company?","안녕. 어디 보자. 대단하진 않지만 괜찮네. 나와 함께할래?",M1Q1A06MALP,,,,,0,0
17469,Dialog,MALP,"No, no, no, you're not what I had in mind at all. Get yourself back under whatever rock you crawled from.","아니, 아니, 아니, 넌 내가 생각한 타입이 전혀 아니야. 어디서 기어 나왔든 다시 돌아가.",M1Q1A06MALP,,,,,0,0
17470,Dialog,MALP,"Fair day to you, ma'am.","좋은 하루, 부인.",M1Q1A06MALP,,,,,0,0
17471,Dialog,MALP,"Very well, though perhaps we'll discuss compensation later?","좋아, 나중에 보상 얘기는 하는 거지?",M1Q1A06MALP,,,,,0,0
17472,Dialog,MALP,"That's a relief. From your tone I was worried that Ophala might have lost her taste in companions. Leave me, then.","다행이군. 말투를 보니 오팔라가 사람 보는 눈이 없어졌나 걱정했어. 그럼 가봐.",M1Q1A06MALP,,,,,0,0
