StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
105579,Dialog,MAN_1,"""May the High Priest come to fear you as much as we have feared him.""","""대사제가 우리가 그를 두려워했던 만큼 당신을 두려워하게 되길.""",Q3VIL_MAN_1,,,,,0,0
105580,Dialog,MAN_1,"The man eyes you with a mixture of fear and reverence. ""Godkiller...""","남자가 두려움과 경외가 섞인 눈으로 당신을 바라봅니다. ""신을 죽인 자...""",Q3VIL_MAN_1,,,,,0,0
105581,Dialog,MAN_1,"""Yes, Vix'thra is dead but his priesthood is not. All you have done is bring High Priest Sodalis's wrath upon us. Drearing's Deep will run with our blood, thanks to your folly!""","""그래, 빅스트라는 죽었지만 그의 사제단은 죽지 않았어. 당신이 한 건 대사제 소달리스의 분노를 우리에게 불러온 것뿐이야. 당신의 어리석음 때문에 음울한자의 협곡이 피로 물들 거야!""",Q3VIL_MAN_1,,,,,0,0
105582,Dialog,MAN_1,"""Faced with the High Priest's anger, death by your hand would be a kindness! Do you not see? Without your help we are dead already! He'll paint the temple with our blood!""","""대사제의 분노에 직면하느니 당신 손에 죽는 게 자비야! 모르겠어? 당신의 도움 없이 우린 이미 죽은 거야! 그가 우리 피로 신전을 칠할 거라고!""",Q3VIL_MAN_1,,,,,0,0
105583,Dialog,MAN_1,"""Free? What do you know of freedom? Even now, the priests plot their vengeance! Drearing's Deep will run with our blood, thanks to your folly!""","""자유라고? 자유에 대해 뭘 알아? 지금도 사제들이 복수를 꾸미고 있어! 당신의 어리석음 때문에 음울한자의 협곡이 피로 물들 거야!""",Q3VIL_MAN_1,,,,,0,0
105584,Dialog,MAN_1,"""If you will not face him, then we are doomed. I curse you in all the tongues of my many masters!"" The man spits into the shadows and leaves you to your thoughts.","""그와 맞서지 않을 거라면, 우린 끝장이야. 내 많은 주인들의 모든 언어로 당신을 저주해!"" 남자가 어둠 속에 침을 뱉고 당신을 생각에 잠기게 두고 떠납니다.",Q3VIL_MAN_1,q3a_flee,,,,0,0
105585,Dialog,MAN_1,"""Please, what have we to even give you? If you had reasons to destroy a god, surely the same reasons must compel you against its priesthood!""","""제발, 우리가 당신에게 줄 게 뭐가 있어? 신을 파괴할 이유가 있었다면, 분명 같은 이유로 그 사제단도 상대해야 하잖아!""",Q3VIL_MAN_1,,,,,0,0
105586,Dialog,MAN_1,"The man nods his gratitude. ""Then let blood be spilled...""","남자가 고맙다는 듯 고개를 끄덕입니다. ""그럼 피가 흘리게 되겠군...""",Q3VIL_MAN_1,,,,,0,0
105587,Dialog,MAN_1,"""Vix'thra must be destroyed. Maybe a way can be found in High Priest Sodalis's writings.""","""빅스트라를 파괴해야 해. 대사제 소달리스의 기록에서 방법을 찾을 수 있을지도.""",Q3VIL_MAN_1,,,,,0,0
105588,Dialog,MAN_1,"The man eyes you with a mixture of fear and reverence. ""I hear you took care of High Priest Sodalis for us...""","남자가 두려움과 경외가 섞인 눈으로 당신을 바라봅니다. ""대사제 소달리스를 처리해줬다고 들었는데...""",Q3VIL_MAN_1,,,,,0,0
105589,Dialog,MAN_1,"""Yes, the High Priest is dead but Vix'thra is not. All you have done is bring Vix'thra's wrath upon us...""","""그래, 대사제는 죽었지만 빅스트라는 아니야. 당신이 한 건 빅스트라의 분노를 우리에게 불러온 것뿐이야...""",Q3VIL_MAN_1,,,,,0,0
105590,Dialog,MAN_1,"""True. If you had done it in our name, you wouldn't have stopped with the High Priest. All you have done is bring Vix'thra's wrath upon us!""","""맞아. 우리를 위해서였다면 대사제에서 멈추지 않았을 거야. 당신이 한 건 빅스트라의 분노를 우리에게 불러온 것뿐이야!""",Q3VIL_MAN_1,,,,,0,0
105591,Dialog,MAN_1,"""Free? What do you know of freedom? All you have done is bring Vix'thra's wrath upon us!""","""자유라고? 자유에 대해 뭘 알아? 당신이 한 건 빅스트라의 분노를 우리에게 불러온 것뿐이야!""",Q3VIL_MAN_1,,,,,0,0
105592,Dialog,MAN_1,"""If you will not face him, then we are doomed. I curse you in all the tongues of my many masters!"" The man spits into the shadows and leaves you to your thoughts.","""그와 맞서지 않을 거라면, 우린 끝장이야. 내 많은 주인들의 모든 언어로 당신을 저주해!"" 남자가 어둠 속에 침을 뱉고 당신을 생각에 잠기게 두고 떠납니다.",Q3VIL_MAN_1,q3a_flee,,,,0,0
105593,Dialog,MAN_1,"""Please, what have we to even give you? If you had reasons to destroy a priesthood, surely the same reasons must compel you against their god!""","""제발, 우리가 당신에게 줄 게 뭐가 있어? 사제단을 파괴할 이유가 있었다면, 분명 같은 이유로 그들의 신도 상대해야 하잖아!""",Q3VIL_MAN_1,,,,,0,0
105594,Dialog,MAN_1,"""Not by jawing with the likes of me. If anyone would have known, it would have been High Priest Sodalis. With him dead, I suggest you look through his writings.""","""나 같은 사람한테 물어봐야 알 수가 있나. 누가 알았다면 대사제 소달리스였을 거야. 그가 죽었으니, 그의 기록을 살펴보는 게 좋겠어.""",Q3VIL_MAN_1,,,,,0,0
105595,Dialog,MAN_1,"""With Vix'thra and the cult gone, some of us have been talking about turning the temple into a town hall. Maybe we can even elect a proper council.""","""빅스트라와 사교가 사라졌으니, 우리 중 일부가 신전을 시청으로 바꾸는 얘기를 하고 있어. 어쩌면 제대로 된 의회도 선출할 수 있을지 몰라.""",Q3VIL_MAN_1,,,,,0,0
105596,Dialog,MAN_1,"The man's eyes dart about skittishly. He clearly seems uncomfortable to still be talking to you. ""I have to be going. Please, you must understand...""","남자의 눈이 초조하게 두리번거립니다. 아직 당신과 얘기하는 게 불편한 게 분명합니다. ""가봐야 해요. 제발, 이해해주세요...""",Q3VIL_MAN_1,,,,,0,0
105597,Dialog,MAN_1,"Pale eyes peer out of a dirty face, darting nervously to either side as you approach. ""You mustn't come here,"" he whispers.","더러운 얼굴에서 창백한 눈이 내다보며, 당신이 다가가자 초조하게 양쪽을 살핍니다. ""여기 오면 안 돼요,"" 그가 속삭입니다.",Q3VIL_MAN_1,,,,,0,0
105598,Dialog,MAN_1,"The man grows sullen. ""Who isn't?"" he mutters. ""But they protect us, too. Better them than the damned illithids... Still, one can't help wishing that there was no priests, no temple.""","남자가 침울해집니다. ""누가 안 그래?"" 그가 중얼거립니다. ""하지만 그들도 우릴 보호해. 빌어먹을 일리시드보다 낫지... 그래도 사제도 신전도 없으면 좋겠다는 생각을 안 할 수가 없어.""",Q3VIL_MAN_1,q3a_at_npc2,,,,0,0
105599,Dialog,MAN_1,"The man looks at you in horror, his face suddenly blanched beneath the dirt. ""No! I beg you, ring the gong and choose another!"" With that, he flees.","남자가 공포에 질린 눈으로 당신을 바라보며, 때 아래 얼굴이 갑자기 창백해집니다. ""안 돼! 제발, 징을 울리고 다른 사람을 골라줘!"" 그 말과 함께 그가 도망칩니다.",Q3VIL_MAN_1,q3a_flee,,,,0,0
105600,Dialog,MAN_1,"The man's eyes widen in shock but he quickly averts them toward your feet. ""No, no, that was never my intent. Vix'thra loves us. Vix'thra protects us. Under Vix'thra we are free.""","남자의 눈이 충격으로 커지지만 재빨리 당신의 발 쪽으로 시선을 돌립니다. ""아니, 아니, 그런 뜻이 아니었어. 빅스트라가 우릴 사랑해. 빅스트라가 우릴 보호해. 빅스트라 아래서 우린 자유야.""",Q3VIL_MAN_1,,,,,0,0
105601,Dialog,MAN_1,"The man's eyes well up with tears of gratitude which he quickly wipes away with a grubby sleeve. ""There'd be some who'd be glad of that, though you didn't hear that from me.""","남자의 눈에 감사의 눈물이 고이고 재빨리 더러운 소매로 닦아냅니다. ""그걸 반길 사람들이 있을 거야, 물론 나한테 들은 건 아니지만.""",Q3VIL_MAN_1,,,,,0,0
105602,Dialog,MAN_1,"""Who told you about that!? One of the womenfolk? The Ceremony is the priests' doing. It's Vix'thra's work. Now don't you go scaring half the village by talking about it, understand?""","""누가 그 얘기를 했어!? 여자들 중 하나야? 의식은 사제들이 하는 거야. 빅스트라의 일이야. 마을 사람들 절반을 그 얘기로 겁주지 마, 알았어?""",Q3VIL_MAN_1,,,,,0,0
105603,Dialog,MAN_1,"""We slaves are drawn to freedom like moths to light. Everything has a price, you see, everything a price."" The man spits angrily into gloom, his fingers tracing some warding pattern over his chest.","""우리 노예들은 불나방처럼 자유에 끌려. 모든 것에 대가가 있어, 알지, 모든 것에."" 남자가 화가 나서 어둠 속에 침을 뱉으며, 손가락으로 가슴에 수호 문양을 그립니다.",Q3VIL_MAN_1,,,,,0,0
105604,Dialog,MAN_1,"The man gestures at the squalid hovels. ""Drearing's Deep, home of the free... One by one, it claims us all.""","남자가 비좁은 오두막들을 가리킵니다. ""음울한자의 협곡, 자유민의 고향... 하나씩, 우리 모두를 앗아가지.""",Q3VIL_MAN_1,,,,,0,0
105605,Dialog,MAN_1,"His pale eyes blink in the gloom. ""Things aren't as they seem, stranger."" The man's raspy voice sends a chill down your spine. ""You shouldn't have come here.""","그의 창백한 눈이 어둠 속에서 깜빡입니다. ""보이는 대로가 아니야, 이방인."" 남자의 쉰 목소리가 등골을 오싹하게 합니다. ""여기 오지 말았어야 해.""",Q3VIL_MAN_1,,,,,0,0
105606,Dialog,MAN_1,"The man flinches at your question, his eyes darting to the shadows. ""Hush,"" he warns. ""Ask the priests, ask Vix'thra. Don't waste your time on a freed slave like me.""","남자가 당신의 질문에 움찔하며, 눈이 그림자 쪽으로 튑니다. ""쉿,"" 그가 경고합니다. ""사제들한테 물어, 빅스트라한테 물어. 나 같은 해방된 노예에게 시간 낭비하지 마.""",Q3VIL_MAN_1,,,,,0,0
105607,Dialog,MAN_1,"""I was a slave but I'm free now. We're all free here in Drearing's Deep."" The man's voice lacks conviction. ""All thanks to Vix'thra, that is.""","""노예였지만 이제 자유야. 여기 음울한자의 협곡에선 모두 자유야."" 남자의 목소리에 확신이 없습니다. ""모두 빅스트라 덕분이야.""",Q3VIL_MAN_1,,,,,0,0
105608,Dialog,MAN_1,"The man holds his hands out, smeared with grime. ""Who didn't? I've been traded from the drow to the illithids and back again. Some of us even served the beholders. The drow steal us from the surface as children.""","남자가 때 묻은 손을 내밉니다. ""누가 안 그랬어? 드로우에서 일리시드로 팔려 갔다가 다시 돌아왔지. 우리 중 일부는 주시자도 섬겼어. 드로우가 어릴 때 지상에서 우릴 납치해 갔거든.""",Q3VIL_MAN_1,,,,,0,0
105609,Dialog,MAN_1,"""The Underdark is a dangerous place, especially for a pack of escaped slaves... The priests say Vix'thra watches over us, keeps us safe. It's best not to argue with the priests, best not to ask questions.""","""언더다크는 위험한 곳이야, 특히 탈출한 노예 무리에겐... 사제들 말로는 빅스트라가 우릴 지켜보고 안전하게 해준다고 해. 사제들한테 따지지 않는 게 좋아, 질문도 안 하는 게 좋고.""",Q3VIL_MAN_1,q3a_rumor_priest,,,,0,0
105610,Dialog,MAN_1,GENERIC MALE VILLAGER OF DREARING'S DEEP. MULTIPLES EXIST. INFO-GIVER.,음울한자의 협곡의 일반 남성 마을 주민. 여러 명 존재. 정보 제공자.,Q3VIL_MAN_1,,,,,0,0
