StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37522,Dialog,MBELIAL,"Foolish mortal, you have forgotten to cast your protection charm! Belial shall rule!","어리석은 필멸자여, 보호 부적을 걸지 않았구나! 벨리알이 지배하리라!",M2Q3_BELIAL,,,,,0,0
37523,Dialog,MBELIAL,Speak quickly <race> fool. Your magic protections will not last long in this place. What do you require of the Fire Lord?,"빨리 말하라, <race> 바보야. 마법 보호가 이곳에서 오래 가지 못한다. 화염의 군주에게 무엇을 원하느냐?",M2Q3_BELIAL,,,,,0,0
37524,Dialog,MBELIAL,"Karlat, is that you?... Wait! What do you want of Belial, mortal?","칼랏, 너냐?... 잠깐! 필멸자여, 벨리알에게서 무엇을 원하느냐?",M2Q3_BELIAL,,,,,0,0
37525,Dialog,MBELIAL,"The bargain has been fulfilled. Perhaps next time, I'll summon you... ","거래는 완료되었다. 다음엔 내가 너를 소환할 테니...",M2Q3_BELIAL,nw_j_demon6,,,,0,0
37526,Dialog,MBELIAL,<StartCheck>[Success]</Start> Your will commands me... Take it and be done with me.,"<StartCheck>[성공]</Start> 그대의 의지가 내게 명하는구나... 가져가고 이만 끝내라.",M2Q3_BELIAL,m2q3belialgift,,,,0,0
37527,Dialog,MBELIAL,<StartCheck>[Success]</Start> To you I shall give a gift of an entirely different sort... ,"<StartCheck>[성공]</Start> 그대에게 전혀 다른 종류의 선물을 주겠다...",M2Q3_BELIAL,nw_j_demon4,,,,0,0
37528,Dialog,MBELIAL,"<StartCheck>[Failure]</Start> I had my reasons for giving it to him then. For you, I see no such advantage. Choose again, and more wisely.","<StartCheck>[실패]</Start> 그때 그에게 준 이유가 있었다. 그대에겐 그런 이점이 없다. 다시 선택하되 더 현명하게.",M2Q3_BELIAL,,,,,0,0
37529,Dialog,MBELIAL,"<StartCheck>[Failure]</Start> Your heart is not strong enough to command me so. Ask something else, for that you shall not receive.","<StartCheck>[실패]</Start> 그대의 마음은 내게 명할 만큼 강하지 않다. 다른 것을 요구하라. 그것은 받지 못한다.",M2Q3_BELIAL,,,,,0,0
37530,Dialog,MBELIAL,"I was commanded so once before, by the mortal Karlat Jhareg... To him I gave a phylactery where his soul could rest, safe from mortal threat.","전에 한 번 그렇게 명령받은 적이 있다, 필멸자 칼랏 자렉에게... 필멸의 위협으로부터 안전하게 영혼을 쉬게 할 성구함을 주었지.",M2Q3_BELIAL,,,,,0,0
37531,Dialog,MBELIAL,"You, fleshling? You are the Judge? Then my charade is over for you command me as none other has before... ","그대가, 살점덩어리? 심판관인가? 그럼 내 속임수는 끝났다. 그대는 전에 그 누구도 못 했던 방식으로 내게 명하는구나...",M2Q3_BELIAL,,,,,0,0
37532,Dialog,MBELIAL,"Yes, my Judge. I had not bargained on Lathander's intervention in my dealings with the wizard. Like the ghosts and mortals, I am bound unto this place... ","그렇다, 나의 심판관이여. 마법사와의 거래에서 라샌더의 개입은 계산에 없었다. 유령들과 필멸자들처럼 나도 이곳에 묶여 있다...",M2Q3_BELIAL,,,,,0,0
37533,Dialog,MBELIAL,"All of us are guilty, my Judge, and all are innocent save one... That one is I.","우리 모두 유죄이고, 나의 심판관이여, 모두 무죄다. 한 명만 빼고... 그것이 바로 나다.",M2Q3_BELIAL,,,,,0,0
37534,Dialog,MBELIAL,"I am Belial, prince of demons! Did you believe that such a simple spell would summon me? No, I answered Karlat Jhareg's call for my own reasons, Judge... ","나는 벨리알, 악마의 군주다! 그런 단순한 주문이 나를 소환할 거라 믿었느냐? 아니다. 나만의 이유로 칼랏 자렉의 부름에 답했다, 심판관이여...",M2Q3_BELIAL,,,,,0,0
37535,Dialog,MBELIAL,Where does the crime begin? Where does it end? A crime is not an event! It is a thread that must be followed through the weave... ,범죄는 어디서 시작하느냐? 어디서 끝나느냐? 범죄는 사건이 아니다! 짜임을 따라 추적해야 할 실이다...,M2Q3_BELIAL,,,,,0,0
37536,Dialog,MBELIAL,"Let the brothers tell their own tales, Judge. I am here to tell my own... ","형제들이 자기 이야기를 하게 하라, 심판관이여. 나는 내 이야기를 하러 왔다...",M2Q3_BELIAL,,,,,0,0
37537,Dialog,MBELIAL,"You see, it was I who first planted the seed of slaughter in Karlat's mind. He was but a weapon and it was my hand that controlled him.","보라, 칼랏의 마음에 학살의 씨앗을 처음 심은 건 나였다. 그는 단지 무기였고 그를 조종한 건 내 손이었다.",M2Q3_BELIAL,,,,,0,0
37538,Dialog,MBELIAL,"Quint was a weapon of a weapon, a servant's slave. It was he who brought the children in and Karlat who cast the spell that killed them... ","퀸트는 무기의 무기였고 하인의 노예였다. 아이들을 데려온 건 그였고 그들을 죽인 주문을 건 건 칼랏이었지만...",M2Q3_BELIAL,,,,,0,0
37539,Dialog,MBELIAL,"It was I, alone, who stayed silent in the knowledge that the slaughter held no meaning. Karlat's ritual did not require it... but I chose to tell him otherwise...","학살이 아무 의미도 없다는 걸 알면서 침묵한 건 나, 오직 나였다. 칼랏의 의식엔 필요하지 않았다... 하지만 나는 달리 말하기로 했지...",M2Q3_BELIAL,,,,,0,0
37540,Dialog,MBELIAL,"I am Belial, Prince of Demons, Lord of Fire, Scourge of the Abyssal Depths... Were you ever fool enough to expect another?","나는 벨리알, 악마의 군주, 화염의 주인, 심연의 재앙... 다른 걸 기대할 만큼 어리석었느냐?",M2Q3_BELIAL,,,,,0,0
37541,Dialog,MBELIAL,"Thus is the nature of demons, Judge. Why is there needless suffering in the world? Why is there injustice and strife and tyranny? It is because of us... ","그것이 악마의 본성이다, 심판관이여. 왜 세상엔 불필요한 고통이 있느냐? 왜 불의와 분쟁과 폭정이 있느냐? 우리 때문이다...",M2Q3_BELIAL,,,,,0,0
37542,Dialog,MBELIAL,"For one, Lathander has bound all within this castle to heed the Judge's will.","우선, 라샌더가 이 성 안의 모든 것을 심판관의 뜻에 따르도록 묶어두었다.",M2Q3_BELIAL,,,,,0,0
37543,Dialog,MBELIAL,"For another, how do you intend to punish a demon? The Abyss is home to me and I long to walk once more upon its sea of flames.","둘째로, 악마를 어떻게 벌할 생각이냐? 심연은 내 고향이고 다시 그 화염의 바다를 걷고 싶을 뿐이다.",M2Q3_BELIAL,,,,,0,0
37544,Dialog,MBELIAL,"If it means an end to my accursed bondage in this place, then I will gladly give it... There, take it and make of it what you will.","이곳의 저주받은 속박이 끝난다면 기꺼이 주겠다... 자, 가져가서 원하는 대로 해라.",M2Q3_BELIAL,m2q3i_beliala1,,,,0,0
37545,Dialog,MBELIAL,"Very well. Quint gathered the children and Karlat killed them... But it was I who told Karlat the deed was required, though I knew it was not.","좋다. 퀸트가 아이들을 모았고 칼랏이 죽였다... 하지만 그 행위가 필요하다고 칼랏에게 말한 건 나였다. 필요 없다는 걸 알면서도.",M2Q3_BELIAL,,,,,0,0
