StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
27721,Dialog,MCUST,"The High Captains are killin' each other, they are. Don't you be one to get in their way.",대선장들이 서로 죽이고 있다네. 그 사이에 끼어들진 말라고.,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27722,Dialog,MCUST,The Bloody Hands came an' burned down my home... took everything I had. May the gods damn them all!,피묻은 손 놈들이 와서 내 집을 불태웠어... 가진 거 다 빼앗겼지. 신들이 그놈들을 저주하길!,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27723,Dialog,MCUST,"Don't let anyone hear ye talk about the High Captains. Ye'll wind up dead, ye will.",대선장들 얘기하는 거 아무한테도 들키지 마. 죽을 수도 있어.,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27724,Dialog,MCUST,What? Were ye robbed of all yer clothing by the soldiers?,뭐? 병사들한테 옷을 전부 털린 건가?,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27725,Dialog,MCUST,"Put some clothes on, <man/woman>. Ye're not in the brothel, are ye?","옷 좀 입어, 이 <man/woman>아. 여긴 창관이 아니라고?",2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27726,Dialog,MCUST,"Did ye forget something, <lad/lass>? Like clothes, mayhap?","뭔가 잊은 거 없어, <lad/lass>? 옷이라든가?",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27727,Dialog,MCUST,"Ach, ye were fighting, I see. Did the monsters outside get to ye?","아, 싸웠구만. 바깥 괴물들한테 당한 거야?",2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27728,Dialog,MCUST,Maybe ye should see someone 'bout them nasty cuts of yours.,그 지저분한 상처들 누구한테 좀 보이는 게 좋겠어.,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27729,Dialog,MCUST,That must've been some tussle you were in. Most folks'd be dead in yer shoes.,엄청난 싸움이었나 보네. 대부분은 그 꼴이면 죽었을 거야.,2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27730,Dialog,MCUST,"I've got a cousin who were slow-witted like ye. He's dead, now.","나한테도 너처럼 머리 나쁜 사촌이 있었어. 이제 죽었지만.",2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27731,Dialog,MCUST,Best a simple <man/woman> like yerself keep off the streets.,너처럼 단순한 <man/woman>은 거리에 안 나가는 게 좋아.,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27732,Dialog,MCUST,"Don't go into the streets, <lad/lass>. It be dangerous. Ye know that word? Danger?","거리에 나가지 마, <lad/lass>. 위험하거든. 그 말 알아? 위험?",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27733,Dialog,MCUST,I've seen enough weapons being waved about. Put yers away.,무기 휘두르는 거 충분히 봤어. 네 것도 치워.,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27734,Dialog,MCUST,Stop shakin' that about. Ye're makin' me nervous.,그거 흔드는 거 그만해. 불안하잖아.,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27735,Dialog,MCUST,People are scared enough here as it is. Put that away.,사람들이 이미 겁에 질려 있어. 그거 치워.,2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27736,Dialog,MCUST,Don't see too much holy folk 'round Luskan.,러스칸에서 성직자는 별로 못 보거든.,2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27737,Dialog,MCUST,"Maybe prayin's what we should be doing. Luskan's gone to hell, it seems.","기도나 해야 할 것 같아. 러스칸이 지옥이 됐으니.",2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27738,Dialog,MCUST,"You're a holy <man/woman>, ain't ye? Ye come to help us?","성직자시군요? 우릴 도우러 온 건가요?",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27739,Dialog,MCUST,"Lotta good yer magicks do us. Bloody Brotherhood is behind all o' this, I swear.","네 마법이 뭔 소용이야. 이 모든 게 빌어먹을 결사단 짓이라니까.",2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27740,Dialog,MCUST,"Ye're not part of the Arcane Brotherhood, are ye?",혹시 비전 결사단 소속은 아니지?,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27741,Dialog,MCUST,Ye should go back to the Host Tower. We don't need yer kind 'round here.,"중심탑으로 돌아가. 여기선 네 부류가 필요 없어.",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27742,Dialog,MCUST,"Ye're a might fine-lookin' lass. Ye come from Bela's, aye?","참 예쁜 아가씨네. 벨라네에서 왔어?",2Q4A_MCUST,nw_d1_ctr01,,,,0,0
27743,Dialog,MCUST,It's good to know there's still some fine women who ain't been killed.,아직 죽지 않은 예쁜 여자가 있다니 다행이네.,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27744,Dialog,MCUST,"Maybe I could buy ye a drink, lass?","술 한잔 사줘도 될까, 아가씨?",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27745,Dialog,MCUST,The Arcane Brotherhood is behind all o' this... they've risen up zombies and werewolves and are tryin' to kill us all!,비전 결사단이 이 모든 일의 배후야... 좀비랑 늑대인간을 일으켜서 우릴 다 죽이려 하고 있어!,2Q4A_MCUST,nw_d1_ctr02,,,,0,0
27746,Dialog,MCUST,"If I were you, friend, I'd stay off the streets. Until this is over, none o' us are safe.","나라면, 친구, 거리에 안 나갈 거야. 이게 끝날 때까지 누구도 안전하지 않아.",2Q4A_MCUST,nw_d1_ctr03,,,,0,0
27747,Dialog,MCUST,I hear some of the pirate crews blockaded the Mirabar trade district once the ports were closed.,"항구가 폐쇄되자 해적 패거리 일부가 미라바르 무역 지구를 봉쇄했다고 들었어.",2Q4A_MCUST,nw_d1_ctr02,,,,0,0
