StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
106632,Dialog,MEDUSA,"The medusa nods politely. ""Hello, again. If you're here to check out a book, then I'm sorry but you'll have to come back later. I haven't finished burning them.""","메두사가 정중히 고개를 끄덕입니다. ""안녕하세요, 또 왔네요. 책을 빌리러 왔다면 미안하지만 나중에 다시 와야 해요. 아직 다 태우지 못했거든요.""",Q6_MEDUSA,,,,,0,0
106633,Dialog,MEDUSA,"""Excellent. The rules are simple: if you get my riddle right you win. If you get it wrong, you lose. Shall we begin?""","""좋아요. 규칙은 간단해요: 내 수수께끼를 맞히면 당신이 이기고, 틀리면 지는 거예요. 시작할까요?""",Q6_MEDUSA,,,,,0,0
106634,Dialog,MEDUSA,"""I'll start you with something simple. The riddle is: Forget the darkness, look to me for light. Burning, blazing, I am always bright. What's your answer?""","""쉬운 것부터 시작할게요. 수수께끼는: 어둠을 잊고, 빛을 찾아 나를 보라. 타오르고, 불타며, 난 언제나 밝다. 답이 뭐예요?""",Q6_MEDUSA,,,,,0,0
106635,Dialog,MEDUSA,"Her eyes open wide in surprise. ""Yes. That's right. I didn't think you would figure it out. Very well, here's the mirror shard, as promised. I enjoyed our little game - it was a fun diversion.""","놀라서 눈이 휘둥그레집니다. ""맞아요. 정답이에요. 맞힐 줄 몰랐는데. 좋아요, 약속대로 거울 조각이에요. 우리 게임 재미있었어요 - 좋은 기분전환이었어요.""",Q6_MEDUSA,q6_medusa99x,,,,0,0
106639,Dialog,MEDUSA,"""No, no, no, no. Mud is the correct answer. Really, what were you thinking?""","""아니, 아니, 아니, 아니. 진흙이 정답이에요. 도대체 무슨 생각을 한 거예요?""",Q6_MEDUSA,q6_medusa20x,,,,0,0
106640,Dialog,MEDUSA,"""Of course it is! I read it somewhere in a book once. I'm sure of it. In fact, I'll show you the book... oh, no. I've already burnt that volume.""","""당연히 그렇죠! 언젠가 책에서 읽었어요. 확실해요. 사실, 그 책을 보여드릴게... 아, 안 돼. 그 권은 이미 태웠네요.""",Q6_MEDUSA,,,,,0,0
106641,Dialog,MEDUSA,"""You'll just have to trust me. Mud is the right answer. I know these things. After all, I'm a librarian.""","""그냥 날 믿어야 해요. 진흙이 정답이에요. 난 이런 건 잘 알아요. 어쨌든, 난 사서니까요.""",Q6_MEDUSA,,,,,0,0
106645,Dialog,MEDUSA,"""You didn't do so well on the mud riddle, but maybe you'll have better luck with this: Color and hue, I'm endless and blue.""","""진흙 수수께끼는 잘 못 맞혔지만, 이건 운이 더 좋을지도요: 색과 색조, 난 끝없이 푸르다.""",Q6_MEDUSA,,,,,0,0
106646,Dialog,MEDUSA,"""You really aren't very good at this, are you? The answer, of course, is lava. It's obvious when you think about it, isn't it?""","""이거 진짜 잘 못하네요, 그렇죠? 정답은 물론 용암이에요. 생각해보면 당연하잖아요, 안 그래요?""",Q6_MEDUSA,q6_medusa30x,,,,0,0
106647,Dialog,MEDUSA,"""Now don't be a sore loser. I'm not one to mix up my facts. We librarians are sticklers for accuracy, you know.""","""졌다고 투정 부리지 마세요. 난 사실을 헷갈리는 사람이 아니에요. 사서들은 정확성에 까다롭거든요, 알죠.""",Q6_MEDUSA,,,,,0,0
106648,Dialog,MEDUSA,"She shakes her head, perplexed. ""Usually once I explain a riddle, the answer is obvious to everyone. I don't know why you're having such trouble understanding them.""","어리둥절하게 고개를 흔듭니다. ""보통 수수께끼를 설명하면 답이 모두에게 명확해지는데요. 왜 이해하기 어려워하는지 모르겠어요.""",Q6_MEDUSA,,,,,0,0
106649,Dialog,MEDUSA,"""You haven't done too well on the riddles so far, but I'll give you one last chance: None can escape me. When I come, darkness covers all.""","""지금까지 수수께끼를 잘 못 풀었지만, 마지막 기회를 줄게요: 아무도 나를 피할 수 없다. 내가 오면, 어둠이 모든 것을 덮는다.""",Q6_MEDUSA,,,,,0,0
106650,Dialog,MEDUSA,"""No, I'm afraid that's wrong. The answer is sunshine. I'm sorry, but there's just no point to continuing this game - it's obvious you aren't very good at riddles.""","""아니, 유감이지만 틀렸어요. 정답은 햇빛이에요. 미안하지만, 이 게임을 계속하는 의미가 없어요 - 수수께끼를 잘 못하는 게 분명하니까요.""",Q6_MEDUSA,q6_medusa99y,,,,0,0
106651,Dialog,MEDUSA,"""I'm afraid I'll just keep the shard for myself, though I did enjoy our little game. It was a nice diversion from my normal routine, even if you did lose.""","""유감이지만 조각은 내가 가질게요, 우리 작은 게임은 즐거웠지만요. 당신이 졌더라도 평소 일상에서 좋은 기분전환이었어요.""",Q6_MEDUSA,,,,,0,0
106652,Dialog,MEDUSA,"""No!!""","""안 돼!!""",Q6_MEDUSA,nw_d1_attonend02,,,,0,0
106653,Dialog,MEDUSA,"""Now don't be a sore loser just because you couldn't figure it out. Mud is bright, lava is blue, sunshine brings darkness. Very logical - just like our town of winged elves beneath the earth.""","""못 맞혔다고 투정 부리지 마세요. 진흙은 밝고, 용암은 푸르고, 햇빛은 어둠을 가져와요. 매우 논리적이에요 - 땅속 날개 달린 엘프들의 마을처럼요.""",Q6_MEDUSA,,,,,0,0
