StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
32556,Dialog,MERCGEN,You must be one of the adventurers from Neverwinter! Welcome to Port Llast!,네버윈터에서 온 모험가 중 한 명이군요! 라스트 항구에 오신 걸 환영합니다!,M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32557,Dialog,MERCGEN,"How are you today, <mister/missus>?","오늘 기분이 어떠세요, <mister/missus>?",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32558,Dialog,MERCGEN,Move along. I don't have time to mix with your type.,가던 길 가시오. 당신 같은 부류랑 어울릴 시간 없소.,M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32559,Dialog,MERCGEN,Citizen! Put some clothes on!,시민! 옷 좀 입으시오!,M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32560,Dialog,MERCGEN,"Listen, <mister/missus>, I would appreciate it if you'd dress like decent folk while in Port Llast.","이봐요, <mister/missus>, 라스트 항구에 있는 동안엔 점잖게 옷을 갖춰 입어 주시면 좋겠는데요.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32561,Dialog,MERCGEN,"I don't know how things are where you come from, but here in Port Llast, we don't dress like courtesans. Put some decent clothes on!","당신 고향에선 어떤지 모르겠지만 여기 라스트 항구에선 기생처럼 옷 입고 다니지 않소. 제대로 된 옷 좀 입으시오!",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32562,Dialog,MERCGEN,"Been through a war there, friend? I suggest you head to the temple and get some healing.","전쟁이라도 치렀소, 친구? 신전에 가서 치료 좀 받으시오.",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32563,Dialog,MERCGEN,"Gods, <man/woman>, you're bleeding like a stuck pig! ","신이시여, <man/woman>, 피가 줄줄 흐르잖소!",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32564,Dialog,MERCGEN,I've not seen wounds like that on anyone who was still walking. You'd best get some healing while you still can.,"그런 상처 입고 걸어 다니는 사람은 처음 보오. 아직 가능할 때 치료받는 게 좋겠소.",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32565,Dialog,MERCGEN,"Hmm, idiots parade today? Must have missed the notice.","흠, 오늘 바보 퍼레이드라도 있나? 공지를 놓쳤나 보군.",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32566,Dialog,MERCGEN,"Jaw looks a bit slack, friend. Need a drool cloth?","턱이 좀 늘어졌는데, 친구. 침 받이 필요해?",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32567,Dialog,MERCGEN,Don't think too hard. Your brain's liable to liquefy even further.,너무 열심히 생각하지 마. 뇌가 더 녹아버릴 수도 있으니까.,M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32568,Dialog,MERCGEN,"Please put your weapons away when within the town limits, <sir/madam>.","마을 안에서는 무기를 치워 주세요, <sir/madam>.",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32569,Dialog,MERCGEN,Hey! Don't go waving your weapons around in this town! I've got my eye on you!,이봐! 이 마을에서 무기 휘두르고 다니지 마! 지켜보고 있다!,M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32570,Dialog,MERCGEN,Keep your weapons sheathed in Port Llast. I don't want to have to jail you.,"라스트 항구에선 무기를 칼집에 넣어 두시오. 당신을 감옥에 넣고 싶진 않으니까.",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32571,Dialog,MERCGEN,"Ah, a holy <man/woman>. Welcome to Port Llast!","아, 성직자시군요. 라스트 항구에 오신 걸 환영합니다!",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32572,Dialog,MERCGEN,"A good <day/night> to you, your grace. Looking for a temple?","좋은 <day/night> 되세요, 성직자님. 신전을 찾고 계신가요?",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32573,Dialog,MERCGEN,Just doing my job. Don't bring the wrath of your god down upon me!,전 그냥 제 일을 하는 것뿐이에요. 신의 분노를 저한테 내리지 마세요!,M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32574,Dialog,MERCGEN,"One of them wizardly people, huh? Watch where you put them spells.","마법사 중 한 명이군. 주문 쓸 때 조심하시오.",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32575,Dialog,MERCGEN,"If you're looking for magical supplies, there's a wizard enclave up on the hill.","마법 용품을 찾고 있다면 언덕 위에 마법사 거주지가 있소.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32576,Dialog,MERCGEN,"Heh, heh. I bet you have a BIG tower, mage.","헤헤. 마법사 양반 탑이 크겠구만.",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32577,Dialog,MERCGEN,"Hey honey, you're looking great!","이봐요 아가씨, 정말 예쁘네요!",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32578,Dialog,MERCGEN,Such a pretty lass! Do you like soldiers?,"참 예쁜 아가씨네! 군인 좋아해요?",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32579,Dialog,MERCGEN,Aren't you a sight for sore eyes! ,눈이 호강하는구만!,M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32580,Dialog,MERCGEN,I hope you enjoy your time in Port Llast. Would that we had more visitors like you here.,"라스트 항구에서 즐거운 시간 보내시길 바랍니다. 당신 같은 손님이 더 많았으면 좋겠네요.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32581,Dialog,MERCGEN,"Hello to you, my <lord/lady>! Please enjoy all that Port Llast has to offer!","안녕하세요, <lord/lady>님! 라스트 항구가 제공하는 모든 것을 즐기세요!",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32582,Dialog,MERCGEN,Hello.,안녕하시오.,M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32583,Dialog,MERCGEN,"Nice weather we've been having, eh?",요즘 날씨 좋지 않소?,M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32584,Dialog,MERCGEN,Must you stay in Port Llast? Maybe you'd find Luskan more to your liking.,"꼭 라스트 항구에 있어야 하오? 러스칸이 더 맞을 것 같은데.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32585,Dialog,MERCGEN,"Stand away, citizen!","물러서시오, 시민!",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32586,Dialog,MERCGEN,"Greetings, my barbarous friend.","안녕하시오, 야만인 친구.",M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32587,Dialog,MERCGEN,"No raging allowed in town, friend. ","마을에서 광분은 금지요, 친구.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32588,Dialog,MERCGEN,"Ever wash your clothes, barbarian?","야만인, 옷 빨아본 적 있소?",M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
32589,Dialog,MERCGEN,Sometimes I feel like the humans are being crowded out with all of you <race> type people wandering in and out.,가끔 당신 같은 <race> 종족이 드나들면서 인간들이 밀려나는 기분이 들어.,M2Q1MERCGEN,nw_d1_ctr01,,,,0,0
32590,Dialog,MERCGEN,"Move along, <race> scum. I don't like to mix with the likes of you. ","꺼지시오, <race> 쓰레기. 당신 같은 부류랑 어울리기 싫소.",M2Q1MERCGEN,nw_d1_ctr02,,,,0,0
32591,Dialog,MERCGEN,Good <quarterday> to you. Don't you have someplace to go other than Port Llast?,좋은 <quarterday> 보내시오. 라스트 항구 말고 갈 데 없소?,M2Q1MERCGEN,nw_d1_ctr03,,,,0,0
