StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
83903,Dialog,MHAERE,"The matronly woman looks about helplessly. ""Such violence and bloodshed... here in our own home! Please help us. Help my husband or Waterdeep will surely fall!""","어머니 같은 여인이 무력하게 주위를 둘러봅니다. ""이런 폭력과 유혈사태가... 우리 집에서! 도와주세요. 남편을 도와주세요, 안 그러면 워터딥이 분명히 함락될 거예요!""",PRE_MHAERE,,,,vs_nx2mhaef_050,0,0
83904,Dialog,MHAERE,"The matronly woman shakes her head sadly. ""This is terrible. All this violence and bloodshed here in our inn. Please... help my husband however you can!""","어머니 같은 여인이 슬프게 고개를 젓습니다. ""이건 끔찍해요. 우리 여관에서 이런 폭력과 유혈사태라니. 제발... 어떻게든 남편을 도와주세요!""",PRE_MHAERE,,,,vs_nx2mhaef_051,0,0
83905,Dialog,MHAERE,"""They're everywhere!! They must have come through the well in the basement!""","""어디에나 있어요!! 지하실 우물을 통해 왔음에 틀림없어요!""",PRE_MHAERE,,,,vs_nx2mhaef_052,0,0
83906,Dialog,MHAERE,"""They're everywhere!! They must have come through the well in the basement!""","""어디에나 있어요!! 지하실 우물을 통해 왔음에 틀림없어요!""",PRE_MHAERE,,,,vs_nx2mhaef_053,0,0
83907,Dialog,MHAERE,"The woman smiles at you politely. ""Good evening, and welcome to the Yawning Portal. You are one of the adventurers that has responded to my husband's call?""","여인이 정중하게 미소 짓습니다. ""좋은 저녁이에요, 하품하는 차원문에 오신 걸 환영해요. 남편의 부름에 응한 모험가 중 한 분이시죠?""",PRE_MHAERE,,,,vs_nx2mhaef_054,0,0
83908,Dialog,MHAERE,"""Yes, obviously you are. I should have seen that."" She gestures to a nearby table. ""Please do have a seat. It should not be long now.""","""네, 분명 그러시군요. 알아봤어야 했는데."" 그녀가 근처 탁자를 가리킵니다. ""앉으세요. 오래 걸리지 않을 거예요.""",PRE_MHAERE,,,,vs_nx2mhaef_055,0,0
83909,Dialog,MHAERE,"""My husband has been waiting for you.""","""남편이 기다리고 있었어요.""",PRE_MHAERE,,,,vs_nx2mhaef_056,0,0
83910,Dialog,MHAERE,"""Thank the gods that the fighting is finally over. I suppose they should also be thanked that you were here to help us.""","""신들께 감사드려요, 드디어 싸움이 끝났군요. 당신이 여기서 우릴 도와줬으니 그것도 감사해야겠네요.""",PRE_MHAERE,,,,vs_nx2mhaef_057,0,0
83911,Dialog,MHAERE,"""Thank the gods the fighting is finally over. I am unsure whether to be thankful for your presence, however. Do you mean us further harm?""","""신들께 감사드려요, 드디어 싸움이 끝났군요. 하지만 당신의 존재에 감사해야 할지 모르겠어요. 우리에게 더 해를 끼치실 건가요?""",PRE_MHAERE,,,,vs_nx2mhaef_058,0,0
92246,Dialog,MHAERE,"The woman smiles at you politely and nods. She appears matronly, but has a strength and pride to her bearing that tell of a much different history.","여인이 정중하게 미소 짓고 고개를 끄덕입니다. 어머니 같아 보이지만, 그녀의 태도에서 풍기는 강인함과 자부심이 매우 다른 과거를 말해줍니다.",PRE_MHAERE,,,,,0,0
