StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
23032,Dialog,MTLY,"Greetings. Nice to see someone still alive out here. I'd prefer that we were talking somewhere safe, but it's still nice.","안녕하세요. 여기서 아직 살아있는 사람을 보니 반갑네요. 안전한 곳에서 얘기하면 더 좋겠지만, 그래도 반가워요.",M1Q5A07MTLY,m1_convstart,,,vs_nhalflf1_054,0,0
23036,Dialog,MTLY,"Other than legions of undead, a husband that puts his cart ahead of his family, and a plague that seems almost apocalyptic?","언데드 군단, 가족보다 수레를 더 챙기는 남편, 거의 세상 종말 같은 역병 말고요?",M1Q5A07MTLY,,,,,0,0
23037,Dialog,MTLY,"Nope, nothing. really. I've been too busy trying to stay alive.","아뇨, 정말 아무것도요. 살아남느라 너무 바빴거든요.",M1Q5A07MTLY,,,,,0,0
23038,Dialog,MTLY,Good day to you.,"좋은 하루 되세요.",M1Q5A07MTLY,,,,,0,0
23039,Dialog,MTLY,"We'll be all right. Aldo will keep us safe. He's a good man. A bit too attached to the cart, I think, but a good man.","괜찮을 거예요. 알도가 우릴 지켜줄 거예요. 좋은 사람이에요. 수레에 좀 너무 집착하긴 하지만, 좋은 사람이에요.",M1Q5A07MTLY,,,,,0,0
23041,Dialog,MTLY,"It's not such a nice wagon, dear.","그렇게 좋은 수레도 아니잖아, 여보.",M1Q5A07MTLY,,,,vs_nhalflf1_053,0,0
23043,Dialog,MTLY,"We can buy new things, dear.","새 물건은 사면 되잖아, 여보.",M1Q5A07MTLY,,,,vs_nhalflf1_052,0,0
23045,Dialog,MTLY,Should we die for this lousy furniture? It was your mother's and smells funny.,"이 허접한 가구 때문에 죽어야 해? 시어머니 거라 냄새도 이상한데.",M1Q5A07MTLY,,,,vs_nhalflf1_051,0,0
23047,Dialog,MTLY,"Travel, you said. Move to the big city, you said.","여행하자고 했잖아. 대도시로 이사하자고 했잖아.",M1Q5A07MTLY,,,,vs_nhalflf1_050,0,0
23048,Dialog,MTLY,"As... thoughtful... as your offer is, I think I'll stay with my husband. He can form sentences.","제안은... 사려 깊긴... 한데, 남편 곁에 있을게요. 그 사람은 문장은 만들 줄 아니까.",M1Q5A07MTLY,,,,,0,0
23049,Dialog,MTLY,"You know, my old hound had that exact look on his face. All the time. Don't get me wrong, he was a SMART dog... ","있잖아요, 우리 집 늙은 사냥개가 딱 저런 표정이었어요. 항상. 오해 마세요, 똑똑한 개였거든요...",M1Q5A07MTLY,,,,,0,0
23050,Dialog,MTLY,"In answer to your masterfully constructed question, I have seen zombies, plague, and the madness of my husband. Danger enough?","훌륭하게 구성된 질문에 답하자면, 좀비, 역병, 그리고 미친 남편을 봤어요. 충분히 위험하죠?",M1Q5A07MTLY,,,,,0,0
23052,Dialog,MTLY,Good day. Take care. Read the occasional book.,"좋은 하루 되세요. 조심하시고요. 가끔 책도 읽고.",M1Q5A07MTLY,,,,,0,0
23053,Dialog,MTLY,We've got to get to safety!,"안전한 곳으로 가야 해!",M1Q5A07MTLY,,,,vs_nhalflf1_055,0,0
23054,Dialog,MTLY,"I blame the wagon. Not the plague, not zombies... the wagon.","다 수레 탓이야. 역병도, 좀비도 아니고... 수레.",M1Q5A07MTLY,,,,vs_nhalflf1_056,0,0
23055,Dialog,MTLY,"Well, my name is Mattily. As for why I am out here, that's a very good question. Why don't you ask the cart?","제 이름은 매틸리예요. 왜 여기 있냐고요, 아주 좋은 질문이네요. 수레한테 물어보시죠?",M1Q5A07MTLY,,,,,0,0
