StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36214,Creature,Mary O'Deel,Why fancy having a good <lord/lady> like you in my own house!,"이런, 당신 같은 훌륭한 <lord/lady>가 제 초라한 집에 왕림하시다니!",M2Q3E_MARY,m2q3e_marya1,,,,0,0
36215,Creature,Mary O'Deel,"Safe journeys, then. Perhaps we'll speak again.",그럼 좋은 여행 되세요. 또 볼 일이 있겠죠.,M2Q3E_MARY,,,,,0,0
36216,Creature,Mary O'Deel,"Yes, yes. My <quarterday> chores are beckoning.","네, 네. <quarterday> 집안일이 저를 부르네요.",M2Q3E_MARY,,,,,0,0
36217,Creature,Mary O'Deel,"Out and good riddance, then.",좋아요 가버려요. 잘 됐네.,M2Q3E_MARY,,,,,0,0
36218,Creature,Mary O'Deel,"I see. A little on the slow side, are we?",그렇군요. 좀... 머리가 느리신 편인가요?,M2Q3E_MARY,,,,,0,0
36219,Creature,Mary O'Deel,I'd be happy to answer a question or two. What do you want to know?,질문 한두 개쯤이야 기꺼이 대답해 드리죠. 뭘 알고 싶으세요?,M2Q3E_MARY,,,,,0,0
36220,Creature,Mary O'Deel,"I suppose I can answer a question for you, <lad/lass>. Go right on ahead.",<lad/lass>한테 질문 하나쯤은 대답해 드릴 수 있지요. 물어보세요.,M2Q3E_MARY,,,,,0,0
36221,Creature,Mary O'Deel,I'll answer a question or two... provided you don't take too long.,질문 한두 개는 대답해 드릴게요... 너무 오래 붙잡지만 않는다면요.,M2Q3E_MARY,,,,,0,0
36222,Creature,Mary O'Deel,"They moved in a few weeks ago and have been a terror ever since. My husband, Pete, he's too busy fretting about the cattle to sleep!",몇 주 전에 나타나서 그때부터 골칫거리예요. 제 남편 피트는 소 걱정에 잠도 못 자고 있다니까요!,M2Q3E_MARY,,,,,0,0
36223,Creature,Mary O'Deel,"A cult? Goodness me, what would you expect an old farmwife to know of that? We're good hard-working folk out here. No foolish cult would get far with us!","사이비 집단이요? 세상에, 늙은 농사꾼 아낙네가 그런 걸 알 거라고 생각하세요? 여기 사람들은 성실하게 일하는 사람들이에요. 어리석은 사이비 집단 따위가 여기서 발 붙이기는 어려울걸요!",M2Q3E_MARY,,,,,0,0
36224,Creature,Mary O'Deel,"Oh it's a small house sure enough, but it's home. Pete built it before we married and our darling Constance grew up in it and is with us still.","아, 작은 집이긴 하지만 그래도 우리 보금자리예요. 피트가 결혼 전에 지었고, 우리 귀여운 콘스탄스도 여기서 자라서 아직 우리랑 함께 살고 있답니다.",M2Q3E_MARY,,,,,0,0
36225,Creature,Mary O'Deel,"Other than Peter and the wolves, there's not much to say, really. What might you have in mind?",피터랑 늑대 말고는 별로 할 얘기가 없는데요. 뭘 알고 싶으신 거예요?,M2Q3E_MARY,,,,,0,0
36226,Creature,Mary O'Deel,"Do you have a speech impediment? Oh, nevermind.","말씀에 장애가 있으신가요? 아, 아무것도 아니에요.",M2Q3E_MARY,,,,,0,0
36227,Creature,Mary O'Deel,"Not wise enough to be a woman yet... but she'll get there. She means well enough. I was a young spitfire in my day too, you know... ",아직 어른스럽지 못하지만... 언젠간 되겠죠. 마음씨는 착해요. 저도 젊었을 때는 불같은 성격이었거든요...,M2Q3E_MARY,,,,,0,0
36228,Creature,Mary O'Deel,Is there something else you wanted to know?,다른 것도 알고 싶은 게 있으세요?,M2Q3E_MARY,,,,,0,0
36229,Creature,Mary O'Deel,"Pete says the big one, the she-wolf... her name is Silverback. He says he knows this 'cause... Oh I shouldn't say, you'll think him daft!","피트 말로는 그 큰 암늑대... 이름이 실버백이래요. 어떻게 아냐면... 아, 말하면 안 되는데, 바보라고 생각하실 거예요!",M2Q3E_MARY,,,,,0,0
36230,Creature,Mary O'Deel,A helpful hand is aways appreciated around here. You should talk to Pete. No doubt he's out there protecting the herd.,도와주신다면 언제든 환영이에요. 피트한테 얘기해 보세요. 틀림없이 밖에서 가축 지키고 있을 거예요.,M2Q3E_MARY,,,,,0,0
36231,Creature,Mary O'Deel,"Maybe by Ingo's place. His wife and I were so close before her passing. Something of him died with her, though. He's lost his spark.",잉고네 집 쪽일 수도 있어요. 그의 아내와 저는 돌아가시기 전까지 정말 친했어요. 하지만 그녀가 죽으면서 그의 일부도 함께 죽은 것 같아요. 활기를 잃어버렸거든요.,M2Q3E_MARY,,,,,0,0
36232,Creature,Mary O'Deel,Well I suppose that's about as direct as one can get.,뭐 그보다 더 직설적일 순 없겠네요.,M2Q3E_MARY,,,,,0,0
36233,Creature,Mary O'Deel,Is there something else you wanted to know?,다른 것도 알고 싶은 게 있으세요?,M2Q3E_MARY,,,,,0,0
36234,Creature,Mary O'Deel,"<StartCheck>[Success]</Start> Well he says he's heard her talking on the wind, telling stories to her cubs. A wolf who speaks Common... ","<StartCheck>[성공]</Start> 글쎄, 바람에 실려오는 그녀의 목소리를 들었대요, 새끼들한테 이야기를 들려주는 거요. 공용어를 하는 늑대라니...",M2Q3E_MARY,,,,,0,0
36235,Creature,Mary O'Deel,"Pete's always had an imagination! If you ask me, he's just so caught up in protecting the herd that he's made the she-wolf into something more than she is. ","피트는 원래 상상력이 풍부해요! 제 생각엔, 가축 보호에 너무 빠져서 그 암늑대를 실제보다 대단하게 만들어 버린 거예요.",M2Q3E_MARY,,,,,0,0
36236,Creature,Mary O'Deel,"<StartCheck>[Failure]</Start> No, Pete would tan my hide if I ever painted him a fool to a perfect stranger. He's a good man but not one to mock... ","<StartCheck>[실패]</Start> 아뇨, 처음 보는 사람한테 남편을 바보 취급하면 피트가 저를 가만 안 둘 거예요. 좋은 사람이지만 놀림감이 되면 안 되거든요...",M2Q3E_MARY,,,,,0,0
36237,Creature,Mary O'Deel,You'd best talk to my husband Pete. He's probably out watching the herd as we speak.,제 남편 피트한테 얘기하는 게 좋을 거예요. 지금쯤 밖에서 가축 보고 있을 거예요.,M2Q3E_MARY,,,,,0,0
36238,Creature,Mary O'Deel,"Is there something else you need, then?",그럼 다른 필요한 건 없으세요?,M2Q3E_MARY,,,,,0,0
36239,Creature,Mary O'Deel,Pretty bad. For the most part we're self-sufficient out here but there are some things that can only be had in town... ,꽤 힘들어요. 대부분은 자급자족하지만 마을에서만 구할 수 있는 것들이 있거든요...,M2Q3E_MARY,,,,,0,0
36240,Creature,Mary O'Deel,We still have enough of a herd to scrape by but imagine if the wolves had taken them all! We'd be left with nothing!,아직 그럭저럭 버틸 만큼의 가축은 있지만 늑대들이 다 잡아갔다고 생각해 보세요! 아무것도 안 남을 거예요!,M2Q3E_MARY,,,,,0,0
36241,Creature,Mary O'Deel,Do you have more questions?,더 물어볼 거 있으세요?,M2Q3E_MARY,,,,,0,0
36242,Creature,Mary O'Deel,Yes? What brings you here?,네? 여긴 무슨 일로 오셨어요?,M2Q3E_MARY,m2q3e_marya1,,,,0,0
36243,Creature,Mary O'Deel,"If I would've known to expect you, I would have locked the door!",당신이 올 줄 알았으면 문을 잠갔을 텐데!,M2Q3E_MARY,m2q3e_marya1,,,,0,0
36244,Creature,Mary O'Deel,"You're not here regarding Pete and the wolves, are you?","피트랑 늑대 문제로 오신 건 아니죠, 그렇죠?",M2Q3E_MARY,,,,,0,0
36245,Creature,Mary O'Deel,Where do you need to go?,어디로 가야 하세요?,M2Q3E_MARY,,,,,0,0
36246,Creature,Mary O'Deel,Very well but don't keep me too long from my <quarterday> chores.,좋아요. 하지만 너무 오래 붙잡지는 마세요. <quarterday> 집안일이 있거든요.,M2Q3E_MARY,,,,,0,0
36247,Creature,Mary O'Deel,What do you want to know?,뭘 알고 싶으세요?,M2Q3E_MARY,,,,,0,0
36248,Creature,Mary O'Deel,"Yes, I suppose someone like you must get lost out here fairly easy, wouldn't you... ","네, 당신 같은 분은 여기서 길을 잃기 쉽겠죠...",M2Q3E_MARY,,,,,0,0
36249,Creature,Mary O'Deel,"West? That's the road we take to Port Llast on market days. It's a long trip, though, and we usually spend the night with Pete's cousins in town.",서쪽이요? 장날에 라스트 항구로 갈 때 이용하는 길이에요. 먼 길이라서 보통 피트 사촌들 집에서 하룻밤 묵어요.,M2Q3E_MARY,,,,,0,0
36250,Creature,Mary O'Deel,"Ooh, the east road leads past Ingo's fields and into the Charwood. Just ask Ingo, it's not a place meant for the living to tread... ","아, 동쪽 길은 잉고네 밭을 지나서 그을린숲으로 이어져요. 잉고한테 물어보세요, 산 사람이 갈 곳이 아니래요...",M2Q3E_MARY,,,,,0,0
36251,Creature,Mary O'Deel,"We're all farmers here, not merchants or tradesfolk. Nearest shop's probably all the way back to Port Llast.",여긴 다 농사꾼이지 상인이나 장사꾼이 아니에요. 가장 가까운 가게는 아마 라스트 항구까지 가야 있을 거예요.,M2Q3E_MARY,,,,,0,0
36252,Creature,Mary O'Deel,"Sure, where do you need to go?","물론이죠, 어디로 가야 하세요?",M2Q3E_MARY,,,,,0,0
36253,Creature,Mary O'Deel,"You again, is it?",또 오셨네요?,M2Q3E_MARY,nw_d1_heartoff,,,,0,0
36254,Creature,Mary O'Deel,"Well, now, I don't have all day to be interrupted. There's bread in the oven, you know.","저기, 하루 종일 방해받을 순 없어요. 오븐에 빵이 있거든요.",M2Q3E_MARY,,,,,0,0
40965,Creature,Mary O'Deel,Mary,메리,M2Q3E_MARY,,,,,0,0
