StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
20496,Creature,Meldanen,"You believe you can just invade my home, do you?! I am not so easily assassinated!","감히 내 집에 침입할 수 있다고 생각하나?! 나는 그렇게 쉽게 암살당하지 않아!",M1Q3AMELDANEN,templ_assa25,,,vs_nnwnobm1_051,0,0
20497,Creature,Meldanen,"Formosa sent you to kill me, didn't she?! Didn't she?! Why are you here?!","포르모사가 널 보내서 날 죽이려 한 거지?! 그렇지?! 왜 여기 온 거야?!",M1Q3AMELDANEN,m1q3a00meld0x,,,vs_nnwnobm1_054,0,0
20498,Creature,Meldanen,That fool elven woman didn't send you? Then why are you here?,그 바보 같은 엘프 여자가 보낸 게 아니라고? 그럼 왜 여기 온 거지?,M1Q3AMELDANEN,,,,,0,0
20499,Creature,Meldanen,"No! I will kill you, fool, I will!!","안 돼! 널 죽여주마, 이 바보야, 죽여주겠어!!",M1Q3AMELDANEN,nw_d1_attonend02,,,,0,0
20500,Creature,Meldanen,I did not steal her! I found her wandering the streets and took her in. It was my plan originally to concoct a cure for this plague from her and sell it to the highest bidder.,"그녀를 훔친 게 아니야! 거리를 떠돌던 걸 발견하고 데려온 거지. 원래 계획은 그녀에게서 역병 치료제를 만들어 가장 높은 값에 파는 것이었어.",M1Q3AMELDANEN,,,,,0,0
20501,Creature,Meldanen,"Since then, however, her... charms... have weakened my judgment and prevented my research. Bah! No doubt it is best she is taken, or I could not rid myself of her influence.","하지만 그 후로, 그녀의... 매력이... 내 판단을 흐리게 하고 연구를 방해했지. 쳇! 그녀를 데려가는 게 나을 거야, 안 그러면 그녀의 영향에서 벗어날 수 없으니.",M1Q3AMELDANEN,,,,,0,0
20502,Creature,Meldanen,Spare my life and I'll give you 500 gp. It is all I have... and surely more than Formosa could possibly have paid you.,"목숨만 살려주면 금화 500개를 주겠다. 내가 가진 전부야... 포르모사가 널 고용한 값보다는 확실히 더 많을 거다.",M1Q3AMELDANEN,,,,,0,0
20503,Creature,Meldanen,"My estate is well-guarded. You expect me to believe you came here simply by accident? Your type seeks coin and treasure, yes?","내 저택은 철저히 경비되어 있어. 그냥 우연히 왔다고 믿으란 거냐? 너 같은 부류는 돈과 보물을 찾는 거지, 안 그래?",M1Q3AMELDANEN,,,,,0,0
20504,Creature,Meldanen,"Well if it's coin you seek, I have plenty. I am more than willing to offer it to you in exchange for a task, perhaps?","돈을 찾는 거라면, 나한테 많아. 일을 맡기는 대가로 기꺼이 주겠는데, 어떤가?",M1Q3AMELDANEN,,,,,0,0
20505,Creature,Meldanen,"I have 500 gold pieces now... take that and kill Formosa before she convinces some other fool to try to kill me. When you return, I'll pay you another 500 gp.","지금 금화 500개가 있어... 그걸 받고 포르모사를 죽여라. 그녀가 다른 바보를 꼬드겨 날 죽이려 하기 전에. 돌아오면 금화 500개를 더 주겠다.",M1Q3AMELDANEN,,,,,0,0
20506,Creature,Meldanen,Nothing. I have little doubt you have looted my home already. But... if you kill Formosa for me I can give you even more gold later... gold you won't get any other way.,"없어. 네가 이미 내 집을 털었을 거라는 건 의심의 여지가 없지. 하지만... 포르모사를 죽여주면 나중에 더 많은 금화를 줄 수 있어... 다른 방법으로는 얻을 수 없는 금화를.",M1Q3AMELDANEN,,,,,0,0
20507,Creature,Meldanen,"N-nothing. It... is all the coin I have here, however. Please, I beg you for mercy!","아-아무것도. 하지만... 여기 있는 돈은 그게 전부야. 제발, 자비를 베풀어달라!",M1Q3AMELDANEN,,,,,0,0
20508,Creature,Meldanen,So the wench did send you. Bah! Fine... I shall rip out my silver tooth and give you both it and the key. I am not above purchasing my life.,"그래서 그 계집이 널 보낸 거군. 쳇! 좋아... 은니를 뽑아서 그것과 열쇠를 둘 다 주지. 목숨을 사는 것쯤이야 못할 게 없어.",M1Q3AMELDANEN,,,,,0,0
20509,Creature,Meldanen,"I can give you the 500 gold pieces now. If you deal with Formosa and return, I can get another 500 gold pieces by then and pay you that as well.","지금 금화 500개를 줄 수 있어. 포르모사를 처리하고 돌아오면, 그때까지 금화 500개를 더 구해서 그것도 주겠다.",M1Q3AMELDANEN,,,,,0,0
