StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26354,Creature,Morag,Morag,모라그,2Q6K_MORAG|M2Q06CMORAG|M3Q02G01MORA|M4Q01D08MORA,,,,,0,0
42517,Creature,Morag,"You are welcome in my service, paladin. I have awaited your arrival with great anticipation.","내 휘하에 온 걸 환영한다, 성기사. 네가 오길 크게 기대하며 기다렸다.",2Q6K_MORAG,mpatchcutscene,,,vs_nmoragf_050,0,0
42524,Creature,Morag,"Remember, Maugrim, that it is of great importance that the other Words of Power be located. You must beware Haedraline, however, as she will ---","기억해라, 모그림, 다른 권능의 언령을 찾는 것이 매우 중요하다. 하지만 하에드랄린을 조심해야 한다, 그녀가---",2Q6K_MORAG,,,,vs_nmoragf_051,0,0
42525,Creature,Morag,"You have been lax, Maugrim. We have intruders.","해이해졌구나, 모그림. 침입자가 있다.",2Q6K_MORAG,,,,vs_nmoragf_052,0,0
42526,Creature,Morag,The Word of Power cannot fall into the hands of the enemy. Take Aribeth and leave now. I shall summon my own servants to deal with these... fools.,"권능의 언령이 적의 손에 들어가선 안 된다. 아리베스를 데리고 지금 떠나라. 이 멍청이들은 내 종복을 불러 처리하겠다.",2Q6K_MORAG,2q6k_startfight,,,vs_nmoragf_053,0,0
45093,Creature,Morag,"What manner of slave are you, that does not cast down <his/her> eyes in my presence! (hiss) I could have you flayed for this!","(쉭) 네가 대체 무슨 노예냐, 내 앞에서 눈을 깔지 않다니! 이런 짓 때문에 살가죽을 벗겨버릴 수도 있어!",M3Q02G01MORA,,,,,0,0
45094,Creature,Morag,Guards! Protect me from this creature!,"경비병! 이 생명체에게서 나를 지켜라!",M3Q02G01MORA,m3q02g01moraesc,,,,0,0
45095,Creature,Morag,"There is something strange about you, creature. Where is your collar? (hiss) Why is your forehead not branded with the mark of the house you serve?","네게 뭔가 이상한 게 있어, 생명체. 목걸이는 어디 있지? (쉭) 왜 이마에 네가 섬기는 가문의 낙인이 찍혀 있지 않은 거지?",M3Q02G01MORA,,,,,0,0
45096,Creature,Morag,"Do you not recognize me? I am Morag, First Daughter of the Queen and heir to the throne! (hiss) How dare you approach me?","나를 모르겠느냐? 나는 모라그, 여왕의 첫째 딸이자 왕위 계승자다! (쉭) 감히 어떻게 내게 다가오느냐?",M3Q02G01MORA,,,,,0,0
45097,Creature,Morag,Your mistress should have removed your tongue for such defiance! (hiss) But wait... ,"네 여주인이 그런 반항에 혀를 잘라버렸어야 해! (쉭) 하지만 잠깐...",M3Q02G01MORA,,,,,0,0
45098,Creature,Morag,"Your clothes and appearance are unknown to me. (hiss) You are no slave! Who are you, creature?","네 옷차림과 생김새는 내게 낯설다. (쉭) 넌 노예가 아니야! 넌 누구냐, 생명체?",M3Q02G01MORA,,,,,0,0
45099,Creature,Morag,"Of course, the time sink! (hiss) This is not the world you know, creature. The secrets of the Creator Race are not yours for the taking.","물론이지, 시간의 늪! (쉭) 여기는 네가 아는 세계가 아니야, 생명체. 창조자 종족의 비밀은 네가 가져갈 것이 아니다.",M3Q02G01MORA,,,,,0,0
45100,Creature,Morag,"You are arrogant, when you should tremble before the terrible power of the Creator Race. (hiss) How can this be? Unless... ","창조자 종족의 무시무시한 힘 앞에 떨어야 할 네가 오만하구나. (쉭) 어떻게 이럴 수가 있지? 혹시...",M3Q02G01MORA,,,,,0,0
45101,Creature,Morag,Guards! Slay this creature! (hiss) It must not escape back to its own time!,"경비병! 이 생명체를 죽여라! (쉭) 자기 시대로 도망가게 해선 안 돼!",M3Q02G01MORA,m3q02g01moraesc,,,,0,0
45102,Creature,Morag,"(hiss) I see your mind is simple, even for a slave. I wonder that your mistress would let you wander unsupervised.","(쉭) 노예치고도 머리가 단순하구나. 네 여주인이 어떻게 감시 없이 돌아다니게 놔뒀는지 모르겠다.",M3Q02G01MORA,,,,,0,0
