StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
43539,Dialog,NEUR,"Oh! Greetings, <FirstName>. It's me, Neurik. Remember? I was serving in Tyr's church in Port Llast until Aarin Gend asked me to come and oversee this temple here at Beorunna's Well.","아! 안녕하세요, <FirstName>. 저예요, 뉴릭. 기억하시죠? 아린 겐드가 베오룬나의 우물에 있는 이 신전을 맡아달라고 할 때까지 라스트 항구의 티르 교회에서 일했었습니다.",M3Q01A01NEUR,,,,,0,0
43540,Dialog,NEUR,"Oh... hello, again, <FirstName>. Welcome back to the temple of the just god.","아... 다시 오셨군요, <FirstName>. 정의로운 신의 신전에 오신 걸 환영합니다.",M3Q01A01NEUR,,,,,0,0
43541,Dialog,NEUR,"I don't know. This is a very delicate matter. Recently an Uthgardt tribesman named Rolgan killed one of the Lords' Alliance soldiers. He claims it was self-defense, and I have given him sanctuary here to save him from the vengeance of the soldier's friends.","모르겠습니다. 아주 민감한 문제거든요. 최근에 롤간이라는 우스가르트 부족민이 영주 연합 병사 중 한 명을 죽였습니다. 그는 정당방위라고 주장하고 있고, 죽은 병사의 동료들의 복수를 피하도록 이곳에서 그를 보호하고 있습니다.",M3Q01A01NEUR,,,,,0,0
43542,Dialog,NEUR,"But Rolgan cannot stay in the Temple forever. I am trying to arrange a fair trial for the young man, but his Uthgardt friends are unfamiliar with our justice system... and none of the Lords' Alliance mercenaries wants to defend him during the trial.","하지만 롤간이 신전에 영원히 있을 수는 없습니다. 이 청년에게 공정한 재판을 마련해 주려 하지만, 그의 우스가르트 친구들은 우리 사법 제도에 익숙하지 않고... 영주 연합 용병 중 누구도 재판에서 그를 변호하려 하지 않습니다.",M3Q01A01NEUR,,,,,0,0
43543,Dialog,NEUR,"Yes... well, I don't want to be rude but you are a little, well, slow, aren't you? I don't think you would do a very good job and it would hardly be fair to the Uthgardt.","네... 글쎄요, 무례하게 들리긴 싫지만 당신은 좀, 그러니까, 머리가 느리지 않습니까? 잘 해내실 것 같지 않고, 우스가르트에게도 공정하지 않을 것 같습니다.",M3Q01A01NEUR,,,,,0,0
43544,Dialog,NEUR,"I appreciate your offer, but with you on his side we might as well start sharpening the spike to stick Rolgan's head on right now. I'll find someone else. Is there anything else I can do for you?","제안은 감사하지만, 당신이 그를 변호한다면 지금 당장 롤간의 머리를 꽂을 창끝을 갈기 시작하는 게 나을 겁니다. 다른 사람을 찾아보겠습니다. 다른 도움이 필요하신 건 없습니까?",M3Q01A01NEUR,,,,,0,0
43545,Dialog,NEUR,"Those who serve the cause of Justice will be well rewarded. If not by Tyr himself, then at least by the Just God's priests. If you present a proper defense, I will see you are compensated accordingly.","정의의 대의를 섬기는 자는 충분한 보상을 받을 것입니다. 티르께서 직접 보상하지 않으시더라도, 적어도 정의로운 신의 사제들이 보상할 것입니다. 적절한 변론을 하시면, 그에 맞게 보상하겠습니다.",M3Q01A01NEUR,,,,,0,0
43546,Dialog,NEUR,"Your offer is a generous one. And, as Tyr's priest, I will ensure you are properly compensated according to the defense you present.","관대한 제안이십니다. 그리고 티르의 사제로서, 당신의 변론에 따라 적절히 보상해 드리겠습니다.",M3Q01A01NEUR,,,,,0,0
43547,Dialog,NEUR,"After careful consideration I have selected the jury. There will be two who represent the interests of the Uthgardt, two who represent the mercenaries, and my own acolyte Edegar. I felt this was the only way to be fair.","신중히 고려한 끝에 배심원을 선발했습니다. 우스가르트의 이익을 대변하는 두 명, 용병들을 대변하는 두 명, 그리고 제 시종 에데가르가 있을 것입니다. 이것이 공정할 수 있는 유일한 방법이라 판단했습니다.",M3Q01A01NEUR,,,,,0,0
43548,Dialog,NEUR,Go with Tyr's blessing.,"티르의 축복과 함께 가십시오.",M3Q01A01NEUR,,,,,0,0
43549,Dialog,NEUR,The Temple of Tyr shall never refuse the pleas of supplicants in need. Feel his divine mercy and go with his blessing.,"티르의 신전은 도움이 필요한 청원자의 간청을 결코 거부하지 않습니다. 그분의 신성한 자비를 느끼시고 축복과 함께 가십시오.",M3Q01A01NEUR,nw_d1_templeheal,,,,0,0
43550,Dialog,NEUR,You are welcome to see what I have on hand.,"제가 가진 물건들을 보셔도 됩니다.",M3Q01A01NEUR,m3q1a01neurstore,,,,0,0
43551,Dialog,NEUR,"If you agree to undertake this case, I can give you the details. Or is there something else you need.","이 사건을 맡으시겠다면, 자세한 내용을 알려드리겠습니다. 아니면 다른 필요한 것이 있습니까.",M3Q01A01NEUR,,,,,0,0
43552,Dialog,NEUR,"Take this notebook. It contains information on the jurors and witnesses, as well as the details of the case and the trial itself. As an officer of Tyr, you must keep this notebook to record the progress of the case.","이 수첩을 받으십시오. 배심원과 증인에 관한 정보, 그리고 사건과 재판 자체의 세부 사항이 담겨 있습니다. 티르의 대리인으로서, 사건의 진행 상황을 기록하기 위해 이 수첩을 항상 지니셔야 합니다.",M3Q01A01NEUR,m3q01a01neurjour,,,,0,0
43553,Dialog,NEUR,"I can summarize the notebook for you. First, the jurors: a mercenary named Averik, a ranger named Dalcia, a soldier named Jevon, an Uthgardt wise-woman called Palla, and, of course, my own acolyte Edegar.","수첩을 요약해 드리겠습니다. 먼저 배심원들입니다: 애버릭이라는 용병, 달시아라는 순찰자, 제본이라는 병사, 팔라라는 우스가르트 현녀, 그리고 물론 제 시종 에데가르입니다.",M3Q01A01NEUR,,,,,0,0
43554,Dialog,NEUR,Feel free to speak to any of the jurors before the trial. It is a common practice to do so in these matters. The ranger and Palla can be found in the Uthgardt camp. The others are here in the buildings housing the Lords' Alliance members.,"재판 전에 배심원들과 이야기하셔도 됩니다. 이런 문제에서는 흔한 관행입니다. 순찰자와 팔라는 우스가르트 야영지에서 찾을 수 있습니다. 나머지는 영주 연합 구성원들이 묵는 건물에 있습니다.",M3Q01A01NEUR,,,,,0,0
43555,Dialog,NEUR,"The prosecutor has advised me that he will be calling two mercenaries who witnessed the event, Zed and Lodar. He also will question Vanda, the wife of the accused. I suggest you speak to these people before the trial to gather what evidence you can.","검사가 사건을 목격한 두 용병, 제드와 로다르를 증인으로 부르겠다고 알려왔습니다. 또한 피고인의 아내 반다도 심문할 것입니다. 재판 전에 이 사람들과 이야기하여 가능한 한 증거를 수집하시길 권합니다.",M3Q01A01NEUR,,,,,0,0
43556,Dialog,NEUR,"And of course there's the Uthgardt himself, Rolgan. He doesn't have to testify, but if you call him up to defend his actions, then the prosecutor will also be able to question him. He is here in the back of the Temple here, if you wish to speak with him.","그리고 물론 우스가르트인 롤간 본인이 있습니다. 그는 증언할 의무가 없지만, 자신의 행동을 변호하기 위해 그를 부르시면 검사도 그를 심문할 수 있습니다. 그와 이야기하고 싶으시면 이 신전 뒤쪽에 있습니다.",M3Q01A01NEUR,,,,,0,0
43557,Dialog,NEUR,"Rolgan is counting on you to bring forth the truth at his trial. Once you have all the evidence, come speak to me and we can begin the proceedings.","롤간은 재판에서 진실을 밝혀줄 것을 당신에게 기대하고 있습니다. 증거를 모두 모으시면 저에게 와서 재판을 시작할 수 있습니다.",M3Q01A01NEUR,,,,,0,0
43558,Dialog,NEUR,"Are you quite certain, my <Lord/Lady>? Once the trial begins it cannot be ended prematurely, or Rolgan's life will be forfeit.","정말 확실하십니까, 모험가님? 재판이 시작되면 중간에 끝낼 수 없습니다. 그러면 롤간은 목숨을 잃게 됩니다.",M3Q01A01NEUR,,,,,0,0
43559,Dialog,NEUR,"The rules of these proceedings are simple. The jurors will listen to the evidence and testimony, and as the trial progresses they will use the swords and torches I have given them to indicate either guilt or innocence.","이 재판의 규칙은 간단합니다. 배심원들은 증거와 증언을 듣고, 재판이 진행됨에 따라 제가 준 검과 횃불을 사용하여 유죄 또는 무죄를 표시할 것입니다.",M3Q01A01NEUR,,,,,0,0
43560,Dialog,NEUR,Whenever a juror feels the accused is guilty they will hold forth the sword in their right hand to symbolize the swift strike of justice. If they feel the accused is innocent they will hold up the torch to symbolize the burning light of truth shining down on this trial.,"배심원이 피고인이 유죄라고 느끼면 오른손에 든 검을 들어 정의의 신속한 심판을 나타냅니다. 피고인이 무죄라고 느끼면 횃불을 들어 재판을 비추는 진실의 빛을 나타냅니다.",M3Q01A01NEUR,,,,,0,0
43561,Dialog,NEUR,"As the jurors' views are swayed, so shall the implement they hold forth change. A juror who is still undecided will hold forth neither sword nor torch. Three jurors must be convinced of the accused's innocence for Rolgan to go free.","배심원들의 견해가 바뀜에 따라 그들이 든 도구도 바뀔 것입니다. 아직 결정하지 못한 배심원은 검도 횃불도 들지 않습니다. 롤간이 자유를 얻으려면 세 명의 배심원이 피고인의 무죄를 확신해야 합니다.",M3Q01A01NEUR,,,,,0,0
43562,Dialog,NEUR,"What we have now begun cannot end until Justice is served. If the trial is interrupted or broken off before its proper completion, the accused shall be found guilty, regardless of the status of the Jurors. Is this clear?","지금 시작한 것은 정의가 실현될 때까지 끝낼 수 없습니다. 재판이 제대로 완료되기 전에 중단되면, 배심원들의 상태와 관계없이 피고인은 유죄로 판결됩니다. 이해하셨습니까?",M3Q01A01NEUR,,,,,0,0
43563,Dialog,NEUR,"Now that we are all here the trial can begin. Remember, if you quit the trial before its rightful end, Rolgan's life is forfeit. ","이제 모두 모였으니 재판을 시작할 수 있습니다. 기억하십시오, 재판이 제대로 끝나기 전에 그만두시면 롤간은 목숨을 잃게 됩니다.",M3Q01A01NEUR,,,,,0,0
43564,Dialog,NEUR,Excellent. I know all parties involved are anxious to settle this matter. I will send word to the prosecutor and everyone else involved. ,"훌륭합니다. 관련된 모든 당사자가 이 문제를 해결하고 싶어한다는 것을 압니다. 검사와 다른 관련자들에게 연락하겠습니다.",M3Q01A01NEUR,,,,,0,0
43565,Dialog,NEUR,"Rolgan's trial has been postponed because of the death of one of the participants. However, Tyr's justice must still be served in this matter so I have advised everyone that the case will proceed... though it may be months before I am ready to resume the trial.","참가자 중 한 명이 사망하여 롤간의 재판이 연기되었습니다. 하지만 이 문제에서 티르의 정의가 실현되어야 하므로 사건을 진행하겠다고 모두에게 알렸습니다... 다만 재판을 재개할 준비가 되려면 몇 달이 걸릴 수 있습니다.",M3Q01A01NEUR,,,,,0,0
43566,Dialog,NEUR,"You can continue your investigations if you wish, but I doubt you will still be here when this matter is finally resolved. I can always find a new advocate for the defense when I am finally ready to resume this case. Your time would probably be better served helping Aarin Gend locate the Words of Power.","원하시면 조사를 계속하셔도 됩니다만, 이 문제가 최종적으로 해결될 때 당신이 여전히 이곳에 있을지 의문입니다. 사건을 재개할 준비가 되면 언제든 새 변호인을 찾을 수 있습니다. 당신의 시간은 아린 겐드가 권능의 언령을 찾는 것을 돕는 데 더 잘 쓰일 것입니다.",M3Q01A01NEUR,,,,,0,0
43567,Dialog,NEUR,"You were called upon to do your duty in administering the justice of Tyr's Court, <FirstName>. The church is grateful you answered the call.","<FirstName>, 당신은 티르의 법정에서 정의를 집행하는 의무를 수행하도록 부름받았습니다. 교회는 당신이 그 부름에 응해준 것에 감사드립니다.",M3Q01A01NEUR,,,,,0,0
43568,Dialog,NEUR,"However, you failed in your defense of Rolgan. His life is forfeit, and his head now sits upon a stake at the temple door. The justice of Tyr is indeed swift.","그러나 롤간의 변호에 실패하셨습니다. 그는 목숨을 잃었고, 그의 머리는 이제 신전 문 앞의 창에 꽂혀 있습니다. 티르의 정의는 참으로 신속합니다.",M3Q01A01NEUR,m3q01a01neuregb3,,,,0,0
43569,Dialog,NEUR,"I am afraid this will increase tension between the Lords' Alliance and the Uthgardt, though this is not your fault. Here is a nominal fee for your services. ","이것이 영주 연합과 우스가르트 사이의 긴장을 고조시킬까 두렵습니다만, 당신 잘못은 아닙니다. 수고료를 드립니다.",M3Q01A01NEUR,m3q101a01nrewar1,,,,0,0
43570,Dialog,NEUR,"You managed to achieve an acquital for Rolgan, though it would have been better if the verdict had been more conclusive. However, you performed your duties admirably.","롤간의 무죄 판결을 이끌어내셨습니다. 평결이 더 확실했다면 좋았겠지만요. 어쨌든 훌륭하게 임무를 수행하셨습니다.",M3Q01A01NEUR,m3q01a01neuregb3,,,,0,0
43571,Dialog,NEUR,Please accept this token as a reward for your service to the Church.,"교회에 대한 봉사의 보답으로 이것을 받아주십시오.",M3Q01A01NEUR,m3q101a01nrewar2,,,,0,0
43572,Dialog,NEUR,You performed your duties with grace and excellence. A 4 to 1 verdict in the trial is truly impressive and leaves little doubt as to Rolgan's true innocence.,"우아하고 훌륭하게 임무를 수행하셨습니다. 재판에서 4 대 1 평결은 정말 인상적이며 롤간의 진정한 무죄에 대해 거의 의심의 여지가 없습니다.",M3Q01A01NEUR,m3q01a01neuregb3,,,,0,0
43573,Dialog,NEUR,"Tyr's justice is swift, as is his rewarding of those in his service. Please accept this token on behalf of our temple as a reward for your service.","티르의 정의가 신속하듯, 그분을 섬기는 자에 대한 보상도 신속합니다. 당신의 봉사에 대한 보답으로 우리 신전을 대신하여 이것을 받아주십시오.",M3Q01A01NEUR,m3q101a01nrewar3,,,,0,0
43574,Dialog,NEUR,"Your performance at the trial was truly amazing, <FirstName>. A unanimous verdict! Such an overwhelming result will do much to quell any rumblings among the Lords' Alliance soldiers over the outcome of the trial.","재판에서의 수행이 정말 놀라웠습니다, <FirstName>. 만장일치 평결이라니! 이런 압도적인 결과는 재판 결과에 대한 영주 연합 병사들 사이의 불만을 가라앉히는 데 많은 도움이 될 것입니다.",M3Q01A01NEUR,m3q01a01neuregb3,,,,0,0
43575,Dialog,NEUR,"For your exemplary service, you have earned the undying gratitude of this Temple of Tyr. Please accept this token as a sign of my own appreciation of the spectacular job you have done in the service of Tyr.","모범적인 봉사에 대해 이 티르 신전의 영원한 감사를 받으셨습니다. 티르를 위한 훌륭한 일에 대한 저의 감사의 표시로 이것을 받아주십시오.",M3Q01A01NEUR,m3q101a01nrewar4,,,,0,0
