StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37959,Dialog,NGLAT,I don't recognize you. Have you come to finish what Dergiab started? No... you look more like intruders to me.,못 보던 얼굴이군. 데지압이 시작한 일을 끝내러 왔나? 아니... 그보단 침입자처럼 보이는데.,M2Q5E03NGLAT,nw_d1_talktime,,,vs_nbarbam2_050,0,0
37960,Dialog,NGLAT,Ha! Are you thinking that I'll believe you actually came here to rescue me instead of simply stumbling across this cell?,하! 우연히 이 감방을 발견한 게 아니라 진짜 날 구하러 왔다고 믿을 거라 생각하나?,M2Q5E03NGLAT,,,,,0,0
37961,Dialog,NGLAT,"Forgive me if I'm skeptical, but I'll believe I'm rescued when I taste the fresh air of the surface, not before then.","의심스럽다고 해서 미안하지만, 지상의 신선한 공기를 맛봐야 구출된 걸 믿겠어. 그 전엔 안 돼.",M2Q5E03NGLAT,,,,,0,0
37962,Dialog,NGLAT,"No need to make threats. If you have questions, I'll be more than happy to answer them... I assume you're here to fight Dergiab, no?","위협할 필요 없어. 질문이 있으면 기꺼이 답해 주지... 데지압이랑 싸우러 온 거겠지?",M2Q5E03NGLAT,,,,,0,0
37963,Dialog,NGLAT,"Well, yes. That's true. I am a prisoner. Dergiab betrayed me, and threw me in here when I was no longer of use to him.","그래, 맞아. 난 죄수야. 데지압이 배신해서 쓸모없어지자 날 여기 처넣었거든.",M2Q5E03NGLAT,,,,,0,0
37964,Dialog,NGLAT,I would have assumed the other denizens of these caves would have filled you in on this by now. The 'master' is all they can babble about.,여기 동굴 거주자들이 이미 얘기해 줬을 줄 알았는데. 그놈들은 '주인님'만 떠들어대거든.,M2Q5E03NGLAT,,,,,0,0
37965,Dialog,NGLAT,"Dergiab - or 'the master', if you prefer - is an ogre mage of some power... He was also my former partner until he fell in with that cult and betrayed me.","데지압-아니면 '주인님'이라 부르든-은 제법 강한 오우거 마법사야... 그 사교에 빠져 날 배신하기 전까진 내 동료였지.",M2Q5E03NGLAT,,,,,0,0
37966,Dialog,NGLAT,"You'll let me go just like that? I must warn you, Dergiab is not to be trifled with. I could tell you much that would aid you.","그냥 보내 줄 거야? 경고하는데, 데지압은 만만치 않아. 도움 될 얘기 많이 해줄 텐데.",M2Q5E03NGLAT,,,,,0,0
37967,Dialog,NGL AT,"As I thought! Come at me, then, <race> fool... Let me die fighting!!","그럴 줄 알았어! 덤벼라, <race> 멍청아... 싸우다 죽자!!",M2Q5E03NGLAT,m2q5nuglatenemy,,,,0,0
37968,Dialog,NGLAT,"I'll be glad to leave all this far, far behind. I thank you for releasing me, my <race> friend. We won't meet again.","이 모든 걸 멀리, 아주 멀리 떠날 수 있어서 기뻐. 풀어줘서 고마워, <race> 친구. 다시는 안 볼 거야.",M2Q5E03NGLAT,m2q5nuglatleave,,,,0,0
37969,Dialog,NGLAT,"Is there any other reason for you to be down here? Dergiab still has our small army, after all, and likely lots of treasure.","여기 내려온 다른 이유라도 있나? 어쨌든 데지압이 아직 우리 소규모 군대를 갖고 있으니까, 보물도 많을 거야.",M2Q5E03NGLAT,,,,,0,0
37970,Dialog,NGLAT,"He was. At least he was until he went away and came back with that cultist. Before that, we recruited our army together.","그랬지. 어디 갔다가 사교도 하나 데리고 올 때까진. 그 전까진 함께 군대를 모았거든.",M2Q5E03NGLAT,,,,,0,0
37971,Dialog,NGLAT,Hmph? For what else? To gain power. We wanted to do the same as Sythsillis down in Amn! Maybe even raid Luskan...,흥? 뭐 하러 그랬겠어? 힘을 얻으려고. 암 아래 시스실리스처럼 하고 싶었어! 아마 러스칸 습격까지...,M2Q5E03NGLAT,,,,,0,0
37972,Dialog,NGLAT,"There aren't many soldiers, yet. I was insistent on picking only the best of the bugbears, orcs and goblins in these caves... and that's slim pickings.","병사는 아직 많지 않아. 이 동굴에 있는 버그베어, 오크, 고블린 중 최고만 뽑으라고 고집했거든... 고를 게 별로 없었지.",M2Q5E03NGLAT,,,,,0,0
37973,Dialog,NGLAT,I don't know much about it. Dergiab came back from one of his outings with a cultist beside him. He claimed there had been a change of plans.,잘 모르겠어. 데지압이 외출했다 와선 사교도를 데리고 왔거든. 계획이 바뀌었다고 하더라.,M2Q5E03NGLAT,,,,,0,0
37974,Dialog,NGLAT,"Dergiab only listened to the cultist after that. Said he was preparing the army for some different purpose, something greater.","그 뒤로 데지압은 사교도 말만 들었어. 군대를 다른 목적으로, 뭔가 더 큰 일을 위해 준비한다고 했지.",M2Q5E03NGLAT,,,,,0,0
37975,Dialog,NGLAT,"I objected, naturally. Foolishly, as it turns out, seeing as where it got me.","당연히 반대했지. 어리석었어, 결과적으로. 결국 날 이 꼴로 만들었으니.",M2Q5E03NGLAT,,,,,0,0
37976,Dialog,NGLAT,"His name's Ganon. He's an assassin or rogue or somesuch thing. I never spoke to him much, so I couldn't tell you more.","이름은 가논. 암살자나 도적 비슷한 거야. 별로 얘기 안 나눠서 더 말해 줄 건 없어.",M2Q5E03NGLAT,,,,,0,0
37977,Dialog,NGLAT,"No. Dergiab would only say that they needed the forces for the ""Return,"" whatever that means. The cultist wouldn't elaborate, at least, not to me.","아니. 데지압은 ""귀환""을 위해 군대가 필요하다고만 했어. 무슨 뜻인지는 모르겠지만. 사교도는 자세히 말 안 했어, 적어도 나한텐.",M2Q5E03NGLAT,,,,,0,0
37978,Dialog,NGLAT,"I'll be here. Heck, I couldn't go anywhere if I wanted to...","여기 있을게. 아, 가고 싶어도 갈 수가 없는걸...",M2Q5E03NGLAT,,,,,0,0
37979,Dialog,NGLAT,"Back again? Have you decided to finish off what Dergiab has started, after all?","다시 왔나? 결국 데지압이 시작한 일을 끝내기로 한 거야?",M2Q5E03NGLAT,,,,vs_nbarbam2_051,0,0
