StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
2887,Creature,Formian Worker,Formian Worker,포르미안 일꾼,X0_FORM_WORKER,,,,,0,0
2888,Creature,Formian Warrior,Formian Warrior,포르미안 전사,X0_FORM_WARRIOR,,,,,0,0
94940,Creature,Formian Warrior,Formian Warrior,포르미안 전사,X2_Q2_FORMWAR,,,,,0,0
2889,Creature,Formian Myrmarch,Formian Myrmarch,포르미안 미르마크,X0_FORM_MYRMARCH,,,,,0,0
2890,Creature,Formian Queen,Formian Queen,포르미안 여왕,X0_FORM_QUEEN|X2_Q2_FORMQUEEN,,,,,0,0
6001,Creature,Fire Mephit,Fire Mephit,화염 메피트,M2Q03CFIREMEPH|M2Q3IFIRE|Q3_FIRE_MEPHIT,,,,,0,0
9162,Creature,Faerie Dragon,Faerie Dragon,요정 용,Q2B_FQ_DRAGON,,,,,0,0
12560,Creature,Frost Giant,Frost Giant,서리 거인,AGATHATHECOOK|FROSGIANTJARL|FROSTGIANTNOMAD|FROSTGIANTSHAMAN|HX_FROST_GIANTF|HX_FROST_GIANTM,,,,,0,0
12685,Creature,Falcon,Falcon,매,DB_OSPREY,,,,,0,0
17959,Dialog,F1,Claudus got beat! It's worth closing the Gauntlet to see him get taken down.,클로더스가 졌어! 그가 쓰러지는 걸 보려면 시련장을 닫을 가치가 있지.,M1Q1A07S1F1,,,,,0,0
18750,Dialog,FPATIENT,*groan*,*신음*,M1Q1FPATIENT,,,,,0,0
18751,Dialog,FPATIENT,*cough*,*기침*,M1Q1FPATIENT,,,,,0,0
18752,Dialog,FPATIENT,*wheeze*,*쌕쌕거림*,M1Q1FPATIENT,,,,,0,0
18753,Dialog,FPATIENT,*scream*,*비명*,M1Q1FPATIENT,,,,,0,0
18754,Dialog,FPATIENT,*wail*,*통곡*,M1Q1FPATIENT,,,,,0,0
21810,Dialog,FESTILIAR,Back again to Festiliard? I am popular tonight. Do you seek knowledge from the beggar about the path ahead?,다시 페스틸리아드를 찾아왔나? 오늘 밤 내가 인기가 많구만. 앞길에 대해 거지로부터 지식을 구하려는가?,M1Q4B01FESTILIAR,,,,vs_nbeggam1_051,0,0
21811,Dialog,FESTILIAR,"I was treated rudely, so I will say little. Bridges have been burned with me.","무례하게 대해서, 말을 아끼겠네. 나와의 다리는 불타버렸으니.",M1Q4B01FESTILIAR,,,,,0,0
21812,Dialog,FESTILIAR,"Spare a coin, friend?","동전 하나 나눠줄 수 있나, 친구?",M1Q4B01FESTILIAR,m1q4afestslg01,,,vs_nbeggam1_050,0,0
21813,Dialog,FESTILIAR,"Ah, you waste nothing on those that don't serve, but how can you know my worth, hmm? Perhaps I know things... ","아, 당신은 도움 안 되는 이들에게 아무것도 낭비하지 않지만, 내 가치를 어찌 알겠나, 흠? 어쩌면 내가 아는 것들이 있을지도...",M1Q4B01FESTILIAR,,,,,0,0
