StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
3097,Creature,Gnoll,Gnoll,놀,BW_GNOLL01|BW_GNOLL02|BW_GNOLL03|BW_GNOLL04|BW_GNOLL05|KURTHARSUSHOCKTROOP,,,,,0,0
3099,Creature,Gnoll Shaman,Gnoll Shaman,놀 주술사,BW_GNOLLKING|NW_GNOLL002,,,,,0,0
5644,Creature,Greater Mummy,Greater Mummy,상급 미라,2Q4D_CRYPTMUMMY,,,,,0,0
12357,Creature,Greater Air Elemental,Greater Air Elemental,상급 대기의 원소 정령,DREADSPIREGREATERAIRELEMENTAL,,,,,0,0
12516,Creature,Greater Earth Elemental,Greater Earth Elemental,상급 대지의 원소 정령,DREADSPIREEARTHELEMENTAL,,,,,0,0
12525,Creature,Girl,Girl,소녀,2Q4_GIRL|NW_TAG_CHILD|Q1BGIRL,,,,,0,0
12532,Creature,Greater Fire Elemental,Greater Fire Elemental,상급 불의 원소 정령,DREADSPIREGREATERFIREELEMENTAL|M2Q03CGREATFIRE|M2Q3IFIRE|Q3B_FIRE_ELEMENTAL,,,,,0,0
12550,Creature,Gargoyle,Gargoyle,가고일,BW_GARGOYLE|ELDERGARGOYLE|M2Q1CHGARGOYLE|M2Q2CD_GARGSTAT|M2Q2CE_GARGSTAT,,,,,0,0
12552,Creature,Ghast,Ghast,가스트,BW_GHAST|M2Q2CTROLLGHAST,,,,,0,0
12554,Creature,Ghoul,Ghoul,구울,2Q4E_BARAMGHOUL|GHOUL|M2Q03CGHOULPAT|Q1_GHOUL,,,,,0,0
12556,Creature,Ghoul Lord,Ghoul Lord,구울 군주,2Q4_GHOULLORD,,,,,0,0
12566,Creature,Goblin Elite,Goblin Elite,고블린 정예,M1Q0EGOBLINCHIEF|Q2C8_GOBELITE1|Q2C8_GOBELITE2,,,,,0,0
40806,Creature,Goblin Elite,Goblin Elite,고블린 정예,M2Q05CGOBLIN03|M2Q05CGOBLIN05|M2Q05CGOBLIN06,,,,,0,0
94892,Creature,Goblin Elite,Goblin Picket,고블린 보초,Q2C8_GOBELITE2,,,,,0,0
12567,Creature,Goblin,Goblin,고블린,FARSIGHTGOBLIN|KS_GOBLIN_INVIS|M2Q05CGOBLIN01|Q2C8_GOB1,,,,,0,0
12568,Creature,Goblin Shaman,Goblin Shaman,고블린 주술사,M2Q05CGOBLINSHA2|M2Q05CGOBLINSHAM|Q2C8_GOBWIZ1|Q2C8_GOBWIZ2,,,,,0,0
12579,Creature,Gray Render,Gray Render,회색 렌더,M2Q2CD07_GRAYREND|M2Q2CE_GREND1|M2Q2CE_GREND2|M3_NW_GRAYREND|Q2D4_ILLRENDER|Q2D4_ILLRENDER1,,,,,0,0
12587,Creature,Gypsy Mage,Gypsy Mage,집시 마법사,BW_GYPSY004,,,,,0,0
12588,Creature,Gypsy Healer,Gypsy Healer,집시 치유사,BW_GYPSY005,,,,,0,0
12589,Creature,Gypsy Chief,Gypsy Chief,집시 족장,BW_GYPSYBOSS,,,,,0,0
12710,Creature,Gray Slaad,Gray Slaad,회색 슬라드,AC_LORU|NW_SLAADGRAY,,,,,0,0
12712,Creature,Green Slaad,Green Slaad,녹색 슬라드,DEADGREENSLAAD|NW_SLAADGRN|TEMPLEGREENSLAAD,,,,,0,0
12720,Creature,Giant Spider,Giant Spider,거대 거미,CUT1_SPIDER1|M2Q05CSPIDGIANT|M2Q2CSPIDGIANT|NW_SPIDGIANT,,,,,0,0
12798,Creature,Gaseous Form,Gaseous Form,기체 형태,DB_LULA_GAS|DB_SIERONIUS_GAS|NW_VAMPIRE_SHAD,,,,,0,0
12803,Creature,Greater Water Elemental,Greater Water Elemental,상급 물의 원소 정령,DREADSPIREWATERELEMENTAL|M3Q3B_SUMM_WATER_ELDER,,,,,0,0
16894,Dialog,GD,No one passes! Not past me!,아무도 통과 못 해! 나를 넘어서는 안 돼!,M1Q1A01S1GD,,,,,0,0
16895,Dialog,GD,Bound by Never! Never shall you pass!,절대로 묶여 있어! 절대 통과할 수 없어!,M1Q1A01S1GD,,,,,0,0
16896,Dialog,GD,Tombs of the Founder not to be found!,창립자의 무덤은 찾을 수 없어!,M1Q1A01S1GD,,,,,0,0
16897,Dialog,GD,Guarded well for Never and ever!,절대 영원토록 잘 지켜져!,M1Q1A01S1GD,,,,,0,0
22757,Dialog,GURD,"You look like officer material. Well, your orders won't do much here. I've told my men to hold position.","장교감이 있어 보이는군. 뭐, 여기선 명령이 별 소용없어. 내 부하들에게 이미 진지를 지키라고 했거든.",M1Q5A01GURD,,,,,0,0
22758,Dialog,GURD,"Look, I ain't wasting what hours I have left alive talking to beggars or thugs. You hear me?","이봐, 남은 시간을 거지나 깡패와 얘기하며 낭비하지 않을 거야. 알아들어?",M1Q5A01GURD,,,,,0,0
22759,Dialog,GURD,"I see there are not as many undead around, but we ain't taking any chances. We're staying here.","주변에 언데드가 많지 않은 건 보이지만, 우린 모험하지 않아. 여기 있을 거야.",M1Q5A01GURD,,,,,0,0
22760,Dialog,GURD,What is it? I'm getting tired of explaining myself. My men are not risking themselves down there and that's final.,뭐야? 설명하는 것도 지겨워. 내 부하들은 저 아래서 목숨 걸지 않아. 최종 결정이야.,M1Q5A01GURD,,,,,0,0
22761,Dialog,GURD,"I'll greet you warmly, but don't expect us to follow you down there. My men aren't undead hunters. We're not fools.","따뜻하게 인사는 하겠지만, 우리가 저 아래로 따라갈 거라 기대하지 마. 내 부하들은 언데드 사냥꾼이 아니야. 우린 바보가 아니거든.",M1Q5A01GURD,,,,,0,0
22762,Dialog,GURD,"I ain't saying anything to you. If I'm seen talking to potential looters or thugs, I'll be out on my ear.",너한테 아무 말도 안 해. 잠재적 약탈자나 깡패와 얘기하는 걸 들키면 쫓겨날 거야.,M1Q5A01GURD,,,,,0,0
22763,Dialog,GURD,You the replacements? Good for you. Do what you want. I've told my men to hold position.,교체 인원이야? 다행이군. 하고 싶은 대로 해. 내 부하들에게 이미 진지를 지키라고 했어.,M1Q5A01GURD,,,,,0,0
22764,Dialog,GURD,"You want to walk the wall, go ahead. We'll kill undead if we see 'em, but I'm not going looking for trouble.","성벽을 순찰하고 싶으면 해. 언데드 보이면 죽이겠지만, 굳이 문제를 찾아다니진 않아.",M1Q5A01GURD,,,,,0,0
22765,Dialog,GURD,What do you think we've seen? Dead everywhere. If I wanted to face undead I'd have been an idiot adventurer.,우리가 뭘 봤을 것 같아? 사방이 죽은 자들이야. 언데드와 맞서고 싶었으면 멍청한 모험가가 됐겠지.,M1Q5A01GURD,,,,,0,0
22766,Dialog,GURD,What do you know of it? You're no veteran. You've just arrived. This kind of fight is not our job.,네가 뭘 안다고? 넌 고참도 아니야. 방금 도착했잖아. 이런 싸움은 우리 일이 아니야.,M1Q5A01GURD,,,,,0,0
22767,Dialog,GURD,"My men keep order, they don't fight abominations. This is bad magic, and I don't have the means to fight it.","내 부하들은 질서를 유지하지 괴물과 싸우지 않아. 이건 나쁜 마법이고, 맞설 수단이 없어.",M1Q5A01GURD,,,,,0,0
22768,Dialog,GURD,Never liked working near the Great Graveyard. Guess the plague just filled it too damn full.,거대 묘지 근처에서 일하는 건 늘 싫었어. 역병이 너무 가득 채운 것 같아.,M1Q5A01GURD,,,,,0,0
22769,Dialog,GURD,Go where you want. My men will hold the wall. At least it's safe up here.,가고 싶은 데 가. 내 부하들은 성벽을 지킬 거야. 적어도 여기는 안전하거든.,M1Q5A01GURD,,,,,0,0
