StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
3820,Creature,J'Nah,J'Nah,즈나,Q3_JNAH,,,,,0,0
22010,Dialog,JEROL,"More business! I am certainly busy this day, even with the streets so dangerous.",손님이 더 오다니! 거리가 이렇게 위험한데도 오늘 정말 바쁘군.,M1Q4B08JEROL,,,,,0,0
22011,Dialog,JEROL,"Welcome to my humble store. Before we continue, I draw your attention to my guards, and my many warning devices.",초라한 제 가게에 오신 걸 환영합니다. 본론에 들어가기 전에 경비원들과 여러 경보 장치들에 주의를 기울여 주시길.,M1Q4B08JEROL,nw_d1_talktime,,,,0,0
22012,Dialog,JEROL,"I hold nothing against those that make their living as thieves, but I will not be a target. I need to make a living too.",도둑질로 먹고사는 자들을 나쁘게 보지는 않지만 제가 표적이 될 생각은 없습니다. 저도 먹고살아야 하니까요.,M1Q4B08JEROL,,,,,0,0
22013,Dialog,JEROL,"I have the standard selection of gear. I have other things as well, but they are probably not of interest to you. You are a guard, aren't you?",기본적인 장비들은 갖추고 있습니다. 다른 물건들도 있긴 한데 당신 관심사는 아닐 겁니다. 경비원이시죠?,M1Q4B08JEROL,,,,,0,0
22014,Dialog,JEROL,<StartCheck>[Success]</Start> The majority of my special stock is in the market facilities of Seedy Tavern... if you have the right coins to pay. Smugglers' Coins.,<StartCheck>[성공]</Start> 특별 재고 대부분은 시디 선술집의 시장 시설에 있습니다... 맞는 주화만 있다면요. 밀수꾼의 주화 말입니다.,M1Q4B08JEROL,,,,,0,0
22015,Dialog,JEROL,"I happen to have a small supply. 150 gold per coin. Steep, I know, but if you need them, you'll pay.",마침 조금 갖고 있습니다. 주화 하나에 금화 150개예요. 비싼 건 알지만 필요하시면 내실 겁니다.,M1Q4B08JEROL,,,,,0,0
22016,Dialog,JEROL,"They are in short supply, but... perhaps you will do me a favor some day, hmm? I shall tell you a possibility.",물량이 부족하긴 한데... 언젠가 저한테 호의를 베풀어 주실 수도 있겠죠? 한 가지 방법을 알려드리죠.,M1Q4B08JEROL,,,,,0,0
22017,Dialog,JEROL,"Gilda at the Golden Apple. I get the occasional coin from her. She does not know what they are, bless her.",황금 사과의 길다요. 가끔 그녀한테서 주화를 받습니다. 그녀는 그게 뭔지도 모르죠. 순진하기도 해라.,M1Q4B08JEROL,,,,,0,0
22018,Dialog,JEROL,"There you might get one... or two... My price will not lower, but I will help you this way. Good luck.",거기서 하나... 아니면 둘... 구할 수 있을 겁니다. 가격은 안 내리지만 이렇게라도 도와드리죠. 행운을 빕니다.,M1Q4B08JEROL,,,,,0,0
