StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12629,Creature,Lich,Lich,리치,NW_LICHBOSS,,,,,0,0
12632,Creature,Lion,Lion,사자,M1S5ALION,,,,,0,0
12633,Creature,Luskan Guard,Luskan Guard,러스칸 경비병,M2Q05CLUSKANGUAR,,,,,0,0
12668,Creature,Lizardfolk Chieftain,Lizardfolk Chieftain,도마뱀인 족장,NW_OLDCHIEFA,,,,,0,0
12671,Creature,Lizardfolk Warrior,Lizardfolk Warrior,도마뱀인 전사,2Q6K_LIZARDFOLK,,,,,0,0
19399,Dialog,LEVER,From all around you comes the scraping of metal bars slipping back into their stone sheaths. The cell doors have opened.,사방에서 금속 창살이 석제 받침대 속으로 미끄러져 들어가는 소리가 들립니다. 감방문이 열렸습니다.,M1Q2C_LEVER,,,,,0,0
45709,Dialog,LEVER,You are not strong enough to budge this lever.,당신은 이 지렛대를 움직일 만큼 충분히 강하지 않습니다.,M3Q04D06_LEVER,,,,,0,0
25398,Creature,Lady Zemeria,Lady Zemeria,제메리아 부인,M1Q5ZAMERIA,,,,,0,0
25399,Creature,Lord Eldan,Lord Eldan,엘단 경,M1S5ELDAN,,,,,0,0
26326,Creature,Lord Nasher Alagondar,Lord Nasher,영주 나셰르,M1Q6A01NASHER,,,,,0,0
26327,Creature,Lord Nasher Alagondar,Alagondar,알라곤다,M1Q6A01NASHER|M4Q01A04NASH,,,,,0,0
27715,Dialog,LUSKSMITH,Aye? I've little enough stock left... and barely enough metal t' forge. State yer business or move on.,그래? 남은 재고도 거의 없고... 대장일할 쇠도 겨우 있어. 용무를 말하든지 가던 길이나 가시오.,2Q4A_LUSKSMITH,,,,,0,0
27716,Dialog,LUSKSMITH,"Aye, then, off ye go an' leave me be.","그래, 그럼 가시게나.",2Q4A_LUSKSMITH,,,,,0,0
27717,Dialog,LUSKSMITH,"I used to have one of the finest armories in Luskan. As it is, I've been forced to set up shop here with a... rudimentary stock.","러스칸에서 가장 훌륭한 무기고 중 하나를 가지고 있었지. 지금은 여기서 이... 기초적인 재고로 장사하게 됐소.",2Q4A_LUSKSMITH,,,,,0,0
27718,Dialog,LUSKSMITH,"I'll sell what I has, though, before them thugs come an' take it from me o'er my dead body.","하지만 그 깡패들이 와서 내 시체를 넘어 가져가기 전에 있는 건 팔아치울 거요.",2Q4A_LUSKSMITH,,,,,0,0
27719,Dialog,LUSKSMITH,Aye. Ye can look but ye can't touch... 'tis all of the finest manufacture.,그래. 볼 순 있지만 만질 순 없소... 모두 최고급 제작품이니까.,2Q4A_LUSKSMITH,nw_d1_shopsmit2,,,,0,0
27720,Dialog,LUSKSMITH,"I be not in the mood to answer your questions. Find someone else t' bother, if ye not be a paying customer.","질문에 답할 기분이 아니요. 돈 쓰는 고객이 아니라면 귀찮게 할 다른 사람 찾아가시게.",2Q4A_LUSKSMITH,,,,,0,0
32519,Creature,Larana,"Ah, <FullName>, you have awoken at last! I feel privileged to finally meet you! The Hero of Neverwinter, here before me!","아, <FullName>, 드디어 깨어나셨군요! 마침내 만나 뵙게 되어 영광입니다! 네버윈터의 영웅이 제 앞에 계시다니!",M2Q1ELARANA,,,,,0,0
32520,Creature,Larana,"I'm getting ahead of myself. You must excuse me, I'm just so excited to meet you!","제가 너무 앞서가고 있네요. 양해해 주세요. 만나 뵙게 되어 너무 흥분됐어요!",M2Q1ELARANA,,,,,0,0
32521,Creature,Larana,Welcome to Port Llast! I trust you had a safe journey from Neverwinter. My name is Larana and Lady Aribeth has given me the honor of greeting you upon your arrival.,"라스트 항구에 오신 걸 환영합니다! 네버윈터에서 무사히 오셨으리라 믿습니다. 제 이름은 라라나이고, 아리베스 경께서 도착하시는 당신을 맞이하는 영광을 제게 주셨습니다.",M2Q1ELARANA,m2q1larana001,,,,0,0
32522,Creature,Larana,Let me say again how much I look up to you! We've all heard of the heroic deeds you performed in Neverwinter and how you saved so many lives from that terrible plague.,"다시 한번 말씀드리지만 당신을 정말 존경합니다! 네버윈터에서 행하신 영웅적인 업적과 끔찍한 역병으로부터 수많은 생명을 구하신 이야기를 모두 들었습니다.",M2Q1ELARANA,,,,,0,0
32523,Creature,Larana,"Oh, I am sorry, <sir/madam>. I certainly don't want to waste the time of someone who has great deeds to perform. It is just such a pleasure to meet you.","오, 죄송합니다, <sir/madam>. 위대한 업적을 이루실 분의 시간을 낭비하고 싶지 않습니다. 단지 만나 뵙게 되어 너무 기쁩니다.",M2Q1ELARANA,,,,,0,0
32524,Creature,Larana,"I wish not to be a bother, <sir/madam>. I realize that you have important things to do. It's just such a pleasure to meet you!","폐를 끼치고 싶지 않습니다, <sir/madam>. 중요한 일이 있으시다는 걸 알고 있습니다. 단지 만나 뵙게 되어 너무 기쁩니다!",M2Q1ELARANA,,,,,0,0
32525,Creature,Larana,I know that you must be anxious to speak with Lady Aribeth and begin the search for the cult. She is anxious to speak with you too!,아리베스 경과 이야기하고 교단 수색을 시작하고 싶어 하시리라 알고 있습니다. 경께서도 당신과 이야기하고 싶어 하세요!,M2Q1ELARANA,,,,,0,0
32526,Creature,Larana,"You can find Lady Aribeth and her associate, Aarin Gend, in the next room, near the exit of this building. Please go and see her right away.","아리베스 경과 그녀의 동료 아린 겐드는 다음 방, 이 건물 출구 근처에 계십니다. 바로 찾아뵙도록 하세요.",M2Q1ELARANA,,,,,0,0
32553,Creature,Larana,"Greetings, Hero of Neverwinter! Please pause for a moment and speak with me.","안녕하세요, 네버윈터의 영웅님! 잠시 멈춰서 저와 이야기해 주세요.",M2Q1ELARANA,,,,,0,0
32554,Creature,Larana,"Hello, again <FirstName>! If you have not yet spoken to Aribeth, you should.","또 뵙네요, <FirstName>! 아직 아리베스와 이야기하지 않으셨다면, 찾아뵙는 게 좋을 겁니다.",M2Q1ELARANA,,,,,0,0
40882,Creature,Larana,Larana,라라나,M2Q1ELARANA,,,,,0,0
58994,Creature,Larana,I wish you well on your quest to find the source of that horrible plague. I am sure that you will succeed and prove to be a hero once again. Goodbye!,끔찍한 역병의 근원을 찾는 탐색에 행운이 함께하길 바랍니다. 반드시 성공하시고 다시 한번 영웅이 되실 거라 확신합니다. 안녕히 가세요!,M2Q1ELARANA,,,,,0,0
40683,Creature,Londa,Londa,론다,2Q4A01_LONDA,,,,,0,0
40804,Creature,Leah,Leah,리아,M2Q05CFARMERWIFE,,,,,0,0
40928,Creature,Lerk the Troll,Lerk the Troll,트롤 레르크,M2Q3WANLERK,,,,,0,0
40931,Creature,Lieutenant Angelo,Lieutenant,중위,M2Q6CANGE,,,,,0,0
40932,Creature,Lieutenant Angelo,Angelo,앤젤로,M2Q6CANGE,,,,,0,0
40947,Creature,Lerner,Lerner,러너,M2Q6CLERN,,,,,0,0
43343,Creature,Lodar,"I'm here, yer honor.","여기 있습니다, 각하.",MERC13Q11,,,,,0,0
43345,Creature,Lodar,"Well, sir, it was night and Griff was outside the barracks. All of a sudden we heard this shout, and we run out and Griff and that Uthgardt there are going at each other with weapons drawn.","네, 각하, 밤이었고 그리프는 막사 밖에 있었습니다. 갑자기 고함 소리가 들려서 뛰쳐나갔더니 그리프와 저기 있는 우스가르트인이 무기를 뽑고 서로 싸우고 있었습니다.",MERC13Q11,,,,,0,0
43346,Creature,Lodar,"Before we could step in, that savage stabs Griff right in the gut and runs off. We ran to get the cleric, but by then it were too late. Griff was gone. That savage killed him!","우리가 말리기도 전에 저 야만인이 그리프의 배를 찔러버리고는 도망쳤습니다. 성직자를 부르러 달려갔지만 이미 너무 늦었습니다. 그리프는 죽었습니다. 저 야만인이 죽였어요!",MERC13Q11,m3q01a01iglagb06,,,,0,0
43347,Creature,Lodar,"I'm ready for your questions, <Lord/Lady> <FirstName>.","질문 받을 준비가 되었습니다, <Lord/Lady> <FirstName>.",MERC13Q11,,,,,0,0
43351,Creature,Lodar,"No, they were already going at it by the time we got there.","아니요, 우리가 도착했을 때는 이미 싸우고 있었습니다.",MERC13Q11,m3q01a01res1elc1,,,,0,0
43352,Creature,Lodar,He was pretty drunk. ,꽤 술에 취해 있었습니다. ,MERC13Q11,m3q01a01res1elc2,,,,0,0
43353,Creature,Lodar,"I guess so. Maybe. Don't know if that's a good excuse, though.","그런 것 같습니다. 아마도요. 하지만 그게 좋은 변명이 되는지는 모르겠습니다.",MERC13Q11,m3q01a01iglagb08,,,,0,0
43354,Creature,Lodar,"Yeah, I guess. Could be Griff started it. I don't know, I wasn't there.","네, 그럴 수 있죠. 그리프가 먼저 시작했을 수도 있습니다. 모르겠습니다. 제가 거기 없었으니까요.",MERC13Q11,m3q01a01iglagb07,,,,0,0
43355,Creature,Lodar,"Yeah. He wanted to mess that Uthgardt up so he could beat him at cards, you know? Make him not think straight.","네. 카드 게임에서 이기려고 우스가르트인을 망가뜨리려 했어요. 제대로 생각하지 못하게 만들려고요.",MERC13Q11,m3q01a01res1elc3,,,,0,0
43356,Creature,Lodar,"Well, it was his fault the Uthgardt was doped up. Maybe if Rolgan was in his right mind he wouldn't have killed Griff.","글쎄요, 우스가르트인이 약에 취한 건 그의 잘못입니다. 롤간이 제정신이었다면 그리프를 죽이지 않았을지도 모릅니다.",MERC13Q11,m3q01a01iglagb09,,,,0,0
43357,Creature,Lodar,"He didn't like them much. He was always complaining about them as 'damn savages' and 'filthy Uthgardt.' Always picking fights with them, looking for trouble.","그들을 별로 좋아하지 않았습니다. 항상 '빌어먹을 야만인들'이니 '더러운 우스가르트인들'이니 불평했죠. 항상 싸움을 걸고 문제를 찾았습니다.",MERC13Q11,m3q01a01res1elc4,,,,0,0
43358,Creature,Lodar,"Wouldn't be the first time he let his temper get the better of him. Always was a bit of a hot-head, especially when it came to those Uthgardt. He hated them something fierce.","성질을 이기지 못한 게 처음이 아닙니다. 항상 좀 다혈질이었죠. 특히 우스가르트인들에 관해서는요. 무척 증오했습니다.",MERC13Q11,m3q01a01iglagb10,,,,0,0
43359,Creature,Lodar,I guess he could have thought that. He didn't like the Uthgardt much. He would have jumped at a chance to kill one of them off if he thought he could get away with it.,"그렇게 생각했을 수도 있습니다. 우스가르트인을 별로 좋아하지 않았으니까요. 무사히 넘어갈 수 있다고 생각했다면 그들 중 하나를 죽일 기회를 놓치지 않았을 겁니다.",MERC13Q11,m3q01a01iglagb27,,,,0,0
47045,Creature,Lodar,Lodar,로다,MERC13Q11,,,,,0,0
45126,Dialog,LIZS,You don't have a slave collar! The Mistresses will remove my tongue if they see me speaking to you! Go away! ,노예 목걸이가 없잖아요! 여주인들이 당신과 이야기하는 걸 보면 제 혀를 자를 거예요! 가세요! ,M3Q02G08LIZS,,,,,0,0
45127,Dialog,LIZS,"Urg idi bacaac, ad picat wab! Noba wade?","우르그 이디 바카크, 아드 피캇 왑! 노바 와데?",M3Q02G08LIZS,,,,,0,0
